I/V Sweep,id_vgs_P
RecordTime,11/13/2023 08:58:13
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-9.9259399999999984E-08,1.3912199999999998E-08,4.1764E-09,7.1424E-07,-6.3322E-07
1.195,0,-9.96556E-08,1.27644E-08,4.592E-09,7.1584E-07,-6.3358E-07
1.19,0,-9.96862E-08,1.1809799999999999E-08,5.0231E-09,7.1676E-07,-6.3384E-07
1.185,0,-9.9985399999999987E-08,1.0905999999999999E-08,5.5106E-09,7.1799999999999994E-07,-6.3432E-07
1.1800000000000002,0,-1.0037899999999999E-07,1.0123599999999998E-08,6.0098E-09,7.187E-07,-6.3472E-07
1.175,0,-1.005764E-07,9.3023E-09,6.7326E-09,7.1942E-07,-6.3479999999999994E-07
1.1700000000000002,0,-1.0096519999999999E-07,8.6656E-09,7.3705E-09,7.2058E-07,-6.3554E-07
1.165,0,-1.0172419999999999E-07,8.038E-09,8.1629E-09,7.2135999999999994E-07,-6.3594E-07
1.1600000000000001,0,-1.0223179999999999E-07,7.5479999999999992E-09,8.9432E-09,7.218E-07,-6.361E-07
1.155,0,-1.0295559999999999E-07,6.998E-09,9.9497E-09,7.2258E-07,-6.3638E-07
1.1500000000000001,0,-1.0391199999999998E-07,6.5362E-09,1.10356E-08,7.2318E-07,-6.368E-07
1.145,0,-1.0478259999999998E-07,6.0786E-09,1.2252599999999999E-08,7.2398E-07,-6.3713999999999995E-07
1.1400000000000001,0,-1.0603539999999999E-07,5.722E-09,1.36104E-08,7.2433999999999993E-07,-6.3741999999999995E-07
1.135,0,-1.0749219999999999E-07,5.3734E-09,1.5129E-08,7.2456E-07,-6.3768E-07
1.1300000000000001,0,-1.0890419999999999E-07,5.0877E-09,1.6797599999999997E-08,7.2492E-07,-6.3808E-07
1.125,0,-1.1083559999999999E-07,4.7908E-09,1.8672799999999997E-08,7.254E-07,-6.3836E-07
1.12,0,-1.12512E-07,4.5122E-09,2.0798399999999997E-08,7.2564E-07,-6.3848E-07
1.115,0,-1.1475999999999999E-07,4.3019E-09,2.3193599999999997E-08,7.258E-07,-6.386E-07
1.11,0,-1.1718399999999999E-07,4.0511E-09,2.5809799999999997E-08,7.2638E-07,-6.3904E-07
1.105,0,-1.1996E-07,3.8595E-09,2.8857599999999998E-08,7.2676E-07,-6.3927999999999994E-07
1.1,0,-1.233E-07,3.6679E-09,3.2181999999999997E-08,7.2688E-07,-6.3932E-07
1.095,0,-1.2688E-07,3.5011E-09,3.59786E-08,7.269E-07,-6.3958E-07
1.09,0,-1.3086E-07,3.3456E-09,4.0141599999999995E-08,7.274E-07,-6.3982E-07
1.085,0,-1.3565999999999999E-07,3.2007E-09,4.48934E-08,7.273E-07,-6.3993999999999995E-07
1.08,0,-1.4072E-07,3.0781E-09,5.0111E-08,7.2746E-07,-6.4008E-07
1.075,0,-1.464E-07,2.9469E-09,5.6186999999999992E-08,7.2734E-07,-6.4014E-07
1.07,0,-1.531E-07,2.8416E-09,6.27382E-08,7.2779999999999994E-07,-6.4016E-07
1.065,0,-1.606E-07,2.7237E-09,7.0364599999999987E-08,7.2788E-07,-6.4036E-07
