vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.18V	ig_vd = 0.18V	is_vd = 0.18V	iavdd_vd = 0.18V	ignd_vd = 0.18V	id_vd = 0.27V	ig_vd = 0.27V	is_vd = 0.27V	iavdd_vd = 0.27V	ignd_vd = 0.27V	id_vd = 0.36V	ig_vd = 0.36V	is_vd = 0.36V	iavdd_vd = 0.36V	ignd_vd = 0.36V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.54V	ig_vd = 0.54V	is_vd = 0.54V	iavdd_vd = 0.54V	ignd_vd = 0.54V	id_vd = 0.63V	ig_vd = 0.63V	is_vd = 0.63V	iavdd_vd = 0.63V	ignd_vd = 0.63V	id_vd = 0.72V	ig_vd = 0.72V	is_vd = 0.72V	iavdd_vd = 0.72V	ignd_vd = 0.72V	id_vd = 0.81V	ig_vd = 0.81V	is_vd = 0.81V	iavdd_vd = 0.81V	ignd_vd = 0.81V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-5.3274e-10	1.33008e-08	4.3165e-10	6.1824e-07	-6.32e-07	-6.5622e-10	1.39074e-08	3.9172e-10	6.3568e-07	-6.4942e-07	-3.5162e-10	1.38866e-08	4.1591e-10	6.3994e-07	-6.5402e-07	1.8291e-10	1.35946e-08	3.6167e-10	6.4246e-07	-6.5654e-07	2.2573e-10	1.38616e-08	3.9123e-10	6.44e-07	-6.584e-07	4.9361e-10	1.38964e-08	3.7718e-10	6.456e-07	-6.6048e-07	8.0968e-10	1.38044e-08	3.3689e-10	6.4676e-07	-6.6186e-07	1.0871e-09	1.37916e-08	3.3377e-10	6.4768e-07	-6.6288e-07	1.4068e-09	1.37544e-08	3.3362e-10	6.483e-07	-6.6388e-07	1.8831e-09	1.35806e-08	3.1007e-10	6.49e-07	-6.6484e-07	2.2513e-09	1.35358e-08	3.1255e-10	6.4984e-07	-6.6604e-07
1.195	-4.6414e-10	1.20496e-08	4.3398e-10	6.2024e-07	-6.3236e-07	-5.336e-10	1.25348e-08	4.1751e-10	6.3696e-07	-6.4928e-07	-2.3646e-10	1.25546e-08	4.0705e-10	6.4132e-07	-6.5394e-07	2.3872e-10	1.23236e-08	3.9563e-10	6.4376e-07	-6.5666e-07	3.3461e-10	1.25616e-08	3.8948e-10	6.4538e-07	-6.585e-07	6.0872e-10	1.2515e-08	4.0479e-10	6.4684e-07	-6.6038e-07	9.1851e-10	1.24524e-08	3.8933e-10	6.4804e-07	-6.6172e-07	1.2055e-09	1.24672e-08	3.5297e-10	6.4876e-07	-6.6278e-07	1.5242e-09	1.24558e-08	3.2636e-10	6.4956e-07	-6.6386e-07	1.9612e-09	1.2313e-08	3.2701e-10	6.5014e-07	-6.649e-07	2.331e-09	1.2272e-08	2.9853e-10	6.5102e-07	-6.66e-07
1.19	-4.6019e-10	1.09616e-08	4.5512e-10	6.2148e-07	-6.3242e-07	-5.1188e-10	1.14246e-08	4.2725e-10	6.3806e-07	-6.4952e-07	-2.2089e-10	1.14476e-08	4.0628e-10	6.4234e-07	-6.54e-07	2.4833e-10	1.12056e-08	4.0945e-10	6.4484e-07	-6.567e-07	3.4601e-10	1.14088e-08	3.7421e-10	6.4644e-07	-6.5862e-07	6.2201e-10	1.14078e-08	3.6243e-10	6.4796e-07	-6.603e-07	9.4414e-10	1.13646e-08	3.9407e-10	6.4896e-07	-6.6162e-07	1.2284e-09	1.13438e-08	3.9362e-10	6.4994e-07	-6.6288e-07	1.5474e-09	1.1319e-08	3.428e-10	6.5066e-07	-6.6392e-07	1.9831e-09	1.11876e-08	3.4137e-10	6.5144e-07	-6.6488e-07	2.3568e-09	1.11536e-08	2.897e-10	6.521e-07	-6.6602e-07
1.185	-4.4659e-10	9.9784e-09	4.8422e-10	6.2282e-07	-6.3274e-07	-4.9769e-10	1.04212e-08	4.4162e-10	6.39e-07	-6.4936e-07	-2.0036e-10	1.04034e-08	4.2129e-10	6.434e-07	-6.5392e-07	2.6167e-10	1.02106e-08	4.4164e-10	6.4584e-07	-6.5674e-07	3.712e-10	1.03776e-08	4.1729e-10	6.4734e-07	-6.5852e-07	6.4981e-10	1.03686e-08	3.8261e-10	6.4884e-07	-6.6034e-07	9.5964e-10	1.0353e-08	3.718e-10	6.5004e-07	-6.6154e-07	1.2554e-09	1.03552e-08	3.7612e-10	6.5096e-07	-6.6286e-07	1.5708e-09	1.02818e-08	3.6781e-10	6.5166e-07	-6.6386e-07	2.0035e-09	1.01862e-08	3.3706e-10	6.5232e-07	-6.6504e-07	2.3758e-09	1.0141e-08	3.3494e-10	6.5302e-07	-6.6602e-07
1.18	-4.4838e-10	9.116e-09	4.6298e-10	6.2392e-07	-6.33e-07	-4.7945e-10	9.5028e-09	4.5673e-10	6.3986e-07	-6.4934e-07	-1.8207e-10	9.4539e-09	4.4929e-10	6.443e-07	-6.5404e-07	2.6301e-10	9.276e-09	4.1299e-10	6.4652e-07	-6.5666e-07	3.8555e-10	9.4443e-09	4.2492e-10	6.4814e-07	-6.5834e-07	6.7304e-10	9.4256e-09	4.1615e-10	6.498e-07	-6.6042e-07	9.7189e-10	9.3665e-09	4.0787e-10	6.5088e-07	-6.6156e-07	1.2733e-09	9.4033e-09	3.6703e-10	6.5182e-07	-6.6284e-07	1.5965e-09	9.3686e-09	3.4773e-10	6.5248e-07	-6.6386e-07	2.0214e-09	9.2525e-09	3.3647e-10	6.5314e-07	-6.6484e-07	2.3991e-09	9.2121e-09	2.9164e-10	6.5408e-07	-6.6586e-07
1.175	-4.4355e-10	8.2924e-09	5.1512e-10	6.2504e-07	-6.3356e-07	-4.5505e-10	8.6405e-09	4.6966e-10	6.408e-07	-6.4936e-07	-1.5214e-10	8.6216e-09	4.4902e-10	6.451e-07	-6.5396e-07	2.8444e-10	8.4467e-09	4.3891e-10	6.4748e-07	-6.5656e-07	4.2383e-10	8.5737e-09	4.2628e-10	6.4902e-07	-6.5836e-07	7.0249e-10	8.5673e-09	4.0734e-10	6.5068e-07	-6.6024e-07	1.01376e-09	8.5438e-09	3.8461e-10	6.5164e-07	-6.6168e-07	1.3164e-09	8.536e-09	4.1822e-10	6.5264e-07	-6.6276e-07	1.6344e-09	8.4972e-09	3.7542e-10	6.5332e-07	-6.6392e-07	2.0591e-09	8.4144e-09	3.4261e-10	6.5414e-07	-6.6496e-07	2.4296e-09	8.3488e-09	3.2458e-10	6.5486e-07	-6.6602e-07
1.17	-4.3971e-10	7.5639e-09	5.1708e-10	6.2626e-07	-6.3382e-07	-4.2823e-10	7.8709e-09	4.9251e-10	6.4156e-07	-6.494e-07	-1.3055e-10	7.8513e-09	4.8355e-10	6.4586e-07	-6.54e-07	2.8989e-10	7.694e-09	4.5196e-10	6.4812e-07	-6.565e-07	4.4646e-10	7.8467e-09	4.3256e-10	6.4988e-07	-6.5856e-07	7.2395e-10	7.8359e-09	4.087e-10	6.5142e-07	-6.6028e-07	1.03865e-09	7.7552e-09	4.4283e-10	6.5246e-07	-6.6172e-07	1.3339e-09	7.7584e-09	4.0087e-10	6.5334e-07	-6.6276e-07	1.6593e-09	7.7456e-09	3.6127e-10	6.5402e-07	-6.6382e-07	2.0741e-09	7.6506e-09	3.4429e-10	6.547e-07	-6.6484e-07	2.4601e-09	7.6316e-09	3.0389e-10	6.556e-07	-6.6602e-07
1.165	-4.4282e-10	6.9128e-09	5.3494e-10	6.271e-07	-6.341e-07	-4.1484e-10	7.1871e-09	5.0989e-10	6.4198e-07	-6.493e-07	-1.2119e-10	7.1725e-09	4.821e-10	6.4646e-07	-6.5404e-07	2.9815e-10	7.0158e-09	4.7499e-10	6.4888e-07	-6.5656e-07	4.5934e-10	7.1204e-09	4.694e-10	6.5048e-07	-6.5846e-07	7.4436e-10	7.0946e-09	4.5432e-10	6.5196e-07	-6.6042e-07	1.05633e-09	7.0914e-09	4.0751e-10	6.53e-07	-6.616e-07	1.3601e-09	7.0888e-09	4.0362e-10	6.5404e-07	-6.6298e-07	1.6849e-09	7.0476e-09	4.0719e-10	6.5448e-07	-6.6364e-07	2.0984e-09	6.9845e-09	3.4454e-10	6.5546e-07	-6.6478e-07	2.4855e-09	6.9219e-09	3.3964e-10	6.5628e-07	-6.6596e-07
1.16	-4.5346e-10	6.2864e-09	5.7326e-10	6.2808e-07	-6.3442e-07	-4.0829e-10	6.556e-09	5.3032e-10	6.425e-07	-6.4922e-07	-1.1129e-10	6.5667e-09	5.1602e-10	6.472e-07	-6.5398e-07	3.0067e-10	6.3892e-09	4.9565e-10	6.4936e-07	-6.565e-07	4.732e-10	6.5319e-09	4.568e-10	6.5102e-07	-6.585e-07	7.5953e-10	6.5302e-09	4.3313e-10	6.525e-07	-6.6032e-07	1.07273e-09	6.4829e-09	4.4342e-10	6.5362e-07	-6.617e-07	1.3732e-09	6.4436e-09	4.356e-10	6.5466e-07	-6.6304e-07	1.7015e-09	6.4311e-09	3.856e-10	6.5506e-07	-6.6366e-07	2.1158e-09	6.3397e-09	3.7164e-10	6.5604e-07	-6.6496e-07	2.5072e-09	6.3247e-09	2.9382e-10	6.5686e-07	-6.6592e-07
1.155	-4.5328e-10	5.774e-09	5.6838e-10	6.2882e-07	-6.3476e-07	-4.0693e-10	6.0019e-09	5.3861e-10	6.4314e-07	-6.4928e-07	-1.1166e-10	5.9676e-09	5.3261e-10	6.4756e-07	-6.5406e-07	3.0048e-10	5.8373e-09	5.0155e-10	6.4986e-07	-6.5644e-07	4.8059e-10	5.9337e-09	5.1356e-10	6.5166e-07	-6.5858e-07	7.6547e-10	5.9265e-09	5.0047e-10	6.5326e-07	-6.6032e-07	1.07715e-09	5.9009e-09	4.5885e-10	6.543e-07	-6.6182e-07	1.387e-09	5.9004e-09	4.0968e-10	6.5516e-07	-6.6286e-07	1.722e-09	5.8607e-09	4.0802e-10	6.5582e-07	-6.6386e-07	2.135e-09	5.8122e-09	3.3852e-10	6.565e-07	-6.648e-07	2.5301e-09	5.7486e-09	3.3703e-10	6.574e-07	-6.66e-07
