|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-8.02000000000019e-09	-2.87999999999995e-09	-4.18000000000006e-08	-7.30800000000013e-08	-1.33280000000005e-07	-1.20000000000006e-08
-0.295	-5.38833333333337e-09	-3.76333333333329e-09	-3.12866666666667e-08	-5.38200000000001e-08	-1.01573333333335e-07	-6.46666666666665e-08
-0.29	-4.23000000000002e-09	-4.00899999999995e-09	-2.201e-08	-3.80960000000001e-08	-8.15600000000009e-08	-9.32e-08
-0.285	-2.80299999999998e-09	-4.76599999999997e-09	-1.54999999999999e-08	-2.77379999999998e-08	-6.6384e-08	-1.158e-07
-0.28	-1.788e-09	-5.218e-09	-1.1754e-08	-2.09319999999999e-08	-5.3098e-08	-1.288e-07
-0.275	-1.389e-09	-5.10099999999999e-09	-1.0362e-08	-1.87099999999999e-08	-4.9106e-08	-1.244e-07
-0.27	-1.242e-09	-4.891e-09	-9.848e-09	-1.81599999999999e-08	-5.0468e-08	-1.154e-07
-0.265	-1.505e-09	-4.87300000000002e-09	-1.018e-08	-1.81299999999999e-08	-4.84319999999999e-08	-1.108e-07
-0.26	-1.807e-09	-4.56900000000001e-09	-9.40800000000003e-09	-1.7164e-08	-4.51719999999999e-08	-1.08e-07
-0.255	-1.714e-09	-3.973e-09	-6.81200000000002e-09	-1.54400000000001e-08	-4.5668e-08	-1.06e-07
-0.25	-1.50999999999999e-09	-3.56299999999999e-09	-5.274e-09	-1.54560000000001e-08	-4.4996e-08	-1.03e-07
-0.245	-1.203e-09	-3.31299999999999e-09	-5.37e-09	-1.61240000000001e-08	-3.9882e-08	-9.81999999999998e-08
-0.24	-8.04e-10	-2.82699999999998e-09	-5.75199999999997e-09	-1.6182e-08	-3.63e-08	-9.07999999999998e-08
-0.235	-6.73000000000009e-10	-2.318e-09	-6.94999999999999e-09	-1.5626e-08	-3.54420000000002e-08	-8.24000000000001e-08
-0.23	-8.92000000000008e-10	-2.27300000000002e-09	-8.61199999999995e-09	-1.3752e-08	-3.35320000000002e-08	-7.80000000000002e-08
-0.225	-1.22500000000001e-09	-2.91400000000003e-09	-8.29599999999998e-09	-1.21980000000001e-08	-3.10100000000002e-08	-7.66920000000001e-08
-0.22	-1.35700000000001e-09	-4.16900000000003e-09	-6.59200000000002e-09	-1.31160000000001e-08	-3.05160000000001e-08	-7.52160000000001e-08
-0.215	-1.10400000000001e-09	-4.86800000000001e-09	-5.54200000000002e-09	-1.307e-08	-3.03960000000002e-08	-7.36860000000003e-08
-0.21	-7.72e-10	-4.80899999999999e-09	-4.71599999999997e-09	-1.1578e-08	-2.854e-08	-7.13640000000002e-08
-0.205	-7.37e-10	-4.91099999999998e-09	-3.22399999999999e-09	-1.31239999999999e-08	-2.7076e-08	-6.62660000000001e-08
-0.2	-7.91999999999998e-10	-4.21799999999998e-09	-2.764e-09	-1.46179999999999e-08	-2.71699999999999e-08	-6.084e-08
-0.195	-5.55999999999998e-10	-2.27799999999999e-09	-3.47400000000001e-09	-1.11e-08	-2.70739999999999e-08	-5.8796e-08
-0.19	-2.76e-10	-1.15500000000002e-09	-3.14600000000001e-09	-6.54400000000008e-09	-2.64499999999999e-08	-6.02119999999999e-08
-0.185	-1.06999999999998e-10	-1.24300000000003e-09	-2.11999999999999e-09	-5.30000000000012e-09	-2.64099999999999e-08	-5.87479999999999e-08
-0.18	6.10000000000021e-11	-6.96000000000014e-10	-2.03799999999999e-09	-4.08000000000012e-09	-2.5956e-08	-5.409e-08
-0.175	1.32999999999999e-10	3.02000000000002e-10	-3.202e-09	-2.91600000000005e-09	-2.3724e-08	-5.26900000000001e-08
-0.17	2.27000000000001e-10	5.82000000000005e-10	-3.22199999999998e-09	-4.65399999999993e-09	-2.1158e-08	-5.05840000000001e-08
-0.165	6.77000000000002e-10	8.89000000000012e-10	-1.66e-09	-7.00199999999983e-09	-1.90559999999999e-08	-4.64199999999999e-08
-0.16	1.274e-09	1.58000000000002e-09	-4.36000000000018e-10	-7.51199999999982e-09	-1.66879999999999e-08	-4.70979999999999e-08
-0.155	1.95e-09	2.22500000000001e-09	5.99999999999985e-10	-5.89399999999988e-09	-1.40099999999999e-08	-4.94199999999999e-08
-0.15	2.954e-09	2.882e-09	1.936e-09	-2.44399999999994e-09	-1.2362e-08	-4.64519999999998e-08
-0.145	3.73e-09	3.39600000000001e-09	2.64600000000001e-09	1.05200000000004e-09	-1.0712e-08	-4.33719999999999e-08
