vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.099992	-2.2162e-09	0.1	7.3292e-07	-6.7426e-07	-0.067812	-1.434e-09	0.06785	7.672e-07	-6.955e-07	-0.033702	-7.7809e-10	0.033694	7.4828e-07	-6.715e-07	-0.007998	-1.8025e-10	0.0079824	7.3926e-07	-6.5734e-07	-0.0002913	4.8026e-10	0.00029084	7.357e-07	-6.5158e-07	-3.5107e-06	1.197e-09	3.4268e-06	7.3704e-07	-6.5172e-07	-1.2564e-07	1.9773e-09	3.63094e-08	7.3996e-07	-6.5244e-07
0.005	-0.099994	-2.2302e-09	0.100004	7.3828e-07	-6.757e-07	-0.067766	-1.4376e-09	0.067766	7.6544e-07	-6.954e-07	-0.03363	-7.8119e-10	0.033638	7.467e-07	-6.7132e-07	-0.0079564	-1.8768e-10	0.007954	7.3754e-07	-6.5716e-07	-0.00028912	4.6679e-10	0.00028904	7.3436e-07	-6.5174e-07	-3.4869e-06	1.1782e-09	3.399e-06	7.3568e-07	-6.5174e-07	-1.2394e-07	1.9449e-09	3.60714e-08	7.3846e-07	-6.524e-07
0.01	-0.099994	-2.2396e-09	0.100004	7.3854e-07	-6.7716e-07	-0.067688	-1.4416e-09	0.067696	7.6412e-07	-6.952e-07	-0.03358	-7.8388e-10	0.033578	7.4536e-07	-6.7126e-07	-0.007931	-1.9573e-10	0.0079304	7.3626e-07	-6.5708e-07	-0.0002873	4.5355e-10	0.00028746	7.3274e-07	-6.5154e-07	-3.4643e-06	1.1576e-09	3.3783e-06	7.3414e-07	-6.517e-07	-1.2218e-07	1.9187e-09	3.58052e-08	7.3702e-07	-6.5254e-07
0.015	-0.099988	-2.2402e-09	0.1	7.3866e-07	-6.7824e-07	-0.067606	-1.4422e-09	0.067622	7.6282e-07	-6.9492e-07	-0.033522	-7.8607e-10	0.033528	7.4406e-07	-6.7124e-07	-0.007907	-2.0351e-10	0.007906	7.3448e-07	-6.5702e-07	-0.00028574	4.411e-10	0.00028586	7.3122e-07	-6.5158e-07	-3.4408e-06	1.1389e-09	3.356e-06	7.327e-07	-6.517e-07	-1.2048e-07	1.8958e-09	3.55778e-08	7.356e-07	-6.5264e-07
0.02	-0.099992	-2.2465e-09	0.100002	7.3872e-07	-6.791e-07	-0.067532	-1.4436e-09	0.067542	7.6142e-07	-6.9506e-07	-0.033462	-7.9269e-10	0.033476	7.4292e-07	-6.7126e-07	-0.0078804	-2.0927e-10	0.0078788	7.3312e-07	-6.5686e-07	-0.0002841	4.3054e-10	0.00028396	7.3e-07	-6.5162e-07	-3.4137e-06	1.1236e-09	3.3377e-06	7.3128e-07	-6.5174e-07	-1.187e-07	1.8702e-09	3.53566e-08	7.341e-07	-6.5264e-07
0.025	-0.099994	-2.2549e-09	0.100002	7.385e-07	-6.8018e-07	-0.067456	-1.4464e-09	0.067466	7.6026e-07	-6.9462e-07	-0.033406	-7.9748e-10	0.033418	7.4216e-07	-6.7132e-07	-0.0078554	-2.1363e-10	0.007854	7.3168e-07	-6.5672e-07	-0.00028246	4.1806e-10	0.00028246	7.2864e-07	-6.5158e-07	-3.3932e-06	1.1057e-09	3.3155e-06	7.3016e-07	-6.5184e-07	-1.17e-07	1.8482e-09	3.5115e-08	7.3264e-07	-6.5254e-07
0.03	-0.099992	-2.261e-09	0.1	7.3828e-07	-6.808e-07	-0.067372	-1.4496e-09	0.067384	7.587e-07	-6.9426e-07	-0.03335	-7.9718e-10	0.033362	7.4048e-07	-6.7128e-07	-0.0078296	-2.2184e-10	0.0078286	7.3016e-07	-6.5664e-07	-0.0002808	4.0384e-10	0.00028084	7.2712e-07	-6.5154e-07	-3.3688e-06	1.086e-09	3.2932e-06	7.285e-07	-6.5174e-07	-1.1536e-07	1.8204e-09	3.48694e-08	7.3134e-07	-6.5264e-07
0.035	-0.099992	-2.265e-09	0.100002	7.3816e-07	-6.816e-07	-0.067298	-1.4513e-09	0.067312	7.5748e-07	-6.9432e-07	-0.033294	-7.9744e-10	0.033306	7.3942e-07	-6.7118e-07	-0.0078036	-2.3033e-10	0.0078028	7.2894e-07	-6.5658e-07	-0.00027898	3.8908e-10	0.00027908	7.2582e-07	-6.5158e-07	-3.3496e-06	1.0698e-09	3.2707e-06	7.2746e-07	-6.5178e-07	-1.137e-07	1.7986e-09	3.46558e-08	7.3052e-07	-6.5264e-07
0.04	-0.099992	-2.2707e-09	0.1	7.3798e-07	-6.8234e-07	-0.067216	-1.4536e-09	0.06723	7.564e-07	-6.9416e-07	-0.033242	-8.0549e-10	0.03325	7.383e-07	-6.7124e-07	-0.0077826	-2.3514e-10	0.0077798	7.277e-07	-6.5658e-07	-0.00027756	3.7931e-10	0.0002774	7.2448e-07	-6.515e-07	-3.3256e-06	1.0556e-09	3.2498e-06	7.2584e-07	-6.5196e-07	-1.1206e-07	1.7735e-09	3.44252e-08	7.287e-07	-6.528e-07
0.045	-0.099996	-2.2769e-09	0.100004	7.3734e-07	-6.8284e-07	-0.06715	-1.4562e-09	0.067154	7.5538e-07	-6.9406e-07	-0.033182	-8.1049e-10	0.033196	7.3722e-07	-6.7132e-07	-0.0077532	-2.4198e-10	0.0077542	7.2678e-07	-6.5656e-07	-0.00027568	3.6963e-10	0.0002759	7.2332e-07	-6.5152e-07	-3.3015e-06	1.0368e-09	3.2286e-06	7.2478e-07	-6.5178e-07	-1.1046e-07	1.753e-09	3.4197e-08	7.2742e-07	-6.5276e-07
