vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-1.0858e-07	1.63406e-08	7.258e-10	7.229e-07	-6.3174e-07	-6.22422e-08	1.60456e-08	5.4552e-10	7.1924e-07	-6.7374e-07	-3.50642e-08	1.50494e-08	4.5722e-10	6.9648e-07	-6.7692e-07	-1.87656e-08	1.42438e-08	3.8527e-10	6.8172e-07	-6.776e-07	-8.1931e-09	1.35672e-08	3.2277e-10	6.6998e-07	-6.7564e-07	-1.509e-09	1.30526e-08	2.5419e-10	6.622e-07	-6.7416e-07	3.2119e-09	1.27186e-08	1.6865e-10	6.5608e-07	-6.7206e-07
1.195	-1.0852e-07	1.5145e-08	7.2272e-10	7.245e-07	-6.3212e-07	-6.15758e-08	1.4595e-08	5.4864e-10	7.193e-07	-6.7276e-07	-3.46988e-08	1.36408e-08	4.6193e-10	6.968e-07	-6.7612e-07	-1.85566e-08	1.28868e-08	3.9136e-10	6.822e-07	-6.7704e-07	-8.1787e-09	1.22696e-08	3.2428e-10	6.7102e-07	-6.7542e-07	-1.4689e-09	1.18018e-08	2.6083e-10	6.6334e-07	-6.738e-07	3.2057e-09	1.15098e-08	1.7067e-10	6.5732e-07	-6.7218e-07
1.19	-1.0764e-07	1.40798e-08	7.2676e-10	7.2532e-07	-6.3222e-07	-6.13994e-08	1.34452e-08	5.5223e-10	7.1934e-07	-6.719e-07	-3.46114e-08	1.2501e-08	4.6634e-10	6.9714e-07	-6.7536e-07	-1.85146e-08	1.17698e-08	3.962e-10	6.8268e-07	-6.7638e-07	-8.1509e-09	1.11764e-08	3.3039e-10	6.7182e-07	-6.752e-07	-1.4781e-09	1.07324e-08	2.634e-10	6.641e-07	-6.7358e-07	3.2113e-09	1.04556e-08	1.7581e-10	6.5834e-07	-6.721e-07
1.185	-1.0688e-07	1.30788e-08	7.3076e-10	7.2564e-07	-6.3244e-07	-6.11654e-08	1.23802e-08	5.5779e-10	7.1924e-07	-6.7104e-07	-3.45676e-08	1.14454e-08	4.72e-10	6.975e-07	-6.7476e-07	-1.84354e-08	1.07444e-08	3.9927e-10	6.831e-07	-6.7576e-07	-8.1237e-09	1.01664e-08	3.3441e-10	6.7246e-07	-6.7482e-07	-1.448e-09	9.7404e-09	2.6655e-10	6.6482e-07	-6.7334e-07	3.2131e-09	9.4539e-09	1.7903e-10	6.5926e-07	-6.7206e-07
1.18	-1.0636e-07	1.21932e-08	7.327e-10	7.262e-07	-6.3282e-07	-6.0894e-08	1.14472e-08	5.6167e-10	7.1914e-07	-6.7028e-07	-3.44798e-08	1.05048e-08	4.7746e-10	6.977e-07	-6.742e-07	-1.84358e-08	9.8258e-09	4.0178e-10	6.8356e-07	-6.753e-07	-8.1233e-09	9.242e-09	3.3862e-10	6.728e-07	-6.7438e-07	-1.4443e-09	8.8527e-09	2.7401e-10	6.6552e-07	-6.732e-07	3.2132e-09	8.5945e-09	1.8276e-10	6.5988e-07	-6.7198e-07
1.175	-1.0564e-07	1.13712e-08	7.3453e-10	7.2668e-07	-6.3316e-07	-6.0525e-08	1.05806e-08	5.6715e-10	7.1906e-07	-6.6942e-07	-3.43816e-08	9.6428e-09	4.7939e-10	6.9772e-07	-6.7328e-07	-1.83904e-08	8.9711e-09	4.0663e-10	6.835e-07	-6.7448e-07	-8.0588e-09	8.4206e-09	3.4312e-10	6.7324e-07	-6.7402e-07	-1.4368e-09	8.0303e-09	2.7815e-10	6.6598e-07	-6.7284e-07	3.2168e-09	7.7867e-09	1.8809e-10	6.608e-07	-6.7196e-07
1.17	-1.051e-07	1.06346e-08	7.4125e-10	7.2706e-07	-6.3332e-07	-6.03864e-08	9.8e-09	5.7087e-10	7.19e-07	-6.688e-07	-3.424e-08	8.8653e-09	4.8632e-10	6.973e-07	-6.7232e-07	-1.82958e-08	8.2068e-09	4.1009e-10	6.834e-07	-6.7372e-07	-8.0549e-09	7.6636e-09	3.4713e-10	6.737e-07	-6.7356e-07	-1.4378e-09	7.3113e-09	2.8059e-10	6.665e-07	-6.7272e-07	3.2232e-09	7.0798e-09	1.906e-10	6.6152e-07	-6.7196e-07
1.165	-1.0454e-07	9.9486e-09	7.4229e-10	7.272e-07	-6.3354e-07	-6.01856e-08	9.0712e-09	5.7461e-10	7.1814e-07	-6.6782e-07	-3.41184e-08	8.1642e-09	4.8892e-10	6.9704e-07	-6.7144e-07	-1.8236e-08	7.5102e-09	4.1547e-10	6.8358e-07	-6.732e-07	-8.011e-09	6.9914e-09	3.526e-10	6.7412e-07	-6.7334e-07	-1.4337e-09	6.6471e-09	2.8518e-10	6.6702e-07	-6.7246e-07	3.2246e-09	6.4279e-09	1.9546e-10	6.6218e-07	-6.7188e-07
1.16	-1.0406e-07	9.3418e-09	7.4586e-10	7.278e-07	-6.3394e-07	-5.98718e-08	8.4218e-09	5.7853e-10	7.178e-07	-6.6684e-07	-3.41414e-08	7.5288e-09	4.913e-10	6.9704e-07	-6.7088e-07	-1.82172e-08	6.8962e-09	4.1973e-10	6.8362e-07	-6.727e-07	-8.0172e-09	6.3846e-09	3.5425e-10	6.7416e-07	-6.7274e-07	-1.429e-09	6.0534e-09	2.8957e-10	6.6746e-07	-6.7246e-07	3.2258e-09	5.8401e-09	1.9887e-10	6.6256e-07	-6.7182e-07
1.155	-1.0356e-07	8.7709e-09	7.4739e-10	7.2828e-07	-6.3434e-07	-5.96482e-08	7.8272e-09	5.8543e-10	7.1724e-07	-6.6604e-07	-3.40092e-08	6.9547e-09	4.9935e-10	6.9672e-07	-6.7022e-07	-1.8166e-08	6.3336e-09	4.2197e-10	6.8358e-07	-6.7204e-07	-7.9871e-09	5.829e-09	3.5929e-10	6.7436e-07	-6.7268e-07	-1.4025e-09	5.5036e-09	2.9209e-10	6.68e-07	-6.7232e-07	3.2297e-09	5.308e-09	2.0322e-10	6.6312e-07	-6.7184e-07
