Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-0.09999	-6.083e-10	0.100002	3.4858e-07	-3.1374e-07	-0.099994	-5.0893e-10	0.100004	3.5258e-07	-3.162e-07	-0.07241	-3.0483e-10	0.072474	3.5804e-07	-3.1592e-07	-0.033036	1.566e-11	0.033026	3.6056e-07	-3.1128e-07	-0.0070718	4.7634e-10	0.0070564	3.6324e-07	-3.0884e-07	-0.00042154	1.0926e-09	0.000421	3.6342e-07	-3.0776e-07	-1.4066e-05	1.91e-09	1.3968e-05	3.6482e-07	-3.0752e-07
0.005	-0.099992	-6.1305e-10	0.100002	3.484e-07	-3.1374e-07	-0.099994	-5.1195e-10	0.100002	3.5246e-07	-3.163e-07	-0.072286	-3.0155e-10	0.072288	3.574e-07	-3.159e-07	-0.032882	1.093e-11	0.032886	3.5958e-07	-3.1124e-07	-0.0069962	4.6521e-10	0.0069966	3.6216e-07	-3.0878e-07	-0.00041496	1.0674e-09	0.00041494	3.6228e-07	-3.078e-07	-1.378e-05	1.8814e-09	1.3728e-05	3.6358e-07	-3.0754e-07
0.01	-0.09999	-6.1175e-10	0.1	3.48e-07	-3.139e-07	-0.099992	-5.1003e-10	0.100002	3.5192e-07	-3.1638e-07	-0.0721	-3.1056e-10	0.072098	3.5658e-07	-3.159e-07	-0.032744	6.92e-12	0.032752	3.5896e-07	-3.1154e-07	-0.0069388	4.4851e-10	0.0069366	3.6104e-07	-3.0884e-07	-0.00040884	1.0516e-09	0.00040898	3.6126e-07	-3.0782e-07	-1.3548e-05	1.8506e-09	1.3506e-05	3.6244e-07	-3.0754e-07
0.015	-0.09999	-6.1469e-10	0.100002	3.474e-07	-3.1398e-07	-0.09999	-5.1579e-10	0.100004	3.5132e-07	-3.1652e-07	-0.071912	-3.0361e-10	0.071922	3.5594e-07	-3.1612e-07	-0.032602	-3.29e-12	0.032608	3.5764e-07	-3.113e-07	-0.006875	4.3718e-10	0.0068772	3.6e-07	-3.0884e-07	-0.00040314	1.0304e-09	0.0004034	3.6016e-07	-3.0786e-07	-1.3304e-05	1.8195e-09	1.325e-05	3.6132e-07	-3.0754e-07
0.02	-0.09999	-6.2397e-10	0.100004	3.4672e-07	-3.1408e-07	-0.09999	-5.1452e-10	0.100002	3.5064e-07	-3.1654e-07	-0.071724	-3.069e-10	0.07174	3.5512e-07	-3.1596e-07	-0.032466	-1.075e-11	0.032464	3.5678e-07	-3.1136e-07	-0.0068178	4.2449e-10	0.006817	3.5884e-07	-3.088e-07	-0.0003975	1.0127e-09	0.00039734	3.5916e-07	-3.0778e-07	-1.3066e-05	1.7942e-09	1.304e-05	3.6018e-07	-3.0756e-07
0.025	-0.099992	-6.2612e-10	0.100002	3.4616e-07	-3.1414e-07	-0.099992	-5.203e-10	0.100002	3.5006e-07	-3.167e-07	-0.071546	-3.2012e-10	0.071546	3.5414e-07	-3.1592e-07	-0.032322	-1.832e-11	0.032326	3.5578e-07	-3.113e-07	-0.0067562	4.096e-10	0.0067564	3.5782e-07	-3.0874e-07	-0.00039146	9.906e-10	0.00039166	3.5794e-07	-3.077e-07	-1.284e-05	1.7646e-09	1.2774e-05	3.591e-07	-3.0774e-07
0.03	-0.099992	-6.3083e-10	0.1	3.4558e-07	-3.1422e-07	-0.099996	-5.2214e-10	0.1	3.494e-07	-3.1664e-07	-0.071354	-3.206e-10	0.071362	3.5338e-07	-3.1588e-07	-0.032184	-1.618e-11	0.03219	3.5492e-07	-3.1134e-07	-0.006697	4.0139e-10	0.006697	3.5678e-07	-3.0878e-07	-0.000386	9.7604e-10	0.0003861	3.57e-07	-3.077e-07	-1.2626e-05	1.7356e-09	1.2578e-05	3.581e-07	-3.075e-07
0.035	-0.099992	-6.32e-10	0.100002	3.4494e-07	-3.142e-07	-0.09999	-5.2376e-10	0.100002	3.4878e-07	-3.1672e-07	-0.071162	-3.1274e-10	0.071176	3.5254e-07	-3.1582e-07	-0.032042	-2.728e-11	0.032054	3.5392e-07	-3.1132e-07	-0.0066396	3.9618e-10	0.00664	3.557e-07	-3.0866e-07	-0.00038044	9.5575e-10	0.00038034	3.5602e-07	-3.077e-07	-1.2402e-05	1.7131e-09	1.236e-05	3.5702e-07	-3.076e-07
0.04	-0.099988	-6.3326e-10	0.100002	3.4438e-07	-3.1428e-07	-0.099994	-5.2819e-10	0.1	3.4818e-07	-3.1678e-07	-0.070974	-3.2591e-10	0.070986	3.5184e-07	-3.1588e-07	-0.03191	-3.183e-11	0.031914	3.5316e-07	-3.113e-07	-0.0065816	3.7877e-10	0.0065828	3.5464e-07	-3.0892e-07	-0.0003749	9.384e-10	0.00037494	3.5498e-07	-3.0768e-07	-1.2204e-05	1.6834e-09	1.2136e-05	3.5594e-07	-3.0748e-07
0.045	-0.099994	-6.3743e-10	0.1	3.438e-07	-3.1432e-07	-0.099994	-5.2754e-10	0.100002	3.4752e-07	-3.168e-07	-0.070786	-3.1979e-10	0.0708	3.5114e-07	-3.16e-07	-0.031766	-3.351e-11	0.031774	3.5224e-07	-3.1128e-07	-0.0065256	3.7028e-10	0.0065234	3.5364e-07	-3.086e-07	-0.00036932	9.195e-10	0.00036952	3.5406e-07	-3.077e-07	-1.1988e-05	1.6534e-09	1.1946e-05	3.5496e-07	-3.0754e-07
0.05	-0.099994	-6.4369e-10	0.100004	3.432e-07	-3.1432e-07	-0.09999	-5.3607e-10	0.100002	3.4692e-07	-3.1682e-07	-0.070608	-3.2605e-10	0.07061	3.5038e-07	-3.1592e-07	-0.031626	-4.421e-11	0.031632	3.5144e-07	-3.1132e-07	-0.0064668	3.5928e-10	0.0064658	3.5268e-07	-3.0862e-07	-0.00036408	9.0591e-10	0.00036414	3.531e-07	-3.0778e-07	-1.1744e-05	1.6327e-09	1.1736e-05	3.5396e-07	-3.0764e-07
0.055	-0.099992	-6.438e-10	0.100002	3.4264e-07	-3.1436e-07	-0.099992	-5.3393e-10	0.100002	3.463e-07	-3.1682e-07	-0.070406	-3.2913e-10	0.07042	3.4966e-07	-3.1584e-07	-0.03149	-4.367e-11	0.031494	3.5062e-07	-3.1134e-07	-0.0064078	3.4509e-10	0.0064074	3.5174e-07	-3.0864e-07	-0.00035872	8.848e-10	0.0003589	3.5214e-07	-3.0772e-07	-1.157e-05	1.6035e-09	1.1508e-05	3.5306e-07	-3.0746e-07
0.06	-0.099992	-6.5419e-10	0.100002	3.4204e-07	-3.1434e-07	-0.099994	-5.3735e-10	0.100004	3.4578e-07	-3.169e-07	-0.07022	-3.3334e-10	0.070226	3.4884e-07	-3.1582e-07	-0.031354	-5.172e-11	0.031362	3.4976e-07	-3.113e-07	-0.006353	3.4071e-10	0.0063524	3.5092e-07	-3.0864e-07	-0.00035356	8.6833e-10	0.00035358	3.5126e-07	-3.077e-07	-1.1372e-05	1.577e-09	1.129e-05	3.5202e-07	-3.0764e-07
0.065	-0.09999	-6.4337e-10	0.1	3.415e-07	-3.1442e-07	-0.099994	-5.3969e-10	0.1	3.4516e-07	-3.1692e-07	-0.070034	-3.2445e-10	0.070046	3.482e-07	-3.1582e-07	-0.031216	-5.863e-11	0.031222	3.4902e-07	-3.1132e-07	-0.0062958	3.3004e-10	0.0062966	3.5006e-07	-3.0864e-07	-0.00034854	8.5328e-10	0.00034876	3.5036e-07	-3.0774e-07	-1.1164e-05	1.5547e-09	1.1106e-05	3.511e-07	-3.0754e-07
0.07	-0.099992	-6.5497e-10	0.100004	3.4098e-07	-3.1436e-07	-0.099992	-5.3282e-10	0.1	3.4456e-07	-3.1694e-07	-0.069848	-3.3945e-10	0.069854	3.4746e-07	-3.157e-07	-0.031076	-6.138e-11	0.031082	3.4816e-07	-3.1132e-07	-0.0062392	3.1952e-10	0.0062396	3.491e-07	-3.0862e-07	-0.00034316	8.353e-10	0.00034334	3.494e-07	-3.077e-07	-1.097e-05	1.5256e-09	1.0912e-05	3.5014e-07	-3.0752e-07
0.075	-0.09999	-6.5851e-10	0.100002	3.4038e-07	-3.1444e-07	-0.099992	-5.3738e-10	0.100002	3.4406e-07	-3.1702e-07	-0.069654	-3.405e-10	0.069666	3.468e-07	-3.157e-07	-0.030936	-6.463e-11	0.030944	3.4734e-07	-3.1126e-07	-0.006183	3.105e-10	0.006183	3.483e-07	-3.0858e-07	-0.00033838	8.1967e-10	0.00033854	3.4854e-07	-3.0776e-07	-1.0766e-05	1.5004e-09	1.0732e-05	3.4932e-07	-3.076e-07
0.08	-0.09999	-6.5426e-10	0.100002	3.3986e-07	-3.1446e-07	-0.09999	-5.4463e-10	0.100004	3.4344e-07	-3.1698e-07	-0.06947	-3.3229e-10	0.069468	3.4616e-07	-3.1574e-07	-0.0308	-8.124e-11	0.030808	3.4664e-07	-3.1118e-07	-0.0061286	3.0013e-10	0.0061274	3.4736e-07	-3.0862e-07	-0.00033346	8.0493e-10	0.00033352	3.4774e-07	-3.077e-07	-1.0604e-05	1.4825e-09	1.0548e-05	3.4836e-07	-3.075e-07
0.085	-0.099992	-6.6892e-10	0.1	3.3934e-07	-3.1442e-07	-0.099992	-5.513e-10	0.100002	3.4294e-07	-3.1696e-07	-0.069276	-3.4409e-10	0.069286	3.4554e-07	-3.1574e-07	-0.03066	-8.556e-11	0.03067	3.4584e-07	-3.1132e-07	-0.0060708	2.8648e-10	0.0060726	3.4662e-07	-3.086e-07	-0.00032838	7.8886e-10	0.0003289	3.4692e-07	-3.0776e-07	-1.0412e-05	1.4534e-09	1.0372e-05	3.4768e-07	-3.0748e-07
0.09	-0.09999	-6.7604e-10	0.1	3.3878e-07	-3.144e-07	-0.099994	-5.4972e-10	0.100002	3.423e-07	-3.1692e-07	-0.06909	-3.4567e-10	0.069092	3.4488e-07	-3.1568e-07	-0.030524	-7.687e-11	0.030526	3.452e-07	-3.114e-07	-0.0060146	2.8246e-10	0.0060144	3.4584e-07	-3.086e-07	-0.0003238	7.7191e-10	0.00032366	3.4608e-07	-3.0776e-07	-1.0212e-05	1.4289e-09	1.0178e-05	3.4664e-07	-3.0748e-07
0.095	-0.09999	-6.7543e-10	0.100002	3.3832e-07	-3.144e-07	-0.09999	-5.5673e-10	0.1	3.4176e-07	-3.1694e-07	-0.068902	-3.4612e-10	0.068908	3.4416e-07	-3.1568e-07	-0.030384	-8.418e-11	0.030388	3.4452e-07	-3.1132e-07	-0.0059616	2.7102e-10	0.0059618	3.4498e-07	-3.0858e-07	-0.00031888	7.572e-10	0.00031892	3.4522e-07	-3.0774e-07	-1.003e-05	1.4092e-09	9.986e-06	3.459e-07	-3.0754e-07
