vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-1.0154e-07	1.37548e-08	5.237e-09	6.7886e-07	-5.9668e-07	-6.10252e-08	1.38398e-08	2.7292e-09	6.6934e-07	-6.2498e-07	-3.5759e-08	1.3568e-08	1.4352e-09	6.5008e-07	-6.2942e-07	-1.90018e-08	1.32176e-08	7.9868e-10	6.3366e-07	-6.2862e-07	-7.8226e-09	1.29518e-08	4.8715e-10	6.227e-07	-6.2828e-07	-1.1365e-09	1.27378e-08	3.307e-10	6.1558e-07	-6.2756e-07	3.2833e-09	1.2565e-08	1.8888e-10	6.1074e-07	-6.2674e-07
1.195	-1.0198e-07	1.26086e-08	5.7994e-09	6.8042e-07	-5.9696e-07	-6.09632e-08	1.2541e-08	3.0174e-09	6.7006e-07	-6.2462e-07	-3.56592e-08	1.22546e-08	1.5856e-09	6.5064e-07	-6.2878e-07	-1.89932e-08	1.19424e-08	8.7419e-10	6.3442e-07	-6.2822e-07	-7.8215e-09	1.17118e-08	5.268e-10	6.2354e-07	-6.2804e-07	-1.159e-09	1.15226e-08	3.5198e-10	6.1662e-07	-6.2726e-07	3.273e-09	1.13584e-08	1.8965e-10	6.1206e-07	-6.2682e-07
1.19	-1.0212e-07	1.1571e-08	6.4058e-09	6.815e-07	-5.9722e-07	-6.1068e-08	1.14656e-08	3.3268e-09	6.7068e-07	-6.2434e-07	-3.57522e-08	1.11594e-08	1.7484e-09	6.5114e-07	-6.2826e-07	-1.90492e-08	1.08718e-08	9.5521e-10	6.3528e-07	-6.2812e-07	-7.8467e-09	1.06474e-08	5.6837e-10	6.2462e-07	-6.2784e-07	-1.1688e-09	1.04552e-08	3.7448e-10	6.1776e-07	-6.2732e-07	3.2718e-09	1.0314e-08	1.8584e-10	6.1316e-07	-6.2698e-07
1.185	-1.0266e-07	1.06188e-08	7.1006e-09	6.8224e-07	-5.9738e-07	-6.12692e-08	1.0465e-08	3.6852e-09	6.7106e-07	-6.2386e-07	-3.5895e-08	1.01546e-08	1.9247e-09	6.5166e-07	-6.2782e-07	-1.90968e-08	9.8814e-09	1.05281e-09	6.3616e-07	-6.2796e-07	-7.8859e-09	9.6344e-09	6.1685e-10	6.252e-07	-6.2748e-07	-1.198e-09	9.4496e-09	3.9676e-10	6.1842e-07	-6.2708e-07	3.2682e-09	9.3293e-09	1.9189e-10	6.1398e-07	-6.2666e-07
1.18	-1.0328e-07	9.7718e-09	7.863e-09	6.8326e-07	-5.976e-07	-6.16816e-08	9.5398e-09	4.0681e-09	6.7126e-07	-6.2314e-07	-3.5958e-08	9.2336e-09	2.121e-09	6.5184e-07	-6.2718e-07	-1.91546e-08	8.953e-09	1.1544e-09	6.3564e-07	-6.2666e-07	-7.9199e-09	8.7429e-09	6.6794e-10	6.258e-07	-6.2734e-07	-1.223e-09	8.578e-09	4.2664e-10	6.1932e-07	-6.27e-07	3.2697e-09	8.4718e-09	1.9402e-10	6.1478e-07	-6.2664e-07
1.175	-1.0378e-07	8.9626e-09	8.7066e-09	6.839e-07	-5.9802e-07	-6.1852e-08	8.7287e-09	4.5156e-09	6.7092e-07	-6.2246e-07	-3.61576e-08	8.4179e-09	2.3483e-09	6.5198e-07	-6.2656e-07	-1.92782e-08	8.1283e-09	1.2682e-09	6.3612e-07	-6.2634e-07	-7.9643e-09	7.9355e-09	7.3271e-10	6.2626e-07	-6.2714e-07	-1.2423e-09	7.7826e-09	4.5286e-10	6.1996e-07	-6.269e-07	3.2706e-09	7.6739e-09	1.9636e-10	6.1552e-07	-6.2674e-07
1.17	-1.044e-07	8.2481e-09	9.6499e-09	6.849e-07	-5.9846e-07	-6.22832e-08	7.9951e-09	5.0012e-09	6.7136e-07	-6.2194e-07	-3.63714e-08	7.6761e-09	2.6003e-09	6.5208e-07	-6.2608e-07	-1.9357e-08	7.4166e-09	1.3953e-09	6.365e-07	-6.2588e-07	-8.0226e-09	7.2177e-09	7.9394e-10	6.268e-07	-6.2676e-07	-1.2763e-09	7.0705e-09	4.9507e-10	6.2046e-07	-6.267e-07	3.2745e-09	6.9589e-09	1.9707e-10	6.1632e-07	-6.2662e-07
1.165	-1.0514e-07	7.5974e-09	1.07235e-08	6.856e-07	-5.987e-07	-6.26772e-08	7.3267e-09	5.5554e-09	6.7152e-07	-6.2166e-07	-3.65944e-08	6.9981e-09	2.885e-09	6.5238e-07	-6.254e-07	-1.94846e-08	6.7545e-09	1.5421e-09	6.3692e-07	-6.2564e-07	-8.1106e-09	6.5682e-09	8.7837e-10	6.2718e-07	-6.2664e-07	-1.3061e-09	6.4162e-09	5.3253e-10	6.21e-07	-6.2662e-07	3.2724e-09	6.3159e-09	2.036e-10	6.1686e-07	-6.2674e-07
1.16	-1.062e-07	7.026e-09	1.18866e-08	6.8642e-07	-5.9912e-07	-6.3222e-08	6.712e-09	6.1669e-09	6.714e-07	-6.2112e-07	-3.67932e-08	6.4081e-09	3.1969e-09	6.5222e-07	-6.251e-07	-1.96344e-08	6.1535e-09	1.7085e-09	6.3732e-07	-6.2548e-07	-8.1838e-09	5.9786e-09	9.6131e-10	6.2802e-07	-6.2652e-07	-1.3397e-09	5.829e-09	5.7884e-10	6.2166e-07	-6.2664e-07	3.2749e-09	5.7325e-09	2.0191e-10	6.1736e-07	-6.2646e-07
1.155	-1.0734e-07	6.4913e-09	1.32184e-08	6.872e-07	-5.9944e-07	-6.37294e-08	6.1653e-09	6.8553e-09	6.715e-07	-6.2078e-07	-3.71378e-08	5.8739e-09	3.5581e-09	6.5246e-07	-6.247e-07	-1.98052e-08	5.617e-09	1.8883e-09	6.3728e-07	-6.2496e-07	-8.2614e-09	5.4286e-09	1.05729e-09	6.2798e-07	-6.2624e-07	-1.39e-09	5.2893e-09	6.2682e-10	6.2218e-07	-6.2674e-07	3.2774e-09	5.2049e-09	2.0919e-10	6.179e-07	-6.2664e-07
