I/V Sweep,id_vgs_P_2
RecordTime,10/27/2023 12:31:14
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,7.2231000000000006E-10,1.15408E-08,2.2575000000000002E-10,6.0456E-07,-6.1758E-07
1.195,0.8,6.1621000000000009E-10,1.04824E-08,2.2966E-10,6.0641999999999995E-07,-6.1786E-07
1.19,0.8,6.1842E-10,9.5238E-09,2.3346000000000004E-10,6.0806E-07,-6.184E-07
1.185,0.8,6.2098000000000006E-10,8.6517E-09,2.3638E-10,6.0934E-07,-6.189E-07
1.1800000000000002,0.8,6.055200000000001E-10,7.8838E-09,2.4029E-10,6.105E-07,-6.1924E-07
1.175,0.8,6.0496E-10,7.1636E-09,2.4381E-10,6.1163999999999994E-07,-6.1968E-07
1.1700000000000002,0.8,6.0609E-10,6.5311E-09,2.4970000000000003E-10,6.1252E-07,-6.1978E-07
1.165,0.8,6.1255E-10,5.9445E-09,2.5136E-10,6.1328E-07,-6.2016E-07
1.1600000000000001,0.8,5.9879000000000006E-10,5.4178E-09,2.5594E-10,6.1396E-07,-6.203E-07
1.155,0.8,6.0447000000000008E-10,4.9326E-09,2.5978E-10,6.1481999999999994E-07,-6.2062E-07
1.1500000000000001,0.8,6.0083000000000009E-10,4.5023E-09,2.6366E-10,6.1555999999999993E-07,-6.2094E-07
1.145,0.8,6.196100000000001E-10,4.1047E-09,2.6724E-10,6.1618E-07,-6.2132E-07
1.1400000000000001,0.8,6.2632000000000007E-10,3.7576E-09,2.7025E-10,6.169E-07,-6.2158E-07
1.135,0.8,6.1574000000000009E-10,3.4294999999999998E-09,2.7527E-10,6.1746E-07,-6.2172E-07
1.1300000000000001,0.8,6.164400000000001E-10,3.1445E-09,2.7682000000000003E-10,6.1778E-07,-6.2176E-07
1.125,0.8,6.2441E-10,2.8657E-09,2.8145000000000005E-10,6.1838E-07,-6.2212E-07
1.12,0.8,6.186700000000001E-10,2.6288E-09,2.8287000000000003E-10,6.1878E-07,-6.2234E-07
1.115,0.8,6.2331000000000009E-10,2.4117E-09,2.8771000000000003E-10,6.192E-07,-6.2246E-07
1.11,0.8,6.2592E-10,2.2214E-09,2.904E-10,6.1966E-07,-6.2282E-07
1.105,0.8,6.3009E-10,2.0395E-09,2.9340000000000004E-10,6.1998E-07,-6.2302E-07
1.1,0.8,6.2928E-10,1.8746E-09,2.9609E-10,6.2034E-07,-6.2306E-07
1.095,0.8,6.3739E-10,1.7228E-09,2.9939000000000004E-10,6.2056E-07,-6.2326E-07
1.09,0.8,6.3341000000000009E-10,1.5899E-09,3.0316E-10,6.208E-07,-6.233E-07
1.085,0.8,6.3278000000000006E-10,1.4668E-09,3.0635000000000003E-10,6.2102E-07,-6.2336E-07
1.08,0.8,6.3709E-10,1.3573E-09,3.0812E-10,6.2138E-07,-6.2368E-07
1.075,0.8,6.2805E-10,1.255E-09,3.1152000000000003E-10,6.2148E-07,-6.2377999999999994E-07
1.07,0.8,6.3491E-10,1.1638E-09,3.1463000000000003E-10,6.2184E-07,-6.2387999999999995E-07
1.065,0.8,6.3988000000000007E-10,1.0808E-09,3.1756000000000004E-10,6.2206E-07,-6.2415999999999995E-07
1.06,0.8,6.4572E-10,1.0071E-09,3.2076000000000004E-10,6.2224E-07,-6.2424E-07
1.0550000000000002,0.8,6.4636E-10,9.3824E-10,3.2386E-10,6.2256E-07,-6.2454E-07
1.05,0.8,6.5284000000000009E-10,8.7488000000000008E-10,3.2695000000000004E-10,6.226E-07,-6.2458E-07
1.0450000000000002,0.8,6.5411E-10,8.1852000000000009E-10,3.3009000000000005E-10,6.2275999999999995E-07,-6.2461999999999994E-07
1.04,0.8,6.6574E-10,7.6580000000000009E-10,3.3411000000000005E-10,6.2303999999999995E-07,-6.2502E-07
1.0350000000000001,0.8,6.5825000000000008E-10,7.2092E-10,3.3923000000000003E-10,6.2302E-07,-6.2514E-07
1.03,0.8,6.568300000000001E-10,6.7738000000000009E-10,3.4276E-10,6.234E-07,-6.2499999999999995E-07
1.0250000000000001,0.8,6.5134E-10,6.3777000000000006E-10,3.4713E-10,6.2358E-07,-6.2536E-07
1.02,0.8,6.4785000000000009E-10,6.0315E-10,3.5190000000000005E-10,6.237E-07,-6.2532E-07
1.0150000000000001,0.8,6.5062000000000008E-10,5.7084000000000007E-10,3.5768000000000005E-10,6.2396E-07,-6.254E-07
1.01,0.8,6.495500000000001E-10,5.4151E-10,3.6348E-10,6.24E-07,-6.2548E-07
1.0050000000000001,0.8,6.431500000000001E-10,5.1377000000000008E-10,3.7056E-10,6.2402E-07,-6.255E-07
1,0.8,6.4598000000000008E-10,4.8874E-10,3.7851E-10,6.243E-07,-6.2578E-07
0.995,0.8,6.4538E-10,4.676E-10,3.8757000000000004E-10,6.2436E-07,-6.2594E-07
