Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-7.5663e-08	2.3063e-09	2.3682e-09	3.8406e-07	-3.1284e-07	-7.46604e-08	2.3618e-09	2.3122e-09	3.8434e-07	-3.148e-07	-7.21904e-08	2.3606e-09	2.2544e-09	3.8252e-07	-3.1502e-07	-6.96752e-08	2.3418e-09	2.1408e-09	3.7976e-07	-3.1496e-07	-6.68226e-08	2.3131e-09	2.0569e-09	3.778e-07	-3.1516e-07	-6.45462e-08	2.3193e-09	1.9752e-09	3.7536e-07	-3.152e-07	-6.20686e-08	2.3019e-09	1.8486e-09	3.728e-07	-3.1516e-07	-5.98658e-08	2.2897e-09	1.7731e-09	3.7112e-07	-3.1524e-07	-5.80022e-08	2.2749e-09	1.7052e-09	3.692e-07	-3.1522e-07	-5.58646e-08	2.2607e-09	1.6253e-09	3.6704e-07	-3.152e-07	-5.36892e-08	2.2253e-09	1.5224e-09	3.6476e-07	-3.1492e-07
1.195	-7.59946e-08	2.1422e-09	2.6263e-09	3.8376e-07	-3.1278e-07	-7.42774e-08	2.1712e-09	2.5508e-09	3.8432e-07	-3.1454e-07	-7.19418e-08	2.1542e-09	2.4901e-09	3.8214e-07	-3.148e-07	-6.93378e-08	2.1497e-09	2.3705e-09	3.7976e-07	-3.148e-07	-6.70018e-08	2.1311e-09	2.2821e-09	3.776e-07	-3.1496e-07	-6.44352e-08	2.1194e-09	2.1844e-09	3.7522e-07	-3.1506e-07	-6.20874e-08	2.106e-09	2.0432e-09	3.7278e-07	-3.1508e-07	-5.99472e-08	2.0957e-09	1.9643e-09	3.708e-07	-3.1512e-07	-5.80186e-08	2.0798e-09	1.885e-09	3.691e-07	-3.1504e-07	-5.58032e-08	2.0651e-09	1.8024e-09	3.6696e-07	-3.15e-07	-5.3634e-08	2.0464e-09	1.687e-09	3.6464e-07	-3.1482e-07
1.19	-7.61974e-08	1.977e-09	2.9105e-09	3.841e-07	-3.1278e-07	-7.42896e-08	1.9991e-09	2.8314e-09	3.8392e-07	-3.1444e-07	-7.21322e-08	1.9817e-09	2.7595e-09	3.821e-07	-3.1472e-07	-6.96046e-08	1.9768e-09	2.6321e-09	3.7952e-07	-3.1466e-07	-6.68316e-08	1.9545e-09	2.5249e-09	3.7716e-07	-3.1478e-07	-6.45848e-08	1.9472e-09	2.4241e-09	3.748e-07	-3.149e-07	-6.21932e-08	1.9349e-09	2.2675e-09	3.7266e-07	-3.1484e-07	-6.01452e-08	1.9202e-09	2.1777e-09	3.711e-07	-3.1492e-07	-5.80772e-08	1.91e-09	2.091e-09	3.6904e-07	-3.1496e-07	-5.59286e-08	1.8921e-09	2.0036e-09	3.6692e-07	-3.149e-07	-5.37064e-08	1.8756e-09	1.8774e-09	3.6468e-07	-3.1472e-07
1.185	-7.62084e-08	1.8374e-09	3.2314e-09	3.8398e-07	-3.128e-07	-7.44984e-08	1.8451e-09	3.1335e-09	3.8394e-07	-3.1432e-07	-7.2336e-08	1.8395e-09	3.0616e-09	3.8198e-07	-3.146e-07	-6.96802e-08	1.8263e-09	2.9177e-09	3.7952e-07	-3.1456e-07	-6.71938e-08	1.8074e-09	2.7976e-09	3.7742e-07	-3.1468e-07	-6.46758e-08	1.7951e-09	2.6834e-09	3.7518e-07	-3.1482e-07	-6.2289e-08	1.7852e-09	2.5142e-09	3.726e-07	-3.148e-07	-6.00508e-08	1.7725e-09	2.4219e-09	3.7096e-07	-3.1472e-07	-5.8287e-08	1.76e-09	2.3128e-09	3.6904e-07	-3.1478e-07	-5.60204e-08	1.7488e-09	2.2178e-09	3.6716e-07	-3.149e-07	-5.35612e-08	1.7229e-09	2.0759e-09	3.644e-07	-3.146e-07
1.18	-7.63734e-08	1.7013e-09	3.5888e-09	3.8418e-07	-3.128e-07	-7.48672e-08	1.7065e-09	3.4677e-09	3.841e-07	-3.1418e-07	-7.24908e-08	1.706e-09	3.3916e-09	3.819e-07	-3.1444e-07	-7.00254e-08	1.6878e-09	3.2395e-09	3.7936e-07	-3.1466e-07	-6.72266e-08	1.6728e-09	3.1066e-09	3.77e-07	-3.1462e-07	-6.49498e-08	1.6643e-09	2.9769e-09	3.749e-07	-3.1472e-07	-6.25458e-08	1.6461e-09	2.7943e-09	3.7294e-07	-3.147e-07	-6.02014e-08	1.6336e-09	2.6809e-09	3.71e-07	-3.1484e-07	-5.84446e-08	1.6155e-09	2.5749e-09	3.6896e-07	-3.1468e-07	-5.5922e-08	1.6104e-09	2.4597e-09	3.6662e-07	-3.1474e-07	-5.37796e-08	1.5852e-09	2.3101e-09	3.6462e-07	-3.1454e-07
1.175	-7.6925e-08	1.5798e-09	3.9785e-09	3.8426e-07	-3.1276e-07	-7.5016e-08	1.5874e-09	3.847e-09	3.8392e-07	-3.142e-07	-7.24802e-08	1.5786e-09	3.757e-09	3.816e-07	-3.143e-07	-6.9958e-08	1.5601e-09	3.5915e-09	3.792e-07	-3.1438e-07	-6.7449e-08	1.5549e-09	3.4429e-09	3.7702e-07	-3.1444e-07	-6.48972e-08	1.5397e-09	3.3048e-09	3.7482e-07	-3.146e-07	-6.2804e-08	1.5254e-09	3.0985e-09	3.7276e-07	-3.1456e-07	-6.04724e-08	1.5161e-09	2.981e-09	3.7058e-07	-3.1462e-07	-5.83798e-08	1.5001e-09	2.8569e-09	3.6882e-07	-3.146e-07	-5.64474e-08	1.4873e-09	2.7396e-09	3.6688e-07	-3.146e-07	-5.40346e-08	1.4677e-09	2.5697e-09	3.6458e-07	-3.1454e-07
1.17	-7.71804e-08	1.474e-09	4.4203e-09	3.8392e-07	-3.1276e-07	-7.5242e-08	1.4777e-09	4.275e-09	3.8374e-07	-3.1404e-07	-7.28802e-08	1.4663e-09	4.1761e-09	3.8136e-07	-3.1426e-07	-7.05308e-08	1.4526e-09	3.9927e-09	3.7916e-07	-3.143e-07	-6.76984e-08	1.4378e-09	3.8333e-09	3.7708e-07	-3.1442e-07	-6.52638e-08	1.4288e-09	3.6723e-09	3.7436e-07	-3.1454e-07	-6.28972e-08	1.4138e-09	3.4478e-09	3.7268e-07	-3.1454e-07	-6.0642e-08	1.4033e-09	3.3167e-09	3.7056e-07	-3.1456e-07	-5.87706e-08	1.388e-09	3.1809e-09	3.6854e-07	-3.1454e-07	-5.64622e-08	1.3878e-09	3.0554e-09	3.668e-07	-3.1452e-07	-5.44442e-08	1.3578e-09	2.8549e-09	3.6466e-07	-3.1444e-07
1.165	-7.74592e-08	1.3759e-09	4.9129e-09	3.8426e-07	-3.1274e-07	-7.5652e-08	1.3826e-09	4.7502e-09	3.8372e-07	-3.14e-07	-7.33626e-08	1.3708e-09	4.6289e-09	3.8156e-07	-3.1414e-07	-7.0609e-08	1.3531e-09	4.4181e-09	3.791e-07	-3.1424e-07	-6.81376e-08	1.3412e-09	4.2545e-09	3.771e-07	-3.1432e-07	-6.54724e-08	1.3239e-09	4.0812e-09	3.7432e-07	-3.1442e-07	-6.33236e-08	1.3167e-09	3.8267e-09	3.7272e-07	-3.1448e-07	-6.09884e-08	1.3014e-09	3.6928e-09	3.7062e-07	-3.1448e-07	-5.8774e-08	1.2864e-09	3.5298e-09	3.6854e-07	-3.145e-07	-5.6627e-08	1.2832e-09	3.3907e-09	3.665e-07	-3.1452e-07	-5.47036e-08	1.2627e-09	3.1816e-09	3.6456e-07	-3.1428e-07
1.16	-7.78426e-08	1.2914e-09	5.4535e-09	3.8412e-07	-3.127e-07	-7.62604e-08	1.2809e-09	5.2769e-09	3.8358e-07	-3.1386e-07	-7.37514e-08	1.2829e-09	5.1372e-09	3.816e-07	-3.1416e-07	-7.1325e-08	1.2726e-09	4.9336e-09	3.7922e-07	-3.1414e-07	-6.86866e-08	1.2471e-09	4.7247e-09	3.77e-07	-3.1426e-07	-6.59892e-08	1.2311e-09	4.5399e-09	3.7442e-07	-3.1434e-07	-6.3737e-08	1.2266e-09	4.2631e-09	3.7246e-07	-3.1436e-07	-6.15354e-08	1.215e-09	4.0908e-09	3.7036e-07	-3.1434e-07	-5.94392e-08	1.1971e-09	3.9282e-09	3.688e-07	-3.144e-07	-5.72358e-08	1.1855e-09	3.7724e-09	3.6678e-07	-3.1444e-07	-5.4894e-08	1.1816e-09	3.5458e-09	3.6434e-07	-3.1434e-07
1.155	-7.86146e-08	1.2028e-09	6.073e-09	3.8424e-07	-3.1276e-07	-7.67136e-08	1.2073e-09	5.8622e-09	3.832e-07	-3.1384e-07	-7.39532e-08	1.1944e-09	5.7086e-09	3.811e-07	-3.1404e-07	-7.16688e-08	1.1762e-09	5.467e-09	3.7926e-07	-3.1406e-07	-6.9155e-08	1.1766e-09	5.2608e-09	3.7692e-07	-3.1422e-07	-6.63974e-08	1.1553e-09	5.0468e-09	3.7418e-07	-3.1432e-07	-6.39834e-08	1.149e-09	4.7418e-09	3.7248e-07	-3.1428e-07	-6.1719e-08	1.1331e-09	4.563e-09	3.7066e-07	-3.1456e-07	-5.96714e-08	1.1183e-09	4.362e-09	3.6882e-07	-3.144e-07	-5.73302e-08	1.1094e-09	4.1997e-09	3.6668e-07	-3.144e-07	-5.50342e-08	1.0881e-09	3.9501e-09	3.6422e-07	-3.1426e-07
