Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
1.2	-9.26914e-08	6.3814e-09	-2.816e-11	3.9878e-07	-3.1234e-07	-5.00058e-08	5.1295e-09	-4.656e-11	3.6062e-07	-3.1604e-07	-2.61818e-08	4.0765e-09	-5.767e-11	3.375e-07	-3.1562e-07	-1.28844e-08	3.3303e-09	-6.522e-11	3.2466e-07	-3.1504e-07	-5.7368e-09	2.7379e-09	-7.425e-11	3.171e-07	-3.1398e-07	-1.9282e-09	2.3574e-09	-7.908e-11	3.1334e-07	-3.136e-07	3.2065e-10	2.0864e-09	-9.148e-11	3.1068e-07	-3.1298e-07
1.195	-9.2207e-08	6.1309e-09	-2.233e-11	3.9838e-07	-3.1234e-07	-4.93682e-08	4.865e-09	-3.938e-11	3.601e-07	-3.157e-07	-2.58384e-08	3.8266e-09	-5.22e-11	3.3758e-07	-3.154e-07	-1.28036e-08	3.0949e-09	-6.17e-11	3.2474e-07	-3.1492e-07	-5.6883e-09	2.5383e-09	-6.716e-11	3.1718e-07	-3.1396e-07	-1.9274e-09	2.154e-09	-7.882e-11	3.1352e-07	-3.1354e-07	3.1211e-10	1.8973e-09	-8.277e-11	3.1086e-07	-3.129e-07
1.19	-9.14892e-08	5.9133e-09	-1.934e-11	3.9812e-07	-3.1234e-07	-4.89416e-08	4.6433e-09	-3.732e-11	3.5982e-07	-3.1544e-07	-2.578e-08	3.6281e-09	-4.396e-11	3.3744e-07	-3.152e-07	-1.26718e-08	2.9011e-09	-5.708e-11	3.2488e-07	-3.1474e-07	-5.6617e-09	2.3555e-09	-6.413e-11	3.1732e-07	-3.1388e-07	-1.9028e-09	1.9769e-09	-7.254e-11	3.1354e-07	-3.1356e-07	3.2214e-10	1.7274e-09	-8.38e-11	3.1126e-07	-3.1284e-07
1.185	-9.08002e-08	5.7191e-09	-1.674e-11	3.9746e-07	-3.1228e-07	-4.87202e-08	4.4512e-09	-2.904e-11	3.5956e-07	-3.1516e-07	-2.56858e-08	3.4436e-09	-4.463e-11	3.3736e-07	-3.1506e-07	-1.2668e-08	2.7267e-09	-5.055e-11	3.2464e-07	-3.1456e-07	-5.6541e-09	2.1865e-09	-6.324e-11	3.174e-07	-3.1384e-07	-1.8956e-09	1.8187e-09	-6.444e-11	3.1366e-07	-3.1342e-07	3.1649e-10	1.5756e-09	-8.181e-11	3.1116e-07	-3.129e-07
1.18	-9.02324e-08	5.5385e-09	-5.5e-12	3.97e-07	-3.1228e-07	-4.85206e-08	4.2632e-09	-2.538e-11	3.5944e-07	-3.1498e-07	-2.55736e-08	3.2749e-09	-3.513e-11	3.3734e-07	-3.1492e-07	-1.26582e-08	2.5691e-09	-4.655e-11	3.2464e-07	-3.1446e-07	-5.6273e-09	2.0439e-09	-5.13e-11	3.1744e-07	-3.1378e-07	-1.8758e-09	1.6762e-09	-6.114e-11	3.1378e-07	-3.1348e-07	3.4123e-10	1.444e-09	-7.13e-11	3.1122e-07	-3.1296e-07
1.175	-8.95288e-08	5.3697e-09	6e-14	3.9666e-07	-3.1228e-07	-4.8276e-08	4.105e-09	-1.81e-11	3.5912e-07	-3.1484e-07	-2.55352e-08	3.1233e-09	-3.123e-11	3.3726e-07	-3.1478e-07	-1.26204e-08	2.4282e-09	-3.982e-11	3.247e-07	-3.1438e-07	-5.6067e-09	1.9079e-09	-4.907e-11	3.1756e-07	-3.1374e-07	-1.8706e-09	1.5451e-09	-6.162e-11	3.1372e-07	-3.1344e-07	3.3448e-10	1.3172e-09	-7.136e-11	3.1134e-07	-3.1294e-07
1.17	-8.8822e-08	5.2038e-09	5.44e-12	3.9622e-07	-3.1234e-07	-4.81032e-08	3.9509e-09	-1.17e-11	3.5866e-07	-3.1444e-07	-2.543e-08	2.9813e-09	-2.606e-11	3.3708e-07	-3.1464e-07	-1.26292e-08	2.2943e-09	-3.704e-11	3.2466e-07	-3.1436e-07	-5.5804e-09	1.7844e-09	-4.822e-11	3.1752e-07	-3.1366e-07	-1.8559e-09	1.4253e-09	-5.275e-11	3.139e-07	-3.1344e-07	3.3838e-10	1.2084e-09	-6.928e-11	3.1144e-07	-3.1286e-07
1.165	-8.84024e-08	5.0586e-09	1e-11	3.9562e-07	-3.1224e-07	-4.79436e-08	3.8123e-09	-3.72e-12	3.5878e-07	-3.1448e-07	-2.53352e-08	2.854e-09	-1.922e-11	3.3714e-07	-3.145e-07	-1.2589e-08	2.1755e-09	-3.365e-11	3.2464e-07	-3.1418e-07	-5.5628e-09	1.6693e-09	-4.257e-11	3.176e-07	-3.137e-07	-1.8488e-09	1.3157e-09	-4.922e-11	3.1396e-07	-3.1336e-07	3.5068e-10	1.1049e-09	-6.589e-11	3.1158e-07	-3.1288e-07
1.16	-8.78582e-08	4.9223e-09	1.959e-11	3.9518e-07	-3.1226e-07	-4.77856e-08	3.6825e-09	4.9e-13	3.585e-07	-3.1438e-07	-2.52908e-08	2.7311e-09	-1.333e-11	3.3706e-07	-3.145e-07	-1.25324e-08	2.0621e-09	-2.833e-11	3.2464e-07	-3.1416e-07	-5.5371e-09	1.5677e-09	-3.07e-11	3.1774e-07	-3.1358e-07	-1.8382e-09	1.2172e-09	-4.67e-11	3.1408e-07	-3.1336e-07	3.5015e-10	1.0135e-09	-5.683e-11	3.1158e-07	-3.13e-07
1.155	-8.73334e-08	4.7954e-09	2.249e-11	3.948e-07	-3.1224e-07	-4.75286e-08	3.558e-09	3.64e-12	3.5816e-07	-3.1432e-07	-2.52732e-08	2.6272e-09	-7.14e-12	3.3702e-07	-3.1432e-07	-1.25056e-08	1.9618e-09	-1.844e-11	3.2468e-07	-3.1406e-07	-5.5168e-09	1.4739e-09	-3.149e-11	3.1768e-07	-3.1356e-07	-1.8292e-09	1.1298e-09	-4.191e-11	3.1404e-07	-3.1332e-07	3.6724e-10	9.309e-10	-5.146e-11	3.1178e-07	-3.1284e-07
