|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	5.20000000000018e-08	-5.60000000000012e-08	5.36000000000016e-07	5.28000000000017e-07	2.87999999999994e-07	-2.04000000000003e-07	-6.36000000000015e-07	5.48000000000019e-07	7.08000000000034e-07	2.91600000000007e-06
-0.295	1.59999999999998e-08	-4.96666666666658e-08	2.79000000000004e-07	2.89000000000008e-07	2.49333333333326e-07	3.33333333333635e-09	-3.54000000000001e-07	2.03000000000004e-07	7.16000000000013e-07	1.97133333333334e-06
-0.29	1.68000000000001e-08	-1.21999999999997e-08	1.40000000000002e-07	1.74000000000005e-07	1.77199999999996e-07	2.5600000000001e-08	-2.62800000000001e-07	-8.19999999999986e-08	3.42200000000008e-07	1.339e-06
-0.285	-8.60000000000007e-09	3.01999999999999e-08	6.1799999999999e-08	1.21000000000001e-07	1.25799999999998e-07	1.04000000000016e-08	-3.57999999999978e-08	2.3599999999998e-08	1.444e-07	8.39199999999991e-07
-0.28	-9.19999999999984e-09	2.85999999999996e-08	-2.60000000000028e-09	1.29800000000002e-07	1.15800000000001e-07	-4.58e-08	1.46000000000001e-07	-1.66000000000018e-08	4.99999999999927e-09	4.84599999999999e-07
-0.275	1.2000000000003e-09	4.33999999999994e-08	-1.71999999999999e-08	1.132e-07	1.24000000000001e-07	-9.64000000000023e-08	1.60600000000001e-07	4.13999999999982e-08	-2.20799999999999e-07	3.978e-07
-0.27	-9.79999999999999e-09	4.33999999999994e-08	-1.53999999999994e-08	5.49999999999988e-08	9.64000000000002e-08	-1.58000000000021e-08	2.012e-07	2.894e-07	-3.632e-07	4.66800000000001e-07
-0.265	-3.22000000000002e-08	-3.46e-08	-5.09999999999995e-08	1.81999999999984e-08	5.40000000000008e-08	4.60000000000002e-08	2.87e-07	2.92200000000001e-07	-2.29200000000001e-07	5.344e-07
-0.26	-4.58e-08	-5.77999999999993e-08	-9.31999999999997e-08	2.09999999999984e-08	3.16000000000009e-08	-1.79999999999996e-09	2.556e-07	9.98000000000009e-08	-2.20000000000038e-09	5.17599999999999e-07
-0.255	-4.53999999999998e-08	5.80000000000074e-09	-6.57999999999999e-08	1.33999999999993e-08	-3.65999999999991e-08	4.21999999999991e-08	1.74999999999999e-07	-1.63999999999985e-08	1.17e-07	4.78599999999999e-07
-0.25	-2.29999999999999e-08	-7.99999999999862e-10	-1.40000000000005e-08	3.38000000000002e-08	-9.47999999999984e-08	8.01999999999998e-08	1.57599999999999e-07	-1.49999999999997e-07	1.21799999999999e-07	4.63599999999999e-07
-0.245	4.20000000000026e-09	-3.66000000000002e-08	1.55999999999991e-08	1.12000000000001e-07	-7.31999999999993e-08	-3.88000000000006e-08	1.20199999999998e-07	-2.53999999999998e-07	7.79999999999993e-08	3.91999999999998e-07
-0.24	2.54000000000005e-08	-2.59999999999998e-08	9.01999999999995e-08	1.50400000000002e-07	-5.86000000000018e-08	-6.88000000000017e-08	1.75999999999987e-08	-2.25199999999999e-07	6.48000000000002e-08	3.146e-07
-0.235	4.66e-08	-5.58000000000002e-08	1.28200000000001e-07	7.04000000000009e-08	-4.52000000000026e-08	-4.28000000000026e-08	-1.00400000000001e-07	-1.43599999999997e-07	4.0000000000004e-08	3.86600000000004e-07
-0.23	4.49999999999995e-08	-9.76000000000004e-08	2.78000000000014e-08	-2.1800000000002e-08	1.61999999999982e-08	-1.74200000000001e-07	-2.23000000000001e-07	-1.17999999999984e-08	-1.19999999999604e-09	5.54600000000002e-07
-0.225	2.79999999999995e-08	-7.44000000000006e-08	-5.81999999999982e-08	-2.36000000000029e-08	5.31999999999977e-08	-2.26400000000001e-07	-1.812e-07	1.15000000000001e-07	5.00000000000038e-08	6.38000000000002e-07
-0.22	9.39999999999963e-09	-2.30000000000006e-08	-2.89999999999979e-08	1.01999999999983e-08	-4.60000000000209e-09	-8.32000000000007e-08	-2.5199999999999e-08	1.56600000000002e-07	1.67800000000004e-07	7.08400000000002e-07
-0.215	8.79999999999922e-09	2.29999999999996e-08	-1.15999999999983e-08	2.31999999999993e-08	-2.02000000000007e-08	1.63999999999999e-08	-2.40000000000008e-08	1.35200000000002e-07	1.20200000000004e-07	8.31800000000002e-07
-0.21	3.21999999999994e-08	6.71999999999999e-08	8.80000000000044e-09	1.08000000000006e-08	4.37999999999999e-08	1.14800000000001e-07	-5.74000000000015e-08	-2.17999999999993e-08	-5.35999999999993e-08	8.048e-07
-0.205	3.86000000000001e-08	8.21999999999994e-08	9.87999999999997e-08	1.3000000000001e-08	7.35999999999998e-08	3.202e-07	-1.40000000000159e-09	-1.68799999999999e-07	-8.61999999999992e-08	5.48000000000002e-07
-0.2	3.50000000000002e-08	7.55999999999999e-08	1.31799999999999e-07	-2.19999999999995e-08	9.16000000000001e-08	3.698e-07	-4.62000000000015e-08	-5.28000000000005e-08	6.19999999999962e-09	2.69000000000001e-07
-0.195	4.28000000000001e-08	7.26000000000002e-08	4.63999999999986e-08	-1.106e-07	1.01400000000001e-07	1.866e-07	-1.26400000000001e-07	1.00599999999999e-07	4.53999999999985e-08	9.70000000000009e-08
-0.19	2.64e-08	4.95999999999996e-08	-2.18000000000014e-08	-1.13200000000001e-07	1.26000000000016e-08	6.23999999999987e-08	-5.52000000000001e-08	7.38e-08	1.79999999999884e-09	-2.59999999999988e-08
-0.185	-1.00000000000002e-08	1.51999999999997e-08	-3.60000000000011e-08	-1.82000000000016e-08	-1.53999999999998e-07	8.23999999999991e-08	1.60000000000012e-08	1.052e-07	-7.30000000000012e-08	-7.68000000000002e-08
-0.18	-3.78000000000005e-08	-1.99999999999697e-10	-6.70000000000002e-08	2.55999999999994e-08	-2.37599999999998e-07	-7.79999999999932e-09	8.00000000000907e-10	1.94799999999999e-07	-1.12800000000001e-07	6.31999999999985e-08
-0.175	-7.16000000000004e-08	-9.79999999999999e-09	-5.71999999999992e-08	2.30000000000007e-08	-2.63399999999999e-07	-1.94799999999998e-07	-3.05999999999997e-08	1.03800000000001e-07	-5.01999999999997e-08	2.36199999999999e-07
-0.17	-9.02e-08	4.79999999999961e-09	-8.79999999999885e-09	5.3200000000001e-08	-2.37399999999999e-07	-2.12999999999998e-07	-5.21999999999998e-08	-3.35999999999989e-08	9.19999999999982e-09	2.30199999999999e-07
-0.165	-6.79999999999995e-08	4.05999999999994e-08	-4.37999999999988e-08	4.40000000000012e-08	-1.008e-07	-1.61799999999998e-07	-5.66000000000006e-08	-1.94000000000008e-08	-3.40000000000069e-09	1.94e-07
-0.16	-3.69999999999993e-08	2.65999999999994e-08	-1.11199999999999e-07	-4.6799999999999e-08	2.85999999999985e-08	-1.75799999999999e-07	-8.24000000000012e-08	5.95999999999987e-08	7.35999999999998e-08	2.03599999999999e-07
