vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-6.4776e-06	-8.3e-13	6.6317e-06	7.1462e-07	-6.2954e-07	-7.1052e-06	-3.67e-12	6.9528e-06	7.2758e-07	-6.4078e-07	-7.2302e-06	3.48e-12	7.0344e-06	7.31e-07	-6.438e-07	-7.2132e-06	-1.66e-12	7.126e-06	7.3292e-07	-6.4612e-07	-7.4164e-06	-4.79e-12	7.2609e-06	7.346e-07	-6.4764e-07	-7.3235e-06	1.02e-12	7.1657e-06	7.3584e-07	-6.4908e-07	-7.4003e-06	-3e-13	7.0519e-06	7.3704e-07	-6.5028e-07
0.005	-6.4452e-06	-1.45e-12	6.4282e-06	7.1438e-07	-6.299e-07	-6.9249e-06	2.17e-12	6.739e-06	7.2626e-07	-6.4088e-07	-7.0037e-06	3.7e-13	6.9159e-06	7.2964e-07	-6.4386e-07	-7.0892e-06	3.6e-12	7.0306e-06	7.3174e-07	-6.463e-07	-7.2242e-06	-3.6e-12	7.0862e-06	7.3324e-07	-6.477e-07	-7.1343e-06	-1.96e-12	7.0211e-06	7.3454e-07	-6.49e-07	-7.0157e-06	9.6e-13	6.9021e-06	7.3596e-07	-6.5044e-07
0.01	-6.3428e-06	-4.06e-12	6.3395e-06	7.135e-07	-6.3032e-07	-6.6593e-06	4.09e-12	6.7592e-06	7.2486e-07	-6.409e-07	-6.8633e-06	-5.87e-12	6.8031e-06	7.2842e-07	-6.44e-07	-6.9512e-06	-7.3e-13	6.8877e-06	7.3054e-07	-6.4616e-07	-7.0229e-06	1.28e-12	6.8948e-06	7.3202e-07	-6.4768e-07	-6.949e-06	-3.47e-12	6.845e-06	7.3334e-07	-6.4904e-07	-6.8172e-06	4.08e-12	6.8709e-06	7.3476e-07	-6.5028e-07
0.015	-6.2919e-06	1.61e-12	6.0486e-06	7.1236e-07	-6.302e-07	-6.7226e-06	-5.78e-12	6.5187e-06	7.2362e-07	-6.409e-07	-6.7647e-06	2.66e-12	6.6349e-06	7.2706e-07	-6.4394e-07	-6.8763e-06	-2.95e-12	6.6266e-06	7.2916e-07	-6.4624e-07	-6.8627e-06	2.25e-12	6.709e-06	7.3062e-07	-6.4768e-07	-6.8204e-06	2.4e-12	6.6819e-06	7.3204e-07	-6.4918e-07	-6.7422e-06	-2.34e-12	6.6731e-06	7.332e-07	-6.5034e-07
0.02	-6.082e-06	-5.7e-13	5.8549e-06	7.112e-07	-6.3044e-07	-6.4872e-06	-4.44e-12	6.3755e-06	7.2246e-07	-6.4086e-07	-6.6159e-06	3.95e-12	6.3966e-06	7.2586e-07	-6.4414e-07	-6.5895e-06	4.85e-12	6.5098e-06	7.28e-07	-6.4614e-07	-6.6131e-06	-1.88e-12	6.5767e-06	7.2942e-07	-6.4774e-07	-6.6112e-06	6.1e-13	6.4751e-06	7.3056e-07	-6.4918e-07	-6.6053e-06	-4.76e-12	6.4868e-06	7.3192e-07	-6.5024e-07
0.025	-5.8105e-06	-1.38e-12	5.8356e-06	7.1024e-07	-6.3064e-07	-6.4314e-06	2.39e-12	6.0683e-06	7.2138e-07	-6.4106e-07	-6.3734e-06	-2.53e-12	6.2624e-06	7.2444e-07	-6.4406e-07	-6.53e-06	1.98e-12	6.4104e-06	7.2676e-07	-6.4626e-07	-6.4938e-06	7.6e-13	6.4628e-06	7.281e-07	-6.4786e-07	-6.4749e-06	-1.01e-12	6.3596e-06	7.2936e-07	-6.4912e-07	-6.4345e-06	2.19e-12	6.2829e-06	7.3058e-07	-6.5032e-07
0.03	-5.776e-06	-2.22e-12	5.7487e-06	7.0906e-07	-6.3094e-07	-6.0518e-06	4.43e-12	6.0231e-06	7.2004e-07	-6.4114e-07	-6.2138e-06	3e-13	6.2302e-06	7.2338e-07	-6.4408e-07	-6.3378e-06	-4.86e-12	6.2603e-06	7.2538e-07	-6.4624e-07	-6.4346e-06	3.97e-12	6.3324e-06	7.2712e-07	-6.4776e-07	-6.3004e-06	2.61e-12	6.2506e-06	7.282e-07	-6.4924e-07	-6.2506e-06	5.13e-12	6.1895e-06	7.2948e-07	-6.5042e-07
0.035	-5.7899e-06	-6.6e-13	5.3993e-06	7.081e-07	-6.3118e-07	-6.1487e-06	-5.61e-12	5.7831e-06	7.1882e-07	-6.4122e-07	-6.1451e-06	3e-12	6.0421e-06	7.221e-07	-6.4414e-07	-6.2048e-06	1.35e-12	6.0375e-06	7.2418e-07	-6.4628e-07	-6.2026e-06	-4.66e-12	6.0772e-06	7.2568e-07	-6.4778e-07	-6.1862e-06	-2.56e-12	6.099e-06	7.2692e-07	-6.4924e-07	-6.1236e-06	-4.19e-12	6.0757e-06	7.282e-07	-6.504e-07
0.04	-5.5039e-06	1.8e-13	5.2567e-06	7.0718e-07	-6.314e-07	-5.723e-06	5.5e-12	5.7929e-06	7.178e-07	-6.4118e-07	-6.0242e-06	-1.42e-12	5.8259e-06	7.2092e-07	-6.4414e-07	-5.9744e-06	7.12e-12	5.8615e-06	7.2296e-07	-6.4638e-07	-6.029e-06	-8.5e-13	5.9167e-06	7.2456e-07	-6.4798e-07	-6.0515e-06	-2.72e-12	5.8764e-06	7.258e-07	-6.4922e-07	-6.0141e-06	-4.03e-12	5.8553e-06	7.271e-07	-6.5042e-07
0.045	-5.235e-06	2.41e-12	5.4087e-06	7.0628e-07	-6.3146e-07	-5.6988e-06	3.34e-12	5.766e-06	7.1646e-07	-6.4116e-07	-5.7993e-06	2.9e-13	5.7265e-06	7.1992e-07	-6.4428e-07	-5.8389e-06	-2.77e-12	5.7964e-06	7.2204e-07	-6.4636e-07	-5.8879e-06	5.86e-12	5.7884e-06	7.2344e-07	-6.4794e-07	-5.8553e-06	5.16e-12	5.7685e-06	7.2468e-07	-6.4918e-07	-5.8643e-06	6.38e-12	5.6992e-06	7.258e-07	-6.505e-07
