I/V Sweep,id_vgs_P_2
RecordTime,11/13/2023 09:50:31
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,-7.0154E-07,4.5000000000000005E-13,7.206E-07,6.3314E-07,-6.344E-07
1.195,0.8,-7.1612E-07,2.6100000000000004E-12,7.1962E-07,6.3408E-07,-6.3498E-07
1.19,0.8,-7.1486E-07,-2.46E-12,7.1438E-07,6.3479999999999994E-07,-6.3542E-07
1.185,0.8,-7.2028E-07,4.88E-12,7.1974E-07,6.3524E-07,-6.3602E-07
1.1800000000000002,0.8,-7.1886E-07,-4.7E-13,7.1808E-07,6.355E-07,-6.3618E-07
1.175,0.8,-7.2374E-07,-3.85E-12,7.2405999999999993E-07,6.3591999999999994E-07,-6.3657999999999995E-07
1.1700000000000002,0.8,-7.2374E-07,4.03E-12,7.2582E-07,6.3624E-07,-6.3688E-07
1.165,0.8,-7.2588E-07,-2.03E-12,7.2954E-07,6.3646E-07,-6.3724E-07
1.1600000000000001,0.8,-7.304E-07,3.7E-12,7.34E-07,6.3678E-07,-6.375E-07
1.155,0.8,-7.3428E-07,1.12E-12,7.3482E-07,6.3698E-07,-6.3769999999999995E-07
1.1500000000000001,0.8,-7.3622E-07,-5.8300000000000008E-12,7.3608E-07,6.3706E-07,-6.379E-07
1.145,0.8,-7.3512E-07,4.99E-12,7.3756E-07,6.3752E-07,-6.3812E-07
1.1400000000000001,0.8,-7.385E-07,-1.2000000000000001E-12,7.3946E-07,6.3752E-07,-6.3843999999999994E-07
1.135,0.8,-7.4014E-07,6.2000000000000008E-13,7.3782E-07,6.3769999999999995E-07,-6.3853999999999995E-07
1.1300000000000001,0.8,-7.4138E-07,1.1100000000000001E-12,7.4322E-07,6.381E-07,-6.3866E-07
1.125,0.8,-7.4374E-07,-5.9E-12,7.4558E-07,6.3825999999999995E-07,-6.3884E-07
1.12,0.8,-7.5164E-07,5.8E-12,7.5286E-07,6.3832E-07,-6.389E-07
