vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
1.2	-7.0154e-07	4.5e-13	7.206e-07	6.3314e-07	-6.344e-07	-8.012e-07	-8.5e-13	8.0156e-07	6.4914e-07	-6.5e-07	-7.7566e-07	-4.49e-12	7.7228e-07	6.5244e-07	-6.5368e-07	-7.3074e-07	5.58e-12	7.2776e-07	6.543e-07	-6.5566e-07	-6.6976e-07	-5.36e-12	6.6786e-07	6.5556e-07	-6.5744e-07	-6.0072e-07	-9e-13	6.0552e-07	6.5686e-07	-6.5882e-07	-5.25e-07	-1.58e-12	5.303e-07	6.576e-07	-6.5974e-07	-4.3768e-07	-2.85e-12	4.427e-07	6.5846e-07	-6.6102e-07	-3.2246e-07	3.87e-12	3.2448e-07	6.5916e-07	-6.6188e-07	-1.8206e-07	6.79e-12	1.853e-07	6.5944e-07	-6.6268e-07	-1.53444e-08	2.8e-12	1.87754e-08	6.5976e-07	-6.6328e-07
1.195	-7.1612e-07	2.61e-12	7.1962e-07	6.3408e-07	-6.3498e-07	-8.0474e-07	-5.13e-12	8.0574e-07	6.4934e-07	-6.5002e-07	-7.784e-07	8e-13	7.7958e-07	6.5252e-07	-6.536e-07	-7.2756e-07	-8.2e-13	7.328e-07	6.5418e-07	-6.5562e-07	-6.6874e-07	5.96e-12	6.7184e-07	6.5558e-07	-6.5728e-07	-6.0216e-07	-1.17e-12	6.0546e-07	6.569e-07	-6.5898e-07	-5.2764e-07	6.7e-13	5.2858e-07	6.576e-07	-6.5984e-07	-4.4036e-07	1.38e-12	4.4346e-07	6.5828e-07	-6.6072e-07	-3.2218e-07	-3.96e-12	3.2468e-07	6.5912e-07	-6.6184e-07	-1.8232e-07	-4.58e-12	1.8646e-07	6.5952e-07	-6.6254e-07	-1.54006e-08	2.2e-13	1.88538e-08	6.5968e-07	-6.6324e-07
1.19	-7.1486e-07	-2.46e-12	7.1438e-07	6.348e-07	-6.3542e-07	-8.0908e-07	7.05e-12	8.0724e-07	6.4912e-07	-6.5006e-07	-7.7968e-07	5.11e-12	7.7602e-07	6.5256e-07	-6.5382e-07	-7.301e-07	-3.89e-12	7.291e-07	6.5412e-07	-6.5554e-07	-6.7e-07	6e-14	6.7246e-07	6.5558e-07	-6.5722e-07	-6.0372e-07	6.39e-12	6.0726e-07	6.5694e-07	-6.5888e-07	-5.2628e-07	6.56e-12	5.2832e-07	6.5756e-07	-6.599e-07	-4.39e-07	4.3e-13	4.4142e-07	6.5834e-07	-6.6114e-07	-3.2238e-07	2.57e-12	3.2448e-07	6.5904e-07	-6.6186e-07	-1.82e-07	4.4e-13	1.855e-07	6.5946e-07	-6.624e-07	-1.53496e-08	2.63e-12	1.87924e-08	6.597e-07	-6.6328e-07
1.185	-7.2028e-07	4.88e-12	7.1974e-07	6.3524e-07	-6.3602e-07	-8.107e-07	-1.94e-12	8.0968e-07	6.4924e-07	-6.5014e-07	-7.661e-07	-2.78e-12	7.6782e-07	6.5256e-07	-6.5376e-07	-7.2668e-07	3.45e-12	7.2722e-07	6.5436e-07	-6.5566e-07	-6.7458e-07	2.07e-12	6.7328e-07	6.5564e-07	-6.5732e-07	-6.0248e-07	-4.91e-12	6.0712e-07	6.569e-07	-6.5874e-07	-5.2658e-07	-6.39e-12	5.2834e-07	6.5772e-07	-6.5988e-07	-4.3838e-07	-4.34e-12	4.412e-07	6.585e-07	-6.6094e-07	-3.2104e-07	-9.3e-13	3.231e-07	6.591e-07	-6.6182e-07	-1.8184e-07	5.4e-13	1.8542e-07	6.594e-07	-6.625e-07	-1.5298e-08	-5e-14	1.86878e-08	6.5986e-07	-6.6326e-07
1.18	-7.1886e-07	-4.7e-13	7.1808e-07	6.355e-07	-6.3618e-07	-8.0558e-07	1.99e-12	8.0628e-07	6.4928e-07	-6.5024e-07	-7.6918e-07	3.3e-12	7.7008e-07	6.5258e-07	-6.5398e-07	-7.2692e-07	-2.59e-12	7.3256e-07	6.543e-07	-6.5562e-07	-6.6976e-07	1.51e-12	6.7072e-07	6.5582e-07	-6.575e-07	-6.0522e-07	6.2e-13	6.0708e-07	6.569e-07	-6.5894e-07	-5.269e-07	3.95e-12	5.2848e-07	6.5772e-07	-6.5986e-07	-4.3782e-07	6.81e-12	4.3972e-07	6.584e-07	-6.6086e-07	-3.2238e-07	1.82e-12	3.2528e-07	6.5862e-07	-6.6148e-07	-1.8306e-07	-1.4e-12	1.864e-07	6.5936e-07	-6.625e-07	-1.52798e-08	-9.1e-13	1.86568e-08	6.5986e-07	-6.6332e-07
1.175	-7.2374e-07	-3.85e-12	7.2406e-07	6.3592e-07	-6.3658e-07	-8.03e-07	-3.8e-13	8.0164e-07	6.4918e-07	-6.4996e-07	-7.7902e-07	-2.89e-12	7.7802e-07	6.525e-07	-6.537e-07	-7.2888e-07	3.74e-12	7.3138e-07	6.5422e-07	-6.5566e-07	-6.7158e-07	-5.43e-12	6.731e-07	6.5554e-07	-6.5732e-07	-6.0192e-07	1.44e-12	6.0596e-07	6.5694e-07	-6.5882e-07	-5.2646e-07	-1.14e-12	5.2852e-07	6.5774e-07	-6.5994e-07	-4.3998e-07	-8.7e-13	4.4518e-07	6.584e-07	-6.6084e-07	-3.2394e-07	2.79e-12	3.2536e-07	6.5896e-07	-6.6178e-07	-1.8092e-07	6.69e-12	1.8464e-07	6.5938e-07	-6.6258e-07	-1.5185e-08	1.1e-12	1.87084e-08	6.5984e-07	-6.6322e-07
1.17	-7.2374e-07	4.03e-12	7.2582e-07	6.3624e-07	-6.3688e-07	-8.0766e-07	-2.46e-12	8.0856e-07	6.4912e-07	-6.5008e-07	-7.7778e-07	9e-14	7.799e-07	6.525e-07	-6.5364e-07	-7.347e-07	-2.1e-13	7.3546e-07	6.5404e-07	-6.556e-07	-6.6716e-07	5.72e-12	6.7194e-07	6.558e-07	-6.575e-07	-6.064e-07	-1.52e-12	6.0958e-07	6.5694e-07	-6.588e-07	-5.3228e-07	1.9e-12	5.351e-07	6.5768e-07	-6.599e-07	-4.3912e-07	-1.58e-12	4.4298e-07	6.584e-07	-6.6084e-07	-3.226e-07	-5.5e-12	3.2408e-07	6.5906e-07	-6.621e-07	-1.8248e-07	-3.58e-12	1.8562e-07	6.5934e-07	-6.6242e-07	-1.5434e-08	4.97e-12	1.8819e-08	6.5976e-07	-6.6328e-07
1.165	-7.2588e-07	-2.03e-12	7.2954e-07	6.3646e-07	-6.3724e-07	-8.0194e-07	6.73e-12	7.9864e-07	6.4924e-07	-6.5018e-07	-7.759e-07	6.88e-12	7.7544e-07	6.525e-07	-6.5376e-07	-7.3228e-07	-3.49e-12	7.3516e-07	6.5398e-07	-6.5554e-07	-6.6676e-07	-5.1e-13	6.6968e-07	6.5582e-07	-6.5724e-07	-6.0562e-07	5.45e-12	6.085e-07	6.5684e-07	-6.5884e-07	-5.2852e-07	1.4e-12	5.3e-07	6.5764e-07	-6.5988e-07	-4.3892e-07	2e-13	4.4096e-07	6.5828e-07	-6.6066e-07	-3.2292e-07	4.23e-12	3.2536e-07	6.5918e-07	-6.619e-07	-1.819e-07	2.2e-13	1.8536e-07	6.594e-07	-6.6254e-07	-1.53164e-08	4.15e-12	1.88522e-08	6.5974e-07	-6.6308e-07
1.16	-7.304e-07	3.7e-12	7.34e-07	6.3678e-07	-6.375e-07	-7.9998e-07	-4.56e-12	7.9974e-07	6.493e-07	-6.5026e-07	-7.7842e-07	-5.63e-12	7.8024e-07	6.5246e-07	-6.5364e-07	-7.3124e-07	5.74e-12	7.3306e-07	6.5406e-07	-6.5544e-07	-6.73e-07	-2.67e-12	6.737e-07	6.557e-07	-6.5746e-07	-6.0684e-07	-4.66e-12	6.0976e-07	6.569e-07	-6.587e-07	-5.2878e-07	-4.92e-12	5.3202e-07	6.5758e-07	-6.599e-07	-4.3806e-07	-3.24e-12	4.4196e-07	6.5818e-07	-6.6068e-07	-3.2388e-07	-9e-14	3.254e-07	6.5906e-07	-6.6192e-07	-1.82e-07	1.74e-12	1.8552e-07	6.5938e-07	-6.6252e-07	-1.52456e-08	3.98e-12	1.88136e-08	6.5962e-07	-6.6318e-07
1.155	-7.3428e-07	1.12e-12	7.3482e-07	6.3698e-07	-6.377e-07	-7.9784e-07	7.5e-13	8.0272e-07	6.4926e-07	-6.5026e-07	-7.7726e-07	7e-13	7.7652e-07	6.5252e-07	-6.537e-07	-7.3574e-07	-1.04e-12	7.3474e-07	6.5414e-07	-6.5556e-07	-6.7458e-07	3.34e-12	6.7508e-07	6.5564e-07	-6.575e-07	-6.0424e-07	3.6e-13	6.0474e-07	6.5678e-07	-6.5886e-07	-5.2576e-07	4.53e-12	5.268e-07	6.5776e-07	-6.5994e-07	-4.37e-07	5.49e-12	4.4146e-07	6.5832e-07	-6.6094e-07	-3.205e-07	8.5e-13	3.2224e-07	6.5902e-07	-6.6192e-07	-1.8186e-07	-2.29e-12	1.8464e-07	6.5954e-07	-6.6242e-07	-1.53164e-08	1.5e-12	1.87016e-08	6.5984e-07	-6.6324e-07
