Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
-0.3	2.689e-11	-6.519e-11	2.38e-11	3.5974e-07	-3.5966e-07	3.2977e-10	-1.177e-10	2.347e-11	3.5984e-07	-3.6002e-07	8.6305e-10	-2.1485e-10	2.371e-11	3.5958e-07	-3.6014e-07	1.8122e-09	-3.8843e-10	2.498e-11	3.5972e-07	-3.6114e-07	3.5793e-09	-6.5519e-10	2.53e-11	3.6006e-07	-3.6304e-07	6.5858e-09	-1.0402e-09	2.4e-11	3.6002e-07	-3.6552e-07	1.16438e-08	-1.5594e-09	2.103e-11	3.6022e-07	-3.701e-07
-0.295	2.61e-11	-6.18e-11	2.512e-11	3.598e-07	-3.5974e-07	3.0884e-10	-1.0987e-10	2.37e-11	3.597e-07	-3.6004e-07	7.9956e-10	-2.0929e-10	2.128e-11	3.5958e-07	-3.6008e-07	1.8193e-09	-3.8005e-10	2.314e-11	3.5964e-07	-3.6114e-07	3.59e-09	-6.3971e-10	2.176e-11	3.6006e-07	-3.6306e-07	6.5333e-09	-1.0197e-09	2.215e-11	3.5998e-07	-3.6556e-07	1.14186e-08	-1.5337e-09	1.536e-11	3.6012e-07	-3.6982e-07
-0.29	2.711e-11	-6.291e-11	2.352e-11	3.5974e-07	-3.5968e-07	3.2187e-10	-1.0564e-10	2.211e-11	3.598e-07	-3.6002e-07	7.9161e-10	-2.0421e-10	1.993e-11	3.5956e-07	-3.6018e-07	1.8582e-09	-3.7114e-10	2.191e-11	3.5964e-07	-3.611e-07	3.5655e-09	-6.3033e-10	2.074e-11	3.5994e-07	-3.6288e-07	6.512e-09	-1.0016e-09	1.974e-11	3.6016e-07	-3.6564e-07	1.13948e-08	-1.5078e-09	1.852e-11	3.6012e-07	-3.6998e-07
-0.285	2.368e-11	-6.016e-11	2.602e-11	3.5966e-07	-3.5974e-07	3.1228e-10	-1.0147e-10	1.959e-11	3.5964e-07	-3.5988e-07	7.9978e-10	-1.9395e-10	1.913e-11	3.5956e-07	-3.6014e-07	1.8143e-09	-3.5895e-10	1.984e-11	3.597e-07	-3.611e-07	3.4903e-09	-6.1138e-10	1.839e-11	3.601e-07	-3.6276e-07	6.5947e-09	-9.8189e-10	1.778e-11	3.601e-07	-3.6566e-07	1.14e-08	-1.4879e-09	1.53e-11	3.5998e-07	-3.6984e-07
-0.28	2.294e-11	-5.919e-11	2.478e-11	3.5976e-07	-3.5966e-07	3.2547e-10	-9.502e-11	1.88e-11	3.5976e-07	-3.5984e-07	8.0934e-10	-1.9342e-10	1.878e-11	3.595e-07	-3.601e-07	1.7978e-09	-3.5394e-10	1.897e-11	3.5966e-07	-3.6104e-07	3.5096e-09	-6.0358e-10	1.424e-11	3.6002e-07	-3.629e-07	6.56e-09	-9.6441e-10	1.578e-11	3.6022e-07	-3.6566e-07	1.13968e-08	-1.4623e-09	1.549e-11	3.6006e-07	-3.6984e-07
-0.275	2.177e-11	-5.429e-11	2.56e-11	3.5976e-07	-3.5954e-07	3.188e-10	-9.435e-11	1.762e-11	3.597e-07	-3.5998e-07	8.1384e-10	-1.8254e-10	1.798e-11	3.5952e-07	-3.6014e-07	1.7894e-09	-3.3997e-10	1.72e-11	3.5962e-07	-3.6096e-07	3.5106e-09	-5.8674e-10	1.369e-11	3.6e-07	-3.6278e-07	6.4525e-09	-9.5117e-10	1.479e-11	3.6016e-07	-3.6558e-07	1.13068e-08	-1.4452e-09	1.168e-11	3.6008e-07	-3.6976e-07
-0.27	2.144e-11	-4.73e-11	2.389e-11	3.5972e-07	-3.5974e-07	2.9591e-10	-8.807e-11	1.79e-11	3.5964e-07	-3.599e-07	8.0735e-10	-1.8085e-10	1.585e-11	3.595e-07	-3.6014e-07	1.7929e-09	-3.3677e-10	1.469e-11	3.5966e-07	-3.6116e-07	3.5495e-09	-5.7553e-10	1.13e-11	3.5996e-07	-3.6284e-07	6.4421e-09	-9.3259e-10	1.241e-11	3.6016e-07	-3.6556e-07	1.13694e-08	-1.4223e-09	1.283e-11	3.5994e-07	-3.699e-07
-0.265	1.216e-11	-4.065e-11	1.496e-11	3.5976e-07	-3.5976e-07	3.0984e-10	-8.62e-11	1.487e-11	3.5964e-07	-3.5988e-07	8.1004e-10	-1.722e-10	1.673e-11	3.5954e-07	-3.6014e-07	1.7841e-09	-3.2299e-10	1.356e-11	3.5958e-07	-3.6096e-07	3.4568e-09	-5.6751e-10	1.119e-11	3.5994e-07	-3.6288e-07	6.3929e-09	-9.1347e-10	9.01e-12	3.6008e-07	-3.6554e-07	1.12606e-08	-1.4011e-09	8.34e-12	3.5994e-07	-3.697e-07
-0.26	1.402e-11	-3.421e-11	1.232e-11	3.5962e-07	-3.5968e-07	3.1424e-10	-8.084e-11	1.552e-11	3.5974e-07	-3.5986e-07	8.0105e-10	-1.6706e-10	1.31e-11	3.5954e-07	-3.6016e-07	1.7915e-09	-3.1921e-10	9.83e-12	3.5962e-07	-3.6104e-07	3.5726e-09	-5.5098e-10	7.85e-12	3.5974e-07	-3.6272e-07	6.4206e-09	-9.0021e-10	9.68e-12	3.6012e-07	-3.6558e-07	1.12854e-08	-1.3759e-09	4.55e-12	3.599e-07	-3.6984e-07
-0.255	2.039e-11	-3.724e-11	1.36e-11	3.5972e-07	-3.5968e-07	3.0979e-10	-7.62e-11	1.318e-11	3.5972e-07	-3.599e-07	7.8447e-10	-1.6419e-10	1.007e-11	3.5954e-07	-3.6012e-07	1.7283e-09	-3.0908e-10	9.91e-12	3.5958e-07	-3.6094e-07	3.4394e-09	-5.4522e-10	7.29e-12	3.597e-07	-3.6264e-07	6.3983e-09	-8.8258e-10	5.63e-12	3.6006e-07	-3.6564e-07	1.1263e-08	-1.3593e-09	5.59e-12	3.5992e-07	-3.6972e-07
