gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-1.31000000000004e-05	-2.56800000000004e-06	-1.20000000000003e-06	-5.53920000000011e-07	-3.25160000000007e-07	-1.88600000000004e-08	5.90000000000013e-10
-2.46000000000021e-06	-8.24000000000019e-07	-4.78000000000018e-07	-2.49400000000006e-07	-1.62340000000003e-07	-9.3000000000002e-09	1.03399999999999e-09
1.43999999999987e-06	1.02200000000001e-06	2.43999999999999e-07	4.63999999999994e-08	2.64000000000019e-09	5.19999999999999e-10	4.29999999999976e-10
-3.84000000000006e-06	5.98000000000001e-07	7.60000000000051e-08	3.46799999999999e-08	7.65999999999988e-09	1.56999999999997e-09	-1.23000000000011e-10
-9.09999999999929e-07	1.94e-07	2.04479047423108e-21	4.58800000000003e-08	1.01199999999999e-08	2.20000000000001e-09	-1.97000000000012e-10
7.59999999999967e-07	2.15999999999993e-07	1.13999999999999e-07	3.73000000000004e-08	1.032e-08	2.28999999999999e-09	2.91999999999976e-10
5.79999999999992e-07	3.67999999999999e-07	1.13999999999999e-07	2.19000000000005e-08	6.77999999999991e-09	2.31e-09	2.19999999999975e-10
1.30999999999997e-06	5.80000000000253e-08	1.69999999999998e-07	1.86799999999998e-08	4.9799999999999e-09	1.85000000000003e-09	-5.66000000000007e-10
1.36999999999993e-06	-1.15999999999975e-07	9.59999999999969e-08	1.57000000000001e-08	6.57999999999993e-09	2.37e-09	1.66000000000009e-10
9.50000000000035e-07	8.07999999999993e-07	-4.20000000000003e-08	2.41000000000002e-08	6.00000000000001e-09	1.96e-09	2.45000000000007e-10
2.90000000000014e-07	4.83999999999979e-07	3.99999999999995e-09	1.03799999999991e-08	4.79999999999995e-09	2.31000000000004e-09	-7.50000000000002e-11
