Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
1.2	-5.2981e-06	-1e-12	5.1636e-06	3.545e-07	-2.5726e-07	-1.0219e-06	2.14e-12	9.5678e-07	3.1046e-07	-2.5716e-07	-2.2448e-07	2.79e-12	1.899e-07	2.8412e-07	-2.5712e-07	-5.34976e-08	6.7e-13	3.79456e-08	2.6974e-07	-2.5712e-07	-1.42118e-08	5.3e-13	7.1972e-09	2.6252e-07	-2.571e-07	-3.0863e-09	4.5e-13	1.1505e-09	2.5888e-07	-2.5706e-07	-5.3e-12	1.32e-12	1.994e-11	2.5706e-07	-2.57e-07
1.195	-5.2326e-06	1.01e-12	5.1334e-06	3.5446e-07	-2.573e-07	-1.00906e-06	3.55e-12	9.5656e-07	3.1036e-07	-2.5716e-07	-2.1848e-07	4.8e-13	1.9126e-07	2.8408e-07	-2.5712e-07	-5.0728e-08	1.73e-12	3.8125e-08	2.6968e-07	-2.571e-07	-1.2586e-08	1.1e-13	7.1377e-09	2.6254e-07	-2.5706e-07	-2.992e-09	2.6e-12	1.1312e-09	2.5892e-07	-2.5694e-07	-8.25e-12	8e-13	1.363e-11	2.5724e-07	-2.5728e-07
1.19	-5.2735e-06	8e-13	5.1585e-06	3.5452e-07	-2.5736e-07	-1.01366e-06	1.48e-12	9.6086e-07	3.1034e-07	-2.5712e-07	-2.197e-07	2.48e-12	1.9286e-07	2.8406e-07	-2.5706e-07	-5.10036e-08	3.76e-12	3.84386e-08	2.6974e-07	-2.5704e-07	-1.25884e-08	3.31e-12	7.134e-09	2.6254e-07	-2.5706e-07	-2.9933e-09	2e-14	1.1254e-09	2.5894e-07	-2.5706e-07	-1.564e-11	3.44e-12	1.92e-12	2.5712e-07	-2.5704e-07
1.185	-5.247e-06	1.78e-12	5.1566e-06	3.5458e-07	-2.5726e-07	-1.01928e-06	2.88e-12	9.6464e-07	3.1026e-07	-2.571e-07	-2.2092e-07	4e-13	1.9306e-07	2.839e-07	-2.5702e-07	-5.1192e-08	1.54e-12	3.85404e-08	2.697e-07	-2.5714e-07	-1.26124e-08	3.4e-12	7.1757e-09	2.627e-07	-2.573e-07	-2.9972e-09	-8.2e-13	1.1428e-09	2.5892e-07	-2.571e-07	-1.255e-11	-2.7e-13	1.328e-11	2.5706e-07	-2.5698e-07
1.18	-5.2351e-06	-1.36e-12	5.1462e-06	3.5452e-07	-2.5728e-07	-1.01964e-06	-6.5e-13	9.6388e-07	3.1022e-07	-2.5718e-07	-2.2046e-07	3.6e-13	1.938e-07	2.8406e-07	-2.5708e-07	-5.13504e-08	3.28e-12	3.87586e-08	2.6968e-07	-2.571e-07	-1.2665e-08	8e-14	7.2356e-09	2.6248e-07	-2.5708e-07	-3.009e-09	2.7e-13	1.1548e-09	2.5898e-07	-2.5702e-07	-1.441e-11	3.4e-13	2.054e-11	2.5706e-07	-2.5702e-07
1.175	-5.2379e-06	1.21e-12	5.1597e-06	3.5452e-07	-2.5732e-07	-1.02122e-06	-9.4e-13	9.6522e-07	3.102e-07	-2.5712e-07	-2.2092e-07	2.71e-12	1.9466e-07	2.8398e-07	-2.5714e-07	-5.16508e-08	1.43e-12	3.89988e-08	2.6972e-07	-2.571e-07	-1.27136e-08	-2.34e-12	7.2664e-09	2.625e-07	-2.5712e-07	-3.0192e-09	2.36e-12	1.1493e-09	2.5894e-07	-2.5704e-07	-1.058e-11	2.28e-12	4.46e-12	2.5706e-07	-2.57e-07
1.17	-5.2427e-06	-6.6e-13	5.1509e-06	3.5454e-07	-2.5718e-07	-1.0218e-06	7.9e-13	9.6918e-07	3.102e-07	-2.5712e-07	-2.216e-07	2.58e-12	1.9458e-07	2.8398e-07	-2.5712e-07	-5.17234e-08	2.84e-12	3.91096e-08	2.6974e-07	-2.5712e-07	-1.27682e-08	1.9e-12	7.3219e-09	2.626e-07	-2.5704e-07	-3.0319e-09	6.5e-13	1.1618e-09	2.589e-07	-2.5702e-07	-1.733e-11	-1.54e-12	6.69e-12	2.5706e-07	-2.5706e-07
1.165	-5.2437e-06	9.4e-13	5.1672e-06	3.5438e-07	-2.5732e-07	-1.0249e-06	-5.7e-13	9.7188e-07	3.103e-07	-2.57e-07	-2.2206e-07	1.09e-12	1.9462e-07	2.8406e-07	-2.5712e-07	-5.18698e-08	2.22e-12	3.91338e-08	2.696e-07	-2.571e-07	-1.27814e-08	-5.6e-13	7.3518e-09	2.6254e-07	-2.5716e-07	-3.0423e-09	1.14e-12	1.1824e-09	2.5888e-07	-2.57e-07	-1.278e-11	-1.5e-13	2.061e-11	2.5706e-07	-2.5702e-07
1.16	-5.2558e-06	1.15e-12	5.1628e-06	3.5468e-07	-2.5732e-07	-1.02238e-06	1.03e-12	9.7282e-07	3.1024e-07	-2.5702e-07	-2.233e-07	1.78e-12	1.9598e-07	2.8394e-07	-2.571e-07	-5.19102e-08	1.88e-12	3.9198e-08	2.6968e-07	-2.5712e-07	-1.2818e-08	-2.2e-13	7.3715e-09	2.6254e-07	-2.5702e-07	-3.0504e-09	6.1e-13	1.1906e-09	2.5896e-07	-2.5706e-07	-1.167e-11	1.4e-13	1.369e-11	2.5708e-07	-2.5696e-07
1.155	-5.2574e-06	-1.86e-12	5.1577e-06	3.5448e-07	-2.5724e-07	-1.02374e-06	1.57e-12	9.7154e-07	3.1018e-07	-2.571e-07	-2.2302e-07	1.72e-12	1.9574e-07	2.8402e-07	-2.5708e-07	-5.20268e-08	2.6e-12	3.92772e-08	2.6968e-07	-2.571e-07	-1.28472e-08	3.64e-12	7.3841e-09	2.6254e-07	-2.571e-07	-3.066e-09	4.85e-12	1.1894e-09	2.5888e-07	-2.5702e-07	-1.444e-11	2.85e-12	1.37e-12	2.5728e-07	-2.5728e-07
