Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
1.2	-1.1822e-07	2.5056e-09	-8.351e-11	3.7554e-07	-2.5906e-07	-6.13414e-08	1.755e-09	-8.674e-11	3.2064e-07	-2.6152e-07	-3.00094e-08	1.1884e-09	-8.48e-11	2.9004e-07	-2.6126e-07	-1.35354e-08	7.9174e-10	-8.514e-11	2.7346e-07	-2.6072e-07	-5.5969e-09	5.1647e-10	-8.622e-11	2.6542e-07	-2.6016e-07	-1.9805e-09	3.3004e-10	-8.446e-11	2.6144e-07	-2.5964e-07	-6.026e-11	2.2098e-10	-8.777e-11	2.5908e-07	-2.5912e-07
1.195	-1.1828e-07	2.4625e-09	-7.928e-11	3.7498e-07	-2.5914e-07	-6.0535e-08	1.7191e-09	-8.159e-11	3.2026e-07	-2.6156e-07	-2.96926e-08	1.1648e-09	-8.327e-11	2.8958e-07	-2.6086e-07	-1.34568e-08	7.7019e-10	-8.324e-11	2.7338e-07	-2.6056e-07	-5.585e-09	4.9709e-10	-8.053e-11	2.6532e-07	-2.6012e-07	-1.9854e-09	3.1826e-10	-8.245e-11	2.613e-07	-2.5956e-07	-6.601e-11	2.0889e-10	-8.136e-11	2.591e-07	-2.5908e-07
1.19	-1.1756e-07	2.4251e-09	-7.9e-11	3.744e-07	-2.5906e-07	-6.03056e-08	1.6914e-09	-7.948e-11	3.199e-07	-2.6112e-07	-2.96116e-08	1.1392e-09	-7.893e-11	2.8934e-07	-2.6076e-07	-1.34306e-08	7.4828e-10	-7.86e-11	2.7326e-07	-2.605e-07	-5.5763e-09	4.8397e-10	-7.852e-11	2.6518e-07	-2.6004e-07	-1.9737e-09	3.0434e-10	-7.792e-11	2.6132e-07	-2.595e-07	-7.654e-11	2.0091e-10	-7.972e-11	2.5908e-07	-2.5906e-07
1.185	-1.1718e-07	2.3861e-09	-7.301e-11	3.7388e-07	-2.5906e-07	-6.01186e-08	1.6579e-09	-7.442e-11	3.196e-07	-2.6102e-07	-2.95266e-08	1.1171e-09	-7.562e-11	2.8922e-07	-2.6068e-07	-1.33966e-08	7.3302e-10	-7.481e-11	2.7314e-07	-2.6034e-07	-5.553e-09	4.6726e-10	-7.543e-11	2.6526e-07	-2.6002e-07	-1.987e-09	2.9336e-10	-7.485e-11	2.6134e-07	-2.5952e-07	-6.616e-11	1.8919e-10	-7.65e-11	2.5902e-07	-2.5912e-07
1.18	-1.1658e-07	2.3526e-09	-7.071e-11	3.7332e-07	-2.5906e-07	-5.99236e-08	1.6327e-09	-7.214e-11	3.1928e-07	-2.6082e-07	-2.94378e-08	1.0947e-09	-7.136e-11	2.8908e-07	-2.606e-07	-1.3374e-08	7.1569e-10	-7.161e-11	2.7304e-07	-2.6028e-07	-5.5622e-09	4.5097e-10	-7.143e-11	2.652e-07	-2.5992e-07	-1.9628e-09	2.8299e-10	-7.358e-11	2.613e-07	-2.595e-07	-6.735e-11	1.7667e-10	-7.297e-11	2.59e-07	-2.5906e-07
1.175	-1.1602e-07	2.3153e-09	-6.959e-11	3.7292e-07	-2.5906e-07	-5.97078e-08	1.6014e-09	-7.003e-11	3.1898e-07	-2.6064e-07	-2.9404e-08	1.0755e-09	-7.04e-11	2.8896e-07	-2.604e-07	-1.33234e-08	6.9814e-10	-6.882e-11	2.7298e-07	-2.6026e-07	-5.5439e-09	4.4217e-10	-6.875e-11	2.6506e-07	-2.599e-07	-1.9674e-09	2.6787e-10	-7.033e-11	2.612e-07	-2.5944e-07	-5.745e-11	1.7148e-10	-6.918e-11	2.5906e-07	-2.5906e-07
1.17	-1.1556e-07	2.2775e-09	-6.644e-11	3.7228e-07	-2.5904e-07	-5.9555e-08	1.5711e-09	-6.66e-11	3.1876e-07	-2.6058e-07	-2.9341e-08	1.0484e-09	-6.629e-11	2.8872e-07	-2.6032e-07	-1.33244e-08	6.8083e-10	-6.786e-11	2.7292e-07	-2.6022e-07	-5.5326e-09	4.2735e-10	-6.622e-11	2.6504e-07	-2.598e-07	-1.9629e-09	2.605e-10	-6.753e-11	2.6124e-07	-2.594e-07	-6.783e-11	1.6126e-10	-6.671e-11	2.5896e-07	-2.59e-07
1.165	-1.15e-07	2.2479e-09	-6.278e-11	3.7204e-07	-2.5908e-07	-5.9361e-08	1.5429e-09	-6.423e-11	3.1842e-07	-2.6056e-07	-2.92628e-08	1.0263e-09	-6.408e-11	2.887e-07	-2.6032e-07	-1.33032e-08	6.6354e-10	-6.392e-11	2.728e-07	-2.601e-07	-5.5279e-09	4.1416e-10	-6.531e-11	2.6506e-07	-2.5984e-07	-1.961e-09	2.4984e-10	-6.268e-11	2.6122e-07	-2.5946e-07	-5.804e-11	1.5399e-10	-6.626e-11	2.59e-07	-2.5908e-07
1.16	-1.1458e-07	2.2126e-09	-5.99e-11	3.7154e-07	-2.5904e-07	-5.92114e-08	1.5176e-09	-6.055e-11	3.1828e-07	-2.6044e-07	-2.92104e-08	1.0053e-09	-6.132e-11	2.8856e-07	-2.6026e-07	-1.32882e-08	6.4696e-10	-6.237e-11	2.728e-07	-2.601e-07	-5.5212e-09	4.0155e-10	-6.051e-11	2.65e-07	-2.598e-07	-1.9489e-09	2.3962e-10	-6.367e-11	2.612e-07	-2.5944e-07	-4.964e-11	1.4423e-10	-6.125e-11	2.5902e-07	-2.5902e-07
1.155	-1.1406e-07	2.1779e-09	-5.802e-11	3.7098e-07	-2.5902e-07	-5.90774e-08	1.4902e-09	-5.842e-11	3.1808e-07	-2.603e-07	-2.91698e-08	9.8619e-10	-5.829e-11	2.884e-07	-2.6018e-07	-1.3244e-08	6.2829e-10	-5.81e-11	2.7266e-07	-2.5998e-07	-5.5116e-09	3.9033e-10	-5.91e-11	2.6496e-07	-2.5966e-07	-1.944e-09	2.2643e-10	-5.984e-11	2.6116e-07	-2.5926e-07	-5.734e-11	1.4016e-10	-5.97e-11	2.591e-07	-2.5908e-07
