Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-1.2172e-07	2.6922e-09	-5.467e-11	3.7808e-07	-2.589e-07	-1.1778e-07	2.6394e-09	-5.901e-11	3.7872e-07	-2.6372e-07	-1.1218e-07	2.5757e-09	-5.762e-11	3.736e-07	-2.6416e-07	-1.071e-07	2.5138e-09	-5.35e-11	3.687e-07	-2.6438e-07	-1.022e-07	2.4539e-09	-5.612e-11	3.6382e-07	-2.645e-07	-9.73972e-08	2.3973e-09	-5.659e-11	3.5928e-07	-2.645e-07	-9.29366e-08	2.3393e-09	-6.047e-11	3.5502e-07	-2.6456e-07	-8.86242e-08	2.2864e-09	-5.768e-11	3.5066e-07	-2.645e-07	-8.4482e-08	2.2277e-09	-5.609e-11	3.4674e-07	-2.6456e-07	-8.06752e-08	2.1721e-09	-5.186e-11	3.4264e-07	-2.6446e-07	-7.67428e-08	2.1195e-09	-5.821e-11	3.3852e-07	-2.6398e-07
1.195	-1.21e-07	2.6574e-09	-5.165e-11	3.7728e-07	-2.5878e-07	-1.166e-07	2.6006e-09	-5.393e-11	3.7748e-07	-2.633e-07	-1.1096e-07	2.5392e-09	-5.559e-11	3.7246e-07	-2.6382e-07	-1.0608e-07	2.4777e-09	-5.521e-11	3.6788e-07	-2.6426e-07	-1.0112e-07	2.4156e-09	-5.369e-11	3.631e-07	-2.6416e-07	-9.65128e-08	2.3618e-09	-5.417e-11	3.5844e-07	-2.641e-07	-9.20862e-08	2.2982e-09	-5.503e-11	3.5412e-07	-2.6418e-07	-8.78454e-08	2.2489e-09	-5.727e-11	3.4978e-07	-2.641e-07	-8.3765e-08	2.1941e-09	-5.458e-11	3.4584e-07	-2.6426e-07	-7.99016e-08	2.1385e-09	-6.346e-11	3.4196e-07	-2.6412e-07	-7.61874e-08	2.0861e-09	-5.581e-11	3.3806e-07	-2.6368e-07
1.19	-1.2024e-07	2.6179e-09	-4.833e-11	3.765e-07	-2.5892e-07	-1.1604e-07	2.5523e-09	-4.887e-11	3.7644e-07	-2.6304e-07	-1.1038e-07	2.5006e-09	-4.91e-11	3.7138e-07	-2.6352e-07	-1.0538e-07	2.4367e-09	-5.516e-11	3.6684e-07	-2.6378e-07	-1.0044e-07	2.379e-09	-4.937e-11	3.6216e-07	-2.6384e-07	-9.5951e-08	2.3243e-09	-5.349e-11	3.5752e-07	-2.638e-07	-9.15896e-08	2.2653e-09	-5.027e-11	3.5324e-07	-2.6386e-07	-8.7422e-08	2.2177e-09	-5.443e-11	3.4914e-07	-2.6394e-07	-8.3335e-08	2.159e-09	-5.486e-11	3.4528e-07	-2.6394e-07	-7.95668e-08	2.0998e-09	-5.429e-11	3.4132e-07	-2.638e-07	-7.58418e-08	2.0531e-09	-5.321e-11	3.3728e-07	-2.6348e-07
1.185	-1.1958e-07	2.5773e-09	-4.393e-11	3.761e-07	-2.5898e-07	-1.152e-07	2.524e-09	-4.555e-11	3.7564e-07	-2.6276e-07	-1.0978e-07	2.4589e-09	-4.379e-11	3.705e-07	-2.6326e-07	-1.0482e-07	2.4029e-09	-4.79e-11	3.6582e-07	-2.6344e-07	-9.99248e-08	2.3444e-09	-4.856e-11	3.6106e-07	-2.6352e-07	-9.54598e-08	2.2876e-09	-4.709e-11	3.5676e-07	-2.6354e-07	-9.114e-08	2.2338e-09	-4.785e-11	3.5244e-07	-2.6354e-07	-8.69352e-08	2.1854e-09	-4.899e-11	3.483e-07	-2.6356e-07	-8.29398e-08	2.1241e-09	-4.741e-11	3.4462e-07	-2.6366e-07	-7.91988e-08	2.0719e-09	-3.872e-11	3.4074e-07	-2.6362e-07	-7.55248e-08	2.0223e-09	-4.851e-11	3.3678e-07	-2.6328e-07
1.18	-1.1888e-07	2.5447e-09	-3.982e-11	3.7512e-07	-2.5878e-07	-1.1448e-07	2.4878e-09	-4.385e-11	3.7454e-07	-2.6252e-07	-1.0914e-07	2.4338e-09	-4.428e-11	3.6964e-07	-2.63e-07	-1.0426e-07	2.3747e-09	-4.161e-11	3.6518e-07	-2.632e-07	-9.93678e-08	2.3107e-09	-4.323e-11	3.6044e-07	-2.632e-07	-9.49684e-08	2.2517e-09	-4.382e-11	3.5602e-07	-2.6326e-07	-9.06068e-08	2.2055e-09	-4.454e-11	3.5202e-07	-2.6344e-07	-8.65402e-08	2.1518e-09	-4.672e-11	3.4794e-07	-2.633e-07	-8.25876e-08	2.09e-09	-4.553e-11	3.44e-07	-2.6338e-07	-7.88184e-08	2.0427e-09	-4.664e-11	3.4016e-07	-2.6338e-07	-7.5187e-08	1.9857e-09	-4.666e-11	3.364e-07	-2.6306e-07
1.175	-1.182e-07	2.5114e-09	-3.935e-11	3.7458e-07	-2.5874e-07	-1.1382e-07	2.4472e-09	-4.215e-11	3.737e-07	-2.6234e-07	-1.0836e-07	2.3923e-09	-4.228e-11	3.6878e-07	-2.6268e-07	-1.0366e-07	2.3351e-09	-3.904e-11	3.6446e-07	-2.6298e-07	-9.8901e-08	2.2802e-09	-4.152e-11	3.5966e-07	-2.63e-07	-9.44868e-08	2.2184e-09	-4.148e-11	3.5528e-07	-2.6304e-07	-9.0225e-08	2.1724e-09	-4.022e-11	3.5116e-07	-2.6308e-07	-8.60862e-08	2.1129e-09	-4.07e-11	3.4732e-07	-2.6318e-07	-8.22578e-08	2.0587e-09	-4.227e-11	3.4348e-07	-2.6324e-07	-7.84598e-08	2.0144e-09	-4.591e-11	3.3966e-07	-2.6318e-07	-7.47968e-08	1.955e-09	-4.307e-11	3.357e-07	-2.629e-07
1.17	-1.1762e-07	2.4706e-09	-3.608e-11	3.74e-07	-2.5874e-07	-1.1318e-07	2.4173e-09	-3.532e-11	3.7282e-07	-2.6206e-07	-1.0794e-07	2.3614e-09	-3.721e-11	3.6804e-07	-2.6246e-07	-1.0298e-07	2.3005e-09	-3.683e-11	3.6374e-07	-2.6296e-07	-9.83878e-08	2.2489e-09	-3.815e-11	3.59e-07	-2.6278e-07	-9.40354e-08	2.1902e-09	-3.719e-11	3.5478e-07	-2.6296e-07	-8.9769e-08	2.1376e-09	-3.988e-11	3.506e-07	-2.629e-07	-8.56912e-08	2.0777e-09	-3.52e-11	3.4664e-07	-2.6296e-07	-8.18636e-08	2.031e-09	-3.679e-11	3.4298e-07	-2.6302e-07	-7.8103e-08	1.9834e-09	-3.28e-11	3.3922e-07	-2.63e-07	-7.45436e-08	1.9277e-09	-3.676e-11	3.3568e-07	-2.6302e-07
1.165	-1.17e-07	2.4396e-09	-3.129e-11	3.7354e-07	-2.59e-07	-1.1242e-07	2.3847e-09	-3.111e-11	3.721e-07	-2.6188e-07	-1.0728e-07	2.3281e-09	-2.867e-11	3.6744e-07	-2.6236e-07	-1.0258e-07	2.2728e-09	-3.355e-11	3.6292e-07	-2.6258e-07	-9.79142e-08	2.2167e-09	-3.178e-11	3.5836e-07	-2.6266e-07	-9.35906e-08	2.1609e-09	-3.192e-11	3.5422e-07	-2.627e-07	-8.93794e-08	2.1006e-09	-3.597e-11	3.5004e-07	-2.6272e-07	-8.53496e-08	2.0482e-09	-3.081e-11	3.4622e-07	-2.6284e-07	-8.15614e-08	2.0015e-09	-3.2e-11	3.4246e-07	-2.6292e-07	-7.78174e-08	1.9527e-09	-3.612e-11	3.3872e-07	-2.6282e-07	-7.43106e-08	1.9035e-09	-3.316e-11	3.3508e-07	-2.6266e-07
1.16	-1.1648e-07	2.4076e-09	-2.648e-11	3.7288e-07	-2.5874e-07	-1.1198e-07	2.3453e-09	-2.703e-11	3.7148e-07	-2.6178e-07	-1.0674e-07	2.2897e-09	-2.58e-11	3.6664e-07	-2.6212e-07	-1.021e-07	2.2353e-09	-2.905e-11	3.622e-07	-2.624e-07	-9.74586e-08	2.1821e-09	-3.167e-11	3.578e-07	-2.6242e-07	-9.31984e-08	2.1299e-09	-3.104e-11	3.5364e-07	-2.6258e-07	-8.8998e-08	2.0729e-09	-2.972e-11	3.4952e-07	-2.6264e-07	-8.502e-08	2.0257e-09	-2.562e-11	3.4594e-07	-2.6288e-07	-8.11786e-08	1.9749e-09	-3.128e-11	3.4198e-07	-2.6272e-07	-7.75006e-08	1.9194e-09	-3.748e-11	3.3854e-07	-2.6268e-07	-7.40196e-08	1.8751e-09	-3.217e-11	3.3474e-07	-2.6254e-07
1.155	-1.1586e-07	2.3688e-09	-2.232e-11	3.7228e-07	-2.5872e-07	-1.1142e-07	2.3192e-09	-1.987e-11	3.7102e-07	-2.6162e-07	-1.062e-07	2.2599e-09	-2.14e-11	3.6594e-07	-2.6204e-07	-1.0152e-07	2.2033e-09	-2.193e-11	3.6168e-07	-2.6224e-07	-9.70196e-08	2.1448e-09	-2.612e-11	3.5728e-07	-2.6238e-07	-9.27736e-08	2.0951e-09	-2.671e-11	3.5304e-07	-2.624e-07	-8.85492e-08	2.0418e-09	-2.334e-11	3.4908e-07	-2.6248e-07	-8.47142e-08	1.9969e-09	-2.275e-11	3.4528e-07	-2.6248e-07	-8.08342e-08	1.9421e-09	-2.641e-11	3.4176e-07	-2.6266e-07	-7.7214e-08	1.8902e-09	-2.078e-11	3.3794e-07	-2.626e-07	-7.3713e-08	1.8459e-09	-2.605e-11	3.3428e-07	-2.623e-07
1.15	-1.1522e-07	2.3411e-09	-1.72e-11	3.7174e-07	-2.587e-07	-1.1082e-07	2.2847e-09	-1.801e-11	3.703e-07	-2.6148e-07	-1.0576e-07	2.2282e-09	-2.1e-11	3.6566e-07	-2.6214e-07	-1.011e-07	2.176e-09	-1.576e-11	3.6118e-07	-2.6216e-07	-9.6646e-08	2.1143e-09	-1.884e-11	3.5668e-07	-2.6222e-07	-9.24178e-08	2.0624e-09	-2.014e-11	3.5286e-07	-2.6226e-07	-8.82494e-08	2.0151e-09	-1.924e-11	3.4864e-07	-2.6232e-07	-8.43218e-08	1.9676e-09	-2.063e-11	3.4484e-07	-2.624e-07	-8.05758e-08	1.9102e-09	-2.2e-11	3.4126e-07	-2.625e-07	-7.70044e-08	1.862e-09	-2.058e-11	3.3754e-07	-2.6246e-07	-7.3495e-08	1.8147e-09	-2.302e-11	3.3394e-07	-2.623e-07
1.145	-1.1466e-07	2.3076e-09	-1.297e-11	3.7122e-07	-2.5878e-07	-1.104e-07	2.2488e-09	-1.365e-11	3.696e-07	-2.614e-07	-1.0538e-07	2.1919e-09	-1.863e-11	3.6498e-07	-2.618e-07	-1.0062e-07	2.1405e-09	-1.407e-11	3.608e-07	-2.6206e-07	-9.62302e-08	2.0837e-09	-1.419e-11	3.562e-07	-2.6206e-07	-9.20024e-08	2.0328e-09	-1.598e-11	3.5214e-07	-2.622e-07	-8.79266e-08	1.9865e-09	-1.387e-11	3.4828e-07	-2.623e-07	-8.40034e-08	1.9358e-09	-1.823e-11	3.4434e-07	-2.6236e-07	-8.02582e-08	1.8803e-09	-1.701e-11	3.4084e-07	-2.6234e-07	-7.67488e-08	1.8377e-09	-2.006e-11	3.372e-07	-2.6228e-07	-7.32166e-08	1.7834e-09	-1.793e-11	3.3376e-07	-2.6224e-07
1.14	-1.1404e-07	2.2722e-09	-7.23e-12	3.7092e-07	-2.5896e-07	-1.0976e-07	2.2198e-09	-5.52e-12	3.6894e-07	-2.6128e-07	-1.049e-07	2.1583e-09	-8.65e-12	3.6446e-07	-2.6172e-07	-1.002e-07	2.1114e-09	-7.55e-12	3.6014e-07	-2.6188e-07	-9.57992e-08	2.0574e-09	-8.23e-12	3.557e-07	-2.62e-07	-9.15952e-08	2.0024e-09	-8.37e-12	3.5168e-07	-2.6206e-07	-8.75706e-08	1.9582e-09	-8.28e-12	3.4776e-07	-2.6212e-07	-8.37242e-08	1.9038e-09	-1.139e-11	3.4404e-07	-2.622e-07	-7.99916e-08	1.8573e-09	-9.25e-12	3.4054e-07	-2.6228e-07	-7.64506e-08	1.8115e-09	-6.82e-12	3.3686e-07	-2.6222e-07	-7.2978e-08	1.7565e-09	-1.129e-11	3.3332e-07	-2.6212e-07
