gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-2.1686e-08	1.88e-08	1.0308e-07	-4.18999999999999e-08	-8.95e-08	1.1084e-07	5.054e-07
-1.0729e-08	1.022e-08	-2.88e-08	1.035e-08	3.48999999999995e-09	2.0796e-07	5.599e-07
1.781e-09	1.416e-08	-8.13899999999999e-08	6.54199999999999e-08	1.0921e-07	1.847e-07	7.2296e-07
-4.40000000000242e-11	2.06900000000001e-08	6.65000000000007e-09	8.80300000000006e-08	1.43760000000001e-07	3.16820000000003e-07	6.50660000000002e-07
-1.91700000000002e-09	7.95000000000007e-09	3.54300000000001e-08	1.1745e-07	1.94470000000001e-07	4.54540000000003e-07	6.61700000000002e-07
2.336e-09	-1.37999999999999e-09	3.814e-08	8.28599999999999e-08	2.0806e-07	2.8276e-07	9.51419999999999e-07
6.703e-09	-4.2e-09	4.449e-08	5.61699999999999e-08	2.8534e-07	4.68359999999999e-07	8.78819999999999e-07
8.60299999999999e-09	-9.87e-09	5.078e-08	8.916e-08	2.8978e-07	5.74939999999999e-07	9.7038e-07
9.78999999999999e-09	4.85000000000002e-09	5.774e-08	1.2541e-07	1.9736e-07	4.2824e-07	1.25012e-06
1.0877e-08	7.18799999999999e-08	6.82299999999999e-08	1.6115e-07	2.8722e-07	6.57699999999999e-07	1.17076e-06
1.4013e-08	6.94999999999999e-08	7.58599999999999e-08	2.3758e-07	3.203e-07	7.55339999999999e-07	1.34654e-06
1.432e-08	1.279e-08	8.24499999999999e-08	2.0786e-07	3.8792e-07	6.405e-07	1.6859e-06
1.0433e-08	3.30000000000002e-09	2.1835e-07	1.6241e-07	4.232e-07	9.05259999999999e-07	1.6284e-06
1.68530000000001e-08	4.22999999999999e-09	2.5466e-07	2.1396e-07	4.98580000000001e-07	9.71240000000001e-07	1.81298e-06
1.8527e-08	3.44e-09	1.4892e-07	3.77e-07	5.34660000000001e-07	8.48140000000002e-07	2.28076e-06
1.728e-08	3.20000000000015e-10	1.5632e-07	2.868e-07	5.99639999999999e-07	1.18346e-06	2.384e-06
2.2139e-08	1.545e-08	1.5746e-07	1.991e-07	6.92199999999999e-07	1.41376e-06	2.442e-06
2.1134e-08	4.208e-08	1.5749e-07	3.7796e-07	8.22719999999999e-07	1.48252e-06	2.886e-06
2.2614e-08	6.83699999999999e-08	1.6104e-07	4.3942e-07	8.477e-07	1.78666e-06	3.218e-06
2.2985e-08	9.88400000000002e-08	1.5409e-07	5.08940000000001e-07	9.43320000000003e-07	1.92976e-06	3.62800000000001e-06
