Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	1.7603e-09	1.04e-12	-1.6571e-09	4.9404e-07	-4.8942e-07	1.7174e-07	2.225e-11	-1.5544e-07	4.909e-07	-4.9086e-07	-1.9274e-06	1.4713e-10	1.9384e-06	4.893e-07	-4.7892e-07	-1.9888e-05	7.9951e-10	2.7278e-05	4.8894e-07	-4.8948e-07	-2.3804e-05	3.0883e-09	5.0996e-05	4.895e-07	-4.7174e-07	-0.0001108	1.09772e-08	0.00010646	4.9112e-07	-4.9094e-07	-0.00012674	4.25988e-08	0.00012042	4.913e-07	-4.9158e-07
0.005	7.0078e-09	-3.77e-12	-7.0304e-09	4.9136e-07	-4.9098e-07	6.4176e-07	1.96e-11	-6.8164e-07	4.8802e-07	-4.8938e-07	3.1674e-05	1.431e-10	-3.121e-05	4.906e-07	-4.8604e-07	7.6914e-05	7.8112e-10	-0.0003018	4.8922e-07	-4.782e-07	5.5438e-05	3.0241e-09	-0.00060718	4.924e-07	-4.9424e-07	0.00076764	1.07124e-08	-0.00076828	4.9112e-07	-4.9098e-07	0.00085394	4.14774e-08	-0.0008518	4.9128e-07	-4.916e-07
0.01	1.1745e-08	-3.2e-13	-1.174e-08	4.8932e-07	-4.8966e-07	1.0756e-06	2.307e-11	-1.13624e-06	4.8224e-07	-4.9038e-07	6.0348e-05	1.4016e-10	-6.146e-05	4.9108e-07	-4.905e-07	0.0006266	7.6199e-10	-0.00062692	4.8956e-07	-4.88e-07	0.001279	2.9546e-09	-0.001281	4.9146e-07	-4.911e-07	0.0016302	1.0492e-08	-0.0016318	4.9116e-07	-4.9552e-07	0.0018094	4.04334e-08	-0.0018114	4.9114e-07	-4.9106e-07
0.015	1.58758e-08	-5.2e-13	-1.60372e-08	4.8924e-07	-4.8922e-07	1.5468e-06	2.231e-11	-1.5471e-06	4.8932e-07	-4.8966e-07	8.7734e-05	1.3418e-10	-8.8754e-05	4.8888e-07	-4.8914e-07	0.00094286	7.407e-10	-0.0009437	4.8946e-07	-4.8934e-07	0.001956	2.8887e-09	-0.001956	4.9108e-07	-4.9082e-07	0.0024978	1.02326e-08	-0.002504	4.4956e-07	-4.9046e-07	0.0027818	3.94186e-08	-0.0027796	4.9116e-07	-4.924e-07
0.02	1.95992e-08	2.6e-13	-1.96764e-08	4.8976e-07	-4.707e-07	1.8819e-06	1.983e-11	-1.8911e-06	4.9394e-07	-4.9414e-07	0.000112212	1.3329e-10	-0.00011324	4.9108e-07	-4.9062e-07	0.0012456	7.2456e-10	-0.0012452	4.9114e-07	-4.4882e-07	0.002611	2.8324e-09	-0.002613	4.8952e-07	-4.9442e-07	0.0033514	1.0027e-08	-0.0033546	4.9558e-07	-4.5516e-07	0.0037326	3.84106e-08	-0.0037346	4.9096e-07	-4.889e-07
0.025	2.292e-08	-7.3e-13	-2.3037e-08	4.8966e-07	-4.8956e-07	2.2086e-06	1.682e-11	-2.2112e-06	4.6918e-07	-4.9074e-07	0.00013596	1.3167e-10	-0.00013574	4.8938e-07	-4.8944e-07	0.0015306	7.09e-10	-0.0015314	4.891e-07	-4.892e-07	0.0032564	2.7724e-09	-0.0032578	4.7374e-07	-4.8946e-07	0.0041984	9.7914e-09	-0.0041974	4.5158e-07	-4.9054e-07	0.004681	3.74976e-08	-0.004682	4.9108e-07	-4.5202e-07
0.03	2.59122e-08	-3.1e-13	-2.60728e-08	4.8918e-07	-4.4864e-07	2.498e-06	1.937e-11	-2.5134e-06	4.5122e-07	-4.9272e-07	0.00015558	1.2597e-10	-0.00015618	4.895e-07	-4.8946e-07	0.0018108	6.918e-10	-0.0018132	4.908e-07	-4.4868e-07	0.003905	2.7094e-09	-0.0039076	4.9114e-07	-4.8932e-07	0.0050526	9.5485e-09	-0.005054	4.9012e-07	-4.8372e-07	0.0056424	3.65442e-08	-0.0056436	4.9102e-07	-4.9112e-07
0.035	2.8698e-08	2.8e-13	-2.88024e-08	4.8982e-07	-4.8956e-07	2.7529e-06	1.946e-11	-2.7771e-06	4.8938e-07	-4.8956e-07	0.0001741	1.2567e-10	-0.00017454	4.4826e-07	-4.8928e-07	0.0020748	6.7464e-10	-0.0020774	4.9094e-07	-4.9064e-07	0.0045346	2.6564e-09	-0.0045386	4.799e-07	-4.8956e-07	0.005894	9.3417e-09	-0.0058928	4.951e-07	-4.9538e-07	0.0065914	3.56538e-08	-0.0065898	4.8216e-07	-4.9096e-07
0.04	3.1244e-08	-1.65e-12	-3.14406e-08	4.9406e-07	-4.9392e-07	2.9978e-06	1.682e-11	-3.019e-06	4.8918e-07	-4.8906e-07	0.00019132	1.2087e-10	-0.00019194	4.8894e-07	-4.8934e-07	0.0023312	6.6388e-10	-0.0023334	4.8948e-07	-4.8942e-07	0.005164	2.6008e-09	-0.0051646	4.912e-07	-4.911e-07	0.0067364	9.1759e-09	-0.0067332	4.8134e-07	-4.9216e-07	0.0075472	3.47768e-08	-0.0075452	4.9074e-07	-4.9042e-07
0.045	3.3525e-08	-3e-13	-3.37722e-08	4.8958e-07	-4.5128e-07	3.2204e-06	1.697e-11	-3.2359e-06	4.631e-07	-4.8502e-07	0.00020708	1.187e-10	-0.00020772	4.8922e-07	-4.8942e-07	0.0025722	6.4675e-10	-0.0025758	4.9104e-07	-4.794e-07	0.0057734	2.5433e-09	-0.0057748	4.842e-07	-4.8966e-07	0.0075622	8.933e-09	-0.0075664	4.9516e-07	-4.952e-07	0.008485	3.3951e-08	-0.0084856	4.9062e-07	-4.9104e-07
