Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-0.037744	-8.2122e-10	0.037728	4.7766e-07	-4.3654e-07	-0.02408	-4.2172e-10	0.024086	4.7846e-07	-4.3542e-07	-0.011128	-2.0099e-10	0.011134	4.7864e-07	-4.3408e-07	-0.0021926	-4.941e-11	0.0021916	4.7892e-07	-4.3326e-07	-7.6772e-05	8.607e-11	7.6682e-05	4.7872e-07	-4.3268e-07	-1.0686e-06	2.1937e-10	1.0209e-06	4.7876e-07	-4.3258e-07	-5.87394e-08	3.756e-10	1.19314e-08	4.7912e-07	-4.3276e-07
0.005	-0.03768	-8.2394e-10	0.037686	4.7706e-07	-4.3658e-07	-0.024062	-4.2164e-10	0.024058	4.7782e-07	-4.3546e-07	-0.01111	-1.978e-10	0.011112	4.7786e-07	-4.34e-07	-0.002183	-4.887e-11	0.0021838	4.7826e-07	-4.3326e-07	-7.6252e-05	8.492e-11	7.6144e-05	4.7808e-07	-4.3284e-07	-1.0598e-06	2.1309e-10	1.0141e-06	4.7788e-07	-4.3256e-07	-5.7864e-08	3.713e-10	1.18552e-08	4.7818e-07	-4.3262e-07
0.01	-0.03764	-8.2307e-10	0.037646	4.7638e-07	-4.3666e-07	-0.024026	-4.2527e-10	0.024028	4.7698e-07	-4.356e-07	-0.01109	-1.981e-10	0.011086	4.7722e-07	-4.3396e-07	-0.0021752	-5.44e-11	0.0021764	4.7742e-07	-4.3322e-07	-7.5832e-05	8.239e-11	7.5802e-05	4.7726e-07	-4.3284e-07	-1.0529e-06	2.1364e-10	1.0087e-06	4.7704e-07	-4.3254e-07	-5.69408e-08	3.663e-10	1.17692e-08	4.7754e-07	-4.3258e-07
0.015	-0.037612	-8.207e-10	0.037612	4.7564e-07	-4.3658e-07	-0.023994	-4.2273e-10	0.023998	4.7646e-07	-4.3574e-07	-0.011062	-2.0339e-10	0.011064	4.7636e-07	-4.3412e-07	-0.0021674	-5.278e-11	0.0021674	4.7644e-07	-4.3306e-07	-7.5422e-05	7.628e-11	7.534e-05	4.7654e-07	-4.3286e-07	-1.0452e-06	2.0876e-10	1.0013e-06	4.7644e-07	-4.3258e-07	-5.60798e-08	3.5919e-10	1.16832e-08	4.7652e-07	-4.3252e-07
0.02	-0.037576	-8.2467e-10	0.037574	4.7498e-07	-4.3658e-07	-0.023964	-4.2343e-10	0.023964	4.7568e-07	-4.356e-07	-0.011048	-2.0324e-10	0.011044	4.755e-07	-4.341e-07	-0.0021602	-5.472e-11	0.00216	4.7566e-07	-4.3302e-07	-7.4974e-05	7.696e-11	7.497e-05	4.7566e-07	-4.329e-07	-1.0377e-06	2.0319e-10	9.94e-07	4.7564e-07	-4.326e-07	-5.52004e-08	3.5403e-10	1.16004e-08	4.7612e-07	-4.3274e-07
0.025	-0.037534	-8.2376e-10	0.037538	4.7434e-07	-4.367e-07	-0.023938	-4.2758e-10	0.023936	4.7498e-07	-4.357e-07	-0.01102	-2.0076e-10	0.01102	4.7488e-07	-4.3404e-07	-0.0021516	-5.724e-11	0.0021524	4.7488e-07	-4.33e-07	-7.4504e-05	7.734e-11	7.444e-05	4.748e-07	-4.3268e-07	-1.0291e-06	2.002e-10	9.8774e-07	4.7498e-07	-4.3268e-07	-5.43552e-08	3.4739e-10	1.15166e-08	4.7522e-07	-4.3282e-07
0.03	-0.037498	-8.21e-10	0.0375	4.7364e-07	-4.3664e-07	-0.023902	-4.2535e-10	0.023908	4.7428e-07	-4.3564e-07	-0.010998	-2.0543e-10	0.011002	4.7412e-07	-4.3406e-07	-0.0021436	-5.677e-11	0.002145	4.741e-07	-4.3302e-07	-7.4044e-05	6.831e-11	7.3988e-05	4.7392e-07	-4.3268e-07	-1.023e-06	1.9559e-10	9.8166e-07	4.74e-07	-4.3256e-07	-5.3497e-08	3.4266e-10	1.14312e-08	4.743e-07	-4.3264e-07
0.035	-0.03746	-8.2471e-10	0.03746	4.7316e-07	-4.368e-07	-0.023876	-4.2283e-10	0.023876	4.7362e-07	-4.3568e-07	-0.010978	-2.0362e-10	0.010978	4.7334e-07	-4.3418e-07	-0.0021354	-5.77e-11	0.0021366	4.7334e-07	-4.3304e-07	-7.357e-05	6.791e-11	7.3544e-05	4.7334e-07	-4.3254e-07	-1.016e-06	1.9366e-10	9.754e-07	4.734e-07	-4.3278e-07	-5.26634e-08	3.3784e-10	1.1351e-08	4.7356e-07	-4.3266e-07
0.04	-0.037422	-8.2553e-10	0.037428	4.7248e-07	-4.3692e-07	-0.023846	-4.2362e-10	0.023846	4.726e-07	-4.3564e-07	-0.010954	-2.0404e-10	0.010958	4.7278e-07	-4.342e-07	-0.0021274	-6.237e-11	0.0021282	4.7274e-07	-4.3298e-07	-7.3164e-05	6.801e-11	7.3152e-05	4.7254e-07	-4.326e-07	-1.01112e-06	1.9194e-10	9.6974e-07	4.7274e-07	-4.3276e-07	-5.18324e-08	3.3258e-10	1.12746e-08	4.7276e-07	-4.326e-07
0.045	-0.037382	-8.2402e-10	0.037386	4.7184e-07	-4.3686e-07	-0.023816	-4.2794e-10	0.023814	4.7222e-07	-4.357e-07	-0.010934	-2.0816e-10	0.010932	4.7216e-07	-4.34e-07	-0.0021194	-6.269e-11	0.00212	4.7186e-07	-4.33e-07	-7.2776e-05	6.408e-11	7.2654e-05	4.7184e-07	-4.326e-07	-1.00118e-06	1.851e-10	9.635e-07	4.7178e-07	-4.3252e-07	-5.10064e-08	3.2704e-10	1.11872e-08	4.72e-07	-4.3264e-07
0.05	-0.03735	-8.2694e-10	0.037358	4.7124e-07	-4.3694e-07	-0.023784	-4.2713e-10	0.023786	4.7154e-07	-4.3564e-07	-0.010912	-2.087e-10	0.010914	4.713e-07	-4.3406e-07	-0.0021126	-6.322e-11	0.0021132	4.7136e-07	-4.3316e-07	-7.2258e-05	6.035e-11	7.2358e-05	4.71e-07	-4.3262e-07	-9.9468e-07	1.8311e-10	9.5464e-07	4.7126e-07	-4.327e-07	-5.0197e-08	3.1971e-10	1.11128e-08	4.7142e-07	-4.3264e-07
0.055	-0.037312	-8.2711e-10	0.037316	4.7054e-07	-4.3686e-07	-0.023748	-4.2681e-10	0.023752	4.7088e-07	-4.3576e-07	-0.010888	-2.0618e-10	0.010888	4.7056e-07	-4.3398e-07	-0.0021056	-6.437e-11	0.0021052	4.705e-07	-4.3306e-07	-7.1846e-05	5.89e-11	7.179e-05	4.7036e-07	-4.3268e-07	-9.8808e-07	1.8019e-10	9.4978e-07	4.704e-07	-4.3248e-07	-4.93874e-08	3.1584e-10	1.10282e-08	4.7064e-07	-4.3276e-07
0.06	-0.037278	-8.2413e-10	0.037278	4.699e-07	-4.3688e-07	-0.02372	-4.2899e-10	0.02372	4.7022e-07	-4.3564e-07	-0.010866	-2.0744e-10	0.010868	4.6986e-07	-4.3408e-07	-0.0020966	-6.362e-11	0.0020972	4.6986e-07	-4.33e-07	-7.1482e-05	5.786e-11	7.1434e-05	4.6968e-07	-4.3268e-07	-9.8082e-07	1.7518e-10	9.4212e-07	4.6976e-07	-4.3242e-07	-4.86282e-08	3.0965e-10	1.09642e-08	4.7016e-07	-4.3256e-07
