gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-1.24760000000004e-07	-8.82400000000008e-08	-3.26400000000008e-08	-1.04000000000001e-08	-4.78000000000016e-09	-3.48000000000007e-09	6.80000000000006e-11
-1.27680000000001e-07	-6.57400000000003e-08	-2.44400000000002e-08	-8.98000000000005e-09	-5.39999999999998e-09	-2.85000000000002e-09	-1.53599999999996e-09
-1.3388e-07	-4.38e-08	-1.72200000000001e-08	-8.40999999999998e-09	-5.22999999999997e-09	-4.08000000000005e-09	-1.37799999999996e-09
-1.3052e-07	-4.06999999999999e-08	-1.624e-08	-9.77999999999992e-09	-5.18e-09	-2.68000000000006e-09	-1.47699999999996e-09
-1.19819999999999e-07	-3.954e-08	-1.66399999999998e-08	-9.08999999999998e-09	-5.70999999999996e-09	-2.24000000000004e-09	-2.24099999999997e-09
-1.19260000000001e-07	-4.34000000000002e-08	-1.622e-08	-8.74999999999997e-09	-5.05000000000002e-09	-4.14000000000002e-09	-1.177e-09
-1.2084e-07	-4.39800000000005e-08	-1.67200000000002e-08	-7.81000000000007e-09	-4.80000000000007e-09	-2.90999999999999e-09	-1.64400000000001e-09
-1.0664e-07	-3.61e-08	-1.58999999999999e-08	-8.48999999999994e-09	-5.05999999999997e-09	-2.67999999999999e-09	-1.38500000000001e-09
-1.02980000000001e-07	-3.62399999999997e-08	-1.39400000000001e-08	-8.61999999999985e-09	-4.94999999999998e-09	-2.66e-09	-2.24700000000003e-09
-1.0426e-07	-3.77800000000002e-08	-1.44000000000001e-08	-8.40999999999992e-09	-4.92000000000001e-09	-3.41999999999997e-09	-1.12700000000006e-09
-9.61799999999994e-08	-3.19399999999999e-08	-1.43999999999998e-08	-7.72999999999986e-09	-4.41999999999993e-09	-2.27999999999995e-09	-9.27000000000053e-10
-1.0016e-07	-3.06599999999996e-08	-1.52e-08	-6.94000000000001e-09	-4.93999999999991e-09	-2.64999999999995e-09	-1.88000000000003e-09
-9.59199999999997e-08	-2.97600000000005e-08	-1.342e-08	-8.39000000000003e-09	-4.96999999999996e-09	-3.16999999999996e-09	-7.81000000000011e-10
-8.85399999999992e-08	-2.89600000000003e-08	-1.40400000000001e-08	-7.86e-09	-4.25000000000001e-09	-2.04999999999997e-09	-1.71699999999999e-09
-8.50200000000007e-08	-2.83599999999996e-08	-1.40599999999999e-08	-7.76000000000005e-09	-4.61e-09	-2.47999999999999e-09	-8.73999999999968e-10
-7.90200000000024e-08	-2.81800000000004e-08	-1.21800000000001e-08	-6.13000000000007e-09	-4.19000000000009e-09	-2.55000000000007e-09	-1.54700000000003e-09
-8.00999999999994e-08	-2.79200000000003e-08	-1.18600000000001e-08	-7.32999999999991e-09	-4.51e-09	-2.80000000000001e-09	-1.06100000000005e-09
-8.52199999999998e-08	-2.68599999999998e-08	-1.27600000000001e-08	-6.84999999999992e-09	-4.19999999999998e-09	-2.25999999999998e-09	-9.84000000000053e-10
-7.73999999999999e-08	-2.59799999999999e-08	-1.18799999999999e-08	-6.29999999999997e-09	-3.53e-09	-2.71999999999996e-09	-1.59100000000004e-09
-6.89999999999995e-08	-2.77000000000003e-08	-1.132e-08	-7.26999999999999e-09	-4.31000000000001e-09	-2.45999999999998e-09	-3.53000000000013e-10
-7.14000000000002e-08	-2.51400000000002e-08	-1.24600000000001e-08	-7.07999999999998e-09	-4.01e-09	-1.88999999999999e-09	-1.44699999999999e-09
-7.098e-08	-2.13999999999998e-08	-1.24799999999998e-08	-6.5799999999999e-09	-3.85000000000003e-09	-2.22999999999999e-09	-5.6899999999997e-10
-6.25000000000002e-08	-2.21399999999994e-08	-1.228e-08	-5.63999999999988e-09	-3.28000000000004e-09	-2.46e-09	-1.30299999999995e-09
-5.89600000000006e-08	-2.49600000000004e-08	-9.83999999999998e-09	-6.95999999999999e-09	-4.21000000000001e-09	-1.94999999999998e-09	-8.24999999999941e-10
