I/V Sweep,id_vgs
RecordTime,05/24/2023 08:38:36
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,1.3157000000000002E-10,-2.9629E-10,1.4944E-10,3.1228E-07,-3.124E-07
-0.29500000000000004,0,1.3046E-10,-2.842E-10,1.4325000000000002E-10,3.1242E-07,-3.1238E-07
-0.29000000000000004,0,1.2928000000000002E-10,-2.7226E-10,1.3836E-10,3.1221999999999997E-07,-3.1244E-07
-0.28500000000000003,0,1.2449E-10,-2.6174E-10,1.3296E-10,3.1254E-07,-3.124E-07
-0.28,0,1.1472E-10,-2.4753E-10,1.2615E-10,3.1224E-07,-3.1238E-07
-0.275,0,1.1513000000000001E-10,-2.3895000000000004E-10,1.2285000000000002E-10,3.124E-07,-3.1238E-07
-0.27,0,1.0920000000000001E-10,-2.2849000000000003E-10,1.1659E-10,3.1228E-07,-3.1224E-07
-0.265,0,1.0364E-10,-2.1708000000000001E-10,1.1151000000000001E-10,3.1224E-07,-3.1224E-07
-0.26,0,9.665000000000001E-11,-2.0706E-10,1.0682000000000001E-10,3.124E-07,-3.122E-07
-0.255,0,9.534E-11,-1.9779000000000002E-10,1.0314E-10,3.1221999999999997E-07,-3.1238E-07
-0.25,0,8.892E-11,-1.8979000000000002E-10,9.813E-11,3.1249999999999997E-07,-3.122E-07
-0.24500000000000002,0,8.165000000000001E-11,-1.8038E-10,9.3340000000000011E-11,3.124E-07,-3.1244E-07
-0.24000000000000002,0,7.954E-11,-1.7292E-10,9.0230000000000008E-11,3.1244E-07,-3.1216E-07
-0.23500000000000001,0,7.5700000000000007E-11,-1.6453000000000003E-10,8.522E-11,3.1249999999999997E-07,-3.1246E-07
-0.23,0,6.917E-11,-1.5524000000000002E-10,8.114E-11,3.1221999999999997E-07,-3.122E-07
-0.225,0,6.4690000000000011E-11,-1.4799000000000002E-10,7.7770000000000006E-11,3.124E-07,-3.1226E-07
-0.22,0,6.2430000000000011E-11,-1.4064000000000002E-10,7.426000000000001E-11,3.1226E-07,-3.1244E-07
-0.215,0,5.6750000000000004E-11,-1.3423E-10,7.091E-11,3.1221999999999997E-07,-3.1238E-07
-0.21000000000000002,0,5.2970000000000006E-11,-1.2509E-10,6.589E-11,3.1218E-07,-3.1212E-07
-0.20500000000000002,0,5.0720000000000007E-11,-1.2014E-10,6.358E-11,3.122E-07,-3.1218E-07
-0.2,0,4.9550000000000006E-11,-1.1389000000000001E-10,6.0610000000000011E-11,3.122E-07,-3.1226E-07
-0.195,0,4.549E-11,-1.0680000000000001E-10,5.736E-11,3.1214E-07,-3.1214E-07
-0.19,0,4.4040000000000004E-11,-1.0162000000000001E-10,5.331E-11,3.1216E-07,-3.123E-07
-0.185,0,4.297E-11,-9.9070000000000013E-11,5.1850000000000007E-11,3.1218E-07,-3.1214E-07
-0.18000000000000002,0,4.122E-11,-9.04E-11,4.829E-11,3.1226E-07,-3.124E-07
-0.17500000000000002,0,3.845E-11,-8.5840000000000011E-11,4.476E-11,3.1221999999999997E-07,-3.1235999999999997E-07
-0.17,0,3.7600000000000005E-11,-8.21E-11,4.297E-11,3.1216E-07,-3.1214E-07
-0.165,0,3.966E-11,-7.7050000000000008E-11,4.152E-11,3.122E-07,-3.1218E-07
-0.16,0,3.317E-11,-7.1750000000000011E-11,3.8040000000000005E-11,3.1238E-07,-3.1238E-07
-0.155,0,3.4170000000000003E-11,-6.805E-11,3.5240000000000006E-11,3.1234E-07,-3.123E-07
-0.15,0,3.373E-11,-6.526E-11,3.397E-11,3.1216E-07,-3.1218E-07
-0.14500000000000002,0,3.0170000000000004E-11,-5.931E-11,3.078E-11,3.122E-07,-3.123E-07
-0.14,0,2.837E-11,-5.5190000000000005E-11,2.8610000000000002E-11,3.121E-07,-3.1226E-07
-0.135,0,2.717E-11,-5.3660000000000005E-11,2.788E-11,3.124E-07,-3.1234E-07
-0.13,0,2.6740000000000003E-11,-4.9950000000000006E-11,2.5880000000000002E-11,3.1232E-07,-3.1232E-07
-0.125,0,1.8310000000000003E-11,-4.5350000000000004E-11,2.2920000000000003E-11,3.1212E-07,-3.1214E-07
-0.12000000000000001,0,2.0550000000000003E-11,-4.169E-11,2.218E-11,3.1218E-07,-3.1214E-07
-0.115,0,1.737E-11,-4.0810000000000006E-11,2.052E-11,3.1214E-07,-3.1214E-07
-0.11,0,1.551E-11,-3.529E-11,1.885E-11,3.1235999999999997E-07,-3.1214E-07
-0.10500000000000001,0,1.2730000000000001E-11,-3.266E-11,1.7090000000000003E-11,3.124E-07,-3.1242E-07
-0.1,0,1.015E-11,-3.113E-11,1.602E-11,3.1224E-07,-3.1226E-07
-0.095,0,1.2260000000000002E-11,-2.8520000000000002E-11,1.5560000000000002E-11,3.122E-07,-3.124E-07
-0.090000000000000011,0,4.1900000000000005E-12,-2.46E-11,1.313E-11,3.122E-07,-3.1228E-07
-0.085,0,7.92E-12,-2.227E-11,1.191E-11,3.1216E-07,-3.1232E-07
-0.08,0,5.18E-12,-2.2790000000000003E-11,1.0740000000000002E-11,3.1216E-07,-3.1218E-07
