Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-4.6107e-09	-1.1762e-10	1e-13	4.819e-07	-4.7732e-07	-4.9559e-09	9.001e-11	4.78e-12	4.909e-07	-4.8626e-07	-5.3716e-09	5.6801e-10	-1e-12	4.9306e-07	-4.8844e-07	-6.9263e-09	2.1542e-09	3.54e-12	4.9478e-07	-4.9e-07	-1.15958e-08	6.8647e-09	1.71e-12	4.9564e-07	-4.9098e-07	-2.66242e-08	2.1962e-08	5.43e-12	4.9648e-07	-4.919e-07	-8.35452e-08	7.88454e-08	-4.26e-12	4.9728e-07	-4.9246e-07
0.005	-4.6547e-09	-1.1768e-10	-1.03e-12	4.8236e-07	-4.7766e-07	-4.9116e-09	8.44e-11	-3.34e-12	4.9114e-07	-4.861e-07	-5.3074e-09	5.4195e-10	4.5e-13	4.9326e-07	-4.8854e-07	-6.8003e-09	2.072e-09	-7.89e-12	4.946e-07	-4.8992e-07	-1.13e-08	6.6096e-09	5.46e-12	4.9572e-07	-4.9094e-07	-2.57338e-08	2.10956e-08	-1.12e-12	4.9664e-07	-4.9172e-07	-8.00356e-08	7.54022e-08	1.7e-12	4.972e-07	-4.9248e-07
0.01	-4.6032e-09	-1.1876e-10	-5.19e-12	4.8246e-07	-4.7788e-07	-4.8517e-09	7.832e-11	3.48e-12	4.909e-07	-4.8622e-07	-5.2286e-09	5.1895e-10	-1.56e-12	4.9322e-07	-4.883e-07	-6.6698e-09	1.9909e-09	5.55e-12	4.9476e-07	-4.9016e-07	-1.10022e-08	6.3701e-09	2.8e-13	4.956e-07	-4.9096e-07	-2.48474e-08	2.02978e-08	-6.23e-12	4.9678e-07	-4.9214e-07	-7.67162e-08	7.21354e-08	5.01e-12	4.9698e-07	-4.9246e-07
0.015	-4.5508e-09	-1.2085e-10	3.47e-12	4.8296e-07	-4.7822e-07	-4.794e-09	7.366e-11	-3.06e-12	4.9106e-07	-4.8632e-07	-5.1531e-09	4.9463e-10	2.55e-12	4.9312e-07	-4.886e-07	-6.5446e-09	1.9146e-09	-7.59e-12	4.9456e-07	-4.9016e-07	-1.07038e-08	6.1336e-09	-7.54e-12	4.9566e-07	-4.9096e-07	-2.4011e-08	1.94924e-08	-7.06e-12	4.9648e-07	-4.9202e-07	-7.35092e-08	6.89518e-08	4.94e-12	4.9704e-07	-4.9256e-07
0.02	-4.5053e-09	-1.2118e-10	-5.46e-12	4.8322e-07	-4.7852e-07	-4.7393e-09	6.671e-11	8.8e-13	4.912e-07	-4.8628e-07	-5.0864e-09	4.7399e-10	-2.84e-12	4.9328e-07	-4.884e-07	-6.4204e-09	1.8433e-09	5.1e-12	4.9462e-07	-4.9038e-07	-1.04392e-08	5.9066e-09	1.47e-12	4.9584e-07	-4.9108e-07	-2.31992e-08	1.87348e-08	-2.12e-12	4.9652e-07	-4.9198e-07	-7.04708e-08	6.6013e-08	9.9e-13	4.9692e-07	-4.9276e-07
0.025	-4.4624e-09	-1.2389e-10	5.75e-12	4.8312e-07	-4.7848e-07	-4.6861e-09	6.255e-11	-7.4e-13	4.9092e-07	-4.8654e-07	-5.0182e-09	4.4949e-10	6.08e-12	4.9324e-07	-4.8874e-07	-6.2989e-09	1.7661e-09	-2.38e-12	4.9466e-07	-4.902e-07	-1.01548e-08	5.6914e-09	8.17e-12	4.9548e-07	-4.912e-07	-2.24086e-08	1.79892e-08	3e-12	4.965e-07	-4.92e-07	-6.75528e-08	6.31312e-08	-3.66e-12	4.9718e-07	-4.9278e-07
0.03	-4.413e-09	-1.2675e-10	-4.04e-12	4.8356e-07	-4.7902e-07	-4.6347e-09	6.015e-11	-2.27e-12	4.9128e-07	-4.8666e-07	-4.9534e-09	4.3162e-10	-3.75e-12	4.9342e-07	-4.8884e-07	-6.1893e-09	1.6958e-09	3.31e-12	4.9492e-07	-4.9022e-07	-9.9108e-09	5.481e-09	-4.3e-13	4.9548e-07	-4.91e-07	-2.16792e-08	1.7308e-08	6.51e-12	4.9638e-07	-4.9206e-07	-6.47896e-08	6.04048e-08	-4.71e-12	4.972e-07	-4.9288e-07
0.035	-4.3679e-09	-1.2853e-10	4.44e-12	4.8346e-07	-4.7914e-07	-4.5794e-09	5.531e-11	-4.5e-13	4.9122e-07	-4.8656e-07	-4.8908e-09	4.1188e-10	3.54e-12	4.933e-07	-4.886e-07	-6.0707e-09	1.6273e-09	1.73e-12	4.9462e-07	-4.903e-07	-9.6812e-09	5.2764e-09	-3.79e-12	4.9554e-07	-4.9136e-07	-2.09512e-08	1.66284e-08	7.12e-12	4.9636e-07	-4.9206e-07	-6.21354e-08	5.78012e-08	-3.22e-12	4.9698e-07	-4.9258e-07
0.04	-4.3202e-09	-1.3013e-10	-1.45e-12	4.8372e-07	-4.7942e-07	-4.5301e-09	5.004e-11	-1.82e-12	4.9126e-07	-4.8678e-07	-4.8263e-09	3.9214e-10	6.1e-13	4.9326e-07	-4.8878e-07	-5.9628e-09	1.5601e-09	-2.3e-12	4.9484e-07	-4.9014e-07	-9.437e-09	5.0821e-09	4.54e-12	4.9558e-07	-4.914e-07	-2.02642e-08	1.5989e-08	3.19e-12	4.9644e-07	-4.9206e-07	-5.95902e-08	5.53468e-08	2.9e-13	4.9718e-07	-4.9254e-07
0.045	-4.2729e-09	-1.3423e-10	4.3e-13	4.8394e-07	-4.793e-07	-4.4753e-09	4.642e-11	5.8e-13	4.9096e-07	-4.8642e-07	-4.7656e-09	3.7713e-10	-5.8e-13	4.9298e-07	-4.8896e-07	-5.855e-09	1.4941e-09	4.72e-12	4.9464e-07	-4.9028e-07	-9.1903e-09	4.8883e-09	9.3e-13	4.9552e-07	-4.9116e-07	-1.9604e-08	1.53746e-08	-1.8e-13	4.966e-07	-4.9228e-07	-5.71898e-08	5.29766e-08	3.67e-12	4.9708e-07	-4.9272e-07
