Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
-0.3	-3.6458e-09	-2.23464e-08	-5.6215e-10	4.8292e-07	-4.5686e-07	-2.388e-09	-2.2239e-08	-2.1025e-09	4.9246e-07	-4.6594e-07	-8.7217e-10	-2.21978e-08	-3.5953e-09	4.9426e-07	-4.6768e-07	8.5583e-10	-2.21312e-08	-5.2073e-09	4.9542e-07	-4.6894e-07	2.6389e-09	-2.21668e-08	-6.9297e-09	4.9622e-07	-4.6974e-07	4.3308e-09	-2.2158e-08	-8.5819e-09	4.9682e-07	-4.7056e-07	6.3694e-09	-2.21962e-08	-1.04986e-08	4.973e-07	-4.7102e-07	8.2165e-09	-2.2202e-08	-1.2243e-08	4.9802e-07	-4.7174e-07	1.01834e-08	-2.22006e-08	-1.42128e-08	4.9834e-07	-4.7224e-07	1.23822e-08	-2.21518e-08	-1.61678e-08	4.9862e-07	-4.7278e-07	1.45688e-08	-2.21478e-08	-1.8258e-08	4.9914e-07	-4.7332e-07
-0.295	-3.703e-09	-2.0165e-08	-6.2108e-10	4.8348e-07	-4.591e-07	-2.3994e-09	-2.00966e-08	-2.1068e-09	4.9258e-07	-4.6806e-07	-8.2886e-10	-2.0041e-08	-3.6178e-09	4.9436e-07	-4.6978e-07	9.1159e-10	-2.00016e-08	-5.2641e-09	4.956e-07	-4.7108e-07	2.6697e-09	-2.00308e-08	-6.938e-09	4.9614e-07	-4.7186e-07	4.4264e-09	-2.00068e-08	-8.6154e-09	4.9682e-07	-4.7248e-07	6.4655e-09	-2.00398e-08	-1.05352e-08	4.9728e-07	-4.7312e-07	8.2915e-09	-2.00864e-08	-1.23036e-08	4.978e-07	-4.7398e-07	1.0398e-08	-2.0069e-08	-1.42952e-08	4.9824e-07	-4.7422e-07	1.24372e-08	-2.00344e-08	-1.63006e-08	4.987e-07	-4.7478e-07	1.47132e-08	-2.00202e-08	-1.83564e-08	4.9906e-07	-4.7518e-07
-0.29	-3.7425e-09	-1.82454e-08	-5.9647e-10	4.8388e-07	-4.6114e-07	-2.3783e-09	-1.81988e-08	-2.1727e-09	4.924e-07	-4.6962e-07	-8.2898e-10	-1.81496e-08	-3.6485e-09	4.9444e-07	-4.7182e-07	9.2501e-10	-1.8107e-08	-5.3046e-09	4.9534e-07	-4.7284e-07	2.6553e-09	-1.81328e-08	-6.97e-09	4.9614e-07	-4.7372e-07	4.4547e-09	-1.81246e-08	-8.6461e-09	4.9694e-07	-4.7438e-07	6.446e-09	-1.81708e-08	-1.0648e-08	4.9742e-07	-4.7502e-07	8.3691e-09	-1.81762e-08	-1.24494e-08	4.9776e-07	-4.7556e-07	1.04576e-08	-1.81678e-08	-1.43432e-08	4.9818e-07	-4.7604e-07	1.25028e-08	-1.81518e-08	-1.63784e-08	4.9882e-07	-4.769e-07	1.48108e-08	-1.81416e-08	-1.85818e-08	4.99e-07	-4.7704e-07
-0.285	-3.7738e-09	-1.64892e-08	-6.0619e-10	4.8376e-07	-4.6286e-07	-2.3759e-09	-1.64478e-08	-2.1749e-09	4.9268e-07	-4.7164e-07	-8.0729e-10	-1.6415e-08	-3.6828e-09	4.9432e-07	-4.734e-07	9.146e-10	-1.63674e-08	-5.3446e-09	4.9538e-07	-4.7466e-07	2.7475e-09	-1.63898e-08	-7.0471e-09	4.9636e-07	-4.7558e-07	4.513e-09	-1.63898e-08	-8.7353e-09	4.9682e-07	-4.7608e-07	6.5397e-09	-1.64322e-08	-1.06768e-08	4.9728e-07	-4.767e-07	8.4867e-09	-1.64424e-08	-1.2529e-08	4.9786e-07	-4.772e-07	1.05046e-08	-1.64284e-08	-1.43948e-08	4.9842e-07	-4.7798e-07	1.25552e-08	-1.64238e-08	-1.64798e-08	4.9876e-07	-4.7842e-07	1.48602e-08	-1.64094e-08	-1.86016e-08	4.99e-07	-4.7872e-07
-0.28	-3.7913e-09	-1.49334e-08	-6.1949e-10	4.8396e-07	-4.6452e-07	-2.3691e-09	-1.48948e-08	-2.1752e-09	4.9274e-07	-4.731e-07	-8.11e-10	-1.48606e-08	-3.6739e-09	4.943e-07	-4.7492e-07	9.5246e-10	-1.48152e-08	-5.3555e-09	4.954e-07	-4.7636e-07	2.7525e-09	-1.48474e-08	-7.0859e-09	4.9634e-07	-4.7696e-07	4.5205e-09	-1.48354e-08	-8.8212e-09	4.9674e-07	-4.7772e-07	6.5462e-09	-1.48802e-08	-1.07472e-08	4.9746e-07	-4.7844e-07	8.5198e-09	-1.48886e-08	-1.25602e-08	4.9802e-07	-4.7898e-07	1.05384e-08	-1.48792e-08	-1.44668e-08	4.9812e-07	-4.7946e-07	1.26298e-08	-1.48778e-08	-1.64764e-08	4.9864e-07	-4.7972e-07	1.49534e-08	-1.48668e-08	-1.86734e-08	4.9898e-07	-4.803e-07
-0.275	-3.8166e-09	-1.34906e-08	-6.2886e-10	4.8404e-07	-4.662e-07	-2.4085e-09	-1.34516e-08	-2.2003e-09	4.928e-07	-4.746e-07	-8.0045e-10	-1.3431e-08	-3.723e-09	4.9446e-07	-4.7632e-07	9.7091e-10	-1.3389e-08	-5.43e-09	4.9576e-07	-4.779e-07	2.7772e-09	-1.34104e-08	-7.1293e-09	4.9634e-07	-4.785e-07	4.5775e-09	-1.34142e-08	-8.8934e-09	4.9664e-07	-4.7902e-07	6.6059e-09	-1.34424e-08	-1.0791e-08	4.9762e-07	-4.7972e-07	8.5449e-09	-1.34596e-08	-1.2624e-08	4.9802e-07	-4.8038e-07	1.06174e-08	-1.34574e-08	-1.45152e-08	4.9812e-07	-4.8088e-07	1.27586e-08	-1.34632e-08	-1.664e-08	4.9888e-07	-4.8124e-07	1.5035e-08	-1.34494e-08	-1.89264e-08	4.9888e-07	-4.8166e-07
-0.27	-3.8074e-09	-1.22216e-08	-6.4467e-10	4.8436e-07	-4.675e-07	-2.3903e-09	-1.21784e-08	-2.2201e-09	4.9244e-07	-4.7568e-07	-8.0326e-10	-1.21516e-08	-3.738e-09	4.943e-07	-4.7776e-07	9.606e-10	-1.21216e-08	-5.4453e-09	4.9548e-07	-4.7876e-07	2.8048e-09	-1.21342e-08	-7.1646e-09	4.964e-07	-4.7982e-07	4.583e-09	-1.21442e-08	-8.8884e-09	4.9682e-07	-4.805e-07	6.6341e-09	-1.2176e-08	-1.0874e-08	4.9746e-07	-4.8098e-07	8.6545e-09	-1.22e-08	-1.27604e-08	4.9794e-07	-4.814e-07	1.0657e-08	-1.21886e-08	-1.46938e-08	4.982e-07	-4.8208e-07	1.2811e-08	-1.21882e-08	-1.66548e-08	4.9878e-07	-4.8268e-07	1.51912e-08	-1.21748e-08	-1.90266e-08	4.989e-07	-4.8282e-07
-0.265	-3.8252e-09	-1.10324e-08	-6.5702e-10	4.8424e-07	-4.6886e-07	-2.3841e-09	-1.1005e-08	-2.2406e-09	4.925e-07	-4.769e-07	-8.02e-10	-1.09786e-08	-3.7568e-09	4.9446e-07	-4.7896e-07	1.01071e-09	-1.09608e-08	-5.4777e-09	4.9542e-07	-4.801e-07	2.8454e-09	-1.09672e-08	-7.2493e-09	4.961e-07	-4.8088e-07	4.6538e-09	-1.09798e-08	-8.9509e-09	4.9674e-07	-4.8152e-07	6.7228e-09	-1.10092e-08	-1.09428e-08	4.975e-07	-4.8222e-07	8.6762e-09	-1.10212e-08	-1.28352e-08	4.9792e-07	-4.8284e-07	1.0726e-08	-1.1018e-08	-1.48064e-08	4.9816e-07	-4.8296e-07	1.28608e-08	-1.10244e-08	-1.68122e-08	4.9882e-07	-4.8362e-07	1.52436e-08	-1.10172e-08	-1.91034e-08	4.9892e-07	-4.8406e-07
-0.26	-3.832e-09	-9.9894e-09	-6.652e-10	4.8464e-07	-4.6986e-07	-2.3923e-09	-9.9562e-09	-2.2552e-09	4.9252e-07	-4.7804e-07	-7.8476e-10	-9.9242e-09	-3.7885e-09	4.9448e-07	-4.7998e-07	1.01395e-09	-9.914e-09	-5.5495e-09	4.9558e-07	-4.8104e-07	2.8845e-09	-9.9234e-09	-7.2691e-09	4.9602e-07	-4.8206e-07	4.7304e-09	-9.9442e-09	-9.0242e-09	4.9688e-07	-4.8254e-07	6.7988e-09	-9.9634e-09	-1.10318e-08	4.9718e-07	-4.8296e-07	8.7353e-09	-9.9886e-09	-1.2881e-08	4.979e-07	-4.836e-07	1.08426e-08	-9.9848e-09	-1.48616e-08	4.9838e-07	-4.8428e-07	1.27414e-08	-9.984e-09	-1.69026e-08	4.987e-07	-4.8468e-07	1.53254e-08	-9.9882e-09	-1.91918e-08	4.9898e-07	-4.8518e-07
-0.255	-3.8398e-09	-9.0263e-09	-6.6563e-10	4.8484e-07	-4.7112e-07	-2.3916e-09	-9.0153e-09	-2.2719e-09	4.926e-07	-4.7888e-07	-7.9136e-10	-8.9836e-09	-3.8349e-09	4.946e-07	-4.8066e-07	1.04699e-09	-8.9668e-09	-5.5459e-09	4.9538e-07	-4.8186e-07	2.8981e-09	-8.9841e-09	-7.2916e-09	4.9618e-07	-4.8276e-07	4.7361e-09	-8.9899e-09	-9.0764e-09	4.9676e-07	-4.8348e-07	6.8264e-09	-9.0122e-09	-1.10294e-08	4.9728e-07	-4.8404e-07	8.7816e-09	-9.0397e-09	-1.29784e-08	4.9776e-07	-4.845e-07	1.08876e-08	-9.0394e-09	-1.49846e-08	4.9816e-07	-4.85e-07	1.3099e-08	-9.0376e-09	-1.70206e-08	4.9854e-07	-4.8548e-07	1.53506e-08	-9.0488e-09	-1.92774e-08	4.9894e-07	-4.8608e-07
