Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-5.7426e-06	1.846e-11	5.5893e-06	5.0826e-07	-4.5728e-07	-5.6932e-06	-1.028e-11	5.5601e-06	5.0774e-07	-4.5704e-07	-5.6797e-06	-7.24e-12	5.6534e-06	5.078e-07	-4.5706e-07	-5.593e-06	-4.28e-12	5.5506e-06	5.077e-07	-4.5704e-07	-5.6826e-06	1.721e-11	5.5726e-06	5.0776e-07	-4.5716e-07	-5.5546e-06	1.212e-11	5.5044e-06	5.0778e-07	-4.5714e-07	-5.6502e-06	-1.09e-12	5.553e-06	5.085e-07	-4.5712e-07
0.005	-5.4315e-06	3.326e-11	5.3082e-06	5.0732e-07	-4.5748e-07	-5.4322e-06	1.181e-11	5.2702e-06	5.0694e-07	-4.5708e-07	-5.4105e-06	6.6e-13	5.2622e-06	5.0676e-07	-4.5698e-07	-5.4792e-06	-1.97e-12	5.3062e-06	5.0682e-07	-4.5708e-07	-5.4683e-06	2.6e-12	5.3652e-06	5.0748e-07	-4.5704e-07	-5.3807e-06	-9.36e-12	5.3243e-06	5.0678e-07	-4.5692e-07	-5.4717e-06	7.69e-12	5.3651e-06	5.076e-07	-4.5706e-07
0.01	-5.1474e-06	-1.121e-11	4.9989e-06	5.0636e-07	-4.5748e-07	-5.2293e-06	-9.37e-12	5.0091e-06	5.0612e-07	-4.5716e-07	-5.1239e-06	-2.289e-11	5.0632e-06	5.0594e-07	-4.5704e-07	-5.2106e-06	3.08e-12	5.0605e-06	5.0586e-07	-4.5702e-07	-5.1182e-06	2.155e-11	5.0057e-06	5.0594e-07	-4.5706e-07	-5.0894e-06	7.1e-12	4.9832e-06	5.0584e-07	-4.5692e-07	-5.1298e-06	8.02e-12	5.0094e-06	5.0664e-07	-4.5704e-07
0.015	-4.933e-06	-2.405e-11	4.8771e-06	5.054e-07	-4.5756e-07	-4.9645e-06	-1.282e-11	4.8151e-06	5.0522e-07	-4.5722e-07	-4.8808e-06	5.7e-12	4.8053e-06	5.0506e-07	-4.5692e-07	-4.9258e-06	2.34e-12	4.8293e-06	5.0498e-07	-4.5698e-07	-4.8886e-06	-1.978e-11	4.7968e-06	5.0498e-07	-4.5704e-07	-4.8568e-06	3.01e-12	4.7991e-06	5.0488e-07	-4.5696e-07	-4.8884e-06	-1.52e-12	4.7531e-06	5.0576e-07	-4.5704e-07
0.02	-4.7375e-06	1.865e-11	4.5763e-06	5.045e-07	-4.5732e-07	-4.6264e-06	1.277e-11	4.5556e-06	5.0432e-07	-4.5712e-07	-4.7034e-06	1.416e-11	4.5641e-06	5.043e-07	-4.5714e-07	-4.6321e-06	-2.88e-12	4.5437e-06	5.0432e-07	-4.5702e-07	-4.6684e-06	-7.73e-12	4.5783e-06	5.0408e-07	-4.5694e-07	-4.6887e-06	-1.03e-11	4.5613e-06	5.0414e-07	-4.5714e-07	-4.6848e-06	-1.51e-12	4.5598e-06	5.0484e-07	-4.5696e-07
0.025	-4.4468e-06	7.64e-12	4.397e-06	5.0372e-07	-4.5732e-07	-4.4867e-06	4.23e-12	4.348e-06	5.035e-07	-4.572e-07	-4.4418e-06	-9.58e-12	4.3321e-06	5.0334e-07	-4.57e-07	-4.4333e-06	1.76e-12	4.3189e-06	5.032e-07	-4.5702e-07	-4.467e-06	2.865e-11	4.3055e-06	5.0308e-07	-4.5686e-07	-4.4233e-06	6.4e-13	4.3161e-06	5.0338e-07	-4.5716e-07	-4.395e-06	4.94e-12	4.2988e-06	5.0398e-07	-4.5706e-07
0.03	-4.2583e-06	-2.501e-11	4.1335e-06	5.0282e-07	-4.5746e-07	-4.2574e-06	-8.71e-12	4.1306e-06	5.0266e-07	-4.5722e-07	-4.2216e-06	-7.48e-12	4.1131e-06	5.0242e-07	-4.5696e-07	-4.1914e-06	-3.47e-12	4.1121e-06	5.0252e-07	-4.5716e-07	-4.244e-06	1.55e-12	4.0929e-06	5.0244e-07	-4.57e-07	-4.1658e-06	8.6e-13	4.0666e-06	5.0248e-07	-4.5714e-07	-4.2117e-06	1.37e-12	4.1367e-06	5.0326e-07	-4.5702e-07
0.035	-4.0024e-06	9.02e-12	3.9418e-06	5.0202e-07	-4.5756e-07	-4.0048e-06	-6e-14	3.9259e-06	5.0176e-07	-4.5726e-07	-3.9797e-06	1.12e-11	3.9138e-06	5.0164e-07	-4.5694e-07	-3.9971e-06	-5.08e-12	3.8753e-06	5.0162e-07	-4.572e-07	-3.9736e-06	-2.742e-11	3.9061e-06	5.0166e-07	-4.5708e-07	-4.0227e-06	-8.46e-12	3.9385e-06	5.0174e-07	-4.5714e-07	-3.9591e-06	-2.62e-12	3.8755e-06	5.024e-07	-4.5716e-07
0.04	-3.8717e-06	2.281e-11	3.7644e-06	5.0114e-07	-4.5732e-07	-3.8387e-06	9.32e-12	3.7155e-06	5.0072e-07	-4.5704e-07	-3.8386e-06	-1.67e-12	3.7599e-06	5.0086e-07	-4.571e-07	-3.8561e-06	7.75e-12	3.7458e-06	5.0088e-07	-4.5722e-07	-3.8354e-06	1.815e-11	3.7206e-06	5.0082e-07	-4.5718e-07	-3.803e-06	4.45e-12	3.6942e-06	5.0082e-07	-4.5714e-07	-3.8247e-06	9.92e-12	3.7304e-06	5.0152e-07	-4.5712e-07
0.045	-3.6518e-06	-2.244e-11	3.5413e-06	5.002e-07	-4.5728e-07	-3.621e-06	-2.96e-12	3.5517e-06	4.9992e-07	-4.5704e-07	-3.6135e-06	-6.78e-12	3.5447e-06	5.001e-07	-4.572e-07	-3.6272e-06	-1.84e-12	3.5565e-06	4.9998e-07	-4.5722e-07	-3.6504e-06	2.402e-11	3.5814e-06	5.0034e-07	-4.571e-07	-3.585e-06	7.44e-12	3.4955e-06	4.9992e-07	-4.5716e-07	-3.6343e-06	-2.13e-12	3.53e-06	5.0072e-07	-4.5716e-07
