I/V Sweep,id_vgs_P_2
RecordTime,05/30/2023 14:16:59
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-7.33936E-08,6.5212E-09,-1.9315000000000003E-10,5.2446E-07,-4.5738E-07
1.195,0,-7.256159999999999E-08,6.4256E-09,-1.8553E-10,5.2374E-07,-4.5734E-07
1.19,0,-7.1817599999999993E-08,6.3364E-09,-1.8356E-10,5.2321999999999994E-07,-4.5745999999999997E-07
1.185,0,-7.0999599999999992E-08,6.245E-09,-1.6866000000000002E-10,5.2237999999999994E-07,-4.575E-07
1.1800000000000002,0,-7.0257199999999989E-08,6.161E-09,-1.6469E-10,5.217E-07,-4.5734E-07
1.175,0,-6.955E-08,6.0828E-09,-1.5343E-10,5.2125999999999994E-07,-4.575E-07
1.1700000000000002,0,-6.88754E-08,5.9982E-09,-1.4494000000000002E-10,5.204E-07,-4.5738E-07
1.165,0,-6.824E-08,5.9117E-09,-1.3474000000000002E-10,5.1978E-07,-4.5726E-07
1.1600000000000001,0,-6.75926E-08,5.8276E-09,-1.2406E-10,5.1929999999999995E-07,-4.5742E-07
1.155,0,-6.69844E-08,5.7444E-09,-1.1692000000000002E-10,5.1882E-07,-4.5742E-07
1.1500000000000001,0,-6.6391799999999992E-08,5.6668E-09,-1.0241000000000001E-10,5.1828E-07,-4.5744E-07
1.145,0,-6.5842999999999989E-08,5.5855E-09,-9.382E-11,5.1784E-07,-4.575E-07
1.1400000000000001,0,-6.5319999999999992E-08,5.5064E-09,-7.883E-11,5.1726E-07,-4.5745999999999997E-07
1.135,0,-6.4747999999999992E-08,5.4282E-09,-6.943E-11,5.1686E-07,-4.574E-07
1.1300000000000001,0,-6.42918E-08,5.3517E-09,-5.3110000000000005E-11,5.1632E-07,-4.5742E-07
1.125,0,-6.380099999999999E-08,5.278E-09,-4.2780000000000006E-11,5.1596E-07,-4.574E-07
1.12,0,-6.3353799999999989E-08,5.201E-09,-2.5450000000000003E-11,5.1555999999999994E-07,-4.5745999999999997E-07
1.115,0,-6.28874E-08,5.1301E-09,-8.31E-12,5.1516E-07,-4.5742E-07
1.11,0,-6.25164E-08,5.0581E-09,1.0920000000000001E-11,5.1482E-07,-4.5742E-07
1.105,0,-6.2104E-08,4.9863E-09,3.2500000000000004E-11,5.1446E-07,-4.5736E-07
1.1,0,-6.17246E-08,4.9148E-09,5.4570000000000005E-11,5.1426E-07,-4.5731999999999997E-07
1.095,0,-6.1380799999999988E-08,4.8467E-09,8.1160000000000007E-11,5.1394E-07,-4.5744E-07
1.09,0,-6.1024199999999989E-08,4.7738E-09,1.1203000000000001E-10,5.1342E-07,-4.5734E-07
1.085,0,-6.066319999999999E-08,4.7062E-09,1.4651000000000002E-10,5.131E-07,-4.572E-07
1.08,0,-6.03976E-08,4.6422E-09,1.8589000000000002E-10,5.13E-07,-4.5738E-07
1.075,0,-6.012179999999999E-08,4.5719E-09,2.3243000000000002E-10,5.1238E-07,-4.5731999999999997E-07
1.07,0,-5.976E-08,4.5071E-09,2.8117E-10,5.123E-07,-4.5738E-07
1.065,0,-5.9508999999999994E-08,4.4403E-09,3.4317E-10,5.1194E-07,-4.5724E-07
1.06,0,-5.9311199999999992E-08,4.379E-09,4.0670000000000005E-10,5.1168E-07,-4.572E-07
1.0550000000000002,0,-5.9064999999999993E-08,4.3136E-09,4.8871000000000006E-10,5.1154E-07,-4.5728E-07
1.05,0,-5.8882399999999993E-08,4.2507E-09,5.7441000000000009E-10,5.1116E-07,-4.5728E-07
1.0450000000000002,0,-5.8807399999999994E-08,4.1919E-09,6.8167000000000009E-10,5.1126E-07,-4.5731999999999997E-07
1.04,0,-5.8646799999999991E-08,4.1288E-09,7.9806E-10,5.1088E-07,-4.5716E-07
1.0350000000000001,0,-5.8540599999999993E-08,4.0712E-09,9.3937E-10,5.1066E-07,-4.5714E-07
1.03,0,-5.8414199999999994E-08,4.0121E-09,1.09601E-09,5.1062E-07,-4.5731999999999997E-07
1.0250000000000001,0,-5.8396199999999993E-08,3.9537E-09,1.2812E-09,5.1048E-07,-4.5731999999999997E-07
1.02,0,-5.8339599999999997E-08,3.8937E-09,1.4997E-09,5.1002E-07,-4.5714E-07
1.0150000000000001,0,-5.83658E-08,3.8384E-09,1.7449E-09,5.1E-07,-4.5722E-07
1.01,0,-5.8442799999999992E-08,3.7793999999999996E-09,2.0357E-09,5.0994E-07,-4.5724E-07
1.0050000000000001,0,-5.85616E-08,3.7228E-09,2.3696E-09,5.097E-07,-4.5728E-07
1,0,-5.8740599999999995E-08,3.6695E-09,2.7572E-09,5.0946E-07,-4.573E-07
0.995,0,-5.8961199999999992E-08,3.6154E-09,3.2036E-09,5.0939999999999994E-07,-4.5722E-07
