Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
-0.3	5.4716e-10	5.222e-11	8.613e-11	3.4642e-07	-3.4394e-07	-6.1891e-10	-1.716e-10	1.025e-11	3.459e-07	-3.4322e-07	-5.3841e-10	-1.4047e-10	-1.0467e-10	3.4392e-07	-3.4588e-07	-5.4179e-10	-1.9183e-10	-1.0735e-10	3.4394e-07	-3.4618e-07	4.598e-10	-7.8e-12	-1.4609e-10	3.4516e-07	-3.4366e-07	-4.508e-10	-1.5755e-10	-1.8479e-10	3.4346e-07	-3.4532e-07	-1.9645e-10	-2.3944e-10	-1.2367e-10	3.4382e-07	-3.4602e-07	2.354e-11	-2.5197e-10	-2.2775e-10	3.4506e-07	-3.4388e-07	-3.721e-10	-1.692e-10	-1.4485e-10	3.4584e-07	-3.4366e-07	-1.631e-10	-2.6292e-10	-2.7114e-10	3.4486e-07	-3.4326e-07	5.108e-10	-2.2058e-10	-3.287e-10	3.4358e-07	-3.4482e-07
-0.295	-5.0605e-10	-2.2624e-10	-6.1e-13	3.4584e-07	-3.438e-07	-6.2182e-10	-1.5775e-10	1.793e-11	3.459e-07	-3.4352e-07	7.0745e-10	-1.0049e-10	-1.226e-10	3.44e-07	-3.457e-07	8.6933e-10	-4.186e-11	-1.3164e-10	3.4384e-07	-3.4606e-07	2.417e-10	-1.9627e-10	-1.9114e-10	3.4456e-07	-3.443e-07	8.935e-10	-1.728e-11	-1.7123e-10	3.4346e-07	-3.4596e-07	7.6948e-10	1.728e-11	-1.5529e-10	3.4394e-07	-3.4594e-07	-6.123e-11	-2.54e-10	-2.4316e-10	3.4532e-07	-3.4366e-07	-3.298e-10	-2.2222e-10	-2.159e-10	3.461e-07	-3.439e-07	9.82e-10	-8.456e-11	-3.0429e-10	3.4346e-07	-3.4564e-07	9.847e-10	-1.0313e-10	-3.3833e-10	3.4346e-07	-3.4528e-07
-0.29	-5.6315e-10	-2.164e-10	4.99e-12	3.4604e-07	-3.4374e-07	-6.1021e-10	-1.3751e-10	1.484e-11	3.4596e-07	-3.436e-07	6.4441e-10	-1.1794e-10	-1.4746e-10	3.4422e-07	-3.4558e-07	8.5719e-10	-5.656e-11	-1.5973e-10	3.4396e-07	-3.4616e-07	-1.8308e-10	-2.3154e-10	-1.7169e-10	3.4538e-07	-3.4364e-07	7.57e-10	3.59e-11	-1.5622e-10	3.4394e-07	-3.4608e-07	8.3167e-10	1.514e-11	-1.8908e-10	3.4366e-07	-3.4598e-07	-1.1618e-10	-2.4885e-10	-2.6055e-10	3.4554e-07	-3.4358e-07	8.579e-10	-1.1108e-10	-3.2924e-10	3.4426e-07	-3.4582e-07	9.607e-10	-9.684e-11	-3.4811e-10	3.4342e-07	-3.4546e-07	9.189e-10	-1.2345e-10	-3.9258e-10	3.4358e-07	-3.4496e-07
-0.285	-6.3131e-10	-2.0199e-10	2.003e-11	3.4606e-07	-3.4344e-07	-5.6996e-10	-1.1616e-10	1.116e-11	3.4614e-07	-3.4372e-07	5.8591e-10	-1.2914e-10	-1.6628e-10	3.436e-07	-3.4486e-07	8.4568e-10	-7.276e-11	-1.8494e-10	3.4398e-07	-3.459e-07	-2.3966e-10	-2.2246e-10	-1.9051e-10	3.4544e-07	-3.435e-07	5.491e-10	3.696e-11	-1.3966e-10	3.4452e-07	-3.4578e-07	9.0234e-10	9.13e-12	-2.264e-10	3.4368e-07	-3.4594e-07	-1.4982e-10	-2.3691e-10	-2.8386e-10	3.4556e-07	-3.4342e-07	1.0456e-09	-5.264e-11	-3.3686e-10	3.4418e-07	-3.4636e-07	8.901e-10	-1.2335e-10	-4.0665e-10	3.4376e-07	-3.449e-07	1.1297e-09	-6.441e-11	-4.0836e-10	3.4362e-07	-3.4586e-07
-0.28	-6.959e-10	-1.7838e-10	3.563e-11	3.461e-07	-3.4354e-07	-5.3196e-10	-9.195e-11	1.093e-11	3.4614e-07	-3.442e-07	5.2313e-10	-1.3669e-10	-1.8337e-10	3.4372e-07	-3.4478e-07	8.0999e-10	-8.545e-11	-2.1329e-10	3.4396e-07	-3.4568e-07	-2.753e-10	-2.1191e-10	-2.0656e-10	3.4546e-07	-3.4344e-07	7.816e-10	-1.2628e-10	-3.041e-10	3.4382e-07	-3.4514e-07	9.662e-10	1.32e-12	-2.7386e-10	3.4366e-07	-3.4594e-07	-1.5391e-10	-2.2385e-10	-3.1555e-10	3.4542e-07	-3.4344e-07	1.0213e-09	-6.967e-11	-3.9285e-10	3.4414e-07	-3.4618e-07	1.1033e-09	-1.946e-11	-3.8915e-10	3.437e-07	-3.4616e-07	1.1148e-09	-7.831e-11	-4.7233e-10	3.4346e-07	-3.4552e-07
-0.275	-7.3373e-10	-1.6301e-10	4.179e-11	3.4608e-07	-3.4344e-07	-4.7463e-10	-6.824e-11	6.72e-12	3.4602e-07	-3.4394e-07	4.3267e-10	-1.4886e-10	-2.0478e-10	3.4394e-07	-3.4454e-07	7.4632e-10	-1.0533e-10	-2.473e-10	3.4422e-07	-3.4542e-07	-3.0366e-10	-1.9938e-10	-2.2125e-10	3.4564e-07	-3.4332e-07	1.0223e-09	-4.503e-11	-3.1558e-10	3.4372e-07	-3.4588e-07	1.0222e-09	-7.35e-12	-3.2376e-10	3.4344e-07	-3.4604e-07	-1.7309e-10	-2.1258e-10	-3.5199e-10	3.4576e-07	-3.4332e-07	9.98e-10	-8.414e-11	-4.537e-10	3.4388e-07	-3.4582e-07	1.1801e-09	-4.436e-11	-4.6553e-10	3.435e-07	-3.4582e-07	1.1009e-09	-9.141e-11	-5.4052e-10	3.4338e-07	-3.4532e-07
-0.27	-7.4946e-10	-1.4436e-10	4.911e-11	3.4622e-07	-3.4368e-07	-3.8954e-10	-4.198e-11	-4.05e-12	3.4578e-07	-3.4454e-07	3.5483e-10	-1.5682e-10	-2.2546e-10	3.441e-07	-3.4446e-07	7.1481e-10	-1.1499e-10	-2.8053e-10	3.4402e-07	-3.4536e-07	-3.3336e-10	-1.8288e-10	-2.4489e-10	3.4566e-07	-3.4338e-07	1.0011e-09	-7.403e-11	-3.6288e-10	3.4364e-07	-3.457e-07	1.08053e-09	-2.588e-11	-3.8009e-10	3.4342e-07	-3.4566e-07	-1.7491e-10	-1.9624e-10	-3.9044e-10	3.458e-07	-3.435e-07	9.589e-10	-1.0954e-10	-5.1873e-10	3.4402e-07	-3.4532e-07	1.1801e-09	-5.511e-11	-5.4436e-10	3.435e-07	-3.4574e-07	1.0606e-09	-1.2604e-10	-6.1898e-10	3.4348e-07	-3.448e-07
-0.265	-7.5364e-10	-1.2643e-10	5.781e-11	3.4624e-07	-3.438e-07	-3.076e-10	-1.92e-11	-1.151e-11	3.4592e-07	-3.4442e-07	2.5586e-10	-1.6559e-10	-2.4356e-10	3.442e-07	-3.4412e-07	6.319e-10	-1.3375e-10	-3.1405e-10	3.4432e-07	-3.4504e-07	-3.4293e-10	-1.6642e-10	-2.7403e-10	3.4578e-07	-3.4336e-07	9.366e-10	-1.0078e-10	-4.1766e-10	3.439e-07	-3.4514e-07	1.12222e-09	-2.941e-11	-4.423e-10	3.434e-07	-3.457e-07	1.1665e-09	-3.13e-12	-4.7155e-10	3.441e-07	-3.4652e-07	8.875e-10	-1.4264e-10	-5.8663e-10	3.4426e-07	-3.4508e-07	1.1962e-09	-7.702e-11	-6.1925e-10	3.4348e-07	-3.4558e-07	9.965e-10	-1.5752e-10	-6.9651e-10	3.4384e-07	-3.445e-07
-0.26	-7.1939e-10	-1.0152e-10	6.327e-11	3.4622e-07	-3.4392e-07	-2.237e-10	-1.61e-12	-2.182e-11	3.4562e-07	-3.4476e-07	1.9645e-10	-1.7323e-10	-2.6622e-10	3.4428e-07	-3.4374e-07	5.5393e-10	-1.4253e-10	-3.5273e-10	3.444e-07	-3.4496e-07	-3.0611e-10	-1.5321e-10	-3.0787e-10	3.458e-07	-3.4326e-07	8.581e-10	-1.2129e-10	-4.829e-10	3.4392e-07	-3.451e-07	1.1787e-09	-1.478e-11	-4.8743e-10	3.4352e-07	-3.459e-07	1.2487e-09	-2.461e-11	-5.5814e-10	3.439e-07	-3.461e-07	8.44e-10	-1.7041e-10	-6.5452e-10	3.444e-07	-3.4472e-07	1.1481e-09	-1.0556e-10	-7.1026e-10	3.4368e-07	-3.4492e-07	9.525e-10	-1.8244e-10	-7.7873e-10	3.4402e-07	-3.443e-07
-0.255	-6.8024e-10	-7.877e-11	6.477e-11	3.4632e-07	-3.4412e-07	-1.3716e-10	1.558e-11	-4.038e-11	3.4562e-07	-3.448e-07	1.1803e-10	-1.805e-10	-2.9357e-10	3.4448e-07	-3.437e-07	4.6843e-10	-1.5269e-10	-3.9524e-10	3.4406e-07	-3.442e-07	-2.4108e-10	-1.2796e-10	-3.4552e-10	3.4596e-07	-3.4364e-07	7.576e-10	-1.4313e-10	-5.4086e-10	3.4412e-07	-3.4458e-07	1.2185e-09	-3.566e-11	-5.695e-10	3.434e-07	-3.4562e-07	1.2647e-09	-4.129e-11	-6.4464e-10	3.439e-07	-3.4602e-07	1.2756e-09	3.142e-11	-6.4212e-10	3.4414e-07	-3.466e-07	1.1039e-09	-1.4112e-10	-8.0066e-10	3.4388e-07	-3.4472e-07	9.739e-10	-1.9277e-10	-8.6968e-10	3.4414e-07	-3.4394e-07
