gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
8.83999999999997e-09	1.838e-08	2.8474e-07	3.0552e-07	1.6128e-07	4.12559999999999e-07	2.32680000000001e-07
1.291e-08	2.514e-08	1.265e-07	1.566e-07	1.2668e-07	2.2694e-07	3.7838e-07
-4.22999999999999e-09	3.031e-08	-3.437e-08	-1.16100000000001e-08	1.9508e-07	2.523e-07	3.38979999999999e-07
-6.33999999999993e-09	2.018e-08	-3.56700000000001e-08	-2.561e-08	9.39799999999993e-08	3.49780000000001e-07	4.32420000000004e-07
1.72400000000001e-08	-9.39999999999933e-10	-2.33900000000002e-08	-3.22000000000002e-09	3.81599999999995e-08	1.23200000000001e-07	6.89160000000003e-07
-2.83999999999998e-09	-4.19e-08	-9.22000000000001e-09	3.38300000000001e-08	2.4846e-07	3.2088e-07	4.95559999999999e-07
-4.54e-09	-6.31699999999999e-08	-2.00000000000061e-11	4.33299999999999e-08	1.182e-07	3.502e-07	7.09919999999999e-07
2.384e-08	-4.758e-08	2.682e-08	5.43199999999999e-08	1.1214e-07	2.0914e-07	7.92139999999998e-07
-7.27999999999998e-09	-3.132e-08	4.53e-08	1.2854e-07	2.7672e-07	4.616e-07	6.4746e-07
-1.115e-08	4.043e-08	6.66299999999999e-08	9.74199999999999e-08	1.462e-07	4.0322e-07	8.8368e-07
-5.58999999999999e-09	9.19999999999999e-08	9.86099999999999e-08	1.2734e-07	1.944e-07	3.443e-07	8.34059999999999e-07
-8.69e-09	7.41999999999999e-08	1.0774e-07	1.3528e-07	3.3666e-07	5.26099999999999e-07	9.2404e-07
2.313e-08	6.089e-08	1.1021e-07	1.333e-07	1.8388e-07	4.9202e-07	9.87839999999999e-07
-3.5600000000001e-09	4.79000000000001e-08	1.1409e-07	2.0296e-07	2.94700000000001e-07	5.75800000000001e-07	9.15040000000001e-07
-9.4200000000001e-09	3.90500000000001e-08	1.0021e-07	5.12600000000005e-08	4.21560000000001e-07	7.54640000000002e-07	1.10254e-06
