I/V Sweep,id_vds_P
RecordTime,09/26/2023 11:17:19
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-1.5836000000000002E-05,1.1210000000000001E-11,1.5744E-05,5.1926E-07,-4.4016E-07
0.005,0,-1.5204E-05,1.7200000000000003E-11,1.5196E-05,5.185E-07,-4.403E-07
0.01,0,-1.5034E-05,4.0900000000000005E-12,1.4822E-05,5.1722E-07,-4.4036E-07
0.015000000000000001,0,-1.471E-05,-2.2700000000000002E-12,1.4410000000000001E-05,5.1624E-07,-4.4046E-07
0.02,0,-1.4182E-05,-8.3900000000000012E-12,1.4142000000000001E-05,5.1508E-07,-4.4046E-07
0.025,0,-1.399E-05,-1.2320000000000001E-11,1.3772000000000001E-05,5.1404E-07,-4.406E-07
0.030000000000000002,0,-1.3676000000000001E-05,-1.7890000000000002E-11,1.3354000000000001E-05,5.1302E-07,-4.4069999999999997E-07
0.035,0,-1.319E-05,-2.77E-12,1.323E-05,5.1194E-07,-4.4072E-07
0.04,0,-1.2942E-05,2.1170000000000003E-11,1.2902000000000001E-05,5.1084E-07,-4.4078E-07
0.045000000000000005,0,-1.2744E-05,1.1410000000000001E-11,1.2538000000000001E-05,5.0976E-07,-4.4082E-07
0.05,0,-1.2456E-05,7.670000000000001E-12,1.2246000000000001E-05,5.0868E-07,-4.4092E-07
0.055,0,-1.2110000000000001E-05,3.4700000000000004E-12,1.1982E-05,5.0782E-07,-4.4104E-07
0.060000000000000005,0,-1.18E-05,-8.34E-12,1.1766E-05,5.0678E-07,-4.4111999999999997E-07
0.065,0,-1.1584000000000001E-05,-8.4700000000000009E-12,1.1426E-05,5.0575999999999994E-07,-4.4118E-07
0.07,0,-1.1282E-05,2.2000000000000003E-12,1.1246E-05,5.0496E-07,-4.4134E-07
0.075,0,-1.1058E-05,5.3200000000000008E-12,1.092E-05,5.0404E-07,-4.4136E-07
0.08,0,-1.0782000000000001E-05,1.391E-11,1.0624E-05,5.031E-07,-4.4136E-07
0.085,0,-1.0522E-05,-1.637E-11,1.04E-05,5.0248E-07,-4.417E-07
0.090000000000000011,0,-1.0242000000000001E-05,-6.0000000000000007E-13,1.0156E-05,5.013E-07,-4.4146E-07
0.095,0,-9.984E-06,-4.0500000000000007E-12,9.9100000000000017E-06,5.0043999999999995E-07,-4.4164E-07
0.1,0,-9.7253000000000016E-06,-5.43E-12,9.7086E-06,4.9974E-07,-4.4162E-07
0.10500000000000001,0,-9.582100000000001E-06,6.9300000000000006E-12,9.5183000000000017E-06,4.9888E-07,-4.417E-07
0.11,0,-9.456E-06,4.73E-12,9.4033E-06,4.9784E-07,-4.4178E-07
0.115,0,-9.252200000000001E-06,-1.2220000000000001E-11,9.1546E-06,4.9706E-07,-4.4178E-07
0.12000000000000001,0,-9.0881E-06,-9.03E-12,8.9878E-06,4.9622E-07,-4.4184E-07
0.125,0,-8.8319000000000009E-06,6.8000000000000009E-12,8.8441E-06,4.956E-07,-4.4192E-07
0.13,0,-8.7184000000000011E-06,-1.1750000000000001E-11,8.5673E-06,4.9466E-07,-4.4198E-07
0.135,0,-8.5101E-06,4.47E-12,8.4382000000000016E-06,4.9376E-07,-4.4206E-07
0.14,0,-8.2949E-06,-3.4700000000000004E-12,8.213100000000001E-06,4.9316E-07,-4.4208E-07
0.14500000000000002,0,-8.1384000000000016E-06,4.72E-12,8.0801E-06,4.923E-07,-4.4206E-07
0.15,0,-7.9771E-06,-1.868E-11,7.8976E-06,4.9154E-07,-4.4218E-07
0.155,0,-7.8173E-06,3.2400000000000003E-12,7.7838000000000016E-06,4.908E-07,-4.4226E-07
0.16,0,-7.642E-06,1.746E-11,7.6761000000000009E-06,4.9002E-07,-4.4226E-07
0.165,0,-7.4824000000000006E-06,-1.0500000000000001E-11,7.4176000000000008E-06,4.893E-07,-4.4232E-07
0.17,0,-7.3854000000000005E-06,-2.26E-12,7.3029000000000008E-06,4.8862E-07,-4.4236E-07
0.17500000000000002,0,-7.1856000000000011E-06,-3.9430000000000006E-11,7.0750000000000009E-06,4.8798E-07,-4.4242E-07
0.18000000000000002,0,-7.0058000000000008E-06,4.7360000000000005E-11,6.9596000000000011E-06,4.8717999999999995E-07,-4.4244E-07
0.185,0,-6.8153000000000006E-06,-5.5050000000000006E-11,6.8299000000000005E-06,4.8642E-07,-4.424E-07
0.19,0,-6.8652000000000008E-06,3.522E-11,6.7619000000000004E-06,4.858E-07,-4.425E-07
0.195,0,-6.702300000000001E-06,-6.4140000000000011E-11,6.6378000000000011E-06,4.8511999999999994E-07,-4.4262E-07
0.2,0,-6.6309E-06,5.4580000000000007E-11,6.5232000000000005E-06,4.8434E-07,-4.4268E-07
0.20500000000000002,0,-6.4950000000000005E-06,-2.6590000000000002E-11,6.4049E-06,4.8376E-07,-4.426E-07
0.21000000000000002,0,-6.2612E-06,-5.44E-12,6.2192000000000005E-06,4.8312E-07,-4.4274E-07
0.215,0,-6.1505000000000007E-06,-6.9300000000000006E-12,6.1392000000000004E-06,4.8262E-07,-4.4278E-07
0.22,0,-6.0771000000000007E-06,1.13E-11,6.0646E-06,4.8184E-07,-4.4268E-07
0.225,0,-5.9806000000000008E-06,-4.8020000000000006E-11,5.9184000000000008E-06,4.8118E-07,-4.4282E-07
0.23,0,-5.8221000000000006E-06,3.9960000000000003E-11,5.788300000000001E-06,4.8056E-07,-4.429E-07
0.23500000000000001,0,-5.7673000000000007E-06,-3.062E-11,5.687100000000001E-06,4.7998E-07,-4.4298E-07
