"Frequency"	"Magnitude"
1.010000000000E+02	2.311809E+01
1.041800000000E+02	2.315681E+01
1.073610000000E+02	2.321757E+01
1.105410000000E+02	2.321909E+01
1.137210000000E+02	2.325954E+01
1.169020000000E+02	2.329312E+01
1.200820000000E+02	2.329351E+01
1.232620000000E+02	2.332044E+01
1.264430000000E+02	2.332589E+01
1.296230000000E+02	2.331305E+01
1.328030000000E+02	2.335279E+01
1.359830000000E+02	2.335188E+01
1.391640000000E+02	2.336275E+01
1.423440000000E+02	2.337944E+01
1.455240000000E+02	2.342305E+01
1.487050000000E+02	2.340881E+01
1.518850000000E+02	2.334244E+01
1.550650000000E+02	2.339457E+01
1.582460000000E+02	2.343077E+01
1.614260000000E+02	2.342015E+01
1.646060000000E+02	2.343254E+01
1.677870000000E+02	2.344411E+01
1.709670000000E+02	2.343347E+01
1.741470000000E+02	2.343672E+01
1.773280000000E+02	2.342284E+01
1.805080000000E+02	2.344652E+01
1.836880000000E+02	2.344763E+01
1.868680000000E+02	2.346128E+01
1.900490000000E+02	2.346018E+01
1.932290000000E+02	2.345218E+01
1.964090000000E+02	2.346238E+01
1.995900000000E+02	2.346962E+01
2.027700000000E+02	2.347236E+01
2.059500000000E+02	2.346533E+01
2.091310000000E+02	2.348279E+01
2.123110000000E+02	2.348686E+01
2.154910000000E+02	2.349859E+01
2.186720000000E+02	2.349456E+01
2.218520000000E+02	2.348886E+01
2.250320000000E+02	2.350024E+01
2.282130000000E+02	2.350251E+01
2.313930000000E+02	2.350434E+01
2.345730000000E+02	2.349664E+01
2.377530000000E+02	2.353181E+01
2.409340000000E+02	2.348194E+01
2.441140000000E+02	2.350516E+01
2.472940000000E+02	2.350796E+01
2.504750000000E+02	2.349399E+01
2.536550000000E+02	2.352499E+01
2.568350000000E+02	2.350562E+01
2.600160000000E+02	2.352591E+01
2.631960000000E+02	2.351228E+01
2.641960000000E+02	2.351541E+01
2.725980000000E+02	2.352871E+01
2.810010000000E+02	2.350956E+01
2.894030000000E+02	2.354456E+01
2.978060000000E+02	2.352659E+01
3.062080000000E+02	2.353591E+01
3.146110000000E+02	2.353811E+01
3.230130000000E+02	2.355138E+01
3.314150000000E+02	2.356667E+01
3.398180000000E+02	2.354470E+01
3.482200000000E+02	2.355729E+01
3.566230000000E+02	2.353732E+01
3.650250000000E+02	2.356018E+01
3.734280000000E+02	2.355249E+01
3.818300000000E+02	2.355717E+01
3.902320000000E+02	2.357402E+01
3.986350000000E+02	2.355826E+01
4.070370000000E+02	2.355769E+01
4.154400000000E+02	2.355485E+01
4.238420000000E+02	2.357880E+01
4.322450000000E+02	2.356561E+01
4.406470000000E+02	2.357910E+01
4.490490000000E+02	2.354356E+01
4.574520000000E+02	2.354408E+01
4.658540000000E+02	2.356069E+01
4.742570000000E+02	2.356866E+01
4.826590000000E+02	2.357984E+01
4.910620000000E+02	2.357937E+01
4.994640000000E+02	2.356830E+01
5.078670000000E+02	2.354490E+01
5.162690000000E+02	2.358659E+01
5.246710000000E+02	2.356581E+01
5.330740000000E+02	2.358637E+01
5.414760000000E+02	2.356986E+01
5.498790000000E+02	2.355641E+01
5.582810000000E+02	2.359325E+01
5.666840000000E+02	2.356151E+01
5.750860000000E+02	2.358020E+01
5.834880000000E+02	2.355977E+01
5.918910000000E+02	2.359028E+01
6.002930000000E+02	2.357003E+01
6.086960000000E+02	2.358472E+01
6.170980000000E+02	2.355853E+01
6.255010000000E+02	2.358863E+01
6.339030000000E+02	2.356813E+01
6.423050000000E+02	2.358572E+01
6.507080000000E+02	2.356446E+01
6.591100000000E+02	2.357535E+01
6.675130000000E+02	2.358147E+01
6.759150000000E+02	2.359071E+01
6.843180000000E+02	2.358266E+01
6.927200000000E+02	2.359668E+01
6.937200000000E+02	2.358634E+01
7.158670000000E+02	2.360004E+01
7.380140000000E+02	2.357583E+01
7.601610000000E+02	2.359013E+01
7.823070000000E+02	2.359704E+01
8.044540000000E+02	2.358292E+01
8.266010000000E+02	2.359733E+01
8.487480000000E+02	2.357502E+01
8.708950000000E+02	2.358624E+01
8.930420000000E+02	2.359499E+01
9.151890000000E+02	2.359628E+01
9.373350000000E+02	2.358974E+01
9.594820000000E+02	2.361937E+01
9.816290000000E+02	2.358418E+01
1.003776000000E+03	2.359113E+01
1.025923000000E+03	2.360031E+01
1.048070000000E+03	2.357701E+01
1.070217000000E+03	2.357560E+01
1.092364000000E+03	2.357756E+01
1.114510000000E+03	2.359808E+01
1.136657000000E+03	2.357969E+01
1.158804000000E+03	2.359676E+01
1.180951000000E+03	2.359402E+01
1.203098000000E+03	2.358737E+01
1.225245000000E+03	2.359840E+01
1.247392000000E+03	2.359940E+01
1.269538000000E+03	2.360022E+01
1.291685000000E+03	2.357843E+01
1.313832000000E+03	2.360684E+01
1.335979000000E+03	2.358683E+01
1.358126000000E+03	2.359478E+01
1.380273000000E+03	2.359157E+01
1.402420000000E+03	2.360966E+01
1.424566000000E+03	2.355709E+01
1.446713000000E+03	2.360655E+01
1.468860000000E+03	2.359281E+01
1.491007000000E+03	2.359003E+01
1.513154000000E+03	2.360424E+01
1.535301000000E+03	2.359373E+01
1.557448000000E+03	2.359377E+01
1.579595000000E+03	2.359863E+01
1.601741000000E+03	2.359211E+01
1.623888000000E+03	2.358932E+01
1.646035000000E+03	2.358331E+01
1.668182000000E+03	2.360775E+01
1.690329000000E+03	2.358719E+01
1.712476000000E+03	2.359752E+01
1.734623000000E+03	2.359219E+01
1.756769000000E+03	2.361273E+01
1.778916000000E+03	2.361718E+01
1.801063000000E+03	2.357925E+01
1.823210000000E+03	2.358945E+01
1.824210000000E+03	2.360458E+01
1.882531000000E+03	2.359155E+01
1.940853000000E+03	2.356819E+01
1.999174000000E+03	2.355213E+01
2.057495000000E+03	2.358845E+01
2.115817000000E+03	2.358477E+01
2.174138000000E+03	2.359710E+01
2.232460000000E+03	2.358130E+01
2.290781000000E+03	2.358723E+01
2.349102000000E+03	2.359497E+01
2.407424000000E+03	2.357730E+01
2.465745000000E+03	2.356671E+01
2.524066000000E+03	2.357496E+01
2.582388000000E+03	2.356413E+01
2.640709000000E+03	2.362142E+01
2.699031000000E+03	2.360658E+01
2.757352000000E+03	2.358715E+01
2.815673000000E+03	2.358619E+01
2.873995000000E+03	2.357622E+01
2.932316000000E+03	2.358098E+01
2.990637000000E+03	2.355787E+01
3.048959000000E+03	2.358505E+01
3.107280000000E+03	2.359275E+01
3.165602000000E+03	2.358686E+01
3.223923000000E+03	2.360024E+01
3.282244000000E+03	2.358585E+01
3.340566000000E+03	2.359470E+01
3.398887000000E+03	2.359622E+01
3.457208000000E+03	2.358491E+01
3.515530000000E+03	2.356403E+01
3.573851000000E+03	2.357633E+01
3.632173000000E+03	2.360403E+01
3.690494000000E+03	2.356743E+01
3.748815000000E+03	2.358509E+01
3.807137000000E+03	2.357166E+01
3.865458000000E+03	2.359123E+01
3.923779000000E+03	2.358862E+01
3.982101000000E+03	2.359678E+01
4.040422000000E+03	2.357896E+01
4.098744000000E+03	2.359172E+01
4.157065000000E+03	2.356720E+01
4.215386000000E+03	2.358007E+01
4.273708000000E+03	2.356823E+01
4.332029000000E+03	2.357724E+01
4.390350000000E+03	2.358835E+01
4.448672000000E+03	2.358434E+01
4.506993000000E+03	2.357834E+01
4.565315000000E+03	2.358158E+01
4.623636000000E+03	2.359658E+01
4.681957000000E+03	2.359216E+01
4.740279000000E+03	2.360225E+01
4.798600000000E+03	2.357481E+01
4.799600000000E+03	2.352889E+01
4.953131000000E+03	2.361755E+01
5.106663000000E+03	2.357301E+01
5.260194000000E+03	2.356752E+01
5.413725000000E+03	2.359366E+01
5.567257000000E+03	2.357582E+01
5.720788000000E+03	2.356466E+01
5.874320000000E+03	2.354681E+01
6.027851000000E+03	2.356914E+01
6.181382000000E+03	2.355230E+01
6.334914000000E+03	2.358757E+01
6.488445000000E+03	2.357583E+01
6.641976000000E+03	2.354114E+01
6.795508000000E+03	2.357741E+01
6.949039000000E+03	2.354612E+01
7.102571000000E+03	2.355058E+01
7.256102000000E+03	2.357067E+01
7.409633000000E+03	2.355793E+01
7.563165000000E+03	2.358406E+01
7.716696000000E+03	2.354994E+01
7.870227000000E+03	2.357850E+01
8.023759000000E+03	2.355384E+01
8.177290000000E+03	2.355950E+01
8.330822000000E+03	2.357227E+01
8.484353000000E+03	2.358342E+01
8.637884000000E+03	2.360020E+01
8.791416000000E+03	2.356106E+01
8.944947000000E+03	2.356608E+01
9.098478000000E+03	2.360678E+01
9.252010000000E+03	2.354199E+01
9.405541000000E+03	2.356216E+01
9.559073000000E+03	2.355540E+01
9.712604000000E+03	2.360786E+01
9.866135000000E+03	2.357722E+01
1.001966700000E+04	2.356210E+01
1.017319800000E+04	2.358224E+01
1.032672900000E+04	2.357281E+01
1.048026100000E+04	2.355889E+01
1.063379200000E+04	2.355839E+01
1.078732400000E+04	2.356178E+01
1.094085500000E+04	2.355010E+01
1.109438600000E+04	2.358811E+01
1.124791800000E+04	2.357089E+01
1.140144900000E+04	2.356644E+01
1.155498000000E+04	2.357600E+01
1.170851200000E+04	2.358219E+01
1.186204300000E+04	2.359175E+01
1.201557500000E+04	2.355043E+01
1.216910600000E+04	2.355609E+01
1.232263700000E+04	2.355896E+01
1.247616900000E+04	2.357852E+01
1.262970000000E+04	2.356964E+01
1.263070000000E+04	2.352819E+01
1.303482200000E+04	2.360823E+01
1.343894300000E+04	2.359221E+01
1.384306500000E+04	2.352297E+01
1.424718600000E+04	2.353881E+01
1.465130800000E+04	2.356581E+01
1.505542900000E+04	2.356711E+01
1.545955100000E+04	2.358627E+01
1.586367300000E+04	2.355393E+01
1.626779400000E+04	2.356692E+01
1.667191600000E+04	2.356647E+01
1.707603700000E+04	2.358839E+01
1.748015900000E+04	2.354323E+01
1.788428000000E+04	2.355680E+01
1.828840200000E+04	2.358489E+01
1.869252400000E+04	2.359336E+01
1.909664500000E+04	2.357732E+01
1.950076700000E+04	2.360707E+01
1.990488800000E+04	2.357819E+01
2.030901000000E+04	2.357942E+01
2.071313100000E+04	2.360074E+01
2.111725300000E+04	2.362085E+01
2.152137500000E+04	2.357985E+01
2.192549600000E+04	2.353187E+01
2.232961800000E+04	2.357060E+01
2.273373900000E+04	2.355502E+01
2.313786100000E+04	2.355683E+01
2.354198200000E+04	2.360723E+01
2.394610400000E+04	2.357221E+01
2.435022500000E+04	2.360357E+01
2.475434700000E+04	2.358587E+01
2.515846900000E+04	2.354181E+01
2.556259000000E+04	2.355653E+01
2.596671200000E+04	2.356396E+01
2.637083300000E+04	2.355902E+01
2.677495500000E+04	2.355915E+01
2.717907600000E+04	2.353968E+01
2.758319800000E+04	2.357957E+01
2.798732000000E+04	2.357649E+01
2.839144100000E+04	2.359378E+01
2.879556300000E+04	2.356378E+01
2.919968400000E+04	2.358789E+01
2.960380600000E+04	2.359305E+01
3.000792700000E+04	2.357479E+01
3.041204900000E+04	2.358987E+01
3.081617100000E+04	2.356763E+01
3.122029200000E+04	2.359216E+01
3.162441400000E+04	2.356371E+01
3.202853500000E+04	2.356261E+01
3.243265700000E+04	2.358944E+01
3.283677800000E+04	2.357160E+01
3.324090000000E+04	2.356716E+01
3.324190000000E+04	2.362179E+01
3.430555900000E+04	2.359576E+01
3.536921800000E+04	2.356056E+01
3.643287600000E+04	2.356576E+01
3.749653500000E+04	2.355341E+01
3.856019400000E+04	2.355796E+01
3.962385300000E+04	2.361125E+01
4.068751200000E+04	2.356837E+01
4.175117100000E+04	2.357345E+01
4.281482900000E+04	2.361457E+01
4.387848800000E+04	2.353152E+01
4.494214700000E+04	2.357025E+01
4.600580600000E+04	2.350910E+01
4.706946500000E+04	2.353474E+01
4.813312400000E+04	2.356144E+01
4.919678200000E+04	2.362012E+01
5.026044100000E+04	2.353294E+01
5.132410000000E+04	2.358614E+01
5.238775900000E+04	2.357183E+01
5.345141800000E+04	2.357137E+01
5.451507600000E+04	2.358189E+01
5.557873500000E+04	2.357753E+01
5.664239400000E+04	2.358060E+01
5.770605300000E+04	2.356433E+01
5.876971200000E+04	2.355384E+01
5.983337100000E+04	2.353594E+01
6.089702900000E+04	2.356028E+01
6.196068800000E+04	2.353578E+01
6.302434700000E+04	2.353715E+01
6.408800600000E+04	2.353616E+01
6.515166500000E+04	2.356074E+01
6.621532400000E+04	2.351929E+01
6.727898200000E+04	2.352612E+01
6.834264100000E+04	2.357037E+01
6.940630000000E+04	2.355916E+01
7.046995900000E+04	2.357899E+01
7.153361800000E+04	2.354781E+01
7.259727600000E+04	2.357516E+01
7.366093500000E+04	2.360213E+01
7.472459400000E+04	2.354102E+01
7.578825300000E+04	2.359910E+01
