"Frequency"	"Magnitude"
1.010000000000E+02	1.268749E-06
1.041800000000E+02	1.815880E-06
1.073610000000E+02	3.226780E-06
1.105410000000E+02	3.282164E-06
1.137210000000E+02	3.105215E-06
1.169020000000E+02	1.878039E-06
1.200820000000E+02	7.668789E-07
1.232620000000E+02	6.934997E-07
1.264430000000E+02	6.204284E-07
1.296230000000E+02	6.079362E-07
1.328030000000E+02	6.389583E-07
1.359830000000E+02	6.156025E-07
1.391640000000E+02	6.744019E-07
1.423440000000E+02	9.655622E-07
1.455240000000E+02	3.474206E-06
1.487050000000E+02	4.951667E-06
1.518850000000E+02	4.963747E-06
1.550650000000E+02	4.486484E-06
1.582460000000E+02	1.581513E-06
1.614260000000E+02	6.957929E-07
1.646060000000E+02	6.528931E-07
1.677870000000E+02	6.329018E-07
1.709670000000E+02	6.378140E-07
1.741470000000E+02	6.485274E-07
1.773280000000E+02	6.620307E-07
1.805080000000E+02	7.356186E-07
1.836880000000E+02	7.044890E-07
1.868680000000E+02	7.625756E-07
1.900490000000E+02	7.619582E-07
1.932290000000E+02	7.789649E-07
1.964090000000E+02	7.806905E-07
1.995900000000E+02	7.676662E-07
2.027700000000E+02	6.492410E-07
2.059500000000E+02	5.452749E-07
2.091310000000E+02	4.930717E-07
2.123110000000E+02	5.215089E-07
2.154910000000E+02	5.318648E-07
2.186720000000E+02	5.131115E-07
2.218520000000E+02	5.319812E-07
2.250320000000E+02	5.141785E-07
2.282130000000E+02	3.975292E-07
2.313930000000E+02	4.492231E-07
2.345730000000E+02	6.302869E-07
2.377530000000E+02	6.536024E-07
2.409340000000E+02	4.996036E-07
2.441140000000E+02	4.424688E-07
2.472940000000E+02	6.636134E-07
2.504750000000E+02	1.064062E-06
2.536550000000E+02	1.071511E-06
2.568350000000E+02	1.023514E-06
2.600160000000E+02	6.105399E-07
2.631960000000E+02	4.415680E-07
2.641960000000E+02	4.917160E-07
2.725980000000E+02	3.964812E-07
2.810010000000E+02	3.536702E-07
2.894030000000E+02	3.971300E-07
2.978060000000E+02	4.128481E-07
3.062080000000E+02	4.443583E-07
3.146110000000E+02	5.434811E-07
3.230130000000E+02	5.607482E-07
3.314150000000E+02	5.193527E-07
3.398180000000E+02	5.718001E-07
3.482200000000E+02	6.201965E-07
3.566230000000E+02	6.424366E-07
3.650250000000E+02	6.408073E-07
3.734280000000E+02	5.630664E-07
3.818300000000E+02	4.315483E-07
3.902320000000E+02	4.888234E-07
3.986350000000E+02	5.384355E-07
4.070370000000E+02	5.239265E-07
4.154400000000E+02	4.836919E-07
4.238420000000E+02	4.030537E-07
4.322450000000E+02	4.476782E-07
4.406470000000E+02	7.092721E-07
4.490490000000E+02	7.657584E-07
4.574520000000E+02	8.028918E-07
4.658540000000E+02	7.603403E-07
4.742570000000E+02	6.488560E-07
4.826590000000E+02	5.749904E-07
4.910620000000E+02	4.675971E-07
4.994640000000E+02	4.007151E-07
5.078670000000E+02	3.865615E-07
5.162690000000E+02	4.299226E-07
5.246710000000E+02	4.719273E-07
5.330740000000E+02	5.122587E-07
5.414760000000E+02	5.146825E-07
5.498790000000E+02	5.452280E-07
5.582810000000E+02	5.499224E-07
5.666840000000E+02	5.577643E-07
5.750860000000E+02	5.090232E-07
5.834880000000E+02	4.156967E-07
5.918910000000E+02	3.394395E-07
6.002930000000E+02	3.587932E-07
6.086960000000E+02	3.620334E-07
6.170980000000E+02	3.527524E-07
6.255010000000E+02	3.492230E-07
6.339030000000E+02	3.675048E-07
6.423050000000E+02	3.989082E-07
6.507080000000E+02	4.013698E-07
6.591100000000E+02	3.878159E-07
6.675130000000E+02	3.785212E-07
6.759150000000E+02	3.620248E-07
6.843180000000E+02	3.606034E-07
6.927200000000E+02	3.740628E-07
6.937200000000E+02	3.412106E-07
7.158670000000E+02	3.146686E-07
7.380140000000E+02	4.102396E-07
7.601610000000E+02	4.047769E-07
7.823070000000E+02	3.151300E-07
8.044540000000E+02	2.544934E-07
8.266010000000E+02	2.339360E-07
8.487480000000E+02	4.581176E-07
