"Frequency"	"Magnitude"
1.010000000000E+02	3.019490E+01
1.041800000000E+02	2.820036E+01
1.073610000000E+02	2.878146E+01
1.105410000000E+02	2.822701E+01
1.137210000000E+02	2.851187E+01
1.169020000000E+02	2.861723E+01
1.200820000000E+02	2.847089E+01
1.232620000000E+02	2.839880E+01
1.264430000000E+02	2.826348E+01
1.296230000000E+02	2.815536E+01
1.328030000000E+02	2.826183E+01
1.359830000000E+02	2.820168E+01
1.391640000000E+02	2.823309E+01
1.423440000000E+02	2.816750E+01
1.455240000000E+02	2.843964E+01
1.487050000000E+02	2.775906E+01
1.518850000000E+02	2.832255E+01
1.550650000000E+02	2.772580E+01
1.582460000000E+02	2.806727E+01
1.614260000000E+02	2.772222E+01
1.646060000000E+02	2.829482E+01
1.677870000000E+02	2.820218E+01
1.709670000000E+02	2.763799E+01
1.741470000000E+02	2.788683E+01
1.773280000000E+02	2.807000E+01
1.805080000000E+02	2.813741E+01
1.836880000000E+02	2.790564E+01
1.868680000000E+02	2.794313E+01
1.900490000000E+02	2.820826E+01
1.932290000000E+02	2.809241E+01
1.964090000000E+02	2.857567E+01
1.995900000000E+02	2.770958E+01
2.027700000000E+02	2.781916E+01
2.059500000000E+02	2.775830E+01
2.091310000000E+02	2.774073E+01
2.123110000000E+02	2.779115E+01
2.154910000000E+02	2.747957E+01
2.186720000000E+02	2.864852E+01
2.218520000000E+02	2.791771E+01
2.250320000000E+02	2.880558E+01
2.282130000000E+02	2.869248E+01
2.313930000000E+02	2.822323E+01
2.345730000000E+02	2.835968E+01
2.377530000000E+02	2.835494E+01
2.409340000000E+02	2.811310E+01
2.441140000000E+02	2.805587E+01
2.472940000000E+02	2.883615E+01
2.504750000000E+02	2.846890E+01
2.536550000000E+02	2.783827E+01
2.568350000000E+02	2.789799E+01
2.600160000000E+02	2.818140E+01
2.631960000000E+02	2.795135E+01
2.641960000000E+02	2.746268E+01
2.725980000000E+02	2.768141E+01
2.810010000000E+02	2.756575E+01
2.894030000000E+02	2.830501E+01
2.978060000000E+02	2.737528E+01
3.062080000000E+02	2.736210E+01
3.146110000000E+02	2.746617E+01
3.230130000000E+02	2.751227E+01
3.314150000000E+02	2.780986E+01
3.398180000000E+02	2.744017E+01
3.482200000000E+02	2.713074E+01
3.566230000000E+02	2.738991E+01
3.650250000000E+02	2.742029E+01
3.734280000000E+02	2.710725E+01
3.818300000000E+02	2.720256E+01
3.902320000000E+02	2.706439E+01
3.986350000000E+02	2.718168E+01
4.070370000000E+02	2.700540E+01
4.154400000000E+02	2.697536E+01
4.238420000000E+02	2.722038E+01
4.322450000000E+02	2.687532E+01
4.406470000000E+02	2.690534E+01
4.490490000000E+02	2.697613E+01
4.574520000000E+02	2.699061E+01
