"Frequency"	"Magnitude"
1.010000000000E+02	8.711657E-04
1.041800000000E+02	6.656753E-04
1.073610000000E+02	8.130739E-05
1.105410000000E+02	1.264689E-04
1.137210000000E+02	5.557366E-05
1.169020000000E+02	5.763377E-05
1.200820000000E+02	6.297227E-05
1.232620000000E+02	5.878320E-05
1.264430000000E+02	6.223688E-05
1.296230000000E+02	6.592428E-05
1.328030000000E+02	5.906735E-05
1.359830000000E+02	9.928238E-05
1.391640000000E+02	1.875383E-04
1.423440000000E+02	3.761113E-04
1.455240000000E+02	9.588829E-04
1.487050000000E+02	1.289310E-03
1.518850000000E+02	1.307859E-03
1.550650000000E+02	1.189726E-03
1.582460000000E+02	5.940703E-04
1.614260000000E+02	2.402110E-04
1.646060000000E+02	1.205416E-04
1.677870000000E+02	4.487576E-05
1.709670000000E+02	5.519545E-05
1.741470000000E+02	5.634790E-05
1.773280000000E+02	4.593536E-05
1.805080000000E+02	4.269219E-05
1.836880000000E+02	4.489078E-05
1.868680000000E+02	4.243209E-05
1.900490000000E+02	4.876844E-05
1.932290000000E+02	8.530699E-05
1.964090000000E+02	2.219523E-04
1.995900000000E+02	3.749045E-04
2.027700000000E+02	3.904238E-04
2.059500000000E+02	3.152117E-04
2.091310000000E+02	1.338081E-04
2.123110000000E+02	6.677675E-05
2.154910000000E+02	3.705141E-05
2.186720000000E+02	2.640306E-05
2.218520000000E+02	3.162395E-05
2.250320000000E+02	3.158313E-05
2.282130000000E+02	2.903643E-05
2.313930000000E+02	2.862632E-05
2.345730000000E+02	3.212356E-05
2.377530000000E+02	8.917884E-05
2.409340000000E+02	1.425408E-04
2.441140000000E+02	1.680989E-04
2.472940000000E+02	8.343525E-05
2.504750000000E+02	1.455969E-04
2.536550000000E+02	1.423112E-04
2.568350000000E+02	1.286054E-04
2.600160000000E+02	1.094271E-04
2.631960000000E+02	1.656206E-04
2.641960000000E+02	8.246276E-05
2.725980000000E+02	1.100240E-04
2.810010000000E+02	1.218678E-04
2.894030000000E+02	8.446130E-05
2.978060000000E+02	6.893176E-05
3.062080000000E+02	5.812116E-05
3.146110000000E+02	5.219840E-05
3.230130000000E+02	6.070509E-05
3.314150000000E+02	7.449822E-05
3.398180000000E+02	8.126316E-05
3.482200000000E+02	8.214058E-05
3.566230000000E+02	7.109497E-05
3.650250000000E+02	6.060427E-05
3.734280000000E+02	4.445879E-05
3.818300000000E+02	3.083218E-05
3.902320000000E+02	3.909883E-05
3.986350000000E+02	5.397657E-05
4.070370000000E+02	5.515050E-05
4.154400000000E+02	5.152823E-05
4.238420000000E+02	3.407024E-05
4.322450000000E+02	3.328055E-05
4.406470000000E+02	3.973171E-05
4.490490000000E+02	4.195474E-05
4.574520000000E+02	4.356988E-05
4.658540000000E+02	4.464107E-05
4.742570000000E+02	4.327324E-05
4.826590000000E+02	4.094465E-05
4.910620000000E+02	3.508420E-05
4.994640000000E+02	3.152328E-05
5.078670000000E+02	3.269803E-05
5.162690000000E+02	3.706678E-05
5.246710000000E+02	4.258564E-05
5.330740000000E+02	5.088132E-05
5.414760000000E+02	5.221023E-05
