"Frequency"	"Magnitude"
1.010000000000E+02	7.409483E-07
1.041800000000E+02	1.637519E-06
1.073610000000E+02	2.995523E-06
1.105410000000E+02	3.166208E-06
1.137210000000E+02	3.138127E-06
1.169020000000E+02	1.795484E-06
1.200820000000E+02	7.837757E-07
1.232620000000E+02	8.052652E-07
1.264430000000E+02	8.100243E-07
1.296230000000E+02	7.181418E-07
1.328030000000E+02	6.883015E-07
1.359830000000E+02	5.441661E-07
1.391640000000E+02	4.767630E-07
1.423440000000E+02	4.544608E-07
1.455240000000E+02	2.970474E-06
1.487050000000E+02	4.520481E-06
1.518850000000E+02	4.612652E-06
1.550650000000E+02	4.311111E-06
1.582460000000E+02	1.682010E-06
1.614260000000E+02	6.636413E-07
1.646060000000E+02	5.829999E-07
1.677870000000E+02	4.735050E-07
1.709670000000E+02	3.069754E-07
1.741470000000E+02	3.579419E-07
1.773280000000E+02	4.532804E-07
1.805080000000E+02	4.454441E-07
1.836880000000E+02	4.431997E-07
1.868680000000E+02	4.782170E-07
1.900490000000E+02	5.916484E-07
1.932290000000E+02	5.768803E-07
1.964090000000E+02	6.127702E-07
1.995900000000E+02	6.868246E-07
2.027700000000E+02	7.358855E-07
2.059500000000E+02	5.986398E-07
2.091310000000E+02	4.375740E-07
2.123110000000E+02	5.054328E-07
2.154910000000E+02	5.013345E-07
2.186720000000E+02	4.423137E-07
2.218520000000E+02	4.253340E-07
2.250320000000E+02	4.085726E-07
2.282130000000E+02	4.121922E-07
2.313930000000E+02	3.932786E-07
2.345730000000E+02	3.687446E-07
2.377530000000E+02	3.282652E-07
2.409340000000E+02	3.152598E-07
2.441140000000E+02	4.000976E-07
2.472940000000E+02	1.185570E-06
2.504750000000E+02	1.759045E-06
2.536550000000E+02	1.725893E-06
2.568350000000E+02	1.544521E-06
2.600160000000E+02	6.354242E-07
2.631960000000E+02	3.780416E-07
2.641960000000E+02	6.986141E-07
2.725980000000E+02	4.746609E-07
2.810010000000E+02	4.229940E-07
2.894030000000E+02	4.107153E-07
2.978060000000E+02	4.160730E-07
3.062080000000E+02	4.248574E-07
3.146110000000E+02	4.443052E-07
3.230130000000E+02	4.486061E-07
3.314150000000E+02	4.256603E-07
3.398180000000E+02	4.918060E-07
3.482200000000E+02	5.630254E-07
3.566230000000E+02	6.144217E-07
3.650250000000E+02	5.575579E-07
3.734280000000E+02	4.827749E-07
3.818300000000E+02	4.174428E-07
3.902320000000E+02	3.864654E-07
3.986350000000E+02	3.830455E-07
4.070370000000E+02	3.900175E-07
4.154400000000E+02	3.924682E-07
4.238420000000E+02	3.374305E-07
4.322450000000E+02	3.012812E-07
4.406470000000E+02	4.357172E-07
4.490490000000E+02	4.765752E-07
4.574520000000E+02	4.774586E-07
4.658540000000E+02	3.867181E-07
4.742570000000E+02	3.288076E-07
4.826590000000E+02	3.200221E-07
4.910620000000E+02	3.494358E-07
4.994640000000E+02	3.349376E-07
5.078670000000E+02	2.995443E-07
5.162690000000E+02	3.178204E-07
5.246710000000E+02	3.491085E-07
5.330740000000E+02	3.689586E-07
5.414760000000E+02	4.004950E-07
5.498790000000E+02	4.977388E-07
5.582810000000E+02	5.369421E-07
5.666840000000E+02	5.527769E-07
5.750860000000E+02	3.884929E-07
5.834880000000E+02	2.759876E-07
5.918910000000E+02	1.974548E-07
6.002930000000E+02	2.123543E-07
6.086960000000E+02	2.328243E-07
6.170980000000E+02	2.491670E-07
6.255010000000E+02	2.286177E-07
6.339030000000E+02	2.053933E-07
6.423050000000E+02	2.765335E-07
6.507080000000E+02	3.304596E-07
6.591100000000E+02	3.517634E-07
6.675130000000E+02	3.528707E-07
6.759150000000E+02	3.144474E-07
6.843180000000E+02	2.426445E-07
6.927200000000E+02	2.540575E-07
6.937200000000E+02	2.104386E-07
7.158670000000E+02	2.362012E-07
7.380140000000E+02	3.210217E-07
7.601610000000E+02	3.391621E-07
7.823070000000E+02	2.317443E-07
8.044540000000E+02	2.611115E-07
8.266010000000E+02	2.130509E-07
8.487480000000E+02	2.978403E-07
8.708950000000E+02	2.124266E-07
8.930420000000E+02	1.553471E-07
9.151890000000E+02	1.616292E-07
9.373350000000E+02	1.489617E-07
9.594820000000E+02	2.313907E-07
9.816290000000E+02	2.144402E-07
1.003776000000E+03	6.297114E-07
1.025923000000E+03	4.252318E-07
1.048070000000E+03	2.188581E-07
1.070217000000E+03	2.218694E-07
1.092364000000E+03	2.068833E-07
1.114510000000E+03	1.549201E-07
1.136657000000E+03	1.244630E-07
1.158804000000E+03	1.836171E-07
1.180951000000E+03	2.219988E-07
1.203098000000E+03	1.553412E-07
1.225245000000E+03	1.936531E-07
1.247392000000E+03	1.425974E-07
1.269538000000E+03	1.855357E-07
1.291685000000E+03	1.633317E-07
1.313832000000E+03	1.478629E-07
1.335979000000E+03	1.387570E-07
1.358126000000E+03	1.426714E-07
1.380273000000E+03	1.628942E-07
1.402420000000E+03	1.350781E-07
1.424566000000E+03	1.490023E-07
1.446713000000E+03	1.865808E-07
1.468860000000E+03	1.604180E-07
1.491007000000E+03	1.626651E-07
1.513154000000E+03	1.600671E-07
1.535301000000E+03	1.420556E-07
1.557448000000E+03	1.222057E-07
1.579595000000E+03	1.181759E-07
1.601741000000E+03	1.293193E-07
1.623888000000E+03	1.435205E-07
1.646035000000E+03	1.273055E-07
1.668182000000E+03	1.342420E-07
1.690329000000E+03	1.315779E-07
1.712476000000E+03	9.685350E-08
1.734623000000E+03	1.146858E-07
1.756769000000E+03	9.736237E-08
1.778916000000E+03	9.230556E-08
1.801063000000E+03	9.788764E-08
1.823210000000E+03	1.024594E-07
1.824210000000E+03	1.375706E-07
1.882531000000E+03	1.095707E-07
1.940853000000E+03	1.342854E-07
1.999174000000E+03	1.913172E-07
2.057495000000E+03	1.783262E-07
2.115817000000E+03	9.909124E-08
2.174138000000E+03	9.963705E-08
2.232460000000E+03	9.210146E-08
2.290781000000E+03	9.167664E-08
2.349102000000E+03	7.203474E-08
2.407424000000E+03	7.068834E-08
2.465745000000E+03	9.367771E-08
2.524066000000E+03	1.127880E-07
2.582388000000E+03	8.569507E-08
2.640709000000E+03	9.836514E-08
2.699031000000E+03	1.131686E-07
2.757352000000E+03	8.862415E-08
2.815673000000E+03	7.468736E-08
2.873995000000E+03	9.647144E-08
2.932316000000E+03	9.725597E-08
2.990637000000E+03	8.805740E-08
3.048959000000E+03	4.180565E-08
3.107280000000E+03	5.865540E-08
3.165602000000E+03	6.371484E-08
3.223923000000E+03	6.562902E-08
3.282244000000E+03	6.088806E-08
3.340566000000E+03	6.026210E-08
3.398887000000E+03	7.169260E-08
3.457208000000E+03	7.837266E-08
3.515530000000E+03	6.894219E-08
3.573851000000E+03	6.213351E-08
3.632173000000E+03	4.777594E-08
3.690494000000E+03	4.232385E-08
3.748815000000E+03	6.449302E-08
3.807137000000E+03	5.945920E-08
3.865458000000E+03	4.527161E-08
3.923779000000E+03	5.173078E-08
3.982101000000E+03	5.491007E-08
4.040422000000E+03	6.986423E-08
4.098744000000E+03	7.783079E-08
4.157065000000E+03	6.584968E-08
4.215386000000E+03	5.379196E-08
4.273708000000E+03	5.787826E-08
4.332029000000E+03	4.413258E-08
4.390350000000E+03	4.810981E-08
4.448672000000E+03	5.801576E-08
4.506993000000E+03	5.155926E-08
4.565315000000E+03	4.340712E-08
4.623636000000E+03	4.202440E-08
4.681957000000E+03	4.193158E-08
4.740279000000E+03	4.402390E-08
4.798600000000E+03	4.482127E-08
4.799600000000E+03	4.832006E-08
4.953131000000E+03	3.928198E-08
5.106663000000E+03	5.107479E-08
5.260194000000E+03	4.346177E-08
5.413725000000E+03	4.363604E-08
5.567257000000E+03	4.909313E-08
5.720788000000E+03	4.556257E-08
5.874320000000E+03	3.407071E-08
6.027851000000E+03	3.234377E-08
6.181382000000E+03	3.531186E-08
6.334914000000E+03	3.195890E-08
6.488445000000E+03	2.341987E-08
6.641976000000E+03	2.492319E-08
6.795508000000E+03	3.029358E-08
6.949039000000E+03	3.435127E-08
7.102571000000E+03	3.689189E-08
7.256102000000E+03	3.611458E-08
7.409633000000E+03	3.416899E-08
7.563165000000E+03	3.192467E-08
7.716696000000E+03	2.676234E-08
7.870227000000E+03	3.335860E-08
8.023759000000E+03	3.943523E-08
8.177290000000E+03	4.338047E-08
8.330822000000E+03	4.196332E-08
8.484353000000E+03	3.844736E-08
8.637884000000E+03	2.696332E-08
8.791416000000E+03	2.841997E-08
8.944947000000E+03	3.511709E-08
9.098478000000E+03	3.085770E-08
9.252010000000E+03	3.279288E-08
9.405541000000E+03	3.673691E-08
9.559073000000E+03	3.042601E-08
9.712604000000E+03	2.798819E-08
9.866135000000E+03	2.660366E-08
1.001966700000E+04	2.761952E-08
1.017319800000E+04	3.159396E-08
1.032672900000E+04	3.300388E-08
1.048026100000E+04	2.639724E-08
1.063379200000E+04	2.777063E-08
1.078732400000E+04	2.069801E-08
1.094085500000E+04	2.588206E-08
1.109438600000E+04	3.800468E-08
1.124791800000E+04	3.568903E-08
1.140144900000E+04	3.772471E-08
1.155498000000E+04	3.280111E-08
1.170851200000E+04	2.543520E-08
1.186204300000E+04	2.777034E-08
1.201557500000E+04	2.989522E-08
1.216910600000E+04	2.073461E-08
1.232263700000E+04	2.372741E-08
1.247616900000E+04	2.515777E-08
1.262970000000E+04	2.873128E-08
1.263070000000E+04	2.763438E-08
1.303482200000E+04	1.967428E-08
1.343894300000E+04	1.788770E-08
1.384306500000E+04	2.217408E-08
1.424718600000E+04	1.988741E-08
1.465130800000E+04	2.441820E-08
1.505542900000E+04	2.901765E-08
1.545955100000E+04	3.040612E-08
1.586367300000E+04	5.080346E-08
1.626779400000E+04	5.182351E-08
1.667191600000E+04	4.143234E-08
1.707603700000E+04	2.824530E-08
1.748015900000E+04	2.333700E-08
1.788428000000E+04	2.144142E-08
1.828840200000E+04	2.837723E-08
1.869252400000E+04	3.069858E-08
1.909664500000E+04	3.130179E-08
1.950076700000E+04	2.686608E-08
1.990488800000E+04	2.471131E-08
2.030901000000E+04	2.546014E-08
2.071313100000E+04	2.459548E-08
2.111725300000E+04	2.615684E-08
2.152137500000E+04	2.709530E-08
2.192549600000E+04	3.091092E-08
2.232961800000E+04	2.800649E-08
2.273373900000E+04	2.243427E-08
2.313786100000E+04	2.232148E-08
2.354198200000E+04	2.624272E-08
