"Frequency"	"Magnitude"
1.010000000000E+02	2.196701E-05
1.041800000000E+02	1.852178E-05
1.073610000000E+02	2.002987E-05
1.105410000000E+02	2.432251E-05
1.137210000000E+02	2.584402E-05
1.169020000000E+02	2.389976E-05
1.200820000000E+02	1.771142E-05
1.232620000000E+02	2.145019E-05
1.264430000000E+02	2.414221E-05
1.296230000000E+02	2.393659E-05
1.328030000000E+02	1.871705E-05
1.359830000000E+02	2.441856E-05
1.391640000000E+02	2.398464E-05
1.423440000000E+02	2.211572E-05
1.455240000000E+02	2.358549E-05
1.487050000000E+02	2.965086E-05
1.518850000000E+02	2.910304E-05
1.550650000000E+02	2.548203E-05
1.582460000000E+02	1.992671E-05
1.614260000000E+02	2.480554E-05
1.646060000000E+02	2.643704E-05
1.677870000000E+02	2.431169E-05
1.709670000000E+02	2.146931E-05
1.741470000000E+02	2.525499E-05
1.773280000000E+02	2.572916E-05
1.805080000000E+02	2.164001E-05
1.836880000000E+02	1.970779E-05
1.868680000000E+02	2.254745E-05
1.900490000000E+02	2.390037E-05
1.932290000000E+02	2.232045E-05
1.964090000000E+02	2.185992E-05
1.995900000000E+02	2.629695E-05
2.027700000000E+02	2.719116E-05
2.059500000000E+02	2.216479E-05
2.091310000000E+02	1.998120E-05
2.123110000000E+02	2.216633E-05
2.154910000000E+02	2.345249E-05
2.186720000000E+02	2.142002E-05
2.218520000000E+02	1.894014E-05
2.250320000000E+02	2.235093E-05
2.282130000000E+02	2.462760E-05
2.313930000000E+02	2.384330E-05
2.345730000000E+02	1.884231E-05
2.377530000000E+02	2.090878E-05
2.409340000000E+02	2.224185E-05
2.441140000000E+02	2.050283E-05
2.472940000000E+02	1.806072E-05
2.504750000000E+02	2.060594E-05
2.536550000000E+02	2.006254E-05
2.568350000000E+02	1.894169E-05
2.600160000000E+02	1.607200E-05
2.631960000000E+02	2.175756E-05
2.641960000000E+02	1.834987E-05
2.725980000000E+02	1.948097E-05
2.810010000000E+02	1.965650E-05
2.894030000000E+02	1.910506E-05
2.978060000000E+02	1.909877E-05
3.062080000000E+02	1.837003E-05
3.146110000000E+02	1.725753E-05
3.230130000000E+02	1.716563E-05
3.314150000000E+02	1.573256E-05
3.398180000000E+02	1.525372E-05
3.482200000000E+02	1.485847E-05
3.566230000000E+02	1.394737E-05
3.650250000000E+02	1.427106E-05
3.734280000000E+02	1.451506E-05
3.818300000000E+02	1.430913E-05
3.902320000000E+02	1.481392E-05
3.986350000000E+02	1.615892E-05
4.070370000000E+02	1.671564E-05
4.154400000000E+02	1.717334E-05
4.238420000000E+02	1.675073E-05
4.322450000000E+02	1.599323E-05
4.406470000000E+02	1.497815E-05
4.490490000000E+02	1.436399E-05
4.574520000000E+02	1.374917E-05
4.658540000000E+02	1.319870E-05
4.742570000000E+02	1.265725E-05
4.826590000000E+02	1.203054E-05
4.910620000000E+02	1.184599E-05
4.994640000000E+02	1.174820E-05
5.078670000000E+02	1.215873E-05
5.162690000000E+02	1.251608E-05
5.246710000000E+02	1.239633E-05
5.330740000000E+02	1.200932E-05
5.414760000000E+02	1.200485E-05
5.498790000000E+02	1.244759E-05
5.582810000000E+02	1.314994E-05
5.666840000000E+02	1.351764E-05
5.750860000000E+02	1.276767E-05
5.834880000000E+02	1.214420E-05
5.918910000000E+02	1.133741E-05
6.002930000000E+02	9.990724E-06
6.086960000000E+02	9.744344E-06
6.170980000000E+02	9.169163E-06
6.255010000000E+02	8.692855E-06
6.339030000000E+02	8.366506E-06
