"Frequency"	"Magnitude"
1.010000000000E+02	2.367338E-06
1.041800000000E+02	2.943550E-06
1.073610000000E+02	4.403809E-06
1.105410000000E+02	4.815500E-06
1.137210000000E+02	4.729794E-06
1.169020000000E+02	3.601619E-06
1.200820000000E+02	2.416047E-06
1.232620000000E+02	2.404583E-06
1.264430000000E+02	2.801211E-06
1.296230000000E+02	3.111995E-06
1.328030000000E+02	2.410610E-06
1.359830000000E+02	3.541007E-06
1.391640000000E+02	3.868774E-06
1.423440000000E+02	3.773366E-06
1.455240000000E+02	3.872547E-06
1.487050000000E+02	5.753569E-06
1.518850000000E+02	6.140120E-06
1.550650000000E+02	5.751070E-06
1.582460000000E+02	3.359414E-06
1.614260000000E+02	4.418500E-06
1.646060000000E+02	5.044233E-06
1.677870000000E+02	5.193315E-06
1.709670000000E+02	3.775766E-06
1.741470000000E+02	5.198542E-06
1.773280000000E+02	5.569996E-06
1.805080000000E+02	5.221596E-06
1.836880000000E+02	4.001919E-06
1.868680000000E+02	5.124869E-06
1.900490000000E+02	5.616781E-06
1.932290000000E+02	5.496966E-06
1.964090000000E+02	4.750230E-06
1.995900000000E+02	6.016448E-06
2.027700000000E+02	6.432885E-06
2.059500000000E+02	5.566813E-06
2.091310000000E+02	5.034259E-06
2.123110000000E+02	5.772304E-06
2.154910000000E+02	5.644167E-06
2.186720000000E+02	4.657877E-06
2.218520000000E+02	4.386017E-06
2.250320000000E+02	5.615944E-06
2.282130000000E+02	5.715811E-06
2.313930000000E+02	4.855717E-06
2.345730000000E+02	3.966253E-06
2.377530000000E+02	5.090516E-06
2.409340000000E+02	4.764277E-06
2.441140000000E+02	3.548068E-06
2.472940000000E+02	3.790239E-06
2.504750000000E+02	4.558016E-06
2.536550000000E+02	4.264181E-06
2.568350000000E+02	3.359290E-06
2.600160000000E+02	3.291011E-06
2.631960000000E+02	4.130283E-06
2.641960000000E+02	2.496329E-06
2.725980000000E+02	2.383272E-06
2.810010000000E+02	2.298586E-06
2.894030000000E+02	1.943311E-06
2.978060000000E+02	1.848434E-06
3.062080000000E+02	1.957990E-06
3.146110000000E+02	2.311170E-06
3.230130000000E+02	2.422297E-06
3.314150000000E+02	2.323357E-06
3.398180000000E+02	2.136250E-06
3.482200000000E+02	2.008201E-06
3.566230000000E+02	2.222904E-06
3.650250000000E+02	2.245116E-06
3.734280000000E+02	2.141963E-06
3.818300000000E+02	1.889286E-06
3.902320000000E+02	2.024417E-06
3.986350000000E+02	2.278701E-06
4.070370000000E+02	2.321979E-06
4.154400000000E+02	2.367652E-06
4.238420000000E+02	2.021248E-06
4.322450000000E+02	1.904383E-06
4.406470000000E+02	1.922657E-06
4.490490000000E+02	1.968311E-06
4.574520000000E+02	2.015968E-06
4.658540000000E+02	2.083591E-06
4.742570000000E+02	2.116517E-06
4.826590000000E+02	2.150437E-06
4.910620000000E+02	1.928063E-06
4.994640000000E+02	1.698991E-06
5.078670000000E+02	1.549102E-06
5.162690000000E+02	1.578174E-06
5.246710000000E+02	1.606983E-06
5.330740000000E+02	1.691489E-06
5.414760000000E+02	1.771268E-06
5.498790000000E+02	1.774756E-06
5.582810000000E+02	1.768196E-06
5.666840000000E+02	1.769181E-06
5.750860000000E+02	1.640196E-06
5.834880000000E+02	1.620027E-06
5.918910000000E+02	1.616620E-06
6.002930000000E+02	1.423988E-06
6.086960000000E+02	1.332656E-06
6.170980000000E+02	1.258275E-06
6.255010000000E+02	1.241637E-06
6.339030000000E+02	1.249975E-06
6.423050000000E+02	1.121847E-06
6.507080000000E+02	1.178968E-06
6.591100000000E+02	1.262348E-06
6.675130000000E+02	1.166449E-06
6.759150000000E+02	1.216694E-06
6.843180000000E+02	1.334693E-06
6.927200000000E+02	1.323437E-06
6.937200000000E+02	6.635390E-07
