"Frequency"	"Magnitude"
1.010000000000E+02	3.600542E+01
1.041800000000E+02	3.602861E+01
1.073610000000E+02	3.602878E+01
1.105410000000E+02	3.605765E+01
1.137210000000E+02	3.608114E+01
1.169020000000E+02	3.608572E+01
1.200820000000E+02	3.611485E+01
1.232620000000E+02	3.611337E+01
1.264430000000E+02	3.612104E+01
1.296230000000E+02	3.614815E+01
1.328030000000E+02	3.614879E+01
1.359830000000E+02	3.613612E+01
1.391640000000E+02	3.617697E+01
1.423440000000E+02	3.613674E+01
1.455240000000E+02	3.620583E+01
1.487050000000E+02	3.618563E+01
1.518850000000E+02	3.622698E+01
1.550650000000E+02	3.622194E+01
1.582460000000E+02	3.621814E+01
1.614260000000E+02	3.624767E+01
1.646060000000E+02	3.626255E+01
1.677870000000E+02	3.625466E+01
1.709670000000E+02	3.625726E+01
1.741470000000E+02	3.626115E+01
1.773280000000E+02	3.628537E+01
1.805080000000E+02	3.628844E+01
1.836880000000E+02	3.627117E+01
1.868680000000E+02	3.626755E+01
1.900490000000E+02	3.632320E+01
1.932290000000E+02	3.628399E+01
1.964090000000E+02	3.629015E+01
1.995900000000E+02	3.630731E+01
2.027700000000E+02	3.629157E+01
2.059500000000E+02	3.630777E+01
2.091310000000E+02	3.631048E+01
2.123110000000E+02	3.630587E+01
2.154910000000E+02	3.631186E+01
2.186720000000E+02	3.631508E+01
2.218520000000E+02	3.630802E+01
2.250320000000E+02	3.632986E+01
2.282130000000E+02	3.633125E+01
2.313930000000E+02	3.633572E+01
2.345730000000E+02	3.633963E+01
2.377530000000E+02	3.634917E+01
2.409340000000E+02	3.636882E+01
2.441140000000E+02	3.638649E+01
2.472940000000E+02	3.634392E+01
2.504750000000E+02	3.635398E+01
2.536550000000E+02	3.635570E+01
2.568350000000E+02	3.633405E+01
2.600160000000E+02	3.633363E+01
2.631960000000E+02	3.635027E+01
2.641960000000E+02	3.635279E+01
2.725980000000E+02	3.633605E+01
2.810010000000E+02	3.634721E+01
2.894030000000E+02	3.638438E+01
2.978060000000E+02	3.641027E+01
3.062080000000E+02	3.638016E+01
3.146110000000E+02	3.638838E+01
3.230130000000E+02	3.636709E+01
3.314150000000E+02	3.636617E+01
3.398180000000E+02	3.637857E+01
3.482200000000E+02	3.638005E+01
3.566230000000E+02	3.638647E+01
3.650250000000E+02	3.640228E+01
3.734280000000E+02	3.635880E+01
3.818300000000E+02	3.637126E+01
3.902320000000E+02	3.639297E+01
3.986350000000E+02	3.638324E+01
4.070370000000E+02	3.639980E+01
4.154400000000E+02	3.637709E+01
4.238420000000E+02	3.639209E+01
4.322450000000E+02	3.640237E+01
4.406470000000E+02	3.638396E+01
4.490490000000E+02	3.637886E+01
4.574520000000E+02	3.638215E+01
4.658540000000E+02	3.638699E+01
4.742570000000E+02	3.639415E+01
4.826590000000E+02	3.639885E+01
4.910620000000E+02	3.638607E+01
4.994640000000E+02	3.642103E+01
5.078670000000E+02	3.639632E+01
5.162690000000E+02	3.639626E+01
5.246710000000E+02	3.642040E+01
5.330740000000E+02	3.640313E+01
5.414760000000E+02	3.640695E+01
5.498790000000E+02	3.638459E+01
5.582810000000E+02	3.639127E+01
5.666840000000E+02	3.639250E+01
5.750860000000E+02	3.639348E+01
5.834880000000E+02	3.641957E+01
5.918910000000E+02	3.641635E+01
6.002930000000E+02	3.642738E+01
6.086960000000E+02	3.641357E+01
6.170980000000E+02	3.640186E+01
6.255010000000E+02	3.641234E+01
6.339030000000E+02	3.640154E+01
6.423050000000E+02	3.640209E+01
6.507080000000E+02	3.639129E+01
6.591100000000E+02	3.639900E+01
6.675130000000E+02	3.644184E+01
6.759150000000E+02	3.642324E+01
6.843180000000E+02	3.642245E+01
6.927200000000E+02	3.639945E+01
6.937200000000E+02	3.642541E+01
7.158670000000E+02	3.642287E+01
7.380140000000E+02	3.640547E+01
7.601610000000E+02	3.638548E+01
7.823070000000E+02	3.643290E+01
8.044540000000E+02	3.641748E+01
8.266010000000E+02	3.637963E+01
8.487480000000E+02	3.643727E+01
8.708950000000E+02	3.641735E+01
8.930420000000E+02	3.641431E+01
9.151890000000E+02	3.641755E+01
9.373350000000E+02	3.641837E+01
9.594820000000E+02	3.638022E+01
9.816290000000E+02	3.641793E+01
1.003776000000E+03	3.642358E+01
1.025923000000E+03	3.641740E+01
1.048070000000E+03	3.644244E+01
1.070217000000E+03	3.639390E+01
1.092364000000E+03	3.642036E+01
1.114510000000E+03	3.639813E+01
1.136657000000E+03	3.639749E+01
1.158804000000E+03	3.643047E+01
1.180951000000E+03	3.641641E+01
1.203098000000E+03	3.641212E+01
1.225245000000E+03	3.640500E+01
1.247392000000E+03	3.640236E+01
1.269538000000E+03	3.641864E+01
1.291685000000E+03	3.641478E+01
1.313832000000E+03	3.643127E+01
1.335979000000E+03	3.640350E+01
1.358126000000E+03	3.641257E+01
1.380273000000E+03	3.643392E+01
1.402420000000E+03	3.640229E+01
1.424566000000E+03	3.639756E+01
1.446713000000E+03	3.640333E+01
1.468860000000E+03	3.639880E+01
1.491007000000E+03	3.640834E+01
1.513154000000E+03	3.640974E+01
1.535301000000E+03	3.642068E+01
1.557448000000E+03	3.642532E+01
1.579595000000E+03	3.639730E+01
1.601741000000E+03	3.642003E+01
1.623888000000E+03	3.640427E+01
1.646035000000E+03	3.641099E+01
1.668182000000E+03	3.642727E+01
1.690329000000E+03	3.641286E+01
1.712476000000E+03	3.641627E+01
1.734623000000E+03	3.639988E+01
1.756769000000E+03	3.641308E+01
1.778916000000E+03	3.640247E+01
1.801063000000E+03	3.637968E+01
1.823210000000E+03	3.642340E+01
1.824210000000E+03	3.640559E+01
1.882531000000E+03	3.641661E+01
1.940853000000E+03	3.641565E+01
1.999174000000E+03	3.643275E+01
2.057495000000E+03	3.639885E+01
2.115817000000E+03	3.641027E+01
2.174138000000E+03	3.641238E+01
2.232460000000E+03	3.635973E+01
2.290781000000E+03	3.642726E+01
