"Frequency"	"Magnitude"
1.010000000000E+02	2.606982E-07
1.041800000000E+02	2.581179E-07
1.073610000000E+02	2.446500E-07
1.105410000000E+02	2.383120E-07
1.137210000000E+02	1.895898E-07
1.169020000000E+02	1.916844E-07
1.200820000000E+02	2.024546E-07
1.232620000000E+02	1.906276E-07
1.264430000000E+02	1.663501E-07
1.296230000000E+02	1.377260E-07
1.328030000000E+02	1.285972E-07
1.359830000000E+02	1.269465E-07
1.391640000000E+02	1.460159E-07
1.423440000000E+02	1.475286E-07
1.455240000000E+02	1.461147E-07
1.487050000000E+02	1.560377E-07
1.518850000000E+02	1.469640E-07
1.550650000000E+02	1.548618E-07
1.582460000000E+02	1.354017E-07
1.614260000000E+02	1.357695E-07
1.646060000000E+02	1.399409E-07
1.677870000000E+02	1.527771E-07
1.709670000000E+02	1.527184E-07
1.741470000000E+02	1.556685E-07
1.773280000000E+02	1.260917E-07
1.805080000000E+02	1.035388E-07
1.836880000000E+02	1.178447E-07
1.868680000000E+02	1.284158E-07
1.900490000000E+02	1.432013E-07
1.932290000000E+02	1.522630E-07
1.964090000000E+02	1.496197E-07
1.995900000000E+02	1.425156E-07
2.027700000000E+02	1.164336E-07
2.059500000000E+02	7.354475E-08
2.091310000000E+02	1.011504E-07
2.123110000000E+02	1.271029E-07
2.154910000000E+02	1.462400E-07
2.186720000000E+02	1.462759E-07
2.218520000000E+02	1.380842E-07
2.250320000000E+02	1.238618E-07
2.282130000000E+02	1.149223E-07
2.313930000000E+02	1.076667E-07
2.345730000000E+02	1.101781E-07
2.377530000000E+02	9.162533E-08
2.409340000000E+02	8.321597E-08
2.441140000000E+02	1.083270E-07
2.472940000000E+02	1.228369E-07
2.504750000000E+02	1.215967E-07
2.536550000000E+02	1.145925E-07
2.568350000000E+02	1.075875E-07
2.600160000000E+02	1.077462E-07
2.631960000000E+02	1.152502E-07
2.641960000000E+02	8.563789E-08
2.725980000000E+02	8.031344E-08
2.810010000000E+02	6.461404E-08
2.894030000000E+02	6.127073E-08
2.978060000000E+02	7.383095E-08
3.062080000000E+02	8.241342E-08
3.146110000000E+02	8.100220E-08
3.230130000000E+02	8.109379E-08
3.314150000000E+02	8.626441E-08
3.398180000000E+02	8.503626E-08
3.482200000000E+02	8.128904E-08
3.566230000000E+02	7.391829E-08
3.650250000000E+02	7.113768E-08
3.734280000000E+02	6.690331E-08
3.818300000000E+02	5.929874E-08
3.902320000000E+02	6.668424E-08
3.986350000000E+02	8.605991E-08
4.070370000000E+02	8.624763E-08
4.154400000000E+02	7.968129E-08
4.238420000000E+02	6.397791E-08
4.322450000000E+02	6.055264E-08
4.406470000000E+02	6.035086E-08
4.490490000000E+02	5.645063E-08
4.574520000000E+02	5.046221E-08
4.658540000000E+02	3.866134E-08
4.742570000000E+02	3.541294E-08
4.826590000000E+02	3.660573E-08
4.910620000000E+02	3.998893E-08
4.994640000000E+02	4.188662E-08
5.078670000000E+02	5.052651E-08
5.162690000000E+02	5.072048E-08
5.246710000000E+02	4.695391E-08
5.330740000000E+02	3.789606E-08
5.414760000000E+02	4.325415E-08
5.498790000000E+02	5.292361E-08
5.582810000000E+02	5.167402E-08
5.666840000000E+02	5.398638E-08
5.750860000000E+02	6.269975E-08
5.834880000000E+02	6.195470E-08
5.918910000000E+02	5.986574E-08
6.002930000000E+02	6.079255E-08
6.086960000000E+02	6.145697E-08
6.170980000000E+02	5.681567E-08
6.255010000000E+02	5.251937E-08
6.339030000000E+02	5.021687E-08
6.423050000000E+02	4.832586E-08
6.507080000000E+02	4.599525E-08
6.591100000000E+02	4.498637E-08
6.675130000000E+02	4.685823E-08
6.759150000000E+02	4.807679E-08
6.843180000000E+02	5.580751E-08
6.927200000000E+02	5.559540E-08
6.937200000000E+02	5.769113E-08
7.158670000000E+02	5.265376E-08
7.380140000000E+02	6.259341E-08
7.601610000000E+02	5.222458E-08
7.823070000000E+02	4.030027E-08
8.044540000000E+02	4.146020E-08
8.266010000000E+02	3.726407E-08
8.487480000000E+02	5.218585E-08
8.708950000000E+02	4.504090E-08
8.930420000000E+02	5.029695E-08
9.151890000000E+02	4.055229E-08
9.373350000000E+02	5.101015E-08
9.594820000000E+02	5.136858E-08
9.816290000000E+02	4.398914E-08
1.003776000000E+03	4.655866E-08
1.025923000000E+03	4.385161E-08
1.048070000000E+03	4.228977E-08
1.070217000000E+03	4.758600E-08
1.092364000000E+03	3.803929E-08
1.114510000000E+03	4.661276E-08
1.136657000000E+03	3.980725E-08
1.158804000000E+03	3.422533E-08
1.180951000000E+03	5.302039E-08
1.203098000000E+03	4.342669E-08
1.225245000000E+03	4.302612E-08
1.247392000000E+03	3.359049E-08
1.269538000000E+03	3.749294E-08
1.291685000000E+03	3.301344E-08
1.313832000000E+03	4.501160E-08
1.335979000000E+03	3.978508E-08
1.358126000000E+03	3.789966E-08
1.380273000000E+03	4.765416E-08
1.402420000000E+03	4.273462E-08
1.424566000000E+03	5.027966E-08
1.446713000000E+03	4.840001E-08
1.468860000000E+03	5.059307E-08
1.491007000000E+03	4.497757E-08
1.513154000000E+03	3.746707E-08
1.535301000000E+03	3.654404E-08
1.557448000000E+03	4.010548E-08
1.579595000000E+03	3.881858E-08
1.601741000000E+03	4.453135E-08
1.623888000000E+03	4.375065E-08
1.646035000000E+03	4.982422E-08
1.668182000000E+03	4.054964E-08
1.690329000000E+03	4.515349E-08
1.712476000000E+03	5.054022E-08
1.734623000000E+03	3.890590E-08
1.756769000000E+03	3.952245E-08
1.778916000000E+03	4.398886E-08
1.801063000000E+03	2.594636E-08
1.823210000000E+03	3.116912E-08
1.824210000000E+03	3.916327E-08
1.882531000000E+03	3.890835E-08
1.940853000000E+03	3.864541E-08
1.999174000000E+03	2.547325E-08
2.057495000000E+03	3.210934E-08
2.115817000000E+03	4.669027E-08
2.174138000000E+03	3.462467E-08
2.232460000000E+03	3.366050E-08
2.290781000000E+03	4.990684E-08
2.349102000000E+03	5.303731E-08
2.407424000000E+03	4.251043E-08
2.465745000000E+03	2.455348E-08
2.524066000000E+03	3.282383E-08
2.582388000000E+03	2.880888E-08
2.640709000000E+03	3.730985E-08
2.699031000000E+03	5.541014E-08
2.757352000000E+03	4.374506E-08
2.815673000000E+03	4.037650E-08
2.873995000000E+03	3.280204E-08
2.932316000000E+03	3.570812E-08
2.990637000000E+03	2.962165E-08
3.048959000000E+03	4.585649E-08
3.107280000000E+03	4.020827E-08
3.165602000000E+03	3.771942E-08
3.223923000000E+03	2.877475E-08
3.282244000000E+03	2.433938E-08
3.340566000000E+03	3.489789E-08
3.398887000000E+03	3.458249E-08
3.457208000000E+03	2.932657E-08
3.515530000000E+03	3.223989E-08
3.573851000000E+03	3.702509E-08
3.632173000000E+03	2.910377E-08
3.690494000000E+03	3.268568E-08
3.748815000000E+03	3.872839E-08
3.807137000000E+03	3.856061E-08
3.865458000000E+03	4.084660E-08
3.923779000000E+03	3.201829E-08
3.982101000000E+03	3.461173E-08
4.040422000000E+03	4.057077E-08
4.098744000000E+03	3.480500E-08
4.157065000000E+03	3.363244E-08
4.215386000000E+03	3.641352E-08
4.273708000000E+03	2.750551E-08
4.332029000000E+03	2.814991E-08
4.390350000000E+03	2.339096E-08
4.448672000000E+03	3.243129E-08
4.506993000000E+03	3.237818E-08
4.565315000000E+03	2.973026E-08
4.623636000000E+03	2.723627E-08
4.681957000000E+03	3.088833E-08
4.740279000000E+03	3.576555E-08
4.798600000000E+03	3.873763E-08
4.799600000000E+03	2.410579E-08
4.953131000000E+03	2.864929E-08
5.106663000000E+03	2.592078E-08
5.260194000000E+03	2.920039E-08
5.413725000000E+03	3.190182E-08
5.567257000000E+03	3.169533E-08
5.720788000000E+03	2.824032E-08
5.874320000000E+03	1.985894E-08
6.027851000000E+03	2.951113E-08
6.181382000000E+03	2.948390E-08
6.334914000000E+03	2.296882E-08
6.488445000000E+03	2.282593E-08
6.641976000000E+03	2.820188E-08
6.795508000000E+03	3.188108E-08
6.949039000000E+03	2.706780E-08
7.102571000000E+03	2.365908E-08
7.256102000000E+03	2.345214E-08
7.409633000000E+03	2.809539E-08
7.563165000000E+03	2.908930E-08
7.716696000000E+03	2.987301E-08
7.870227000000E+03	3.346686E-08
