"Frequency"	"Magnitude"
1.010000000000E+02	9.586720E-05
1.041800000000E+02	5.585424E-05
1.073610000000E+02	5.353452E-05
1.105410000000E+02	8.893762E-05
1.137210000000E+02	1.341933E-04
1.169020000000E+02	1.379426E-04
1.200820000000E+02	8.909156E-05
1.232620000000E+02	5.878304E-05
1.264430000000E+02	7.616248E-05
1.296230000000E+02	1.254018E-04
1.328030000000E+02	1.464768E-04
1.359830000000E+02	9.799387E-05
1.391640000000E+02	6.850114E-05
1.423440000000E+02	6.836177E-05
1.455240000000E+02	1.196777E-04
1.487050000000E+02	1.567605E-04
1.518850000000E+02	1.502533E-04
1.550650000000E+02	1.275029E-04
1.582460000000E+02	1.143610E-04
1.614260000000E+02	1.094324E-04
1.646060000000E+02	1.207805E-04
1.677870000000E+02	1.348360E-04
1.709670000000E+02	1.144510E-04
1.741470000000E+02	1.024604E-04
1.773280000000E+02	9.549767E-05
1.805080000000E+02	1.054065E-04
1.836880000000E+02	1.194971E-04
1.868680000000E+02	1.107256E-04
1.900490000000E+02	9.414770E-05
1.932290000000E+02	8.873385E-05
1.964090000000E+02	9.873571E-05
1.995900000000E+02	1.145947E-04
2.027700000000E+02	1.189491E-04
2.059500000000E+02	1.005845E-04
2.091310000000E+02	9.908793E-05
2.123110000000E+02	1.026675E-04
2.154910000000E+02	9.927889E-05
2.186720000000E+02	9.026963E-05
2.218520000000E+02	8.231683E-05
2.250320000000E+02	8.905237E-05
2.282130000000E+02	9.678394E-05
2.313930000000E+02	1.071697E-04
2.345730000000E+02	1.080009E-04
2.377530000000E+02	9.265208E-05
2.409340000000E+02	8.108934E-05
2.441140000000E+02	8.076949E-05
2.472940000000E+02	8.739580E-05
2.504750000000E+02	8.971441E-05
2.536550000000E+02	8.565489E-05
2.568350000000E+02	7.800094E-05
2.600160000000E+02	7.662228E-05
2.631960000000E+02	9.660776E-05
2.641960000000E+02	4.321313E-05
2.725980000000E+02	4.189622E-05
2.810010000000E+02	4.216459E-05
2.894030000000E+02	4.238749E-05
2.978060000000E+02	4.198854E-05
3.062080000000E+02	4.187290E-05
3.146110000000E+02	3.574721E-05
3.230130000000E+02	3.498168E-05
3.314150000000E+02	3.414263E-05
3.398180000000E+02	3.397042E-05
3.482200000000E+02	3.169454E-05
3.566230000000E+02	2.652695E-05
3.650250000000E+02	2.511792E-05
3.734280000000E+02	2.476170E-05
3.818300000000E+02	2.756345E-05
3.902320000000E+02	2.837929E-05
3.986350000000E+02	3.244819E-05
4.070370000000E+02	3.235721E-05
4.154400000000E+02	3.216734E-05
4.238420000000E+02	3.152825E-05
4.322450000000E+02	3.268715E-05
4.406470000000E+02	3.260780E-05
4.490490000000E+02	3.151125E-05
4.574520000000E+02	3.107142E-05
4.658540000000E+02	2.915068E-05
4.742570000000E+02	2.664238E-05
4.826590000000E+02	2.352329E-05
4.910620000000E+02	2.080080E-05
4.994640000000E+02	2.076216E-05
5.078670000000E+02	1.921886E-05
5.162690000000E+02	1.918297E-05
5.246710000000E+02	2.029017E-05
5.330740000000E+02	2.154906E-05
5.414760000000E+02	2.173572E-05
5.498790000000E+02	2.389601E-05
5.582810000000E+02	2.458615E-05
5.666840000000E+02	2.488284E-05
5.750860000000E+02	2.480024E-05
