"Frequency"	"Magnitude"
1.010000000000E+02	1.114872E-05
1.041800000000E+02	8.192702E-06
1.073610000000E+02	7.912132E-06
1.105410000000E+02	1.136934E-05
1.137210000000E+02	1.111967E-05
1.169020000000E+02	8.957557E-06
1.200820000000E+02	6.290547E-06
1.232620000000E+02	1.105155E-05
1.264430000000E+02	1.114755E-05
1.296230000000E+02	1.028100E-05
1.328030000000E+02	5.039109E-06
1.359830000000E+02	1.044993E-05
1.391640000000E+02	1.064242E-05
1.423440000000E+02	8.628351E-06
1.455240000000E+02	6.250300E-06
1.487050000000E+02	9.665197E-06
1.518850000000E+02	9.830565E-06
1.550650000000E+02	8.598677E-06
1.582460000000E+02	5.164589E-06
1.614260000000E+02	1.054064E-05
1.646060000000E+02	1.081896E-05
1.677870000000E+02	1.033210E-05
1.709670000000E+02	6.440530E-06
1.741470000000E+02	9.157427E-06
1.773280000000E+02	8.860315E-06
1.805080000000E+02	7.384096E-06
1.836880000000E+02	4.850989E-06
1.868680000000E+02	9.121994E-06
1.900490000000E+02	9.283453E-06
1.932290000000E+02	8.955352E-06
1.964090000000E+02	4.692110E-06
1.995900000000E+02	9.080994E-06
2.027700000000E+02	9.595764E-06
2.059500000000E+02	7.345095E-06
2.091310000000E+02	5.469225E-06
2.123110000000E+02	8.281542E-06
2.154910000000E+02	8.455960E-06
2.186720000000E+02	7.375559E-06
2.218520000000E+02	3.865908E-06
2.250320000000E+02	7.594890E-06
2.282130000000E+02	8.008910E-06
2.313930000000E+02	7.713855E-06
2.345730000000E+02	3.690623E-06
2.377530000000E+02	7.862554E-06
2.409340000000E+02	7.941870E-06
2.441140000000E+02	6.467772E-06
2.472940000000E+02	5.024130E-06
2.504750000000E+02	8.300940E-06
2.536550000000E+02	8.266490E-06
2.568350000000E+02	7.487662E-06
2.600160000000E+02	3.394792E-06
2.631960000000E+02	7.086980E-06
2.641960000000E+02	2.680399E-06
2.725980000000E+02	2.742369E-06
2.810010000000E+02	2.772739E-06
2.894030000000E+02	2.489431E-06
2.978060000000E+02	2.439401E-06
3.062080000000E+02	2.565050E-06
3.146110000000E+02	2.829097E-06
3.230130000000E+02	2.718856E-06
3.314150000000E+02	2.450297E-06
3.398180000000E+02	2.484206E-06
3.482200000000E+02	1.973510E-06
3.566230000000E+02	1.629654E-06
3.650250000000E+02	1.702340E-06
3.734280000000E+02	1.443035E-06
3.818300000000E+02	1.646318E-06
3.902320000000E+02	1.701707E-06
3.986350000000E+02	1.832421E-06
4.070370000000E+02	1.742858E-06
4.154400000000E+02	1.537529E-06
4.238420000000E+02	1.013548E-06
4.322450000000E+02	1.004790E-06
4.406470000000E+02	1.257742E-06
4.490490000000E+02	1.175920E-06
4.574520000000E+02	1.185177E-06
4.658540000000E+02	1.068159E-06
4.742570000000E+02	9.676293E-07
4.826590000000E+02	9.538113E-07
4.910620000000E+02	8.117937E-07
4.994640000000E+02	7.072829E-07
5.078670000000E+02	6.877918E-07
5.162690000000E+02	6.608668E-07
5.246710000000E+02	5.953405E-07
5.330740000000E+02	8.403309E-07
5.414760000000E+02	1.009378E-06
5.498790000000E+02	1.051638E-06
5.582810000000E+02	9.890481E-07
5.666840000000E+02	9.506521E-07
5.750860000000E+02	1.158403E-06
5.834880000000E+02	1.256794E-06
5.918910000000E+02	1.172836E-06
6.002930000000E+02	1.035114E-06
6.086960000000E+02	1.026362E-06
6.170980000000E+02	1.384521E-06
6.255010000000E+02	1.287733E-06
6.339030000000E+02	1.257594E-06
