"Frequency"	"Magnitude"
1.010000000000E+02	2.875382E+01
1.041800000000E+02	2.875431E+01
1.073610000000E+02	2.879192E+01
1.105410000000E+02	2.879158E+01
1.137210000000E+02	2.880185E+01
1.169020000000E+02	2.879768E+01
1.200820000000E+02	2.882127E+01
1.232620000000E+02	2.884944E+01
1.264430000000E+02	2.886625E+01
1.296230000000E+02	2.888780E+01
1.328030000000E+02	2.891279E+01
1.359830000000E+02	2.893482E+01
1.391640000000E+02	2.890730E+01
1.423440000000E+02	2.891850E+01
1.455240000000E+02	2.894237E+01
1.487050000000E+02	2.897011E+01
1.518850000000E+02	2.893663E+01
1.550650000000E+02	2.893643E+01
1.582460000000E+02	2.896376E+01
1.614260000000E+02	2.896709E+01
1.646060000000E+02	2.896350E+01
1.677870000000E+02	2.897429E+01
1.709670000000E+02	2.897721E+01
1.741470000000E+02	2.899372E+01
1.773280000000E+02	2.899109E+01
1.805080000000E+02	2.899552E+01
1.836880000000E+02	2.901422E+01
1.868680000000E+02	2.901682E+01
1.900490000000E+02	2.903090E+01
1.932290000000E+02	2.903464E+01
1.964090000000E+02	2.902953E+01
1.995900000000E+02	2.902473E+01
2.027700000000E+02	2.903032E+01
2.059500000000E+02	2.903793E+01
2.091310000000E+02	2.904180E+01
2.123110000000E+02	2.905153E+01
2.154910000000E+02	2.904892E+01
2.186720000000E+02	2.904692E+01
2.218520000000E+02	2.905196E+01
2.250320000000E+02	2.906116E+01
2.282130000000E+02	2.905057E+01
2.313930000000E+02	2.905878E+01
2.345730000000E+02	2.907724E+01
2.377530000000E+02	2.905429E+01
2.409340000000E+02	2.910596E+01
2.441140000000E+02	2.911560E+01
2.472940000000E+02	2.906293E+01
2.504750000000E+02	2.907664E+01
2.536550000000E+02	2.907916E+01
2.568350000000E+02	2.907233E+01
2.600160000000E+02	2.909095E+01
2.631960000000E+02	2.907240E+01
2.641960000000E+02	2.905759E+01
2.725980000000E+02	2.909334E+01
2.810010000000E+02	2.909159E+01
2.894030000000E+02	2.907568E+01
2.978060000000E+02	2.908336E+01
3.062080000000E+02	2.910800E+01
3.146110000000E+02	2.910322E+01
3.230130000000E+02	2.912756E+01
3.314150000000E+02	2.909451E+01
3.398180000000E+02	2.910283E+01
3.482200000000E+02	2.910872E+01
3.566230000000E+02	2.912300E+01
3.650250000000E+02	2.910568E+01
3.734280000000E+02	2.912506E+01
3.818300000000E+02	2.913229E+01
3.902320000000E+02	2.911761E+01
3.986350000000E+02	2.914343E+01
4.070370000000E+02	2.910962E+01
4.154400000000E+02	2.912052E+01
4.238420000000E+02	2.912560E+01
4.322450000000E+02	2.910778E+01
4.406470000000E+02	2.914782E+01
4.490490000000E+02	2.912472E+01
4.574520000000E+02	2.912378E+01
4.658540000000E+02	2.911990E+01
4.742570000000E+02	2.912732E+01
4.826590000000E+02	2.914227E+01
4.910620000000E+02	2.912945E+01
4.994640000000E+02	2.914892E+01
5.078670000000E+02	2.912364E+01
5.162690000000E+02	2.913341E+01
5.246710000000E+02	2.913528E+01
5.330740000000E+02	2.912397E+01
5.414760000000E+02	2.914051E+01
5.498790000000E+02	2.912069E+01
5.582810000000E+02	2.914714E+01
5.666840000000E+02	2.914416E+01
5.750860000000E+02	2.913739E+01
5.834880000000E+02	2.913294E+01
5.918910000000E+02	2.911016E+01
6.002930000000E+02	2.913532E+01
6.086960000000E+02	2.916526E+01
6.170980000000E+02	2.915027E+01
6.255010000000E+02	2.914401E+01
6.339030000000E+02	2.913426E+01
6.423050000000E+02	2.914706E+01
6.507080000000E+02	2.912718E+01
6.591100000000E+02	2.915282E+01
6.675130000000E+02	2.915684E+01
6.759150000000E+02	2.917770E+01
6.843180000000E+02	2.914185E+01
6.927200000000E+02	2.914383E+01
6.937200000000E+02	2.915935E+01
7.158670000000E+02	2.915407E+01
7.380140000000E+02	2.913418E+01
7.601610000000E+02	2.916114E+01
7.823070000000E+02	2.914240E+01
8.044540000000E+02	2.912737E+01
8.266010000000E+02	2.912722E+01
8.487480000000E+02	2.915732E+01
8.708950000000E+02	2.913586E+01
8.930420000000E+02	2.915515E+01
9.151890000000E+02	2.913880E+01
9.373350000000E+02	2.914796E+01
9.594820000000E+02	2.913971E+01
9.816290000000E+02	2.913331E+01
1.003776000000E+03	2.913933E+01
1.025923000000E+03	2.914058E+01
1.048070000000E+03	2.915799E+01
1.070217000000E+03	2.914061E+01
1.092364000000E+03	2.916302E+01
1.114510000000E+03	2.913205E+01
1.136657000000E+03	2.913663E+01
1.158804000000E+03	2.915523E+01
1.180951000000E+03	2.914803E+01
1.203098000000E+03	2.914501E+01
1.225245000000E+03	2.914440E+01
1.247392000000E+03	2.914741E+01
1.269538000000E+03	2.916253E+01
1.291685000000E+03	2.915069E+01
1.313832000000E+03	2.914076E+01
1.335979000000E+03	2.915475E+01
1.358126000000E+03	2.916692E+01
1.380273000000E+03	2.916425E+01
1.402420000000E+03	2.915260E+01
1.424566000000E+03	2.912829E+01
1.446713000000E+03	2.914618E+01
1.468860000000E+03	2.914618E+01
1.491007000000E+03	2.914078E+01
1.513154000000E+03	2.914576E+01
1.535301000000E+03	2.914058E+01
1.557448000000E+03	2.917530E+01
1.579595000000E+03	2.914751E+01
1.601741000000E+03	2.914729E+01
1.623888000000E+03	2.914200E+01
1.646035000000E+03	2.914989E+01
1.668182000000E+03	2.914534E+01
1.690329000000E+03	2.913458E+01
1.712476000000E+03	2.915184E+01
1.734623000000E+03	2.914305E+01
1.756769000000E+03	2.916401E+01
1.778916000000E+03	2.915619E+01
1.801063000000E+03	2.913626E+01
1.823210000000E+03	2.912667E+01
1.824210000000E+03	2.916343E+01
1.882531000000E+03	2.914600E+01
1.940853000000E+03	2.915363E+01
1.999174000000E+03	2.917035E+01
2.057495000000E+03	2.914893E+01
2.115817000000E+03	2.916071E+01
2.174138000000E+03	2.913414E+01
2.232460000000E+03	2.916005E+01
2.290781000000E+03	2.910505E+01
2.349102000000E+03	2.910620E+01
2.407424000000E+03	2.915211E+01
2.465745000000E+03	2.912519E+01
2.524066000000E+03	2.916190E+01
2.582388000000E+03	2.913321E+01
2.640709000000E+03	2.916089E+01
2.699031000000E+03	2.916744E+01
2.757352000000E+03	2.912610E+01
2.815673000000E+03	2.913433E+01
2.873995000000E+03	2.916031E+01
2.932316000000E+03	2.914733E+01
2.990637000000E+03	2.911580E+01
3.048959000000E+03	2.913316E+01
3.107280000000E+03	2.913302E+01
3.165602000000E+03	2.915124E+01
3.223923000000E+03	2.915139E+01
3.282244000000E+03	2.915241E+01
3.340566000000E+03	2.915215E+01
3.398887000000E+03	2.912830E+01
3.457208000000E+03	2.911403E+01
3.515530000000E+03	2.913179E+01
3.573851000000E+03	2.914002E+01
3.632173000000E+03	2.912885E+01
3.690494000000E+03	2.912345E+01
3.748815000000E+03	2.913730E+01
3.807137000000E+03	2.914340E+01
3.865458000000E+03	2.912139E+01
3.923779000000E+03	2.912285E+01
3.982101000000E+03	2.913435E+01
4.040422000000E+03	2.910983E+01
4.098744000000E+03	2.915396E+01
4.157065000000E+03	2.911747E+01
4.215386000000E+03	2.912946E+01
4.273708000000E+03	2.912314E+01
4.332029000000E+03	2.912215E+01
4.390350000000E+03	2.912027E+01
4.448672000000E+03	2.912279E+01
4.506993000000E+03	2.911335E+01
4.565315000000E+03	2.911103E+01
4.623636000000E+03	2.912024E+01
4.681957000000E+03	2.912670E+01
4.740279000000E+03	2.911415E+01
4.798600000000E+03	2.911475E+01
4.799600000000E+03	2.911575E+01
4.953131000000E+03	2.913655E+01
5.106663000000E+03	2.909644E+01
5.260194000000E+03	2.910823E+01
5.413725000000E+03	2.911881E+01
5.567257000000E+03	2.911913E+01
5.720788000000E+03	2.911554E+01
5.874320000000E+03	2.910317E+01
6.027851000000E+03	2.911677E+01
6.181382000000E+03	2.909544E+01
6.334914000000E+03	2.911845E+01
6.488445000000E+03	2.914111E+01
6.641976000000E+03	2.911224E+01
6.795508000000E+03	2.912021E+01
6.949039000000E+03	2.909803E+01
7.102571000000E+03	2.911845E+01
7.256102000000E+03	2.911989E+01
7.409633000000E+03	2.909453E+01
7.563165000000E+03	2.912927E+01
7.716696000000E+03	2.913250E+01
7.870227000000E+03	2.912394E+01
8.023759000000E+03	2.912363E+01
8.177290000000E+03	2.913218E+01
8.330822000000E+03	2.912366E+01
8.484353000000E+03	2.910977E+01
8.637884000000E+03	2.910235E+01
8.791416000000E+03	2.910885E+01
8.944947000000E+03	2.908902E+01
9.098478000000E+03	2.909258E+01
9.252010000000E+03	2.910674E+01
9.405541000000E+03	2.910997E+01
9.559073000000E+03	2.912531E+01
9.712604000000E+03	2.911084E+01
9.866135000000E+03	2.910492E+01
1.001966700000E+04	2.909339E+01
1.017319800000E+04	2.911217E+01
1.032672900000E+04	2.908520E+01
1.048026100000E+04	2.908884E+01
1.063379200000E+04	2.912281E+01
1.078732400000E+04	2.910962E+01
1.094085500000E+04	2.908332E+01
1.109438600000E+04	2.909048E+01
1.124791800000E+04	2.910531E+01
1.140144900000E+04	2.911510E+01
1.155498000000E+04	2.911073E+01
1.170851200000E+04	2.911489E+01
1.186204300000E+04	2.911614E+01
1.201557500000E+04	2.909435E+01
1.216910600000E+04	2.911357E+01
1.232263700000E+04	2.911217E+01
1.247616900000E+04	2.913461E+01
1.262970000000E+04	2.911489E+01
1.263070000000E+04	2.912083E+01
1.303482200000E+04	2.911685E+01
1.343894300000E+04	2.909448E+01
1.384306500000E+04	2.911944E+01
1.424718600000E+04	2.912381E+01
1.465130800000E+04	2.905515E+01
1.505542900000E+04	2.911627E+01
1.545955100000E+04	2.910991E+01
1.586367300000E+04	2.911364E+01
1.626779400000E+04	2.910781E+01
1.667191600000E+04	2.913977E+01
1.707603700000E+04	2.910643E+01
1.748015900000E+04	2.909598E+01
1.788428000000E+04	2.906401E+01
1.828840200000E+04	2.909309E+01
1.869252400000E+04	2.909736E+01
1.909664500000E+04	2.915410E+01
1.950076700000E+04	2.905910E+01
1.990488800000E+04	2.908122E+01
2.030901000000E+04	2.909552E+01
2.071313100000E+04	2.908028E+01
2.111725300000E+04	2.907335E+01
2.152137500000E+04	2.910539E+01
2.192549600000E+04	2.909251E+01
2.232961800000E+04	2.910930E+01
2.273373900000E+04	2.911111E+01
2.313786100000E+04	2.909053E+01
2.354198200000E+04	2.913672E+01
2.394610400000E+04	2.909559E+01
2.435022500000E+04	2.910929E+01
2.475434700000E+04	2.907981E+01
2.515846900000E+04	2.913254E+01
2.556259000000E+04	2.908779E+01
2.596671200000E+04	2.910927E+01
2.637083300000E+04	2.908984E+01
2.677495500000E+04	2.908050E+01
2.717907600000E+04	2.906106E+01
2.758319800000E+04	2.908727E+01
2.798732000000E+04	2.910575E+01
2.839144100000E+04	2.909348E+01
2.879556300000E+04	2.911375E+01
2.919968400000E+04	2.911206E+01
2.960380600000E+04	2.908205E+01
3.000792700000E+04	2.909582E+01
3.041204900000E+04	2.908339E+01
3.081617100000E+04	2.910059E+01
3.122029200000E+04	2.911714E+01
3.162441400000E+04	2.911602E+01
3.202853500000E+04	2.908109E+01
3.243265700000E+04	2.911192E+01
3.283677800000E+04	2.911132E+01
3.324090000000E+04	2.910867E+01
3.324190000000E+04	2.907307E+01
3.430555900000E+04	2.912090E+01
3.536921800000E+04	2.907359E+01
3.643287600000E+04	2.906954E+01
3.749653500000E+04	2.909624E+01
3.856019400000E+04	2.907557E+01
3.962385300000E+04	2.910407E+01
4.068751200000E+04	2.914601E+01
4.175117100000E+04	2.910665E+01
4.281482900000E+04	2.913376E+01
4.387848800000E+04	2.914331E+01
4.494214700000E+04	2.913930E+01
4.600580600000E+04	2.907366E+01
4.706946500000E+04	2.912185E+01
4.813312400000E+04	2.910167E+01
4.919678200000E+04	2.914486E+01
5.026044100000E+04	2.910176E+01
5.132410000000E+04	2.912314E+01
5.238775900000E+04	2.908776E+01
5.345141800000E+04	2.907828E+01
5.451507600000E+04	2.907416E+01
5.557873500000E+04	2.905942E+01
5.664239400000E+04	2.912411E+01
5.770605300000E+04	2.908237E+01
5.876971200000E+04	2.913017E+01
5.983337100000E+04	2.910540E+01
6.089702900000E+04	2.912390E+01
6.196068800000E+04	2.915001E+01
6.302434700000E+04	2.911994E+01
6.408800600000E+04	2.912176E+01
6.515166500000E+04	2.910291E+01
6.621532400000E+04	2.915618E+01
6.727898200000E+04	2.908274E+01
6.834264100000E+04	2.907947E+01
6.940630000000E+04	2.909904E+01
7.046995900000E+04	2.912543E+01
7.153361800000E+04	2.914343E+01
7.259727600000E+04	2.913761E+01
7.366093500000E+04	2.911747E+01
7.472459400000E+04	2.909005E+01
7.578825300000E+04	2.908918E+01
7.685191200000E+04	2.911302E+01
7.791557100000E+04	2.908046E+01
7.897922900000E+04	2.908782E+01
8.004288800000E+04	2.914698E+01
8.110654700000E+04	2.913626E+01
8.217020600000E+04	2.912002E+01
8.323386500000E+04	2.912993E+01
8.429752400000E+04	2.914772E+01
8.536118200000E+04	2.910520E+01
8.642484100000E+04	2.912325E+01
8.748850000000E+04	2.909338E+01
8.748950000000E+04	2.910194E+01
9.028903900000E+04	2.908825E+01
9.308857800000E+04	2.908833E+01
9.588811800000E+04	2.911586E+01
9.868765700000E+04	2.909239E+01
1.014871960000E+05	2.914679E+01
1.042867350000E+05	2.913527E+01
1.070862750000E+05	2.917396E+01
1.098858140000E+05	2.907671E+01
1.126853530000E+05	2.906691E+01
1.154848920000E+05	2.913763E+01
1.182844310000E+05	2.912852E+01
1.210839710000E+05	2.912268E+01
1.238835100000E+05	2.917960E+01
1.266830490000E+05	2.914214E+01
1.294825880000E+05	2.911957E+01
1.322821270000E+05	2.915116E+01
1.350816670000E+05	2.913088E+01
1.378812060000E+05	2.913753E+01
1.406807450000E+05	2.908894E+01
1.434802840000E+05	2.907782E+01
1.462798240000E+05	2.909370E+01
1.490793630000E+05	2.910654E+01
1.518789020000E+05	2.916612E+01
1.546784410000E+05	2.911540E+01
1.574779800000E+05	2.902756E+01
1.602775200000E+05	2.911047E+01
1.630770590000E+05	2.904650E+01
1.658765980000E+05	2.906438E+01
1.686761370000E+05	2.903765E+01
1.714756760000E+05	2.907707E+01
1.742752160000E+05	2.904530E+01
1.770747550000E+05	2.908177E+01
1.798742940000E+05	2.907128E+01
1.826738330000E+05	2.910754E+01
1.854733730000E+05	2.903241E+01
1.882729120000E+05	2.912181E+01
1.910724510000E+05	2.901625E+01
1.938719900000E+05	2.908211E+01
1.966715290000E+05	2.909950E+01
1.994710690000E+05	2.913798E+01
2.022706080000E+05	2.913826E+01
2.050701470000E+05	2.902057E+01
2.078696860000E+05	2.905532E+01
2.106692250000E+05	2.901760E+01
2.134687650000E+05	2.910943E+01
2.162683040000E+05	2.907383E+01
2.190678430000E+05	2.907572E+01
2.218673820000E+05	2.916555E+01
2.246669220000E+05	2.913830E+01
2.274664610000E+05	2.907683E+01
2.302660000000E+05	2.910388E+01
2.302670000000E+05	2.907394E+01
2.376352940000E+05	2.898709E+01
2.450035880000E+05	2.905045E+01
2.523718820000E+05	2.908197E+01
2.597401760000E+05	2.915823E+01
2.671084710000E+05	2.904062E+01
2.744767650000E+05	2.903600E+01
2.818450590000E+05	2.903708E+01
2.892133530000E+05	2.911736E+01
2.965816470000E+05	2.907544E+01
3.039499410000E+05	2.903965E+01
3.113182350000E+05	2.911014E+01
3.186865290000E+05	2.906170E+01
3.260548240000E+05	2.905452E+01
3.334231180000E+05	2.910938E+01
3.407914120000E+05	2.904505E+01
3.481597060000E+05	2.909429E+01
3.555280000000E+05	2.907862E+01
3.628962940000E+05	2.904645E+01
3.702645880000E+05	2.905978E+01
3.776328820000E+05	2.903640E+01
3.850011760000E+05	2.910508E+01
3.923694710000E+05	2.911420E+01
3.997377650000E+05	2.909352E+01
4.071060590000E+05	2.899833E+01
4.144743530000E+05	2.910921E+01
4.218426470000E+05	2.912894E+01
4.292109410000E+05	2.903860E+01
4.365792350000E+05	2.906493E+01
4.439475290000E+05	2.904358E+01
4.513158240000E+05	2.904430E+01
4.586841180000E+05	2.910062E+01
4.660524120000E+05	2.908747E+01
4.734207060000E+05	2.905533E+01
4.807890000000E+05	2.912831E+01
4.881572940000E+05	2.911828E+01
4.955255880000E+05	2.905796E+01
5.028938820000E+05	2.910854E+01
5.102621760000E+05	2.904483E+01
5.176304710000E+05	2.905498E+01
5.249987650000E+05	2.911537E+01
5.323670590000E+05	2.907409E+01
5.397353530000E+05	2.905769E+01
5.471036470000E+05	2.908126E+01
5.544719410000E+05	2.909418E+01
5.618402350000E+05	2.903834E+01
5.692085290000E+05	2.906568E+01
5.765768240000E+05	2.905706E+01
5.839451180000E+05	2.910553E+01
5.913134120000E+05	2.906914E+01
5.986817060000E+05	2.910215E+01
6.060500000000E+05	2.912709E+01
6.060510000000E+05	2.909773E+01
6.254441180000E+05	2.908501E+01
6.448372350000E+05	2.909291E+01
6.642303530000E+05	2.907029E+01
6.836234710000E+05	2.909612E+01
7.030165880000E+05	2.912810E+01
7.224097060000E+05	2.913684E+01
7.418028240000E+05	2.903976E+01
7.611959410000E+05	2.914108E+01
7.805890590000E+05	2.907307E+01
7.999821760000E+05	2.913058E+01
8.193752940000E+05	2.912604E+01
8.387684120000E+05	2.909851E+01
8.581615290000E+05	2.913621E+01
8.775546470000E+05	2.914366E+01
8.969477650000E+05	2.909223E+01
9.163408820000E+05	2.911790E+01
9.357340000000E+05	2.917377E+01
9.551271180000E+05	2.917974E+01
9.745202350000E+05	2.910667E+01
9.939133530000E+05	2.915179E+01
1.013306471000E+06	2.911797E+01
1.032699588000E+06	2.908633E+01
1.052092706000E+06	2.911658E+01
1.071485824000E+06	2.905734E+01
1.090878941000E+06	2.912558E+01
1.110272059000E+06	2.914339E+01
1.129665176000E+06	2.916414E+01
1.149058294000E+06	2.908287E+01
1.168451412000E+06	2.916282E+01
1.187844529000E+06	2.906458E+01
1.207237647000E+06	2.908949E+01
1.226630765000E+06	2.912080E+01
1.246023882000E+06	2.908456E+01
1.265417000000E+06	2.902808E+01
1.284810118000E+06	2.912090E+01
1.304203235000E+06	2.904390E+01
1.323596353000E+06	2.909887E+01
