"Frequency"	"Magnitude"
1.010000000000E+02	8.388969E-07
1.041800000000E+02	1.173048E-06
1.073610000000E+02	2.069124E-06
1.105410000000E+02	2.188134E-06
1.137210000000E+02	2.106397E-06
1.169020000000E+02	1.452905E-06
1.200820000000E+02	7.053663E-07
1.232620000000E+02	6.215614E-07
1.264430000000E+02	5.731653E-07
1.296230000000E+02	5.586438E-07
1.328030000000E+02	5.649989E-07
1.359830000000E+02	5.853197E-07
1.391640000000E+02	7.353465E-07
1.423440000000E+02	8.503489E-07
1.455240000000E+02	3.336927E-06
1.487050000000E+02	4.979164E-06
1.518850000000E+02	4.984146E-06
1.550650000000E+02	4.505155E-06
1.582460000000E+02	1.642046E-06
1.614260000000E+02	5.134686E-07
1.646060000000E+02	4.471015E-07
1.677870000000E+02	4.575577E-07
1.709670000000E+02	6.524844E-07
1.741470000000E+02	7.918140E-07
1.773280000000E+02	7.916527E-07
1.805080000000E+02	7.762017E-07
1.836880000000E+02	7.108079E-07
1.868680000000E+02	5.776282E-07
1.900490000000E+02	6.135091E-07
1.932290000000E+02	6.254924E-07
1.964090000000E+02	6.306237E-07
1.995900000000E+02	6.009187E-07
2.027700000000E+02	5.421740E-07
2.059500000000E+02	6.546585E-07
2.091310000000E+02	5.888006E-07
2.123110000000E+02	5.827956E-07
2.154910000000E+02	5.487106E-07
2.186720000000E+02	5.395474E-07
2.218520000000E+02	6.065684E-07
2.250320000000E+02	5.903592E-07
2.282130000000E+02	5.866636E-07
2.313930000000E+02	5.183140E-07
2.345730000000E+02	4.077194E-07
2.377530000000E+02	4.690185E-07
2.409340000000E+02	5.293981E-07
2.441140000000E+02	6.861955E-07
2.472940000000E+02	1.172697E-06
2.504750000000E+02	1.604178E-06
2.536550000000E+02	1.643343E-06
2.568350000000E+02	1.522556E-06
2.600160000000E+02	8.407574E-07
2.631960000000E+02	5.548155E-07
2.641960000000E+02	8.112357E-07
2.725980000000E+02	6.378302E-07
2.810010000000E+02	5.635679E-07
2.894030000000E+02	4.945190E-07
2.978060000000E+02	5.036243E-07
3.062080000000E+02	5.190395E-07
3.146110000000E+02	5.420691E-07
3.230130000000E+02	5.280476E-07
3.314150000000E+02	4.627570E-07
3.398180000000E+02	4.803728E-07
3.482200000000E+02	4.987372E-07
3.566230000000E+02	4.801817E-07
3.650250000000E+02	4.559288E-07
3.734280000000E+02	4.082292E-07
3.818300000000E+02	4.115432E-07
3.902320000000E+02	4.242740E-07
3.986350000000E+02	4.398652E-07
4.070370000000E+02	4.728913E-07
4.154400000000E+02	4.996227E-07
4.238420000000E+02	5.201204E-07
4.322450000000E+02	5.500767E-07
4.406470000000E+02	6.056414E-07
4.490490000000E+02	5.886710E-07
4.574520000000E+02	5.438458E-07
4.658540000000E+02	4.335216E-07
4.742570000000E+02	3.712057E-07
4.826590000000E+02	3.758927E-07
4.910620000000E+02	4.336115E-07
4.994640000000E+02	4.225525E-07
5.078670000000E+02	4.415328E-07
5.162690000000E+02	4.518070E-07
5.246710000000E+02	4.372828E-07
5.330740000000E+02	3.657500E-07
5.414760000000E+02	3.046938E-07
5.498790000000E+02	2.329241E-07
5.582810000000E+02	2.724450E-07
5.666840000000E+02	3.353913E-07
5.750860000000E+02	3.144057E-07
5.834880000000E+02	2.676711E-07
5.918910000000E+02	2.486425E-07
6.002930000000E+02	3.064135E-07
6.086960000000E+02	3.382612E-07
6.170980000000E+02	3.636717E-07
6.255010000000E+02	3.728812E-07
6.339030000000E+02	3.697803E-07
6.423050000000E+02	3.342865E-07
6.507080000000E+02	3.111221E-07
6.591100000000E+02	2.784712E-07
6.675130000000E+02	2.348775E-07
6.759150000000E+02	2.254955E-07
6.843180000000E+02	2.418998E-07
6.927200000000E+02	2.505178E-07
6.937200000000E+02	3.424931E-07
7.158670000000E+02	2.760846E-07
7.380140000000E+02	3.001211E-07
7.601610000000E+02	3.270993E-07
7.823070000000E+02	2.414137E-07
8.044540000000E+02	2.459315E-07
8.266010000000E+02	2.284639E-07
8.487480000000E+02	3.379111E-07
8.708950000000E+02	2.649584E-07
8.930420000000E+02	2.636612E-07
9.151890000000E+02	2.826140E-07
9.373350000000E+02	2.145939E-07
9.594820000000E+02	2.202929E-07
9.816290000000E+02	2.368078E-07
1.003776000000E+03	5.310660E-07
1.025923000000E+03	4.688569E-07
1.048070000000E+03	3.183140E-07
1.070217000000E+03	3.185515E-07
1.092364000000E+03	1.796851E-07
1.114510000000E+03	2.268384E-07
1.136657000000E+03	2.365411E-07
1.158804000000E+03	2.131952E-07
1.180951000000E+03	2.429620E-07
1.203098000000E+03	2.358847E-07
1.225245000000E+03	2.785229E-07
1.247392000000E+03	1.710879E-07
1.269538000000E+03	1.869566E-07
1.291685000000E+03	1.654534E-07
1.313832000000E+03	1.733997E-07
1.335979000000E+03	1.962169E-07
1.358126000000E+03	2.359832E-07
1.380273000000E+03	2.600159E-07
1.402420000000E+03	1.801271E-07
1.424566000000E+03	2.212352E-07
1.446713000000E+03	2.071236E-07
1.468860000000E+03	1.947100E-07
1.491007000000E+03	1.979299E-07
1.513154000000E+03	1.777746E-07
1.535301000000E+03	1.532684E-07
1.557448000000E+03	1.856713E-07
1.579595000000E+03	2.005191E-07
1.601741000000E+03	2.121298E-07
1.623888000000E+03	2.039203E-07
1.646035000000E+03	1.646585E-07
1.668182000000E+03	1.448327E-07
1.690329000000E+03	1.544160E-07
1.712476000000E+03	1.540379E-07
1.734623000000E+03	1.379817E-07
1.756769000000E+03	1.339062E-07
1.778916000000E+03	1.918332E-07
1.801063000000E+03	1.964205E-07
1.823210000000E+03	1.480994E-07
1.824210000000E+03	1.482152E-07
1.882531000000E+03	1.500417E-07
1.940853000000E+03	1.559054E-07
1.999174000000E+03	1.679429E-07
2.057495000000E+03	1.673652E-07
2.115817000000E+03	1.677431E-07
2.174138000000E+03	1.253020E-07
2.232460000000E+03	1.248289E-07
2.290781000000E+03	1.649241E-07
2.349102000000E+03	1.480191E-07
2.407424000000E+03	1.499024E-07
2.465745000000E+03	1.554561E-07
2.524066000000E+03	1.101187E-07
2.582388000000E+03	9.476732E-08
2.640709000000E+03	1.175312E-07
2.699031000000E+03	1.372330E-07
2.757352000000E+03	1.263194E-07
2.815673000000E+03	9.763093E-08
2.873995000000E+03	8.006961E-08
2.932316000000E+03	8.055794E-08
2.990637000000E+03	1.004734E-07
3.048959000000E+03	9.855571E-08
3.107280000000E+03	1.062340E-07
3.165602000000E+03	9.461242E-08
3.223923000000E+03	9.432306E-08
3.282244000000E+03	9.539857E-08
3.340566000000E+03	9.362979E-08
3.398887000000E+03	8.189333E-08
3.457208000000E+03	8.130645E-08
3.515530000000E+03	7.993881E-08
3.573851000000E+03	6.276194E-08
3.632173000000E+03	1.019037E-07
3.690494000000E+03	1.048608E-07
3.748815000000E+03	9.629883E-08
3.807137000000E+03	8.515944E-08
3.865458000000E+03	9.958325E-08
3.923779000000E+03	8.964309E-08
3.982101000000E+03	8.873366E-08
4.040422000000E+03	8.240299E-08
4.098744000000E+03	6.823572E-08
4.157065000000E+03	6.531894E-08
4.215386000000E+03	8.727722E-08
4.273708000000E+03	7.440475E-08
4.332029000000E+03	6.660159E-08
4.390350000000E+03	6.785737E-08
4.448672000000E+03	6.096540E-08
4.506993000000E+03	7.185512E-08
4.565315000000E+03	6.784192E-08
4.623636000000E+03	6.964223E-08
4.681957000000E+03	7.145001E-08
4.740279000000E+03	6.844412E-08
4.798600000000E+03	5.494228E-08
4.799600000000E+03	4.516525E-08
4.953131000000E+03	5.135158E-08
5.106663000000E+03	4.374607E-08
5.260194000000E+03	3.963822E-08
5.413725000000E+03	5.618816E-08
5.567257000000E+03	6.041678E-08
5.720788000000E+03	5.060929E-08
5.874320000000E+03	4.679227E-08
6.027851000000E+03	5.221641E-08
6.181382000000E+03	5.308564E-08
6.334914000000E+03	4.386821E-08
6.488445000000E+03	4.814903E-08
6.641976000000E+03	5.217649E-08
6.795508000000E+03	3.158922E-08
6.949039000000E+03	3.721787E-08
7.102571000000E+03	4.195064E-08
7.256102000000E+03	4.316147E-08
7.409633000000E+03	3.540894E-08
7.563165000000E+03	3.686486E-08
7.716696000000E+03	4.122188E-08
7.870227000000E+03	3.957310E-08
8.023759000000E+03	4.314661E-08
8.177290000000E+03	4.337719E-08
8.330822000000E+03	3.929188E-08
8.484353000000E+03	3.520463E-08
8.637884000000E+03	4.760044E-08
8.791416000000E+03	4.214557E-08
8.944947000000E+03	3.328281E-08
9.098478000000E+03	3.141142E-08
9.252010000000E+03	3.112286E-08
9.405541000000E+03	3.493819E-08
9.559073000000E+03	4.106172E-08
9.712604000000E+03	4.785612E-08
9.866135000000E+03	4.229756E-08
1.001966700000E+04	3.237090E-08
1.017319800000E+04	3.733702E-08
1.032672900000E+04	4.462920E-08
1.048026100000E+04	3.745910E-08
1.063379200000E+04	3.676016E-08
1.078732400000E+04	3.608948E-08
1.094085500000E+04	2.372848E-08
1.109438600000E+04	2.447048E-08
1.124791800000E+04	3.145066E-08
1.140144900000E+04	3.240173E-08
1.155498000000E+04	2.792250E-08
1.170851200000E+04	2.636467E-08
1.186204300000E+04	3.095943E-08
1.201557500000E+04	3.436506E-08
1.216910600000E+04	3.252359E-08
1.232263700000E+04	3.740817E-08
1.247616900000E+04	2.996967E-08
1.262970000000E+04	3.093040E-08
1.263070000000E+04	2.920715E-08
1.303482200000E+04	3.010882E-08
1.343894300000E+04	2.877207E-08
1.384306500000E+04	2.867075E-08
1.424718600000E+04	2.956261E-08
1.465130800000E+04	2.994539E-08
1.505542900000E+04	3.245558E-08
1.545955100000E+04	3.933797E-08
1.586367300000E+04	5.024506E-08
1.626779400000E+04	5.269257E-08
1.667191600000E+04	4.652199E-08
1.707603700000E+04	3.811819E-08
1.748015900000E+04	3.315330E-08
1.788428000000E+04	3.344393E-08
1.828840200000E+04	2.972003E-08
1.869252400000E+04	3.152111E-08
1.909664500000E+04	3.447364E-08
1.950076700000E+04	3.504605E-08
1.990488800000E+04	3.106407E-08
2.030901000000E+04	2.838900E-08
2.071313100000E+04	2.822860E-08
2.111725300000E+04	3.090058E-08
2.152137500000E+04	2.913458E-08
2.192549600000E+04	2.281980E-08
2.232961800000E+04	2.129262E-08
2.273373900000E+04	2.448852E-08
2.313786100000E+04	2.043428E-08
2.354198200000E+04	2.022914E-08
2.394610400000E+04	2.552672E-08
2.435022500000E+04	2.919868E-08
2.475434700000E+04	2.359570E-08
2.515846900000E+04	1.848004E-08
2.556259000000E+04	2.243934E-08
2.596671200000E+04	2.699001E-08
2.637083300000E+04	2.595903E-08
2.677495500000E+04	2.282301E-08
2.717907600000E+04	2.270169E-08
2.758319800000E+04	2.632304E-08
2.798732000000E+04	3.132340E-08
2.839144100000E+04	2.769075E-08
2.879556300000E+04	2.749859E-08
2.919968400000E+04	3.034966E-08
2.960380600000E+04	2.841983E-08
3.000792700000E+04	2.802741E-08
3.041204900000E+04	2.783501E-08
3.081617100000E+04	3.023998E-08
3.122029200000E+04	2.493799E-08
3.162441400000E+04	2.125591E-08
3.202853500000E+04	2.750387E-08
3.243265700000E+04	2.834678E-08
3.283677800000E+04	2.643730E-08
3.324090000000E+04	2.204597E-08
3.324190000000E+04	3.163498E-08
3.430555900000E+04	2.930546E-08
3.536921800000E+04	2.691728E-08
3.643287600000E+04	2.079604E-08
3.749653500000E+04	2.086745E-08
3.856019400000E+04	2.263491E-08
3.962385300000E+04	2.381920E-08
4.068751200000E+04	2.362691E-08
4.175117100000E+04	2.211350E-08
4.281482900000E+04	2.472693E-08
4.387848800000E+04	2.873976E-08
4.494214700000E+04	2.427035E-08
4.600580600000E+04	2.071318E-08
4.706946500000E+04	2.158307E-08
4.813312400000E+04	3.080494E-08
4.919678200000E+04	3.115368E-08
5.026044100000E+04	3.002096E-08
5.132410000000E+04	2.934603E-08
5.238775900000E+04	3.013371E-08
5.345141800000E+04	3.186265E-08
5.451507600000E+04	2.852838E-08
5.557873500000E+04	3.088864E-08
5.664239400000E+04	3.213442E-08
5.770605300000E+04	2.831539E-08
5.876971200000E+04	2.523018E-08
5.983337100000E+04	2.293193E-08
6.089702900000E+04	2.508916E-08
6.196068800000E+04	2.659492E-08
6.302434700000E+04	2.321487E-08
6.408800600000E+04	2.275236E-08
6.515166500000E+04	2.008274E-08
6.621532400000E+04	1.936705E-08
6.727898200000E+04	1.926947E-08
6.834264100000E+04	2.404899E-08
6.940630000000E+04	2.442096E-08
7.046995900000E+04	2.417295E-08
7.153361800000E+04	2.609836E-08
7.259727600000E+04	3.130499E-08
7.366093500000E+04	3.562501E-08
7.472459400000E+04	3.588134E-08
7.578825300000E+04	3.307610E-08
7.685191200000E+04	3.084062E-08
7.791557100000E+04	3.142687E-08
7.897922900000E+04	3.400612E-08
8.004288800000E+04	3.768077E-08
8.110654700000E+04	3.571452E-08
