"Frequency"	"Magnitude"
1.010000000000E+02	5.964962E-06
1.041800000000E+02	5.055462E-06
1.073610000000E+02	5.435004E-06
1.105410000000E+02	6.566843E-06
1.137210000000E+02	6.615696E-06
1.169020000000E+02	5.931758E-06
1.200820000000E+02	4.799675E-06
1.232620000000E+02	4.233977E-06
1.264430000000E+02	4.078608E-06
1.296230000000E+02	4.452368E-06
1.328030000000E+02	5.215280E-06
1.359830000000E+02	4.594382E-06
1.391640000000E+02	4.980793E-06
1.423440000000E+02	5.170289E-06
1.455240000000E+02	1.040635E-05
1.487050000000E+02	1.417057E-05
1.518850000000E+02	1.398648E-05
1.550650000000E+02	1.218690E-05
1.582460000000E+02	6.397273E-06
1.614260000000E+02	5.726151E-06
1.646060000000E+02	5.008819E-06
1.677870000000E+02	4.960908E-06
1.709670000000E+02	5.096233E-06
1.741470000000E+02	4.666978E-06
1.773280000000E+02	3.903148E-06
1.805080000000E+02	3.344804E-06
1.836880000000E+02	3.385850E-06
1.868680000000E+02	4.049642E-06
1.900490000000E+02	4.181969E-06
1.932290000000E+02	4.133411E-06
1.964090000000E+02	5.246716E-06
1.995900000000E+02	5.349527E-06
2.027700000000E+02	4.617993E-06
2.059500000000E+02	4.153304E-06
2.091310000000E+02	4.885739E-06
2.123110000000E+02	5.627286E-06
2.154910000000E+02	5.010842E-06
2.186720000000E+02	4.717695E-06
2.218520000000E+02	4.166782E-06
2.250320000000E+02	3.604470E-06
2.282130000000E+02	3.735365E-06
2.313930000000E+02	4.070339E-06
2.345730000000E+02	4.220583E-06
2.377530000000E+02	4.307245E-06
2.409340000000E+02	3.694161E-06
2.441140000000E+02	4.006114E-06
2.472940000000E+02	4.351770E-06
2.504750000000E+02	4.236077E-06
2.536550000000E+02	4.207350E-06
2.568350000000E+02	4.448629E-06
2.600160000000E+02	3.664359E-06
2.631960000000E+02	3.911568E-06
2.641960000000E+02	3.276104E-06
2.725980000000E+02	2.841547E-06
2.810010000000E+02	2.682676E-06
2.894030000000E+02	3.137514E-06
2.978060000000E+02	3.079753E-06
3.062080000000E+02	3.039844E-06
3.146110000000E+02	3.042544E-06
3.230130000000E+02	2.854327E-06
3.314150000000E+02	3.102553E-06
3.398180000000E+02	3.191608E-06
3.482200000000E+02	2.915839E-06
3.566230000000E+02	2.226830E-06
3.650250000000E+02	2.615010E-06
3.734280000000E+02	3.042160E-06
3.818300000000E+02	2.745104E-06
3.902320000000E+02	2.715651E-06
3.986350000000E+02	2.830163E-06
4.070370000000E+02	2.725612E-06
4.154400000000E+02	2.773566E-06
