"Frequency"	"Magnitude"
1.010000000000E+02	1.861208E-04
1.041800000000E+02	1.455174E-04
1.073610000000E+02	3.079165E-05
1.105410000000E+02	8.503636E-06
1.137210000000E+02	8.675629E-06
1.169020000000E+02	7.960055E-06
1.200820000000E+02	5.884727E-06
1.232620000000E+02	5.665165E-06
1.264430000000E+02	6.198975E-06
1.296230000000E+02	6.854768E-06
1.328030000000E+02	7.287712E-06
1.359830000000E+02	7.889934E-06
1.391640000000E+02	7.648569E-06
1.423440000000E+02	8.437620E-06
1.455240000000E+02	2.229803E-05
1.487050000000E+02	3.253934E-05
1.518850000000E+02	3.229504E-05
1.550650000000E+02	3.062474E-05
1.582460000000E+02	1.353466E-05
1.614260000000E+02	6.486142E-06
1.646060000000E+02	6.153955E-06
1.677870000000E+02	7.705877E-06
1.709670000000E+02	7.685439E-06
1.741470000000E+02	6.484542E-06
1.773280000000E+02	5.519097E-06
1.805080000000E+02	5.690882E-06
1.836880000000E+02	7.098981E-06
1.868680000000E+02	7.637357E-06
1.900490000000E+02	6.786389E-06
1.932290000000E+02	7.458216E-06
1.964090000000E+02	3.770758E-05
1.995900000000E+02	7.509612E-05
2.027700000000E+02	7.685176E-05
2.059500000000E+02	6.248042E-05
2.091310000000E+02	1.529870E-05
2.123110000000E+02	3.871882E-06
2.154910000000E+02	4.821097E-06
2.186720000000E+02	5.490153E-06
2.218520000000E+02	6.449482E-06
2.250320000000E+02	7.925946E-06
2.282130000000E+02	7.883105E-06
2.313930000000E+02	6.574084E-06
2.345730000000E+02	5.519182E-06
2.377530000000E+02	5.573923E-06
2.409340000000E+02	5.561508E-06
2.441140000000E+02	6.067098E-06
2.472940000000E+02	2.301451E-05
2.504750000000E+02	3.605397E-05
2.536550000000E+02	3.651084E-05
2.568350000000E+02	3.385464E-05
2.600160000000E+02	1.407623E-05
2.631960000000E+02	7.612667E-06
2.641960000000E+02	1.533972E-05
2.725980000000E+02	8.399596E-06
2.810010000000E+02	7.147543E-06
2.894030000000E+02	1.526946E-05
2.978060000000E+02	1.586598E-05
3.062080000000E+02	1.555438E-05
3.146110000000E+02	1.131925E-05
3.230130000000E+02	6.802714E-06
3.314150000000E+02	9.203021E-06
3.398180000000E+02	1.295849E-05
3.482200000000E+02	1.394306E-05
3.566230000000E+02	1.325981E-05
3.650250000000E+02	1.189802E-05
3.734280000000E+02	8.856941E-06
3.818300000000E+02	8.714165E-06
3.902320000000E+02	1.323974E-05
3.986350000000E+02	1.649658E-05
4.070370000000E+02	1.644523E-05
4.154400000000E+02	1.546106E-05
4.238420000000E+02	7.361976E-06
4.322450000000E+02	9.159809E-06
4.406470000000E+02	2.201333E-05
4.490490000000E+02	2.316116E-05
4.574520000000E+02	2.282808E-05
4.658540000000E+02	1.906235E-05
4.742570000000E+02	1.218265E-05
4.826590000000E+02	6.500606E-06
4.910620000000E+02	6.089281E-06
4.994640000000E+02	6.726280E-06
5.078670000000E+02	7.433418E-06
5.162690000000E+02	7.301591E-06
5.246710000000E+02	6.389805E-06
5.330740000000E+02	5.528727E-06
5.414760000000E+02	6.065411E-06
5.498790000000E+02	6.626079E-06
5.582810000000E+02	6.609066E-06
5.666840000000E+02	6.239772E-06
5.750860000000E+02	3.904534E-06
5.834880000000E+02	3.862479E-06
5.918910000000E+02	5.002116E-06
6.002930000000E+02	6.949854E-06
6.086960000000E+02	6.884263E-06
6.170980000000E+02	5.638878E-06
6.255010000000E+02	4.660776E-06
6.339030000000E+02	4.044729E-06
6.423050000000E+02	5.695703E-06
6.507080000000E+02	6.532171E-06
6.591100000000E+02	6.790747E-06
6.675130000000E+02	7.301147E-06
6.759150000000E+02	6.424252E-06
6.843180000000E+02	3.843221E-06
6.927200000000E+02	3.983181E-06
6.937200000000E+02	3.372597E-06
7.158670000000E+02	3.631995E-06
7.380140000000E+02	4.890160E-06
7.601610000000E+02	5.930897E-06
7.823070000000E+02	3.509596E-06
8.044540000000E+02	3.731769E-06
8.266010000000E+02	3.905751E-06
8.487480000000E+02	1.006030E-05
8.708950000000E+02	6.874622E-06
8.930420000000E+02	3.405788E-06
9.151890000000E+02	3.294290E-06
9.373350000000E+02	6.300424E-06
