"Frequency"	"Magnitude"
1.010000000000E+02	2.181812E+01
1.041800000000E+02	2.184906E+01
1.073610000000E+02	2.181474E+01
1.105410000000E+02	2.182285E+01
1.137210000000E+02	2.185528E+01
1.169020000000E+02	2.185622E+01
1.200820000000E+02	2.185144E+01
1.232620000000E+02	2.189732E+01
1.264430000000E+02	2.190802E+01
1.296230000000E+02	2.191301E+01
1.328030000000E+02	2.192387E+01
1.359830000000E+02	2.192220E+01
1.391640000000E+02	2.191220E+01
1.423440000000E+02	2.191397E+01
1.455240000000E+02	2.202530E+01
1.487050000000E+02	2.197265E+01
1.518850000000E+02	2.198710E+01
1.550650000000E+02	2.202542E+01
1.582460000000E+02	2.197541E+01
1.614260000000E+02	2.199097E+01
1.646060000000E+02	2.202598E+01
1.677870000000E+02	2.203921E+01
1.709670000000E+02	2.200067E+01
1.741470000000E+02	2.202843E+01
1.773280000000E+02	2.201716E+01
1.805080000000E+02	2.202455E+01
1.836880000000E+02	2.201281E+01
1.868680000000E+02	2.204566E+01
1.900490000000E+02	2.205604E+01
1.932290000000E+02	2.206399E+01
1.964090000000E+02	2.207734E+01
1.995900000000E+02	2.209079E+01
2.027700000000E+02	2.205731E+01
2.059500000000E+02	2.207232E+01
2.091310000000E+02	2.207114E+01
2.123110000000E+02	2.206820E+01
2.154910000000E+02	2.207638E+01
2.186720000000E+02	2.207026E+01
2.218520000000E+02	2.208587E+01
2.250320000000E+02	2.208787E+01
2.282130000000E+02	2.208624E+01
2.313930000000E+02	2.210373E+01
2.345730000000E+02	2.209926E+01
2.377530000000E+02	2.209006E+01
2.409340000000E+02	2.206605E+01
2.441140000000E+02	2.211071E+01
2.472940000000E+02	2.210249E+01
2.504750000000E+02	2.211346E+01
2.536550000000E+02	2.211662E+01
2.568350000000E+02	2.213087E+01
2.600160000000E+02	2.211164E+01
2.631960000000E+02	2.211324E+01
2.641960000000E+02	2.212944E+01
2.725980000000E+02	2.212898E+01
2.810010000000E+02	2.211410E+01
2.894030000000E+02	2.212389E+01
2.978060000000E+02	2.214452E+01
3.062080000000E+02	2.216513E+01
3.146110000000E+02	2.216163E+01
