"Frequency"	"Magnitude"
1.010000000000E+02	6.528258E-06
1.041800000000E+02	6.812765E-06
1.073610000000E+02	6.934708E-06
1.105410000000E+02	5.428830E-06
1.137210000000E+02	4.840996E-06
1.169020000000E+02	5.416604E-06
1.200820000000E+02	6.814984E-06
1.232620000000E+02	7.638188E-06
1.264430000000E+02	7.321016E-06
1.296230000000E+02	7.232014E-06
1.328030000000E+02	6.356719E-06
1.359830000000E+02	5.287020E-06
1.391640000000E+02	4.958339E-06
1.423440000000E+02	4.291901E-06
1.455240000000E+02	5.363072E-06
1.487050000000E+02	7.651230E-06
1.518850000000E+02	8.581765E-06
1.550650000000E+02	8.032699E-06
1.582460000000E+02	6.046032E-06
1.614260000000E+02	5.590994E-06
1.646060000000E+02	5.383057E-06
1.677870000000E+02	5.233382E-06
1.709670000000E+02	4.730879E-06
1.741470000000E+02	5.092915E-06
1.773280000000E+02	5.545498E-06
1.805080000000E+02	5.279546E-06
1.836880000000E+02	4.763477E-06
1.868680000000E+02	4.318659E-06
1.900490000000E+02	4.183074E-06
1.932290000000E+02	4.678059E-06
1.964090000000E+02	4.921251E-06
1.995900000000E+02	4.577327E-06
2.027700000000E+02	4.343288E-06
2.059500000000E+02	4.554160E-06
2.091310000000E+02	4.233476E-06
2.123110000000E+02	4.674868E-06
2.154910000000E+02	5.272605E-06
2.186720000000E+02	5.120084E-06
2.218520000000E+02	5.074249E-06
2.250320000000E+02	5.919783E-06
2.282130000000E+02	6.844104E-06
2.313930000000E+02	6.515728E-06
2.345730000000E+02	5.852642E-06
2.377530000000E+02	4.574118E-06
2.409340000000E+02	4.487732E-06
2.441140000000E+02	4.246690E-06
2.472940000000E+02	4.871030E-06
2.504750000000E+02	4.776462E-06
2.536550000000E+02	4.627632E-06
2.568350000000E+02	4.864515E-06
2.600160000000E+02	4.857345E-06
2.631960000000E+02	5.453423E-06
2.641960000000E+02	4.102902E-06
2.725980000000E+02	4.318887E-06
2.810010000000E+02	4.362907E-06
2.894030000000E+02	4.733523E-06
2.978060000000E+02	5.039283E-06
3.062080000000E+02	4.969847E-06
3.146110000000E+02	4.494093E-06
3.230130000000E+02	4.277490E-06
3.314150000000E+02	4.051166E-06
3.398180000000E+02	3.648785E-06
3.482200000000E+02	3.124153E-06
3.566230000000E+02	3.946222E-06
3.650250000000E+02	4.661493E-06
3.734280000000E+02	5.051142E-06
3.818300000000E+02	4.720593E-06
3.902320000000E+02	4.519146E-06
3.986350000000E+02	3.762819E-06
4.070370000000E+02	3.251967E-06
4.154400000000E+02	2.916805E-06
4.238420000000E+02	2.213003E-06
4.322450000000E+02	2.050866E-06
4.406470000000E+02	2.321384E-06
4.490490000000E+02	2.660362E-06
4.574520000000E+02	2.859474E-06
4.658540000000E+02	3.189758E-06
4.742570000000E+02	3.049493E-06
4.826590000000E+02	2.732814E-06
4.910620000000E+02	2.472035E-06
4.994640000000E+02	2.773149E-06
5.078670000000E+02	3.434546E-06
5.162690000000E+02	3.447533E-06
5.246710000000E+02	3.338091E-06
5.330740000000E+02	2.891512E-06
5.414760000000E+02	2.962487E-06
5.498790000000E+02	3.037785E-06
5.582810000000E+02	2.979139E-06
5.666840000000E+02	2.913042E-06
5.750860000000E+02	2.616531E-06
5.834880000000E+02	2.686444E-06
5.918910000000E+02	2.873574E-06
6.002930000000E+02	3.059651E-06
6.086960000000E+02	3.472241E-06
6.170980000000E+02	4.118696E-06
6.255010000000E+02	4.064635E-06
6.339030000000E+02	3.757326E-06
6.423050000000E+02	3.210352E-06
6.507080000000E+02	2.808677E-06
6.591100000000E+02	2.547688E-06
6.675130000000E+02	3.151337E-06
6.759150000000E+02	3.360627E-06
6.843180000000E+02	3.472651E-06
6.927200000000E+02	3.506741E-06
6.937200000000E+02	2.510457E-06
7.158670000000E+02	3.861695E-06
7.380140000000E+02	2.841552E-06
7.601610000000E+02	2.149314E-06
7.823070000000E+02	3.094297E-06
8.044540000000E+02	3.107890E-06
8.266010000000E+02	2.830968E-06
8.487480000000E+02	3.039215E-06
8.708950000000E+02	1.813246E-06
8.930420000000E+02	2.614686E-06
9.151890000000E+02	2.597801E-06
9.373350000000E+02	2.073129E-06
9.594820000000E+02	3.455614E-06
9.816290000000E+02	2.726285E-06
1.003776000000E+03	3.834175E-06
1.025923000000E+03	3.404322E-06
1.048070000000E+03	2.855124E-06
1.070217000000E+03	2.797573E-06
1.092364000000E+03	2.163884E-06
1.114510000000E+03	2.247735E-06
1.136657000000E+03	2.600722E-06
1.158804000000E+03	2.516478E-06
1.180951000000E+03	2.057571E-06
1.203098000000E+03	2.425437E-06
1.225245000000E+03	2.806014E-06
1.247392000000E+03	2.648578E-06
1.269538000000E+03	1.860270E-06
1.291685000000E+03	2.027729E-06
1.313832000000E+03	1.634735E-06
1.335979000000E+03	2.132308E-06
1.358126000000E+03	2.990671E-06
1.380273000000E+03	2.786853E-06
1.402420000000E+03	2.084161E-06
1.424566000000E+03	2.355151E-06
1.446713000000E+03	2.436750E-06
1.468860000000E+03	2.222028E-06
1.491007000000E+03	2.702155E-06
1.513154000000E+03	2.482989E-06
1.535301000000E+03	2.085729E-06
1.557448000000E+03	2.552457E-06
1.579595000000E+03	2.015582E-06
1.601741000000E+03	2.200093E-06
1.623888000000E+03	2.465797E-06
1.646035000000E+03	2.295432E-06
1.668182000000E+03	2.277140E-06
1.690329000000E+03	2.009012E-06
1.712476000000E+03	1.808848E-06
1.734623000000E+03	1.896380E-06
1.756769000000E+03	2.341837E-06
1.778916000000E+03	2.622197E-06
1.801063000000E+03	2.185355E-06
1.823210000000E+03	1.606033E-06
1.824210000000E+03	1.510674E-06
1.882531000000E+03	1.646541E-06
1.940853000000E+03	1.488370E-06
1.999174000000E+03	2.119022E-06
2.057495000000E+03	2.089819E-06
2.115817000000E+03	1.771543E-06
2.174138000000E+03	1.833517E-06
2.232460000000E+03	1.587043E-06
2.290781000000E+03	1.778413E-06
2.349102000000E+03	1.492571E-06
2.407424000000E+03	1.536518E-06
2.465745000000E+03	1.537564E-06
2.524066000000E+03	1.387357E-06
2.582388000000E+03	1.543474E-06
2.640709000000E+03	1.794255E-06
2.699031000000E+03	1.990423E-06
2.757352000000E+03	1.913573E-06
2.815673000000E+03	1.749799E-06
2.873995000000E+03	1.440732E-06
2.932316000000E+03	1.663396E-06
2.990637000000E+03	1.666310E-06
3.048959000000E+03	1.567139E-06
3.107280000000E+03	1.207826E-06
3.165602000000E+03	1.327326E-06
3.223923000000E+03	1.365857E-06
3.282244000000E+03	1.379458E-06
3.340566000000E+03	1.327150E-06
3.398887000000E+03	1.286421E-06
3.457208000000E+03	1.354925E-06
3.515530000000E+03	1.368719E-06
3.573851000000E+03	1.335094E-06
3.632173000000E+03	1.267358E-06
3.690494000000E+03	1.297036E-06
3.748815000000E+03	1.317657E-06
3.807137000000E+03	1.337126E-06
3.865458000000E+03	1.276770E-06
3.923779000000E+03	1.005457E-06
3.982101000000E+03	1.173829E-06
4.040422000000E+03	1.384212E-06
4.098744000000E+03	1.110042E-06
4.157065000000E+03	1.264833E-06
4.215386000000E+03	1.654363E-06
4.273708000000E+03	1.396933E-06
4.332029000000E+03	1.077958E-06
4.390350000000E+03	1.097533E-06
4.448672000000E+03	9.467848E-07
4.506993000000E+03	1.005474E-06
4.565315000000E+03	9.697891E-07
4.623636000000E+03	1.004041E-06
4.681957000000E+03	1.152647E-06
4.740279000000E+03	1.265083E-06
4.798600000000E+03	9.264405E-07
4.799600000000E+03	9.054411E-07
4.953131000000E+03	1.260575E-06
5.106663000000E+03	1.301351E-06
5.260194000000E+03	9.346371E-07
5.413725000000E+03	8.054229E-07
5.567257000000E+03	7.025516E-07
5.720788000000E+03	9.869743E-07
5.874320000000E+03	1.067413E-06
6.027851000000E+03	9.174760E-07
6.181382000000E+03	6.984437E-07
6.334914000000E+03	8.113244E-07
6.488445000000E+03	8.557122E-07
6.641976000000E+03	7.764575E-07
6.795508000000E+03	1.067979E-06
6.949039000000E+03	1.157764E-06
7.102571000000E+03	8.853752E-07
7.256102000000E+03	8.853902E-07
7.409633000000E+03	8.809780E-07
7.563165000000E+03	8.372040E-07
7.716696000000E+03	7.017187E-07
7.870227000000E+03	9.501451E-07
8.023759000000E+03	9.894108E-07
8.177290000000E+03	8.937200E-07
8.330822000000E+03	9.033084E-07
8.484353000000E+03	9.408924E-07
8.637884000000E+03	5.356359E-07
8.791416000000E+03	6.030619E-07
8.944947000000E+03	7.927742E-07
9.098478000000E+03	1.048236E-06
9.252010000000E+03	9.504230E-07
9.405541000000E+03	7.498423E-07
9.559073000000E+03	7.228051E-07
9.712604000000E+03	9.291779E-07
9.866135000000E+03	9.428355E-07
1.001966700000E+04	8.391764E-07
1.017319800000E+04	7.562936E-07
1.032672900000E+04	8.064030E-07
1.048026100000E+04	7.344999E-07
1.063379200000E+04	8.000433E-07
1.078732400000E+04	9.337739E-07
1.094085500000E+04	9.091557E-07
1.109438600000E+04	8.829746E-07
1.124791800000E+04	7.304336E-07
1.140144900000E+04	7.584315E-07
1.155498000000E+04	6.896842E-07
1.170851200000E+04	5.357070E-07
1.186204300000E+04	5.799718E-07
1.201557500000E+04	5.494125E-07
1.216910600000E+04	6.608363E-07
1.232263700000E+04	8.717427E-07
1.247616900000E+04	8.869204E-07
1.262970000000E+04	8.481811E-07
1.263070000000E+04	7.286560E-07
1.303482200000E+04	6.350106E-07
1.343894300000E+04	6.316556E-07
1.384306500000E+04	8.060423E-07
1.424718600000E+04	8.069457E-07
1.465130800000E+04	7.214552E-07
1.505542900000E+04	6.611336E-07
1.545955100000E+04	5.773153E-07
1.586367300000E+04	5.618818E-07
1.626779400000E+04	6.159413E-07
1.667191600000E+04	6.157508E-07
1.707603700000E+04	5.685135E-07
1.748015900000E+04	6.146279E-07
1.788428000000E+04	7.258175E-07
1.828840200000E+04	5.002155E-07
1.869252400000E+04	4.469359E-07
1.909664500000E+04	4.989647E-07
1.950076700000E+04	5.256645E-07
1.990488800000E+04	6.226209E-07
2.030901000000E+04	6.247952E-07
2.071313100000E+04	5.029073E-07
2.111725300000E+04	4.770685E-07
2.152137500000E+04	5.909992E-07
2.192549600000E+04	6.435150E-07
2.232961800000E+04	6.602391E-07
2.273373900000E+04	6.001029E-07
2.313786100000E+04	6.668346E-07
2.354198200000E+04	6.614797E-07
2.394610400000E+04	6.435170E-07
2.435022500000E+04	6.657571E-07
2.475434700000E+04	6.925047E-07
2.515846900000E+04	6.684037E-07
2.556259000000E+04	7.055736E-07
2.596671200000E+04	7.160068E-07
2.637083300000E+04	6.688387E-07
2.677495500000E+04	5.509085E-07
2.717907600000E+04	4.977100E-07
2.758319800000E+04	5.504565E-07
2.798732000000E+04	5.774800E-07
2.839144100000E+04	5.042178E-07
2.879556300000E+04	4.101518E-07
2.919968400000E+04	4.204391E-07
2.960380600000E+04	3.939835E-07
3.000792700000E+04	4.284524E-07
3.041204900000E+04	5.143597E-07
3.081617100000E+04	5.064508E-07
3.122029200000E+04	5.224065E-07
3.162441400000E+04	6.115943E-07
3.202853500000E+04	6.066933E-07
3.243265700000E+04	5.041409E-07
3.283677800000E+04	4.831857E-07
3.324090000000E+04	5.530923E-07
3.324190000000E+04	5.280043E-07
3.430555900000E+04	4.812761E-07
3.536921800000E+04	4.374745E-07
3.643287600000E+04	4.348262E-07
3.749653500000E+04	5.393343E-07
3.856019400000E+04	5.775182E-07
3.962385300000E+04	5.327165E-07
4.068751200000E+04	5.032706E-07
4.175117100000E+04	4.932654E-07
4.281482900000E+04	4.584600E-07
4.387848800000E+04	4.393484E-07
4.494214700000E+04	5.192543E-07
4.600580600000E+04	5.300073E-07
4.706946500000E+04	4.983260E-07
4.813312400000E+04	4.543914E-07
4.919678200000E+04	4.283021E-07
5.026044100000E+04	4.205455E-07
5.132410000000E+04	4.315190E-07
5.238775900000E+04	3.853115E-07
5.345141800000E+04	3.802305E-07
5.451507600000E+04	4.165662E-07
5.557873500000E+04	4.292152E-07
5.664239400000E+04	5.278380E-07
5.770605300000E+04	5.949937E-07
5.876971200000E+04	5.858351E-07
5.983337100000E+04	4.779622E-07
6.089702900000E+04	4.546106E-07
6.196068800000E+04	4.727260E-07
6.302434700000E+04	5.501652E-07
6.408800600000E+04	5.158178E-07
6.515166500000E+04	3.738757E-07
6.621532400000E+04	3.262894E-07
6.727898200000E+04	2.920290E-07
6.834264100000E+04	3.016013E-07
6.940630000000E+04	3.520536E-07
7.046995900000E+04	3.931466E-07
7.153361800000E+04	5.140042E-07
7.259727600000E+04	5.308648E-07
7.366093500000E+04	5.298352E-07
7.472459400000E+04	4.866378E-07
7.578825300000E+04	5.051534E-07
7.685191200000E+04	5.311528E-07
