"Frequency"	"Magnitude"
1.010000000000E+02	1.018874E-06
1.041800000000E+02	2.157117E-06
1.073610000000E+02	3.187317E-06
1.105410000000E+02	3.134387E-06
1.137210000000E+02	2.856511E-06
1.169020000000E+02	1.263832E-06
1.200820000000E+02	5.815079E-07
1.232620000000E+02	5.736940E-07
1.264430000000E+02	5.359947E-07
1.296230000000E+02	5.690391E-07
1.328030000000E+02	6.025015E-07
1.359830000000E+02	5.268680E-07
1.391640000000E+02	6.328684E-07
1.423440000000E+02	7.856559E-07
1.455240000000E+02	3.834927E-06
1.487050000000E+02	5.635896E-06
1.518850000000E+02	5.679363E-06
1.550650000000E+02	5.168627E-06
1.582460000000E+02	1.792111E-06
1.614260000000E+02	4.974979E-07
1.646060000000E+02	5.290082E-07
1.677870000000E+02	5.482405E-07
1.709670000000E+02	6.441130E-07
1.741470000000E+02	6.828471E-07
1.773280000000E+02	6.659974E-07
1.805080000000E+02	5.932966E-07
1.836880000000E+02	5.731584E-07
1.868680000000E+02	5.930365E-07
1.900490000000E+02	5.822533E-07
1.932290000000E+02	4.767460E-07
1.964090000000E+02	4.641283E-07
1.995900000000E+02	6.587051E-07
2.027700000000E+02	7.023303E-07
2.059500000000E+02	5.528914E-07
2.091310000000E+02	4.055105E-07
2.123110000000E+02	4.806316E-07
2.154910000000E+02	5.493952E-07
2.186720000000E+02	5.231239E-07
2.218520000000E+02	4.691701E-07
2.250320000000E+02	5.115570E-07
2.282130000000E+02	4.821875E-07
2.313930000000E+02	5.157240E-07
2.345730000000E+02	5.160917E-07
2.377530000000E+02	5.326089E-07
2.409340000000E+02	5.246437E-07
2.441140000000E+02	4.499176E-07
2.472940000000E+02	1.287463E-06
2.504750000000E+02	2.029004E-06
2.536550000000E+02	2.065503E-06
2.568350000000E+02	1.923709E-06
2.600160000000E+02	8.017091E-07
2.631960000000E+02	5.206903E-07
2.641960000000E+02	8.825060E-07
2.725980000000E+02	5.392851E-07
2.810010000000E+02	3.884970E-07
2.894030000000E+02	3.140086E-07
2.978060000000E+02	3.254762E-07
3.062080000000E+02	3.983838E-07
3.146110000000E+02	5.659804E-07
3.230130000000E+02	6.314734E-07
3.314150000000E+02	6.536395E-07
3.398180000000E+02	6.677586E-07
3.482200000000E+02	6.249254E-07
3.566230000000E+02	4.922414E-07
3.650250000000E+02	4.475085E-07
3.734280000000E+02	3.706586E-07
3.818300000000E+02	3.379391E-07
3.902320000000E+02	3.637068E-07
3.986350000000E+02	3.802964E-07
4.070370000000E+02	3.899877E-07
4.154400000000E+02	3.814242E-07
4.238420000000E+02	3.476649E-07
4.322450000000E+02	3.420616E-07
4.406470000000E+02	2.790452E-07
4.490490000000E+02	2.611462E-07
4.574520000000E+02	2.819508E-07
4.658540000000E+02	3.277559E-07
4.742570000000E+02	3.248169E-07
4.826590000000E+02	3.154377E-07
4.910620000000E+02	3.047810E-07
4.994640000000E+02	3.162010E-07
5.078670000000E+02	3.449215E-07
5.162690000000E+02	3.463692E-07
5.246710000000E+02	3.288562E-07
5.330740000000E+02	3.700784E-07
5.414760000000E+02	5.427794E-07
5.498790000000E+02	7.315163E-07
5.582810000000E+02	7.451363E-07
5.666840000000E+02	7.373462E-07
5.750860000000E+02	4.212651E-07
5.834880000000E+02	2.742121E-07
5.918910000000E+02	2.269073E-07
6.002930000000E+02	2.232784E-07
6.086960000000E+02	2.512895E-07
