"Frequency"	"Magnitude"
1.010000000000E+02	4.891228E-05
1.041800000000E+02	4.471997E-05
1.073610000000E+02	5.915842E-05
1.105410000000E+02	1.008500E-04
1.137210000000E+02	1.296139E-04
1.169020000000E+02	1.352038E-04
1.200820000000E+02	1.134630E-04
1.232620000000E+02	1.041211E-04
1.264430000000E+02	1.136506E-04
1.296230000000E+02	9.668648E-05
1.328030000000E+02	6.511140E-05
1.359830000000E+02	3.603361E-05
1.391640000000E+02	2.463131E-05
1.423440000000E+02	2.294131E-05
1.455240000000E+02	4.146463E-05
1.487050000000E+02	5.157902E-05
1.518850000000E+02	4.430256E-05
1.550650000000E+02	3.383677E-05
1.582460000000E+02	1.695582E-05
1.614260000000E+02	9.286597E-06
1.646060000000E+02	1.456786E-05
1.677870000000E+02	2.043753E-05
1.709670000000E+02	1.493810E-05
1.741470000000E+02	1.822937E-05
1.773280000000E+02	3.219212E-05
1.805080000000E+02	4.967850E-05
1.836880000000E+02	6.268393E-05
1.868680000000E+02	6.555330E-05
1.900490000000E+02	6.153559E-05
1.932290000000E+02	4.993236E-05
1.964090000000E+02	2.339519E-05
1.995900000000E+02	1.859746E-05
2.027700000000E+02	1.501061E-05
2.059500000000E+02	2.108671E-05
2.091310000000E+02	2.042593E-05
2.123110000000E+02	2.268972E-05
2.154910000000E+02	2.097138E-05
2.186720000000E+02	2.456893E-05
2.218520000000E+02	2.292036E-05
2.250320000000E+02	2.886380E-05
2.282130000000E+02	4.594713E-05
2.313930000000E+02	4.553992E-05
2.345730000000E+02	4.608347E-05
2.377530000000E+02	5.493803E-05
2.409340000000E+02	5.867282E-05
2.441140000000E+02	4.784994E-05
2.472940000000E+02	3.462812E-05
2.504750000000E+02	2.424016E-05
2.536550000000E+02	2.996252E-05
2.568350000000E+02	4.918322E-05
2.600160000000E+02	6.516885E-05
2.631960000000E+02	7.076259E-05
2.641960000000E+02	1.020462E-04
2.725980000000E+02	7.865146E-05
2.810010000000E+02	7.985430E-05
2.894030000000E+02	1.251039E-04
2.978060000000E+02	1.276507E-04
3.062080000000E+02	1.241568E-04
3.146110000000E+02	9.137728E-05
3.230130000000E+02	5.823383E-05
3.314150000000E+02	6.242231E-05
3.398180000000E+02	7.670799E-05
3.482200000000E+02	7.597859E-05
3.566230000000E+02	6.242043E-05
3.650250000000E+02	5.568213E-05
3.734280000000E+02	4.194117E-05
3.818300000000E+02	4.021379E-05
3.902320000000E+02	6.266313E-05
3.986350000000E+02	8.980138E-05
4.070370000000E+02	9.806581E-05
