"Frequency"	"Magnitude"
1.010000000000E+02	1.052869E-06
1.041800000000E+02	1.661378E-06
1.073610000000E+02	2.976612E-06
1.105410000000E+02	3.065054E-06
1.137210000000E+02	2.936483E-06
1.169020000000E+02	1.609529E-06
1.200820000000E+02	5.644927E-07
1.232620000000E+02	5.755577E-07
1.264430000000E+02	6.499034E-07
1.296230000000E+02	6.381498E-07
1.328030000000E+02	6.486821E-07
1.359830000000E+02	7.438296E-07
1.391640000000E+02	6.270209E-07
1.423440000000E+02	6.718001E-07
1.455240000000E+02	3.917284E-06
1.487050000000E+02	5.947451E-06
1.518850000000E+02	5.995527E-06
1.550650000000E+02	5.454621E-06
1.582460000000E+02	1.992690E-06
1.614260000000E+02	5.054031E-07
1.646060000000E+02	4.780115E-07
1.677870000000E+02	5.363912E-07
1.709670000000E+02	5.551959E-07
1.741470000000E+02	5.133430E-07
1.773280000000E+02	4.462542E-07
1.805080000000E+02	4.162024E-07
1.836880000000E+02	4.778063E-07
1.868680000000E+02	4.467202E-07
1.900490000000E+02	4.681363E-07
1.932290000000E+02	5.207387E-07
1.964090000000E+02	5.320375E-07
1.995900000000E+02	5.906432E-07
2.027700000000E+02	5.388302E-07
2.059500000000E+02	5.553596E-07
2.091310000000E+02	4.915343E-07
2.123110000000E+02	5.074708E-07
2.154910000000E+02	4.778267E-07
2.186720000000E+02	4.405758E-07
2.218520000000E+02	4.183339E-07
2.250320000000E+02	3.993590E-07
2.282130000000E+02	3.407339E-07
2.313930000000E+02	3.201793E-07
2.345730000000E+02	3.192193E-07
2.377530000000E+02	4.201363E-07
2.409340000000E+02	5.178912E-07
2.441140000000E+02	5.818586E-07
2.472940000000E+02	1.250644E-06
2.504750000000E+02	1.954680E-06
2.536550000000E+02	2.101331E-06
2.568350000000E+02	2.064368E-06
2.600160000000E+02	1.058498E-06
2.631960000000E+02	5.414630E-07
2.641960000000E+02	9.226604E-07
2.725980000000E+02	6.440368E-07
2.810010000000E+02	5.307956E-07
2.894030000000E+02	4.949247E-07
2.978060000000E+02	4.631980E-07
3.062080000000E+02	4.344250E-07
3.146110000000E+02	5.113150E-07
3.230130000000E+02	5.693099E-07
3.314150000000E+02	6.710019E-07
3.398180000000E+02	7.385500E-07
3.482200000000E+02	7.249768E-07
3.566230000000E+02	5.995709E-07
3.650250000000E+02	5.033031E-07
3.734280000000E+02	3.810244E-07
3.818300000000E+02	4.258447E-07
3.902320000000E+02	4.990368E-07
3.986350000000E+02	5.259185E-07
4.070370000000E+02	4.947308E-07
4.154400000000E+02	4.324610E-07
4.238420000000E+02	3.181515E-07
4.322450000000E+02	3.010292E-07
4.406470000000E+02	3.139013E-07
4.490490000000E+02	3.207497E-07
4.574520000000E+02	3.215291E-07
4.658540000000E+02	3.373211E-07
4.742570000000E+02	3.065189E-07
4.826590000000E+02	2.678122E-07
4.910620000000E+02	2.516820E-07
4.994640000000E+02	2.742131E-07
5.078670000000E+02	3.302873E-07
5.162690000000E+02	3.115514E-07
5.246710000000E+02	3.079189E-07
5.330740000000E+02	4.729666E-07
5.414760000000E+02	6.998913E-07
5.498790000000E+02	9.043823E-07
5.582810000000E+02	9.002717E-07
5.666840000000E+02	8.708918E-07
5.750860000000E+02	4.733763E-07
5.834880000000E+02	3.290703E-07
5.918910000000E+02	3.184210E-07
6.002930000000E+02	3.794136E-07
6.086960000000E+02	3.816268E-07
6.170980000000E+02	3.740424E-07
6.255010000000E+02	3.243174E-07
6.339030000000E+02	3.080680E-07
6.423050000000E+02	4.844165E-07
6.507080000000E+02	5.300966E-07
6.591100000000E+02	5.181674E-07
6.675130000000E+02	4.564762E-07
6.759150000000E+02	3.634723E-07
6.843180000000E+02	2.684337E-07
6.927200000000E+02	2.844328E-07
6.937200000000E+02	2.035321E-07
7.158670000000E+02	2.545781E-07
7.380140000000E+02	3.486163E-07
7.601610000000E+02	3.549523E-07
7.823070000000E+02	2.555628E-07
8.044540000000E+02	2.263824E-07
8.266010000000E+02	2.164670E-07
8.487480000000E+02	3.865397E-07
8.708950000000E+02	3.001502E-07
8.930420000000E+02	2.026208E-07
9.151890000000E+02	2.469271E-07
9.373350000000E+02	2.717835E-07
9.594820000000E+02	3.166749E-07
9.816290000000E+02	2.168979E-07
1.003776000000E+03	5.866466E-07
1.025923000000E+03	4.240401E-07
1.048070000000E+03	2.892866E-07
1.070217000000E+03	2.552718E-07
1.092364000000E+03	2.027607E-07
1.114510000000E+03	2.120393E-07
1.136657000000E+03	1.429809E-07
1.158804000000E+03	2.319199E-07
1.180951000000E+03	1.530587E-07
