"Frequency"	"Magnitude"
1.010000000000E+02	3.031585E+01
1.041800000000E+02	3.025515E+01
1.073610000000E+02	3.031548E+01
1.105410000000E+02	3.030786E+01
1.137210000000E+02	3.032840E+01
1.169020000000E+02	3.033757E+01
1.200820000000E+02	3.037033E+01
1.232620000000E+02	3.037345E+01
1.264430000000E+02	3.037193E+01
1.296230000000E+02	3.039511E+01
1.328030000000E+02	3.044146E+01
1.359830000000E+02	3.042351E+01
1.391640000000E+02	3.049791E+01
1.423440000000E+02	3.045804E+01
1.455240000000E+02	3.043327E+01
1.487050000000E+02	3.043993E+01
1.518850000000E+02	3.047155E+01
1.550650000000E+02	3.049354E+01
1.582460000000E+02	3.049636E+01
1.614260000000E+02	3.045209E+01
1.646060000000E+02	3.050324E+01
1.677870000000E+02	3.050581E+01
1.709670000000E+02	3.049826E+01
1.741470000000E+02	3.052027E+01
1.773280000000E+02	3.052517E+01
1.805080000000E+02	3.049673E+01
1.836880000000E+02	3.050859E+01
1.868680000000E+02	3.055805E+01
1.900490000000E+02	3.055295E+01
1.932290000000E+02	3.054817E+01
1.964090000000E+02	3.053628E+01
1.995900000000E+02	3.053078E+01
2.027700000000E+02	3.055129E+01
2.059500000000E+02	3.055922E+01
2.091310000000E+02	3.056076E+01
2.123110000000E+02	3.057853E+01
2.154910000000E+02	3.055222E+01
2.186720000000E+02	3.056870E+01
2.218520000000E+02	3.057683E+01
2.250320000000E+02	3.056513E+01
2.282130000000E+02	3.058190E+01
2.313930000000E+02	3.057820E+01
2.345730000000E+02	3.058901E+01
2.377530000000E+02	3.059946E+01
2.409340000000E+02	3.060025E+01
2.441140000000E+02	3.063695E+01
2.472940000000E+02	3.057111E+01
2.504750000000E+02	3.059664E+01
2.536550000000E+02	3.060274E+01
2.568350000000E+02	3.061625E+01
2.600160000000E+02	3.060959E+01
2.631960000000E+02	3.061352E+01
2.641960000000E+02	3.058610E+01
2.725980000000E+02	3.059619E+01
2.810010000000E+02	3.060897E+01
2.894030000000E+02	3.064327E+01
2.978060000000E+02	3.062212E+01
3.062080000000E+02	3.060036E+01
3.146110000000E+02	3.061801E+01
3.230130000000E+02	3.062977E+01
3.314150000000E+02	3.063022E+01
3.398180000000E+02	3.064981E+01
3.482200000000E+02	3.062649E+01
3.566230000000E+02	3.064946E+01
3.650250000000E+02	3.064050E+01
3.734280000000E+02	3.065503E+01
3.818300000000E+02	3.062428E+01
3.902320000000E+02	3.066937E+01
3.986350000000E+02	3.062920E+01
4.070370000000E+02	3.065622E+01
4.154400000000E+02	3.063934E+01
4.238420000000E+02	3.064850E+01
4.322450000000E+02	3.064654E+01
4.406470000000E+02	3.065882E+01
4.490490000000E+02	3.067880E+01
4.574520000000E+02	3.065842E+01
4.658540000000E+02	3.064689E+01
4.742570000000E+02	3.065699E+01
4.826590000000E+02	3.064387E+01
4.910620000000E+02	3.065794E+01
4.994640000000E+02	3.064129E+01
5.078670000000E+02	3.067767E+01
5.162690000000E+02	3.065284E+01
5.246710000000E+02	3.066193E+01
5.330740000000E+02	3.065682E+01
5.414760000000E+02	3.067180E+01
5.498790000000E+02	3.064126E+01
5.582810000000E+02	3.062226E+01
5.666840000000E+02	3.063385E+01
5.750860000000E+02	3.066483E+01
5.834880000000E+02	3.066796E+01
5.918910000000E+02	3.065019E+01
6.002930000000E+02	3.067150E+01
6.086960000000E+02	3.066299E+01
6.170980000000E+02	3.067135E+01
6.255010000000E+02	3.068668E+01
6.339030000000E+02	3.064543E+01
6.423050000000E+02	3.066378E+01
6.507080000000E+02	3.065647E+01
6.591100000000E+02	3.065261E+01
6.675130000000E+02	3.066360E+01
6.759150000000E+02	3.064151E+01
6.843180000000E+02	3.066427E+01
6.927200000000E+02	3.066978E+01
6.937200000000E+02	3.068310E+01
7.158670000000E+02	3.065458E+01
7.380140000000E+02	3.065911E+01
