"Frequency"	"Magnitude"
1.010000000000E+02	4.539790E-06
1.041800000000E+02	5.413472E-06
1.073610000000E+02	6.553643E-06
1.105410000000E+02	6.394495E-06
1.137210000000E+02	5.808408E-06
1.169020000000E+02	4.519210E-06
1.200820000000E+02	3.747865E-06
1.232620000000E+02	3.385182E-06
1.264430000000E+02	3.963386E-06
1.296230000000E+02	4.186704E-06
1.328030000000E+02	3.929890E-06
1.359830000000E+02	3.962675E-06
1.391640000000E+02	3.398687E-06
1.423440000000E+02	3.603688E-06
1.455240000000E+02	5.414901E-06
1.487050000000E+02	7.283478E-06
1.518850000000E+02	7.518008E-06
1.550650000000E+02	6.791668E-06
1.582460000000E+02	3.780732E-06
1.614260000000E+02	2.803084E-06
1.646060000000E+02	3.027233E-06
1.677870000000E+02	3.858373E-06
1.709670000000E+02	3.709431E-06
1.741470000000E+02	3.364358E-06
1.773280000000E+02	2.655008E-06
1.805080000000E+02	2.739207E-06
1.836880000000E+02	2.585771E-06
1.868680000000E+02	2.736851E-06
1.900490000000E+02	2.846636E-06
1.932290000000E+02	2.793856E-06
1.964090000000E+02	2.917568E-06
1.995900000000E+02	2.849076E-06
2.027700000000E+02	2.422530E-06
2.059500000000E+02	3.286309E-06
2.091310000000E+02	3.109912E-06
2.123110000000E+02	3.047204E-06
2.154910000000E+02	2.900404E-06
2.186720000000E+02	2.742437E-06
2.218520000000E+02	2.818214E-06
2.250320000000E+02	3.163904E-06
2.282130000000E+02	2.746822E-06
2.313930000000E+02	2.394072E-06
2.345730000000E+02	2.924374E-06
2.377530000000E+02	2.933862E-06
2.409340000000E+02	3.022640E-06
2.441140000000E+02	3.180819E-06
2.472940000000E+02	2.733575E-06
2.504750000000E+02	2.675497E-06
2.536550000000E+02	2.975597E-06
2.568350000000E+02	3.452198E-06
2.600160000000E+02	3.101703E-06
2.631960000000E+02	2.559815E-06
2.641960000000E+02	2.610408E-06
2.725980000000E+02	2.477734E-06
2.810010000000E+02	2.389797E-06
2.894030000000E+02	2.369984E-06
2.978060000000E+02	2.325038E-06
3.062080000000E+02	2.184484E-06
3.146110000000E+02	1.836765E-06
3.230130000000E+02	1.948252E-06
3.314150000000E+02	2.423983E-06
3.398180000000E+02	2.360389E-06
3.482200000000E+02	2.317376E-06
3.566230000000E+02	2.244003E-06
3.650250000000E+02	2.330075E-06
3.734280000000E+02	2.511526E-06
3.818300000000E+02	3.002206E-06
3.902320000000E+02	2.982877E-06
3.986350000000E+02	2.270501E-06
4.070370000000E+02	1.906926E-06
4.154400000000E+02	1.751664E-06
4.238420000000E+02	1.773671E-06
4.322450000000E+02	2.042470E-06
4.406470000000E+02	2.613807E-06
4.490490000000E+02	2.499833E-06
4.574520000000E+02	2.220194E-06
4.658540000000E+02	1.928021E-06
4.742570000000E+02	1.689348E-06
4.826590000000E+02	1.595799E-06
4.910620000000E+02	1.765509E-06
4.994640000000E+02	1.742717E-06
5.078670000000E+02	1.974879E-06
5.162690000000E+02	1.940037E-06
5.246710000000E+02	1.776888E-06
5.330740000000E+02	1.887306E-06
5.414760000000E+02	2.019498E-06
5.498790000000E+02	1.935452E-06
5.582810000000E+02	1.753207E-06
5.666840000000E+02	1.593516E-06
5.750860000000E+02	1.627273E-06
5.834880000000E+02	1.634602E-06
5.918910000000E+02	1.699268E-06
6.002930000000E+02	1.798186E-06
6.086960000000E+02	1.820853E-06
6.170980000000E+02	1.977339E-06
6.255010000000E+02	1.968782E-06
6.339030000000E+02	1.924083E-06
6.423050000000E+02	1.917821E-06
6.507080000000E+02	1.893083E-06
6.591100000000E+02	1.822016E-06
6.675130000000E+02	1.841714E-06
6.759150000000E+02	1.766902E-06
6.843180000000E+02	1.786007E-06
6.927200000000E+02	1.869409E-06
6.937200000000E+02	1.996872E-06
7.158670000000E+02	1.625808E-06
7.380140000000E+02	1.366044E-06
7.601610000000E+02	1.828096E-06
7.823070000000E+02	1.477929E-06
8.044540000000E+02	1.482448E-06
8.266010000000E+02	1.653052E-06
8.487480000000E+02	1.579259E-06
8.708950000000E+02	2.101329E-06
8.930420000000E+02	1.681841E-06
9.151890000000E+02	1.458951E-06
9.373350000000E+02	1.367444E-06
9.594820000000E+02	1.497220E-06
9.816290000000E+02	1.778541E-06
1.003776000000E+03	1.703578E-06
1.025923000000E+03	1.426236E-06
1.048070000000E+03	1.491649E-06
1.070217000000E+03	1.617634E-06
1.092364000000E+03	1.310201E-06
1.114510000000E+03	1.725172E-06
1.136657000000E+03	1.653061E-06
1.158804000000E+03	1.291995E-06
1.180951000000E+03	1.483865E-06
1.203098000000E+03	1.259471E-06
1.225245000000E+03	1.332624E-06
1.247392000000E+03	1.429177E-06
1.269538000000E+03	1.148241E-06
1.291685000000E+03	1.301819E-06
1.313832000000E+03	1.447039E-06
1.335979000000E+03	1.294874E-06
1.358126000000E+03	1.213976E-06
1.380273000000E+03	1.224008E-06
1.402420000000E+03	1.574042E-06
1.424566000000E+03	1.573265E-06
1.446713000000E+03	1.350387E-06
1.468860000000E+03	1.218828E-06
1.491007000000E+03	1.625073E-06
1.513154000000E+03	1.318724E-06
1.535301000000E+03	1.264991E-06
1.557448000000E+03	1.509256E-06
1.579595000000E+03	1.757337E-06
1.601741000000E+03	1.302433E-06
1.623888000000E+03	1.303407E-06
1.646035000000E+03	1.175263E-06
1.668182000000E+03	1.025016E-06
1.690329000000E+03	1.048424E-06
1.712476000000E+03	1.253177E-06
1.734623000000E+03	9.174780E-07
1.756769000000E+03	9.489738E-07
1.778916000000E+03	9.992596E-07
1.801063000000E+03	8.748225E-07
1.823210000000E+03	9.521192E-07
1.824210000000E+03	1.237080E-06
1.882531000000E+03	7.597200E-07
1.940853000000E+03	1.188867E-06
1.999174000000E+03	1.175010E-06
2.057495000000E+03	1.332189E-06
2.115817000000E+03	1.170523E-06
2.174138000000E+03	1.073927E-06
2.232460000000E+03	9.672864E-07
2.290781000000E+03	7.681161E-07
2.349102000000E+03	1.112716E-06
2.407424000000E+03	1.369057E-06
2.465745000000E+03	1.194990E-06
2.524066000000E+03	9.049013E-07
2.582388000000E+03	8.126586E-07
2.640709000000E+03	8.874420E-07
2.699031000000E+03	1.084291E-06
2.757352000000E+03	1.107728E-06
2.815673000000E+03	1.001138E-06
2.873995000000E+03	8.680070E-07
2.932316000000E+03	9.302738E-07
2.990637000000E+03	1.029881E-06
3.048959000000E+03	1.090497E-06
3.107280000000E+03	1.021607E-06
3.165602000000E+03	1.114453E-06
3.223923000000E+03	1.094004E-06
3.282244000000E+03	1.004054E-06
3.340566000000E+03	1.018441E-06
3.398887000000E+03	8.616427E-07
3.457208000000E+03	6.244860E-07
3.515530000000E+03	7.649014E-07
3.573851000000E+03	6.621240E-07
3.632173000000E+03	8.071725E-07
3.690494000000E+03	8.729471E-07
3.748815000000E+03	8.834118E-07
3.807137000000E+03	7.863422E-07
3.865458000000E+03	6.264423E-07
3.923779000000E+03	8.393378E-07
3.982101000000E+03	8.375295E-07
4.040422000000E+03	5.496849E-07
4.098744000000E+03	6.055199E-07
4.157065000000E+03	8.037067E-07
4.215386000000E+03	7.897583E-07
4.273708000000E+03	9.436611E-07
4.332029000000E+03	7.368279E-07
4.390350000000E+03	7.613935E-07
4.448672000000E+03	7.699207E-07
4.506993000000E+03	8.654059E-07
4.565315000000E+03	8.478773E-07
4.623636000000E+03	7.605036E-07
4.681957000000E+03	6.046604E-07
4.740279000000E+03	6.913880E-07
4.798600000000E+03	7.109744E-07
4.799600000000E+03	7.786073E-07
4.953131000000E+03	1.057234E-06
5.106663000000E+03	1.045032E-06
5.260194000000E+03	8.709569E-07
5.413725000000E+03	8.307728E-07
5.567257000000E+03	8.406382E-07
5.720788000000E+03	7.196599E-07
5.874320000000E+03	8.130884E-07
6.027851000000E+03	7.383146E-07
6.181382000000E+03	6.396245E-07
