"Frequency"	"Magnitude"
1.010000000000E+02	9.451115E-07
1.041800000000E+02	1.202712E-06
1.073610000000E+02	2.731310E-06
1.105410000000E+02	2.964808E-06
1.137210000000E+02	3.018839E-06
1.169020000000E+02	2.010722E-06
1.200820000000E+02	7.726803E-07
1.232620000000E+02	8.178017E-07
1.264430000000E+02	8.872429E-07
1.296230000000E+02	9.209799E-07
1.328030000000E+02	7.968846E-07
1.359830000000E+02	6.658538E-07
1.391640000000E+02	6.701590E-07
1.423440000000E+02	8.146353E-07
1.455240000000E+02	3.356779E-06
1.487050000000E+02	4.868349E-06
1.518850000000E+02	4.847837E-06
1.550650000000E+02	4.419610E-06
1.582460000000E+02	1.424935E-06
1.614260000000E+02	4.681276E-07
1.646060000000E+02	5.498413E-07
1.677870000000E+02	6.280323E-07
1.709670000000E+02	5.852956E-07
1.741470000000E+02	4.152927E-07
1.773280000000E+02	3.328816E-07
1.805080000000E+02	3.798644E-07
1.836880000000E+02	3.768981E-07
1.868680000000E+02	4.486629E-07
1.900490000000E+02	5.380120E-07
1.932290000000E+02	5.875897E-07
1.964090000000E+02	6.531766E-07
1.995900000000E+02	8.154543E-07
2.027700000000E+02	8.432240E-07
2.059500000000E+02	8.182301E-07
2.091310000000E+02	6.025421E-07
2.123110000000E+02	4.991995E-07
2.154910000000E+02	4.497448E-07
2.186720000000E+02	4.950095E-07
2.218520000000E+02	5.103860E-07
2.250320000000E+02	5.231585E-07
2.282130000000E+02	4.896946E-07
2.313930000000E+02	4.852365E-07
2.345730000000E+02	4.664935E-07
2.377530000000E+02	4.770081E-07
2.409340000000E+02	5.161579E-07
2.441140000000E+02	6.284076E-07
2.472940000000E+02	1.342928E-06
2.504750000000E+02	1.810951E-06
2.536550000000E+02	1.713469E-06
2.568350000000E+02	1.453262E-06
2.600160000000E+02	5.219293E-07
2.631960000000E+02	4.756238E-07
2.641960000000E+02	8.342600E-07
2.725980000000E+02	5.805037E-07
2.810010000000E+02	4.272931E-07
2.894030000000E+02	3.310271E-07
2.978060000000E+02	3.337173E-07
3.062080000000E+02	3.569332E-07
3.146110000000E+02	4.321434E-07
3.230130000000E+02	4.794115E-07
3.314150000000E+02	6.412535E-07
3.398180000000E+02	7.122708E-07
3.482200000000E+02	7.057211E-07
3.566230000000E+02	5.860778E-07
3.650250000000E+02	5.290287E-07
3.734280000000E+02	4.360435E-07
3.818300000000E+02	3.668872E-07
3.902320000000E+02	3.963910E-07
3.986350000000E+02	4.177236E-07
4.070370000000E+02	4.358981E-07
4.154400000000E+02	4.691355E-07
4.238420000000E+02	5.071993E-07
4.322450000000E+02	4.910237E-07
4.406470000000E+02	4.125357E-07
4.490490000000E+02	3.927891E-07
4.574520000000E+02	3.838858E-07
4.658540000000E+02	4.337923E-07
4.742570000000E+02	4.288518E-07
4.826590000000E+02	4.016636E-07
4.910620000000E+02	3.891897E-07
4.994640000000E+02	3.958140E-07
