"Frequency"	"Magnitude"
1.010000000000E+02	8.533090E-06
1.041800000000E+02	8.088191E-06
1.073610000000E+02	7.997944E-06
1.105410000000E+02	8.355089E-06
1.137210000000E+02	7.813805E-06
1.169020000000E+02	5.874980E-06
1.200820000000E+02	4.933385E-06
1.232620000000E+02	6.051007E-06
1.264430000000E+02	7.587911E-06
1.296230000000E+02	9.989928E-06
1.328030000000E+02	9.922410E-06
1.359830000000E+02	7.416493E-06
1.391640000000E+02	6.717336E-06
1.423440000000E+02	6.838910E-06
1.455240000000E+02	8.429958E-06
1.487050000000E+02	9.150334E-06
1.518850000000E+02	9.094755E-06
1.550650000000E+02	8.320948E-06
1.582460000000E+02	7.480562E-06
1.614260000000E+02	8.167734E-06
1.646060000000E+02	8.383849E-06
1.677870000000E+02	6.865132E-06
1.709670000000E+02	5.096898E-06
1.741470000000E+02	5.369402E-06
1.773280000000E+02	5.122752E-06
1.805080000000E+02	5.944288E-06
1.836880000000E+02	6.782687E-06
1.868680000000E+02	6.242912E-06
1.900490000000E+02	5.663926E-06
1.932290000000E+02	5.057701E-06
1.964090000000E+02	5.164631E-06
1.995900000000E+02	4.788536E-06
2.027700000000E+02	5.268523E-06
2.059500000000E+02	6.198917E-06
2.091310000000E+02	6.255513E-06
2.123110000000E+02	5.302260E-06
2.154910000000E+02	4.664820E-06
2.186720000000E+02	3.467675E-06
2.218520000000E+02	3.709387E-06
2.250320000000E+02	4.180154E-06
2.282130000000E+02	4.412182E-06
2.313930000000E+02	4.584962E-06
2.345730000000E+02	5.757987E-06
2.377530000000E+02	6.055719E-06
2.409340000000E+02	5.890787E-06
2.441140000000E+02	5.827804E-06
2.472940000000E+02	5.425117E-06
2.504750000000E+02	5.633921E-06
2.536550000000E+02	5.036738E-06
2.568350000000E+02	4.391272E-06
2.600160000000E+02	4.184424E-06
2.631960000000E+02	4.401700E-06
2.641960000000E+02	4.679012E-06
2.725980000000E+02	4.877390E-06
2.810010000000E+02	5.166088E-06
2.894030000000E+02	5.039864E-06
2.978060000000E+02	4.822813E-06
3.062080000000E+02	4.782360E-06
3.146110000000E+02	4.567738E-06
3.230130000000E+02	4.370910E-06
3.314150000000E+02	3.707797E-06
3.398180000000E+02	3.805567E-06
3.482200000000E+02	4.088264E-06
3.566230000000E+02	4.044105E-06
3.650250000000E+02	3.978416E-06
3.734280000000E+02	3.554599E-06
3.818300000000E+02	2.053964E-06
3.902320000000E+02	2.088774E-06
3.986350000000E+02	3.236189E-06
4.070370000000E+02	3.501645E-06
4.154400000000E+02	3.678729E-06
4.238420000000E+02	4.094434E-06
4.322450000000E+02	4.336687E-06
4.406470000000E+02	4.214896E-06
4.490490000000E+02	4.142063E-06
4.574520000000E+02	4.136917E-06
4.658540000000E+02	4.509503E-06
4.742570000000E+02	4.610381E-06
4.826590000000E+02	4.506671E-06
4.910620000000E+02	3.633190E-06
4.994640000000E+02	3.292326E-06
5.078670000000E+02	2.814676E-06
5.162690000000E+02	2.885763E-06
5.246710000000E+02	3.014092E-06
5.330740000000E+02	2.570811E-06
5.414760000000E+02	2.252031E-06
5.498790000000E+02	3.075631E-06
5.582810000000E+02	3.365073E-06
5.666840000000E+02	3.228704E-06
5.750860000000E+02	2.631845E-06
5.834880000000E+02	2.850353E-06
5.918910000000E+02	2.975023E-06
6.002930000000E+02	2.758896E-06
6.086960000000E+02	2.836966E-06
6.170980000000E+02	3.246103E-06
6.255010000000E+02	3.479149E-06
6.339030000000E+02	3.557039E-06
6.423050000000E+02	3.412086E-06
6.507080000000E+02	3.341926E-06
6.591100000000E+02	3.446050E-06
6.675130000000E+02	3.727171E-06
6.759150000000E+02	3.650517E-06
6.843180000000E+02	3.276179E-06
6.927200000000E+02	2.895271E-06
6.937200000000E+02	2.535911E-06
7.158670000000E+02	2.533912E-06
7.380140000000E+02	2.119124E-06
7.601610000000E+02	2.567024E-06
7.823070000000E+02	2.981483E-06
8.044540000000E+02	2.496745E-06
8.266010000000E+02	2.408976E-06
8.487480000000E+02	3.201223E-06
8.708950000000E+02	2.543100E-06
8.930420000000E+02	3.096100E-06
9.151890000000E+02	2.197044E-06
9.373350000000E+02	2.346572E-06
9.594820000000E+02	2.640814E-06
9.816290000000E+02	2.150868E-06
1.003776000000E+03	2.285719E-06
1.025923000000E+03	2.717366E-06
1.048070000000E+03	2.496723E-06
1.070217000000E+03	2.073280E-06
1.092364000000E+03	2.596829E-06
1.114510000000E+03	1.764877E-06
1.136657000000E+03	1.865670E-06
1.158804000000E+03	2.022309E-06
1.180951000000E+03	2.425470E-06
1.203098000000E+03	2.449056E-06
1.225245000000E+03	1.679698E-06
1.247392000000E+03	1.868964E-06
1.269538000000E+03	1.863363E-06
1.291685000000E+03	1.815333E-06
1.313832000000E+03	1.775183E-06
1.335979000000E+03	2.327004E-06
1.358126000000E+03	2.341948E-06
1.380273000000E+03	1.992635E-06
1.402420000000E+03	2.376808E-06
1.424566000000E+03	2.812996E-06
1.446713000000E+03	2.690137E-06
1.468860000000E+03	2.075730E-06
1.491007000000E+03	1.898022E-06
1.513154000000E+03	2.218831E-06
1.535301000000E+03	1.874911E-06
1.557448000000E+03	1.721045E-06
1.579595000000E+03	1.543774E-06
1.601741000000E+03	2.215824E-06
1.623888000000E+03	2.041209E-06
1.646035000000E+03	2.004940E-06
1.668182000000E+03	1.832659E-06
1.690329000000E+03	1.803634E-06
1.712476000000E+03	1.679751E-06
1.734623000000E+03	1.364421E-06
1.756769000000E+03	1.613653E-06
1.778916000000E+03	2.199162E-06
1.801063000000E+03	1.848229E-06
1.823210000000E+03	1.786534E-06
1.824210000000E+03	1.772563E-06
1.882531000000E+03	1.874456E-06
1.940853000000E+03	1.786186E-06
1.999174000000E+03	1.465386E-06
2.057495000000E+03	1.350660E-06
2.115817000000E+03	1.498500E-06
2.174138000000E+03	1.607613E-06
2.232460000000E+03	1.830310E-06
2.290781000000E+03	1.604068E-06
2.349102000000E+03	1.715477E-06
2.407424000000E+03	1.671617E-06
2.465745000000E+03	1.747843E-06
2.524066000000E+03	1.669773E-06
2.582388000000E+03	1.459159E-06
2.640709000000E+03	1.549554E-06
2.699031000000E+03	1.494156E-06
2.757352000000E+03	1.549607E-06
2.815673000000E+03	1.451396E-06
2.873995000000E+03	1.371888E-06
2.932316000000E+03	1.333074E-06
2.990637000000E+03	1.414997E-06
3.048959000000E+03	1.544536E-06
3.107280000000E+03	1.450605E-06
3.165602000000E+03	1.091604E-06
3.223923000000E+03	1.182109E-06
3.282244000000E+03	1.034412E-06
3.340566000000E+03	1.592031E-06
