"Frequency"	"Magnitude"
1.010000000000E+02	2.842066E+01
1.041800000000E+02	2.843810E+01
1.073610000000E+02	2.850949E+01
1.105410000000E+02	2.850506E+01
1.137210000000E+02	2.846107E+01
1.169020000000E+02	2.852944E+01
1.200820000000E+02	2.854260E+01
1.232620000000E+02	2.853820E+01
1.264430000000E+02	2.857317E+01
1.296230000000E+02	2.857241E+01
1.328030000000E+02	2.860643E+01
1.359830000000E+02	2.859660E+01
1.391640000000E+02	2.864091E+01
1.423440000000E+02	2.859958E+01
1.455240000000E+02	2.863583E+01
1.487050000000E+02	2.863427E+01
1.518850000000E+02	2.862941E+01
1.550650000000E+02	2.867787E+01
1.582460000000E+02	2.867808E+01
1.614260000000E+02	2.867012E+01
1.646060000000E+02	2.868469E+01
1.677870000000E+02	2.866593E+01
1.709670000000E+02	2.869481E+01
1.741470000000E+02	2.869712E+01
1.773280000000E+02	2.871665E+01
1.805080000000E+02	2.873232E+01
1.836880000000E+02	2.871132E+01
1.868680000000E+02	2.870912E+01
1.900490000000E+02	2.873794E+01
1.932290000000E+02	2.869707E+01
1.964090000000E+02	2.873499E+01
1.995900000000E+02	2.873726E+01
2.027700000000E+02	2.872898E+01
2.059500000000E+02	2.874424E+01
2.091310000000E+02	2.873660E+01
2.123110000000E+02	2.875132E+01
2.154910000000E+02	2.874906E+01
2.186720000000E+02	2.876858E+01
2.218520000000E+02	2.876187E+01
2.250320000000E+02	2.876692E+01
2.282130000000E+02	2.877031E+01
2.313930000000E+02	2.876708E+01
2.345730000000E+02	2.877124E+01
2.377530000000E+02	2.878033E+01
2.409340000000E+02	2.879551E+01
2.441140000000E+02	2.877628E+01
2.472940000000E+02	2.879015E+01
2.504750000000E+02	2.877575E+01
2.536550000000E+02	2.877141E+01
2.568350000000E+02	2.878850E+01
2.600160000000E+02	2.880336E+01
2.631960000000E+02	2.878522E+01
2.641960000000E+02	2.876711E+01
2.725980000000E+02	2.876804E+01
2.810010000000E+02	2.879525E+01
2.894030000000E+02	2.880017E+01
2.978060000000E+02	2.878344E+01
3.062080000000E+02	2.881203E+01
3.146110000000E+02	2.882370E+01
3.230130000000E+02	2.882664E+01
3.314150000000E+02	2.879120E+01
3.398180000000E+02	2.882931E+01
3.482200000000E+02	2.878520E+01
3.566230000000E+02	2.880462E+01
3.650250000000E+02	2.880770E+01
3.734280000000E+02	2.878384E+01
3.818300000000E+02	2.882400E+01
3.902320000000E+02	2.883249E+01
3.986350000000E+02	2.882333E+01
4.070370000000E+02	2.885450E+01
4.154400000000E+02	2.884943E+01
4.238420000000E+02	2.882402E+01
4.322450000000E+02	2.882627E+01
4.406470000000E+02	2.884444E+01
4.490490000000E+02	2.882348E+01
4.574520000000E+02	2.880449E+01
4.658540000000E+02	2.884439E+01
4.742570000000E+02	2.882773E+01
4.826590000000E+02	2.882527E+01
4.910620000000E+02	2.883127E+01
4.994640000000E+02	2.885853E+01
5.078670000000E+02	2.886975E+01
5.162690000000E+02	2.883311E+01
5.246710000000E+02	2.882061E+01
5.330740000000E+02	2.883591E+01
5.414760000000E+02	2.883307E+01
5.498790000000E+02	2.882165E+01
5.582810000000E+02	2.886086E+01
5.666840000000E+02	2.884174E+01
5.750860000000E+02	2.885036E+01
5.834880000000E+02	2.884917E+01
5.918910000000E+02	2.887542E+01
6.002930000000E+02	2.880659E+01
6.086960000000E+02	2.883796E+01
6.170980000000E+02	2.882614E+01
6.255010000000E+02	2.882752E+01
6.339030000000E+02	2.884795E+01
6.423050000000E+02	2.883827E+01
6.507080000000E+02	2.883997E+01
6.591100000000E+02	2.885778E+01
6.675130000000E+02	2.882696E+01
6.759150000000E+02	2.882741E+01
6.843180000000E+02	2.883418E+01
6.927200000000E+02	2.886534E+01
6.937200000000E+02	2.885156E+01
7.158670000000E+02	2.885386E+01
7.380140000000E+02	2.886791E+01
7.601610000000E+02	2.884374E+01
7.823070000000E+02	2.887827E+01
8.044540000000E+02	2.887071E+01
8.266010000000E+02	2.886699E+01
8.487480000000E+02	2.886679E+01
8.708950000000E+02	2.884058E+01
8.930420000000E+02	2.884305E+01
9.151890000000E+02	2.883053E+01
9.373350000000E+02	2.886719E+01
9.594820000000E+02	2.884468E+01
9.816290000000E+02	2.884339E+01
1.003776000000E+03	2.882633E+01
1.025923000000E+03	2.886642E+01
1.048070000000E+03	2.886936E+01
1.070217000000E+03	2.886574E+01
1.092364000000E+03	2.885178E+01
1.114510000000E+03	2.884641E+01
1.136657000000E+03	2.883097E+01
1.158804000000E+03	2.885416E+01
1.180951000000E+03	2.886433E+01
1.203098000000E+03	2.883722E+01
1.225245000000E+03	2.884299E+01
1.247392000000E+03	2.883688E+01
1.269538000000E+03	2.885427E+01
1.291685000000E+03	2.883844E+01
1.313832000000E+03	2.884537E+01
1.335979000000E+03	2.883748E+01
1.358126000000E+03	2.883119E+01
1.380273000000E+03	2.884295E+01
1.402420000000E+03	2.885593E+01
1.424566000000E+03	2.886946E+01
1.446713000000E+03	2.885312E+01
1.468860000000E+03	2.884309E+01
1.491007000000E+03	2.883743E+01
1.513154000000E+03	2.884242E+01
1.535301000000E+03	2.886427E+01
1.557448000000E+03	2.887419E+01
1.579595000000E+03	2.884525E+01
1.601741000000E+03	2.883269E+01
1.623888000000E+03	2.886838E+01
1.646035000000E+03	2.885976E+01
1.668182000000E+03	2.884926E+01
1.690329000000E+03	2.884896E+01
1.712476000000E+03	2.884298E+01
1.734623000000E+03	2.886110E+01
1.756769000000E+03	2.886608E+01
1.778916000000E+03	2.887051E+01
1.801063000000E+03	2.885613E+01
1.823210000000E+03	2.886554E+01
1.824210000000E+03	2.886446E+01
1.882531000000E+03	2.883210E+01
1.940853000000E+03	2.885429E+01
1.999174000000E+03	2.885370E+01
2.057495000000E+03	2.886163E+01
2.115817000000E+03	2.884719E+01
2.174138000000E+03	2.885210E+01
2.232460000000E+03	2.886138E+01
2.290781000000E+03	2.885278E+01
2.349102000000E+03	2.882673E+01
2.407424000000E+03	2.887553E+01
2.465745000000E+03	2.887505E+01
2.524066000000E+03	2.887288E+01
2.582388000000E+03	2.885267E+01
2.640709000000E+03	2.887061E+01
2.699031000000E+03	2.886547E+01
2.757352000000E+03	2.884825E+01
2.815673000000E+03	2.885971E+01
2.873995000000E+03	2.883377E+01
2.932316000000E+03	2.884605E+01
2.990637000000E+03	2.884797E+01
3.048959000000E+03	2.883441E+01
3.107280000000E+03	2.882720E+01
3.165602000000E+03	2.883288E+01
3.223923000000E+03	2.886280E+01
3.282244000000E+03	2.886444E+01
3.340566000000E+03	2.887264E+01
3.398887000000E+03	2.888277E+01
3.457208000000E+03	2.886102E+01
3.515530000000E+03	2.883783E+01
3.573851000000E+03	2.885895E+01
3.632173000000E+03	2.885367E+01
3.690494000000E+03	2.885159E+01
3.748815000000E+03	2.885829E+01
3.807137000000E+03	2.887512E+01
3.865458000000E+03	2.883668E+01
3.923779000000E+03	2.883555E+01
3.982101000000E+03	2.885890E+01
4.040422000000E+03	2.883251E+01
4.098744000000E+03	2.881625E+01
4.157065000000E+03	2.884115E+01
4.215386000000E+03	2.884325E+01
4.273708000000E+03	2.883702E+01
4.332029000000E+03	2.883023E+01
4.390350000000E+03	2.884400E+01
4.448672000000E+03	2.885708E+01
4.506993000000E+03	2.883781E+01
4.565315000000E+03	2.882264E+01
4.623636000000E+03	2.884305E+01
4.681957000000E+03	2.885583E+01
4.740279000000E+03	2.883152E+01
4.798600000000E+03	2.884634E+01
4.799600000000E+03	2.885227E+01
4.953131000000E+03	2.881822E+01
5.106663000000E+03	2.880635E+01
5.260194000000E+03	2.882342E+01
5.413725000000E+03	2.884078E+01
5.567257000000E+03	2.881238E+01
5.720788000000E+03	2.886415E+01
5.874320000000E+03	2.881982E+01
6.027851000000E+03	2.880997E+01
6.181382000000E+03	2.883679E+01
6.334914000000E+03	2.884955E+01
6.488445000000E+03	2.884220E+01
6.641976000000E+03	2.885985E+01
6.795508000000E+03	2.884798E+01
6.949039000000E+03	2.884647E+01
7.102571000000E+03	2.884019E+01
7.256102000000E+03	2.883853E+01
7.409633000000E+03	2.883761E+01
7.563165000000E+03	2.884001E+01
7.716696000000E+03	2.878194E+01
7.870227000000E+03	2.881985E+01
8.023759000000E+03	2.884065E+01
8.177290000000E+03	2.879354E+01
8.330822000000E+03	2.880185E+01
8.484353000000E+03	2.886853E+01
8.637884000000E+03	2.883534E+01
8.791416000000E+03	2.883423E+01
8.944947000000E+03	2.883410E+01
9.098478000000E+03	2.881553E+01
9.252010000000E+03	2.881212E+01
9.405541000000E+03	2.880539E+01
9.559073000000E+03	2.881545E+01
9.712604000000E+03	2.885689E+01
9.866135000000E+03	2.885725E+01
1.001966700000E+04	2.881879E+01
1.017319800000E+04	2.884413E+01
1.032672900000E+04	2.880763E+01
1.048026100000E+04	2.881650E+01
1.063379200000E+04	2.879760E+01
1.078732400000E+04	2.881049E+01
1.094085500000E+04	2.881149E+01
1.109438600000E+04	2.881119E+01
1.124791800000E+04	2.878523E+01
