"Frequency"	"Magnitude"
1.010000000000E+02	9.844445E-07
1.041800000000E+02	1.257382E-06
1.073610000000E+02	2.344196E-06
1.105410000000E+02	2.517147E-06
1.137210000000E+02	2.512026E-06
1.169020000000E+02	1.805342E-06
1.200820000000E+02	6.532148E-07
1.232620000000E+02	6.749018E-07
1.264430000000E+02	6.929719E-07
1.296230000000E+02	6.264700E-07
1.328030000000E+02	6.296890E-07
1.359830000000E+02	7.672774E-07
1.391640000000E+02	8.478602E-07
1.423440000000E+02	1.153944E-06
1.455240000000E+02	3.832410E-06
1.487050000000E+02	5.314095E-06
1.518850000000E+02	5.254395E-06
1.550650000000E+02	4.775389E-06
1.582460000000E+02	1.710292E-06
1.614260000000E+02	7.087723E-07
1.646060000000E+02	7.178263E-07
1.677870000000E+02	6.128212E-07
1.709670000000E+02	6.191571E-07
1.741470000000E+02	6.171561E-07
1.773280000000E+02	6.632394E-07
1.805080000000E+02	6.303141E-07
1.836880000000E+02	5.397738E-07
1.868680000000E+02	5.566298E-07
1.900490000000E+02	5.700331E-07
1.932290000000E+02	5.197028E-07
1.964090000000E+02	4.746694E-07
1.995900000000E+02	5.793153E-07
2.027700000000E+02	6.476026E-07
2.059500000000E+02	7.357818E-07
2.091310000000E+02	6.649076E-07
2.123110000000E+02	6.307372E-07
2.154910000000E+02	6.166459E-07
2.186720000000E+02	6.117141E-07
2.218520000000E+02	5.453182E-07
2.250320000000E+02	4.228354E-07
2.282130000000E+02	3.100549E-07
2.313930000000E+02	3.574820E-07
2.345730000000E+02	5.398807E-07
2.377530000000E+02	7.089458E-07
2.409340000000E+02	6.655604E-07
2.441140000000E+02	5.645490E-07
2.472940000000E+02	1.297220E-06
2.504750000000E+02	1.834069E-06
2.536550000000E+02	1.872419E-06
2.568350000000E+02	1.792211E-06
2.600160000000E+02	8.814917E-07
2.631960000000E+02	6.786818E-07
2.641960000000E+02	1.003216E-06
2.725980000000E+02	7.892487E-07
2.810010000000E+02	6.566225E-07
2.894030000000E+02	5.373016E-07
2.978060000000E+02	4.666903E-07
3.062080000000E+02	4.511843E-07
3.146110000000E+02	5.966366E-07
3.230130000000E+02	6.548839E-07
3.314150000000E+02	7.103737E-07
3.398180000000E+02	7.202393E-07
3.482200000000E+02	6.984118E-07
3.566230000000E+02	6.368647E-07
3.650250000000E+02	5.580942E-07
3.734280000000E+02	4.683641E-07
3.818300000000E+02	4.526262E-07
3.902320000000E+02	4.714149E-07
3.986350000000E+02	5.129955E-07
4.070370000000E+02	5.218168E-07
4.154400000000E+02	5.037559E-07
4.238420000000E+02	3.611949E-07
4.322450000000E+02	3.175394E-07
4.406470000000E+02	3.684828E-07
4.490490000000E+02	3.807033E-07
4.574520000000E+02	3.779842E-07
4.658540000000E+02	4.248596E-07
4.742570000000E+02	4.474783E-07
4.826590000000E+02	4.444783E-07
4.910620000000E+02	4.576086E-07
4.994640000000E+02	4.730350E-07
5.078670000000E+02	4.671480E-07
5.162690000000E+02	4.418108E-07
5.246710000000E+02	4.153447E-07
5.330740000000E+02	4.275470E-07
5.414760000000E+02	5.540317E-07
5.498790000000E+02	7.454398E-07
5.582810000000E+02	7.634907E-07
5.666840000000E+02	7.392848E-07
5.750860000000E+02	4.688150E-07
5.834880000000E+02	3.694549E-07
5.918910000000E+02	3.265712E-07
6.002930000000E+02	3.637138E-07
6.086960000000E+02	3.505202E-07
6.170980000000E+02	3.289827E-07
6.255010000000E+02	3.274391E-07
6.339030000000E+02	3.499777E-07
6.423050000000E+02	4.450985E-07
6.507080000000E+02	4.401376E-07
6.591100000000E+02	4.108610E-07
6.675130000000E+02	3.580481E-07
6.759150000000E+02	3.227044E-07
6.843180000000E+02	3.039363E-07
6.927200000000E+02	3.050189E-07
6.937200000000E+02	2.569329E-07
7.158670000000E+02	3.041132E-07
7.380140000000E+02	5.014381E-07
7.601610000000E+02	5.189083E-07
7.823070000000E+02	2.953979E-07
8.044540000000E+02	2.945427E-07
8.266010000000E+02	3.922445E-07
8.487480000000E+02	4.751679E-07
8.708950000000E+02	3.151997E-07
8.930420000000E+02	3.320655E-07
9.151890000000E+02	2.697205E-07
9.373350000000E+02	3.155003E-07
9.594820000000E+02	3.929790E-07
9.816290000000E+02	2.548874E-07
1.003776000000E+03	6.272030E-07
1.025923000000E+03	5.041332E-07
1.048070000000E+03	3.934252E-07
1.070217000000E+03	3.701586E-07
1.092364000000E+03	2.452297E-07
1.114510000000E+03	2.299853E-07
1.136657000000E+03	2.411379E-07
1.158804000000E+03	2.865658E-07
1.180951000000E+03	2.317731E-07
1.203098000000E+03	2.096765E-07
1.225245000000E+03	2.118429E-07
1.247392000000E+03	2.716586E-07
1.269538000000E+03	2.620042E-07
1.291685000000E+03	1.942866E-07
1.313832000000E+03	2.099047E-07
1.335979000000E+03	2.608215E-07
1.358126000000E+03	2.004084E-07
1.380273000000E+03	2.070096E-07
1.402420000000E+03	1.864541E-07
1.424566000000E+03	1.971066E-07
1.446713000000E+03	2.041076E-07
1.468860000000E+03	2.112214E-07
1.491007000000E+03	1.670222E-07
1.513154000000E+03	1.667339E-07
1.535301000000E+03	2.290736E-07
1.557448000000E+03	1.900877E-07
1.579595000000E+03	2.188527E-07
1.601741000000E+03	2.033112E-07
1.623888000000E+03	2.074221E-07
1.646035000000E+03	2.152186E-07
1.668182000000E+03	1.988901E-07
