"Frequency"	"Magnitude"
1.010000000000E+02	1.261069E-06
1.041800000000E+02	1.717189E-06
1.073610000000E+02	2.449031E-06
1.105410000000E+02	2.451409E-06
1.137210000000E+02	2.343285E-06
1.169020000000E+02	1.185540E-06
1.200820000000E+02	7.038270E-07
1.232620000000E+02	6.665868E-07
1.264430000000E+02	5.732742E-07
1.296230000000E+02	4.382694E-07
1.328030000000E+02	5.741200E-07
1.359830000000E+02	6.491236E-07
1.391640000000E+02	6.523501E-07
1.423440000000E+02	8.738228E-07
1.455240000000E+02	3.735448E-06
1.487050000000E+02	5.398344E-06
1.518850000000E+02	5.292598E-06
1.550650000000E+02	4.678172E-06
1.582460000000E+02	1.514852E-06
1.614260000000E+02	6.408017E-07
1.646060000000E+02	7.341019E-07
1.677870000000E+02	7.039608E-07
1.709670000000E+02	6.806387E-07
1.741470000000E+02	6.786864E-07
1.773280000000E+02	7.153594E-07
1.805080000000E+02	7.689616E-07
1.836880000000E+02	7.854530E-07
1.868680000000E+02	7.401365E-07
1.900490000000E+02	6.421383E-07
1.932290000000E+02	6.241665E-07
1.964090000000E+02	6.796784E-07
1.995900000000E+02	7.965740E-07
2.027700000000E+02	7.406003E-07
2.059500000000E+02	5.959827E-07
2.091310000000E+02	5.579055E-07
2.123110000000E+02	6.727536E-07
2.154910000000E+02	6.192886E-07
2.186720000000E+02	5.685742E-07
2.218520000000E+02	4.967998E-07
2.250320000000E+02	4.836557E-07
2.282130000000E+02	5.050153E-07
2.313930000000E+02	4.696645E-07
2.345730000000E+02	4.424556E-07
2.377530000000E+02	4.588654E-07
2.409340000000E+02	5.085013E-07
2.441140000000E+02	5.508599E-07
2.472940000000E+02	1.215760E-06
2.504750000000E+02	1.884671E-06
2.536550000000E+02	1.962578E-06
2.568350000000E+02	1.873377E-06
2.600160000000E+02	8.478349E-07
2.631960000000E+02	3.973341E-07
2.641960000000E+02	7.850935E-07
2.725980000000E+02	6.621053E-07
2.810010000000E+02	6.929595E-07
2.894030000000E+02	6.984258E-07
2.978060000000E+02	6.461792E-07
3.062080000000E+02	6.283205E-07
3.146110000000E+02	6.555989E-07
3.230130000000E+02	6.032167E-07
3.314150000000E+02	6.574024E-07
3.398180000000E+02	7.315627E-07
3.482200000000E+02	7.625380E-07
3.566230000000E+02	7.416643E-07
3.650250000000E+02	6.653360E-07
3.734280000000E+02	5.838990E-07
3.818300000000E+02	5.673341E-07
3.902320000000E+02	6.336365E-07
3.986350000000E+02	6.499232E-07
4.070370000000E+02	6.221962E-07
4.154400000000E+02	6.084989E-07
4.238420000000E+02	4.914036E-07
4.322450000000E+02	4.119930E-07
4.406470000000E+02	3.417490E-07
4.490490000000E+02	3.394532E-07
4.574520000000E+02	3.680287E-07
4.658540000000E+02	4.860440E-07
4.742570000000E+02	5.523637E-07
4.826590000000E+02	6.110009E-07
4.910620000000E+02	7.088158E-07
4.994640000000E+02	7.096890E-07
5.078670000000E+02	5.965626E-07
5.162690000000E+02	5.192150E-07
5.246710000000E+02	4.576225E-07
5.330740000000E+02	5.165870E-07
5.414760000000E+02	6.679743E-07
5.498790000000E+02	7.970799E-07
5.582810000000E+02	8.064281E-07
5.666840000000E+02	7.774618E-07
5.750860000000E+02	4.739844E-07
5.834880000000E+02	3.856096E-07
5.918910000000E+02	3.826841E-07
6.002930000000E+02	4.349607E-07
6.086960000000E+02	4.554247E-07
6.170980000000E+02	4.529282E-07
6.255010000000E+02	4.209272E-07
6.339030000000E+02	4.068564E-07
6.423050000000E+02	4.594590E-07
6.507080000000E+02	5.033355E-07
6.591100000000E+02	5.109089E-07
6.675130000000E+02	5.071454E-07
6.759150000000E+02	4.364550E-07
6.843180000000E+02	3.427954E-07
6.927200000000E+02	3.537865E-07
6.937200000000E+02	3.698703E-07
7.158670000000E+02	3.565789E-07
7.380140000000E+02	3.326710E-07
7.601610000000E+02	3.779143E-07
7.823070000000E+02	3.531274E-07
8.044540000000E+02	2.402138E-07
8.266010000000E+02	2.958789E-07
8.487480000000E+02	2.920306E-07
8.708950000000E+02	2.733402E-07
8.930420000000E+02	2.584632E-07
9.151890000000E+02	1.993005E-07
9.373350000000E+02	4.073948E-07
9.594820000000E+02	3.857836E-07
9.816290000000E+02	3.394260E-07
1.003776000000E+03	7.129322E-07
1.025923000000E+03	5.067272E-07
1.048070000000E+03	3.176694E-07
1.070217000000E+03	3.112055E-07
1.092364000000E+03	2.341702E-07
1.114510000000E+03	2.248571E-07
1.136657000000E+03	2.643551E-07
1.158804000000E+03	2.316982E-07
1.180951000000E+03	2.359385E-07
1.203098000000E+03	2.810577E-07
1.225245000000E+03	3.024809E-07
1.247392000000E+03	2.075831E-07
1.269538000000E+03	2.502350E-07
1.291685000000E+03	1.975983E-07
1.313832000000E+03	1.941479E-07
1.335979000000E+03	2.071851E-07
1.358126000000E+03	2.198091E-07
1.380273000000E+03	1.699713E-07
1.402420000000E+03	1.910737E-07
1.424566000000E+03	1.415048E-07
1.446713000000E+03	1.969305E-07
1.468860000000E+03	1.930242E-07
1.491007000000E+03	1.366264E-07
1.513154000000E+03	1.910719E-07
1.535301000000E+03	2.069284E-07
1.557448000000E+03	1.820977E-07
1.579595000000E+03	1.539164E-07
1.601741000000E+03	1.840501E-07
1.623888000000E+03	2.112609E-07
1.646035000000E+03	2.133695E-07
1.668182000000E+03	1.995246E-07
1.690329000000E+03	1.578508E-07
1.712476000000E+03	1.916497E-07
1.734623000000E+03	1.506654E-07
1.756769000000E+03	2.044657E-07
1.778916000000E+03	1.499853E-07
1.801063000000E+03	1.237560E-07
1.823210000000E+03	1.390788E-07
1.824210000000E+03	1.568025E-07
1.882531000000E+03	9.974494E-08
1.940853000000E+03	1.358602E-07
1.999174000000E+03	1.853044E-07
2.057495000000E+03	1.600638E-07
2.115817000000E+03	1.343780E-07
2.174138000000E+03	1.037126E-07
2.232460000000E+03	1.356789E-07
2.290781000000E+03	1.777342E-07
2.349102000000E+03	1.502093E-07
2.407424000000E+03	1.570072E-07
2.465745000000E+03	1.713743E-07
2.524066000000E+03	1.546552E-07
2.582388000000E+03	1.366341E-07
2.640709000000E+03	1.218311E-07
2.699031000000E+03	9.948081E-08
2.757352000000E+03	8.785029E-08
2.815673000000E+03	9.532766E-08
2.873995000000E+03	1.002090E-07
2.932316000000E+03	1.260507E-07
2.990637000000E+03	1.136366E-07
3.048959000000E+03	8.360127E-08
3.107280000000E+03	8.973979E-08
3.165602000000E+03	8.860756E-08
3.223923000000E+03	7.816658E-08
3.282244000000E+03	7.854361E-08
3.340566000000E+03	7.275300E-08
3.398887000000E+03	8.861535E-08
3.457208000000E+03	9.614458E-08
3.515530000000E+03	9.325041E-08
3.573851000000E+03	6.428737E-08
3.632173000000E+03	6.665034E-08
3.690494000000E+03	8.132648E-08
3.748815000000E+03	8.688169E-08
3.807137000000E+03	9.274819E-08
3.865458000000E+03	8.515180E-08
3.923779000000E+03	6.358005E-08
3.982101000000E+03	7.388265E-08
4.040422000000E+03	6.023811E-08
4.098744000000E+03	4.769775E-08
4.157065000000E+03	5.621355E-08
4.215386000000E+03	5.579225E-08
4.273708000000E+03	6.072342E-08
4.332029000000E+03	6.180401E-08
4.390350000000E+03	5.743575E-08
4.448672000000E+03	5.655501E-08
4.506993000000E+03	6.448482E-08
4.565315000000E+03	5.280275E-08
4.623636000000E+03	5.328963E-08
4.681957000000E+03	4.656429E-08
4.740279000000E+03	5.801301E-08
4.798600000000E+03	6.493703E-08
4.799600000000E+03	6.762549E-08
4.953131000000E+03	7.757741E-08
5.106663000000E+03	6.919487E-08
5.260194000000E+03	6.789710E-08
5.413725000000E+03	6.318653E-08
5.567257000000E+03	5.617307E-08
5.720788000000E+03	5.407713E-08
5.874320000000E+03	4.422558E-08
6.027851000000E+03	3.413999E-08
6.181382000000E+03	3.934435E-08
6.334914000000E+03	4.802116E-08
6.488445000000E+03	4.322546E-08
6.641976000000E+03	4.456678E-08
6.795508000000E+03	4.543471E-08
6.949039000000E+03	3.953097E-08
7.102571000000E+03	4.023148E-08
7.256102000000E+03	5.037511E-08
7.409633000000E+03	5.187798E-08
7.563165000000E+03	4.104632E-08
7.716696000000E+03	3.998647E-08
7.870227000000E+03	3.449706E-08
8.023759000000E+03	2.585299E-08
8.177290000000E+03	2.897178E-08
8.330822000000E+03	2.908753E-08
8.484353000000E+03	3.070662E-08
8.637884000000E+03	3.688437E-08
8.791416000000E+03	3.886568E-08
8.944947000000E+03	3.112836E-08
9.098478000000E+03	3.371781E-08
9.252010000000E+03	3.805505E-08
9.405541000000E+03	3.951689E-08
9.559073000000E+03	3.111766E-08
9.712604000000E+03	2.084541E-08
9.866135000000E+03	2.669445E-08
1.001966700000E+04	4.974280E-08
1.017319800000E+04	5.394480E-08
1.032672900000E+04	3.508053E-08
1.048026100000E+04	2.616570E-08
1.063379200000E+04	3.338831E-08
1.078732400000E+04	3.037960E-08
1.094085500000E+04	2.934237E-08
1.109438600000E+04	3.534625E-08
1.124791800000E+04	3.601283E-08
1.140144900000E+04	3.673360E-08
1.155498000000E+04	3.086778E-08
1.170851200000E+04	3.486877E-08
1.186204300000E+04	3.015376E-08
1.201557500000E+04	2.879401E-08
1.216910600000E+04	3.233809E-08
1.232263700000E+04	3.284326E-08
1.247616900000E+04	2.377356E-08
1.262970000000E+04	2.897824E-08
1.263070000000E+04	2.386029E-08
1.303482200000E+04	2.660987E-08
1.343894300000E+04	2.590101E-08
1.384306500000E+04	2.293188E-08
1.424718600000E+04	2.166209E-08
1.465130800000E+04	2.729232E-08
1.505542900000E+04	2.887757E-08
1.545955100000E+04	3.095831E-08
1.586367300000E+04	4.759775E-08
1.626779400000E+04	5.022704E-08
1.667191600000E+04	4.386211E-08
1.707603700000E+04	2.618741E-08
1.748015900000E+04	2.018809E-08
1.788428000000E+04	2.607757E-08
1.828840200000E+04	3.143657E-08
1.869252400000E+04	3.099798E-08
1.909664500000E+04	2.762290E-08
1.950076700000E+04	2.602505E-08
1.990488800000E+04	2.797644E-08
2.030901000000E+04	2.575303E-08
2.071313100000E+04	2.788101E-08
2.111725300000E+04	3.057971E-08
2.152137500000E+04	2.925815E-08
2.192549600000E+04	2.643551E-08
2.232961800000E+04	2.516315E-08
2.273373900000E+04	2.334247E-08
2.313786100000E+04	2.408990E-08
2.354198200000E+04	2.268729E-08
2.394610400000E+04	2.307040E-08
2.435022500000E+04	2.426874E-08
2.475434700000E+04	2.723966E-08
2.515846900000E+04	2.752560E-08
2.556259000000E+04	2.916883E-08
2.596671200000E+04	2.968834E-08
2.637083300000E+04	2.898636E-08
2.677495500000E+04	1.729207E-07
2.717907600000E+04	7.559249E-07
2.758319800000E+04	1.019198E-06
2.798732000000E+04	9.632969E-07
2.839144100000E+04	2.033698E-07
2.879556300000E+04	2.695765E-08
2.919968400000E+04	2.484991E-08
2.960380600000E+04	1.939862E-08
3.000792700000E+04	3.472141E-08
3.041204900000E+04	4.427914E-08
3.081617100000E+04	4.623074E-08
3.122029200000E+04	3.834565E-08
3.162441400000E+04	3.455583E-08
3.202853500000E+04	3.710640E-08
3.243265700000E+04	3.839280E-08
3.283677800000E+04	3.759984E-08
3.324090000000E+04	3.615997E-08
3.324190000000E+04	3.355690E-08
3.430555900000E+04	3.276022E-08
3.536921800000E+04	3.330391E-08
3.643287600000E+04	2.866326E-08
3.749653500000E+04	2.752486E-08
3.856019400000E+04	2.899483E-08
3.962385300000E+04	2.764354E-08
4.068751200000E+04	2.303423E-08
