"Frequency"	"Magnitude"
1.010000000000E+02	1.652310E+01
1.041800000000E+02	1.653759E+01
1.073610000000E+02	1.659345E+01
1.105410000000E+02	1.660199E+01
1.137210000000E+02	1.666124E+01
1.169020000000E+02	1.665485E+01
1.200820000000E+02	1.665907E+01
1.232620000000E+02	1.665211E+01
1.264430000000E+02	1.669426E+01
1.296230000000E+02	1.669445E+01
1.328030000000E+02	1.667988E+01
1.359830000000E+02	1.668515E+01
1.391640000000E+02	1.673189E+01
1.423440000000E+02	1.672812E+01
1.455240000000E+02	1.678765E+01
1.487050000000E+02	1.673626E+01
1.518850000000E+02	1.679775E+01
1.550650000000E+02	1.677488E+01
1.582460000000E+02	1.677771E+01
1.614260000000E+02	1.678590E+01
1.646060000000E+02	1.680205E+01
1.677870000000E+02	1.680301E+01
1.709670000000E+02	1.682926E+01
1.741470000000E+02	1.681159E+01
1.773280000000E+02	1.680665E+01
1.805080000000E+02	1.683375E+01
1.836880000000E+02	1.679106E+01
1.868680000000E+02	1.681362E+01
1.900490000000E+02	1.680800E+01
1.932290000000E+02	1.682023E+01
1.964090000000E+02	1.683942E+01
1.995900000000E+02	1.685832E+01
2.027700000000E+02	1.685720E+01
2.059500000000E+02	1.684773E+01
2.091310000000E+02	1.684073E+01
2.123110000000E+02	1.686433E+01
2.154910000000E+02	1.687177E+01
2.186720000000E+02	1.685622E+01
2.218520000000E+02	1.686745E+01
2.250320000000E+02	1.686539E+01
2.282130000000E+02	1.686685E+01
2.313930000000E+02	1.687172E+01
2.345730000000E+02	1.687716E+01
2.377530000000E+02	1.684313E+01
2.409340000000E+02	1.685462E+01
2.441140000000E+02	1.690443E+01
2.472940000000E+02	1.689511E+01
2.504750000000E+02	1.688990E+01
2.536550000000E+02	1.687119E+01
2.568350000000E+02	1.688161E+01
2.600160000000E+02	1.689510E+01
2.631960000000E+02	1.688778E+01
2.641960000000E+02	1.688546E+01
2.725980000000E+02	1.688969E+01
2.810010000000E+02	1.689620E+01
2.894030000000E+02	1.693225E+01
2.978060000000E+02	1.691692E+01
3.062080000000E+02	1.691790E+01
3.146110000000E+02	1.691603E+01
3.230130000000E+02	1.691440E+01
3.314150000000E+02	1.691223E+01
3.398180000000E+02	1.691480E+01
3.482200000000E+02	1.690230E+01
3.566230000000E+02	1.691368E+01
3.650250000000E+02	1.692270E+01
3.734280000000E+02	1.693302E+01
3.818300000000E+02	1.691643E+01
3.902320000000E+02	1.693902E+01
3.986350000000E+02	1.692337E+01
4.070370000000E+02	1.693001E+01
4.154400000000E+02	1.693552E+01
4.238420000000E+02	1.690614E+01
4.322450000000E+02	1.693866E+01
4.406470000000E+02	1.694715E+01
4.490490000000E+02	1.692629E+01
4.574520000000E+02	1.694183E+01
4.658540000000E+02	1.695204E+01
4.742570000000E+02	1.698729E+01
4.826590000000E+02	1.693634E+01
4.910620000000E+02	1.696929E+01
4.994640000000E+02	1.694087E+01
5.078670000000E+02	1.690945E+01
5.162690000000E+02	1.691992E+01
5.246710000000E+02	1.693456E+01
5.330740000000E+02	1.694095E+01
5.414760000000E+02	1.693656E+01
5.498790000000E+02	1.697162E+01
5.582810000000E+02	1.695937E+01
5.666840000000E+02	1.692958E+01
5.750860000000E+02	1.692908E+01
5.834880000000E+02	1.695569E+01
5.918910000000E+02	1.692558E+01
6.002930000000E+02	1.694953E+01
6.086960000000E+02	1.694576E+01
6.170980000000E+02	1.693928E+01
6.255010000000E+02	1.694514E+01
6.339030000000E+02	1.696472E+01
6.423050000000E+02	1.695738E+01
6.507080000000E+02	1.694255E+01
6.591100000000E+02	1.694046E+01
6.675130000000E+02	1.693646E+01
6.759150000000E+02	1.692432E+01
6.843180000000E+02	1.693378E+01
6.927200000000E+02	1.693630E+01
6.937200000000E+02	1.693605E+01
7.158670000000E+02	1.694328E+01
7.380140000000E+02	1.696190E+01
7.601610000000E+02	1.693654E+01
7.823070000000E+02	1.693197E+01
8.044540000000E+02	1.696778E+01
8.266010000000E+02	1.695579E+01
8.487480000000E+02	1.695202E+01
8.708950000000E+02	1.696437E+01
8.930420000000E+02	1.695696E+01
9.151890000000E+02	1.692989E+01
9.373350000000E+02	1.692951E+01
9.594820000000E+02	1.696341E+01
9.816290000000E+02	1.696096E+01
1.003776000000E+03	1.696984E+01
1.025923000000E+03	1.696069E+01
1.048070000000E+03	1.696113E+01
1.070217000000E+03	1.696202E+01
1.092364000000E+03	1.695490E+01
1.114510000000E+03	1.697249E+01
1.136657000000E+03	1.696426E+01
1.158804000000E+03	1.696876E+01
1.180951000000E+03	1.696579E+01
1.203098000000E+03	1.696708E+01
1.225245000000E+03	1.697494E+01
1.247392000000E+03	1.695744E+01
1.269538000000E+03	1.695321E+01
1.291685000000E+03	1.696040E+01
1.313832000000E+03	1.696529E+01
1.335979000000E+03	1.696570E+01
1.358126000000E+03	1.695399E+01
1.380273000000E+03	1.696692E+01
1.402420000000E+03	1.698254E+01
1.424566000000E+03	1.694897E+01
1.446713000000E+03	1.697893E+01
1.468860000000E+03	1.696506E+01
1.491007000000E+03	1.698687E+01
1.513154000000E+03	1.697074E+01
1.535301000000E+03	1.695442E+01
1.557448000000E+03	1.697090E+01
1.579595000000E+03	1.698882E+01
1.601741000000E+03	1.697170E+01
1.623888000000E+03	1.696520E+01
1.646035000000E+03	1.697767E+01
1.668182000000E+03	1.696389E+01
1.690329000000E+03	1.697200E+01
1.712476000000E+03	1.698513E+01
1.734623000000E+03	1.697814E+01
1.756769000000E+03	1.696111E+01
1.778916000000E+03	1.693958E+01
1.801063000000E+03	1.695724E+01
1.823210000000E+03	1.695387E+01
1.824210000000E+03	1.697579E+01
1.882531000000E+03	1.696735E+01
1.940853000000E+03	1.696650E+01
1.999174000000E+03	1.693981E+01
2.057495000000E+03	1.694636E+01
2.115817000000E+03	1.697162E+01
2.174138000000E+03	1.694675E+01
2.232460000000E+03	1.694581E+01
2.290781000000E+03	1.697878E+01
2.349102000000E+03	1.698107E+01
2.407424000000E+03	1.694814E+01
2.465745000000E+03	1.696696E+01
2.524066000000E+03	1.696952E+01
2.582388000000E+03	1.694816E+01
2.640709000000E+03	1.699605E+01
2.699031000000E+03	1.697117E+01
2.757352000000E+03	1.689962E+01
2.815673000000E+03	1.698571E+01
2.873995000000E+03	1.698335E+01
2.932316000000E+03	1.696741E+01
2.990637000000E+03	1.696821E+01
3.048959000000E+03	1.696568E+01
3.107280000000E+03	1.698251E+01
