"Frequency"	"Magnitude"
1.010000000000E+02	1.105425E-06
1.041800000000E+02	1.890298E-06
1.073610000000E+02	2.658362E-06
1.105410000000E+02	2.751057E-06
1.137210000000E+02	2.752218E-06
1.169020000000E+02	1.404146E-06
1.200820000000E+02	7.591635E-07
1.232620000000E+02	7.761133E-07
1.264430000000E+02	7.485531E-07
1.296230000000E+02	7.340046E-07
1.328030000000E+02	6.251222E-07
1.359830000000E+02	5.267285E-07
1.391640000000E+02	6.321072E-07
1.423440000000E+02	8.804942E-07
1.455240000000E+02	4.141870E-06
1.487050000000E+02	6.171066E-06
1.518850000000E+02	6.206086E-06
1.550650000000E+02	5.679507E-06
1.582460000000E+02	2.081539E-06
1.614260000000E+02	6.487066E-07
1.646060000000E+02	7.731471E-07
1.677870000000E+02	7.335947E-07
1.709670000000E+02	7.036347E-07
1.741470000000E+02	6.464055E-07
1.773280000000E+02	5.984992E-07
1.805080000000E+02	5.501388E-07
1.836880000000E+02	5.883688E-07
1.868680000000E+02	5.805265E-07
1.900490000000E+02	6.271790E-07
1.932290000000E+02	5.918384E-07
1.964090000000E+02	5.139993E-07
1.995900000000E+02	4.735278E-07
2.027700000000E+02	5.281998E-07
2.059500000000E+02	5.710526E-07
2.091310000000E+02	4.775490E-07
2.123110000000E+02	5.420239E-07
2.154910000000E+02	6.380119E-07
2.186720000000E+02	6.924430E-07
2.218520000000E+02	6.449852E-07
2.250320000000E+02	5.865277E-07
2.282130000000E+02	4.426573E-07
2.313930000000E+02	4.842605E-07
2.345730000000E+02	4.917855E-07
2.377530000000E+02	5.368919E-07
2.409340000000E+02	5.342332E-07
2.441140000000E+02	5.481903E-07
2.472940000000E+02	1.454179E-06
2.504750000000E+02	2.137505E-06
2.536550000000E+02	2.121666E-06
2.568350000000E+02	2.000053E-06
2.600160000000E+02	9.805252E-07
2.631960000000E+02	6.464523E-07
2.641960000000E+02	9.574401E-07
2.725980000000E+02	6.205121E-07
2.810010000000E+02	5.132902E-07
2.894030000000E+02	5.534012E-07
2.978060000000E+02	5.727576E-07
3.062080000000E+02	5.787642E-07
3.146110000000E+02	4.918430E-07
3.230130000000E+02	4.687692E-07
3.314150000000E+02	5.305818E-07
3.398180000000E+02	6.546386E-07
3.482200000000E+02	7.131160E-07
3.566230000000E+02	7.048964E-07
3.650250000000E+02	6.241560E-07
3.734280000000E+02	4.731764E-07
3.818300000000E+02	4.016103E-07
3.902320000000E+02	4.779381E-07
3.986350000000E+02	4.747228E-07
4.070370000000E+02	4.679605E-07
4.154400000000E+02	4.744294E-07
4.238420000000E+02	4.577804E-07
4.322450000000E+02	4.565167E-07
4.406470000000E+02	4.330274E-07
4.490490000000E+02	4.116571E-07
4.574520000000E+02	3.809257E-07
4.658540000000E+02	3.654437E-07
4.742570000000E+02	3.583336E-07
4.826590000000E+02	3.468688E-07
4.910620000000E+02	3.756725E-07
4.994640000000E+02	3.962643E-07
5.078670000000E+02	3.725493E-07
5.162690000000E+02	3.742856E-07
5.246710000000E+02	3.906786E-07
5.330740000000E+02	3.987392E-07
5.414760000000E+02	4.843310E-07
5.498790000000E+02	6.031696E-07
5.582810000000E+02	6.115938E-07
5.666840000000E+02	6.009365E-07
5.750860000000E+02	3.678784E-07
5.834880000000E+02	3.062750E-07
5.918910000000E+02	3.388096E-07
6.002930000000E+02	4.022361E-07
6.086960000000E+02	3.771427E-07
6.170980000000E+02	2.878153E-07
6.255010000000E+02	2.298971E-07
6.339030000000E+02	2.379386E-07
6.423050000000E+02	5.140439E-07
6.507080000000E+02	5.981819E-07
6.591100000000E+02	6.070499E-07
6.675130000000E+02	5.598092E-07
6.759150000000E+02	4.426124E-07
6.843180000000E+02	2.431129E-07
6.927200000000E+02	2.599166E-07
6.937200000000E+02	1.946952E-07
7.158670000000E+02	2.433390E-07
7.380140000000E+02	3.712357E-07
7.601610000000E+02	4.513440E-07
7.823070000000E+02	3.607053E-07
8.044540000000E+02	3.524433E-07
8.266010000000E+02	2.811269E-07
8.487480000000E+02	4.579343E-07
8.708950000000E+02	3.187574E-07
8.930420000000E+02	1.967212E-07
9.151890000000E+02	2.775042E-07
9.373350000000E+02	2.745458E-07
9.594820000000E+02	3.713353E-07
9.816290000000E+02	2.764591E-07
1.003776000000E+03	6.758205E-07
1.025923000000E+03	5.319687E-07
1.048070000000E+03	3.273351E-07
1.070217000000E+03	3.111478E-07
1.092364000000E+03	2.590109E-07
1.114510000000E+03	2.425766E-07
1.136657000000E+03	2.115095E-07
1.158804000000E+03	2.495422E-07
1.180951000000E+03	2.394558E-07
1.203098000000E+03	2.176571E-07
1.225245000000E+03	2.540779E-07
1.247392000000E+03	2.632084E-07
1.269538000000E+03	2.806432E-07
1.291685000000E+03	1.880114E-07
1.313832000000E+03	1.685084E-07
1.335979000000E+03	1.651992E-07
1.358126000000E+03	1.505892E-07
1.380273000000E+03	1.778835E-07
1.402420000000E+03	1.685311E-07
1.424566000000E+03	2.458447E-07
1.446713000000E+03	1.418660E-07
1.468860000000E+03	1.780379E-07
1.491007000000E+03	1.328061E-07
1.513154000000E+03	1.729344E-07
1.535301000000E+03	1.326667E-07
1.557448000000E+03	1.399880E-07
1.579595000000E+03	1.641701E-07
1.601741000000E+03	1.387749E-07
1.623888000000E+03	1.657777E-07
1.646035000000E+03	1.645567E-07
1.668182000000E+03	1.792645E-07
1.690329000000E+03	1.523196E-07
1.712476000000E+03	1.655591E-07
1.734623000000E+03	1.285253E-07
1.756769000000E+03	1.875037E-07
1.778916000000E+03	2.146662E-07
1.801063000000E+03	1.861533E-07
1.823210000000E+03	1.337435E-07
1.824210000000E+03	1.086953E-07
1.882531000000E+03	1.277491E-07
1.940853000000E+03	1.624514E-07
1.999174000000E+03	2.045440E-07
2.057495000000E+03	1.790797E-07
2.115817000000E+03	1.590424E-07
2.174138000000E+03	1.320243E-07
2.232460000000E+03	1.219346E-07
2.290781000000E+03	1.103263E-07
2.349102000000E+03	1.166315E-07
2.407424000000E+03	1.145357E-07
2.465745000000E+03	8.297555E-08
2.524066000000E+03	1.111641E-07
2.582388000000E+03	1.118300E-07
2.640709000000E+03	1.185417E-07
2.699031000000E+03	1.051616E-07
2.757352000000E+03	6.615109E-08
2.815673000000E+03	8.184439E-08
2.873995000000E+03	1.024471E-07
2.932316000000E+03	8.868580E-08
2.990637000000E+03	1.070202E-07
3.048959000000E+03	9.318654E-08
3.107280000000E+03	1.103928E-07
3.165602000000E+03	8.664845E-08
3.223923000000E+03	6.747485E-08
3.282244000000E+03	6.766679E-08
3.340566000000E+03	7.524650E-08
3.398887000000E+03	7.549720E-08
3.457208000000E+03	8.884026E-08
3.515530000000E+03	7.051509E-08
3.573851000000E+03	4.726058E-08
3.632173000000E+03	6.081062E-08
3.690494000000E+03	5.450456E-08
3.748815000000E+03	5.776804E-08
3.807137000000E+03	6.408528E-08
3.865458000000E+03	7.692741E-08
3.923779000000E+03	5.052389E-08
3.982101000000E+03	4.753180E-08
4.040422000000E+03	5.358409E-08
4.098744000000E+03	5.890593E-08
4.157065000000E+03	4.903675E-08
4.215386000000E+03	3.932015E-08
