"Frequency"	"Magnitude"
1.010000000000E+02	9.867410E-07
1.041800000000E+02	1.419038E-06
1.073610000000E+02	2.287429E-06
1.105410000000E+02	2.353041E-06
1.137210000000E+02	2.209606E-06
1.169020000000E+02	1.347791E-06
1.200820000000E+02	7.487715E-07
1.232620000000E+02	7.186976E-07
1.264430000000E+02	6.413339E-07
1.296230000000E+02	6.483043E-07
1.328030000000E+02	6.311803E-07
1.359830000000E+02	5.804706E-07
1.391640000000E+02	5.954260E-07
1.423440000000E+02	8.525745E-07
1.455240000000E+02	4.139042E-06
1.487050000000E+02	6.052270E-06
1.518850000000E+02	6.042657E-06
1.550650000000E+02	5.546842E-06
1.582460000000E+02	1.969580E-06
1.614260000000E+02	6.401194E-07
1.646060000000E+02	5.836632E-07
1.677870000000E+02	5.737491E-07
1.709670000000E+02	6.932387E-07
1.741470000000E+02	6.306007E-07
1.773280000000E+02	5.231717E-07
1.805080000000E+02	4.413285E-07
1.836880000000E+02	5.016806E-07
1.868680000000E+02	6.050062E-07
1.900490000000E+02	7.165193E-07
1.932290000000E+02	7.276630E-07
1.964090000000E+02	7.529469E-07
1.995900000000E+02	7.850559E-07
2.027700000000E+02	7.454097E-07
2.059500000000E+02	7.644549E-07
2.091310000000E+02	6.916326E-07
2.123110000000E+02	7.031232E-07
2.154910000000E+02	6.637065E-07
2.186720000000E+02	6.122339E-07
2.218520000000E+02	5.861818E-07
2.250320000000E+02	4.846641E-07
2.282130000000E+02	3.909794E-07
2.313930000000E+02	4.217858E-07
2.345730000000E+02	4.633644E-07
2.377530000000E+02	5.576526E-07
2.409340000000E+02	5.125352E-07
2.441140000000E+02	4.882718E-07
2.472940000000E+02	1.212841E-06
2.504750000000E+02	1.809752E-06
2.536550000000E+02	1.886476E-06
2.568350000000E+02	1.829516E-06
2.600160000000E+02	9.082715E-07
2.631960000000E+02	5.557991E-07
2.641960000000E+02	7.523278E-07
2.725980000000E+02	5.126878E-07
2.810010000000E+02	4.189314E-07
2.894030000000E+02	4.355223E-07
2.978060000000E+02	4.777804E-07
