"Frequency"	"Magnitude"
1.010000000000E+02	2.198075E+01
1.041800000000E+02	2.202312E+01
1.073610000000E+02	2.207784E+01
1.105410000000E+02	2.206605E+01
1.137210000000E+02	2.204807E+01
1.169020000000E+02	2.210116E+01
1.200820000000E+02	2.213502E+01
1.232620000000E+02	2.213250E+01
1.264430000000E+02	2.214500E+01
1.296230000000E+02	2.215051E+01
1.328030000000E+02	2.213390E+01
1.359830000000E+02	2.218925E+01
1.391640000000E+02	2.220522E+01
1.423440000000E+02	2.218183E+01
1.455240000000E+02	2.216851E+01
1.487050000000E+02	2.220983E+01
1.518850000000E+02	2.222021E+01
1.550650000000E+02	2.219997E+01
1.582460000000E+02	2.225730E+01
1.614260000000E+02	2.223174E+01
1.646060000000E+02	2.226288E+01
1.677870000000E+02	2.224770E+01
1.709670000000E+02	2.224243E+01
1.741470000000E+02	2.224135E+01
1.773280000000E+02	2.226610E+01
1.805080000000E+02	2.225330E+01
1.836880000000E+02	2.225174E+01
1.868680000000E+02	2.226605E+01
1.900490000000E+02	2.230119E+01
1.932290000000E+02	2.229534E+01
1.964090000000E+02	2.229604E+01
1.995900000000E+02	2.229186E+01
2.027700000000E+02	2.228934E+01
2.059500000000E+02	2.229552E+01
2.091310000000E+02	2.231753E+01
2.123110000000E+02	2.229353E+01
2.154910000000E+02	2.229084E+01
2.186720000000E+02	2.230023E+01
2.218520000000E+02	2.230534E+01
2.250320000000E+02	2.232220E+01
2.282130000000E+02	2.231515E+01
2.313930000000E+02	2.232078E+01
2.345730000000E+02	2.231241E+01
2.377530000000E+02	2.232946E+01
2.409340000000E+02	2.231934E+01
2.441140000000E+02	2.234613E+01
2.472940000000E+02	2.235400E+01
2.504750000000E+02	2.233534E+01
2.536550000000E+02	2.233042E+01
2.568350000000E+02	2.232810E+01
2.600160000000E+02	2.233662E+01
2.631960000000E+02	2.233276E+01
2.641960000000E+02	2.229052E+01
2.725980000000E+02	2.231216E+01
2.810010000000E+02	2.235211E+01
2.894030000000E+02	2.232355E+01
2.978060000000E+02	2.233060E+01
3.062080000000E+02	2.234315E+01
3.146110000000E+02	2.234248E+01
3.230130000000E+02	2.235655E+01
3.314150000000E+02	2.233904E+01
3.398180000000E+02	2.238622E+01
3.482200000000E+02	2.234946E+01
3.566230000000E+02	2.238171E+01
3.650250000000E+02	2.235592E+01
3.734280000000E+02	2.236415E+01
3.818300000000E+02	2.237811E+01
3.902320000000E+02	2.238460E+01
3.986350000000E+02	2.236628E+01
4.070370000000E+02	2.238565E+01
4.154400000000E+02	2.238334E+01
4.238420000000E+02	2.238085E+01
4.322450000000E+02	2.236547E+01
4.406470000000E+02	2.240327E+01
4.490490000000E+02	2.236788E+01
4.574520000000E+02	2.237894E+01
4.658540000000E+02	2.237605E+01
4.742570000000E+02	2.236804E+01
4.826590000000E+02	2.240031E+01
4.910620000000E+02	2.238451E+01
4.994640000000E+02	2.238778E+01
5.078670000000E+02	2.240232E+01
5.162690000000E+02	2.238154E+01
5.246710000000E+02	2.237716E+01
5.330740000000E+02	2.239627E+01
5.414760000000E+02	2.237161E+01
5.498790000000E+02	2.237348E+01
5.582810000000E+02	2.239803E+01
5.666840000000E+02	2.238033E+01
5.750860000000E+02	2.236850E+01
5.834880000000E+02	2.240118E+01
5.918910000000E+02	2.238279E+01
6.002930000000E+02	2.238675E+01
6.086960000000E+02	2.241853E+01
6.170980000000E+02	2.238065E+01
6.255010000000E+02	2.238003E+01
6.339030000000E+02	2.239772E+01
6.423050000000E+02	2.240703E+01
6.507080000000E+02	2.237929E+01
6.591100000000E+02	2.238479E+01
6.675130000000E+02	2.239465E+01
6.759150000000E+02	2.241603E+01
6.843180000000E+02	2.237834E+01
6.927200000000E+02	2.240542E+01
6.937200000000E+02	2.240481E+01
7.158670000000E+02	2.240817E+01
7.380140000000E+02	2.241145E+01
7.601610000000E+02	2.239111E+01
7.823070000000E+02	2.242513E+01
8.044540000000E+02	2.240627E+01
8.266010000000E+02	2.241294E+01
8.487480000000E+02	2.238493E+01
8.708950000000E+02	2.238865E+01
8.930420000000E+02	2.242887E+01
9.151890000000E+02	2.239618E+01
9.373350000000E+02	2.240846E+01
9.594820000000E+02	2.239468E+01
9.816290000000E+02	2.241100E+01
1.003776000000E+03	2.240374E+01
1.025923000000E+03	2.243131E+01
1.048070000000E+03	2.239312E+01
1.070217000000E+03	2.241536E+01
1.092364000000E+03	2.242002E+01
1.114510000000E+03	2.243019E+01
1.136657000000E+03	2.238150E+01
1.158804000000E+03	2.241968E+01
1.180951000000E+03	2.237578E+01
1.203098000000E+03	2.239058E+01
1.225245000000E+03	2.238446E+01
1.247392000000E+03	2.240608E+01
1.269538000000E+03	2.240294E+01
1.291685000000E+03	2.240416E+01
1.313832000000E+03	2.240445E+01
1.335979000000E+03	2.239883E+01
1.358126000000E+03	2.239094E+01
1.380273000000E+03	2.239825E+01
1.402420000000E+03	2.241397E+01
1.424566000000E+03	2.239720E+01
1.446713000000E+03	2.240815E+01
1.468860000000E+03	2.240541E+01
1.491007000000E+03	2.240959E+01
1.513154000000E+03	2.240627E+01
1.535301000000E+03	2.241137E+01
1.557448000000E+03	2.238568E+01
1.579595000000E+03	2.241641E+01
1.601741000000E+03	2.239897E+01
1.623888000000E+03	2.243284E+01
1.646035000000E+03	2.242395E+01
1.668182000000E+03	2.241925E+01
1.690329000000E+03	2.240164E+01
1.712476000000E+03	2.239892E+01
1.734623000000E+03	2.240856E+01
1.756769000000E+03	2.239424E+01
1.778916000000E+03	2.241823E+01
1.801063000000E+03	2.240854E+01
1.823210000000E+03	2.242337E+01
1.824210000000E+03	2.241030E+01
1.882531000000E+03	2.240798E+01
1.940853000000E+03	2.242378E+01
1.999174000000E+03	2.239545E+01
2.057495000000E+03	2.236933E+01
2.115817000000E+03	2.239146E+01
2.174138000000E+03	2.244335E+01
2.232460000000E+03	2.241869E+01
2.290781000000E+03	2.241285E+01
2.349102000000E+03	2.241802E+01
2.407424000000E+03	2.238125E+01
2.465745000000E+03	2.240082E+01
2.524066000000E+03	2.240809E+01
2.582388000000E+03	2.239247E+01
2.640709000000E+03	2.242943E+01
2.699031000000E+03	2.241056E+01
2.757352000000E+03	2.240542E+01
2.815673000000E+03	2.243578E+01
2.873995000000E+03	2.242274E+01
2.932316000000E+03	2.241753E+01
2.990637000000E+03	2.241594E+01
3.048959000000E+03	2.242647E+01
3.107280000000E+03	2.243571E+01
3.165602000000E+03	2.241004E+01
3.223923000000E+03	2.241638E+01
3.282244000000E+03	2.239477E+01
3.340566000000E+03	2.243552E+01
3.398887000000E+03	2.241264E+01
3.457208000000E+03	2.238058E+01
3.515530000000E+03	2.240865E+01
3.573851000000E+03	2.239706E+01
3.632173000000E+03	2.238307E+01
3.690494000000E+03	2.242150E+01
3.748815000000E+03	2.237087E+01
3.807137000000E+03	2.238805E+01
3.865458000000E+03	2.239335E+01
3.923779000000E+03	2.238337E+01
3.982101000000E+03	2.238558E+01
4.040422000000E+03	2.238935E+01
4.098744000000E+03	2.241497E+01
4.157065000000E+03	2.237530E+01
4.215386000000E+03	2.240528E+01
4.273708000000E+03	2.237711E+01
4.332029000000E+03	2.239463E+01
4.390350000000E+03	2.239760E+01
4.448672000000E+03	2.240718E+01
4.506993000000E+03	2.241688E+01
4.565315000000E+03	2.242378E+01
4.623636000000E+03	2.238489E+01
4.681957000000E+03	2.241929E+01
4.740279000000E+03	2.239631E+01
4.798600000000E+03	2.241300E+01
4.799600000000E+03	2.239754E+01
4.953131000000E+03	2.236650E+01
5.106663000000E+03	2.240998E+01
5.260194000000E+03	2.239246E+01
5.413725000000E+03	2.238543E+01
5.567257000000E+03	2.241026E+01
5.720788000000E+03	2.238159E+01
5.874320000000E+03	2.241091E+01
6.027851000000E+03	2.240957E+01
6.181382000000E+03	2.238276E+01
6.334914000000E+03	2.239998E+01
6.488445000000E+03	2.243443E+01
6.641976000000E+03	2.239482E+01
6.795508000000E+03	2.236677E+01
6.949039000000E+03	2.238071E+01
7.102571000000E+03	2.239993E+01
7.256102000000E+03	2.237110E+01
7.409633000000E+03	2.237172E+01
7.563165000000E+03	2.241965E+01
7.716696000000E+03	2.240756E+01
7.870227000000E+03	2.236285E+01
8.023759000000E+03	2.239985E+01
8.177290000000E+03	2.242671E+01
8.330822000000E+03	2.237549E+01
8.484353000000E+03	2.239087E+01
8.637884000000E+03	2.243233E+01
8.791416000000E+03	2.236780E+01
8.944947000000E+03	2.238829E+01
9.098478000000E+03	2.239984E+01
9.252010000000E+03	2.239085E+01
9.405541000000E+03	2.240298E+01
9.559073000000E+03	2.239589E+01
9.712604000000E+03	2.239140E+01
9.866135000000E+03	2.238635E+01
1.001966700000E+04	2.240103E+01
1.017319800000E+04	2.239403E+01
1.032672900000E+04	2.238639E+01
1.048026100000E+04	2.237937E+01
1.063379200000E+04	2.237302E+01
1.078732400000E+04	2.239615E+01
1.094085500000E+04	2.239615E+01
1.109438600000E+04	2.241919E+01
1.124791800000E+04	2.241352E+01
1.140144900000E+04	2.240731E+01
1.155498000000E+04	2.239891E+01
1.170851200000E+04	2.238810E+01
1.186204300000E+04	2.239198E+01
1.201557500000E+04	2.240736E+01
1.216910600000E+04	2.238378E+01
1.232263700000E+04	2.237611E+01
1.247616900000E+04	2.240114E+01
1.262970000000E+04	2.240564E+01
1.263070000000E+04	2.242035E+01
1.303482200000E+04	2.241414E+01
1.343894300000E+04	2.241359E+01
1.384306500000E+04	2.236893E+01
1.424718600000E+04	2.235716E+01
1.465130800000E+04	2.236372E+01
1.505542900000E+04	2.243965E+01
1.545955100000E+04	2.235538E+01
1.586367300000E+04	2.237341E+01
1.626779400000E+04	2.236747E+01
1.667191600000E+04	2.240286E+01
1.707603700000E+04	2.240656E+01
1.748015900000E+04	2.238840E+01
1.788428000000E+04	2.240729E+01
1.828840200000E+04	2.237560E+01
1.869252400000E+04	2.239194E+01
1.909664500000E+04	2.240330E+01
1.950076700000E+04	2.240786E+01
1.990488800000E+04	2.242972E+01
2.030901000000E+04	2.238267E+01
2.071313100000E+04	2.239166E+01
2.111725300000E+04	2.239342E+01
2.152137500000E+04	2.238359E+01
2.192549600000E+04	2.240452E+01
2.232961800000E+04	2.242380E+01
2.273373900000E+04	2.241629E+01
2.313786100000E+04	2.235403E+01
2.354198200000E+04	2.243248E+01
2.394610400000E+04	2.239462E+01
2.435022500000E+04	2.239384E+01
2.475434700000E+04	2.239237E+01
2.515846900000E+04	2.239634E+01
2.556259000000E+04	2.243256E+01
2.596671200000E+04	2.236163E+01
2.637083300000E+04	2.241715E+01
2.677495500000E+04	2.238500E+01
2.717907600000E+04	2.239157E+01
2.758319800000E+04	2.238046E+01
2.798732000000E+04	2.241386E+01
2.839144100000E+04	2.241433E+01
2.879556300000E+04	2.240615E+01
2.919968400000E+04	2.241272E+01
2.960380600000E+04	2.238371E+01
3.000792700000E+04	2.244455E+01
3.041204900000E+04	2.241743E+01
3.081617100000E+04	2.239656E+01
3.122029200000E+04	2.240731E+01
3.162441400000E+04	2.242136E+01
3.202853500000E+04	2.241338E+01
3.243265700000E+04	2.241572E+01
3.283677800000E+04	2.240016E+01
3.324090000000E+04	2.239307E+01
3.324190000000E+04	2.235553E+01
3.430555900000E+04	2.239338E+01
3.536921800000E+04	2.240357E+01
3.643287600000E+04	2.239554E+01
3.749653500000E+04	2.238757E+01
3.856019400000E+04	2.240259E+01
3.962385300000E+04	2.238962E+01
4.068751200000E+04	2.235604E+01
4.175117100000E+04	2.238329E+01
4.281482900000E+04	2.237957E+01
4.387848800000E+04	2.235676E+01
4.494214700000E+04	2.242507E+01
4.600580600000E+04	2.243231E+01
4.706946500000E+04	2.239302E+01
4.813312400000E+04	2.241582E+01
4.919678200000E+04	2.244086E+01
5.026044100000E+04	2.243058E+01
5.132410000000E+04	2.237747E+01
5.238775900000E+04	2.238627E+01
5.345141800000E+04	2.240870E+01
5.451507600000E+04	2.241166E+01
5.557873500000E+04	2.238867E+01
5.664239400000E+04	2.241712E+01
5.770605300000E+04	2.241978E+01
5.876971200000E+04	2.240144E+01
5.983337100000E+04	2.237387E+01
6.089702900000E+04	2.241644E+01
6.196068800000E+04	2.242615E+01
6.302434700000E+04	2.239758E+01
6.408800600000E+04	2.240518E+01
6.515166500000E+04	2.241764E+01
6.621532400000E+04	2.239408E+01
6.727898200000E+04	2.240527E+01
6.834264100000E+04	2.243100E+01
6.940630000000E+04	2.240561E+01
7.046995900000E+04	2.242484E+01
7.153361800000E+04	2.239248E+01
7.259727600000E+04	2.243981E+01
7.366093500000E+04	2.239181E+01
7.472459400000E+04	2.239101E+01
7.578825300000E+04	2.238196E+01
7.685191200000E+04	2.236959E+01
7.791557100000E+04	2.240764E+01
7.897922900000E+04	2.241696E+01
8.004288800000E+04	2.238672E+01
8.110654700000E+04	2.241477E+01
8.217020600000E+04	2.238682E+01
8.323386500000E+04	2.239622E+01
8.429752400000E+04	2.239835E+01
8.536118200000E+04	2.240899E+01
8.642484100000E+04	2.235113E+01
8.748850000000E+04	2.241659E+01
8.748950000000E+04	2.239912E+01
9.028903900000E+04	2.235399E+01
9.308857800000E+04	2.242099E+01
9.588811800000E+04	2.239278E+01
9.868765700000E+04	2.237482E+01
1.014871960000E+05	2.241285E+01
1.042867350000E+05	2.242368E+01
1.070862750000E+05	2.242973E+01
1.098858140000E+05	2.240594E+01
1.126853530000E+05	2.243939E+01
1.154848920000E+05	2.236972E+01
1.182844310000E+05	2.242138E+01
1.210839710000E+05	2.233409E+01
1.238835100000E+05	2.241394E+01
1.266830490000E+05	2.242436E+01
1.294825880000E+05	2.246653E+01
1.322821270000E+05	2.240409E+01
1.350816670000E+05	2.234947E+01
1.378812060000E+05	2.244106E+01
1.406807450000E+05	2.239621E+01
1.434802840000E+05	2.249597E+01
1.462798240000E+05	2.241522E+01
1.490793630000E+05	2.246490E+01
1.518789020000E+05	2.237417E+01
1.546784410000E+05	2.242176E+01
1.574779800000E+05	2.241389E+01
1.602775200000E+05	2.240406E+01
1.630770590000E+05	2.240382E+01
1.658765980000E+05	2.237015E+01
1.686761370000E+05	2.238165E+01
1.714756760000E+05	2.247963E+01
1.742752160000E+05	2.245245E+01
1.770747550000E+05	2.242719E+01
1.798742940000E+05	2.239030E+01
1.826738330000E+05	2.246121E+01
1.854733730000E+05	2.237425E+01
1.882729120000E+05	2.237546E+01
1.910724510000E+05	2.249408E+01
1.938719900000E+05	2.239758E+01
1.966715290000E+05	2.244734E+01
1.994710690000E+05	2.243445E+01
2.022706080000E+05	2.242608E+01
2.050701470000E+05	2.236073E+01
2.078696860000E+05	2.243001E+01
2.106692250000E+05	2.236257E+01
2.134687650000E+05	2.235965E+01
2.162683040000E+05	2.235462E+01
2.190678430000E+05	2.238255E+01
2.218673820000E+05	2.237221E+01
2.246669220000E+05	2.241553E+01
2.274664610000E+05	2.240038E+01
2.302660000000E+05	2.236143E+01
2.302670000000E+05	2.242461E+01
2.376352940000E+05	2.243547E+01
2.450035880000E+05	2.238624E+01
2.523718820000E+05	2.236162E+01
