"Frequency"	"Magnitude"
1.010000000000E+02	9.562986E-06
1.041800000000E+02	8.218835E-06
1.073610000000E+02	7.940333E-06
1.105410000000E+02	8.947914E-06
1.137210000000E+02	9.401634E-06
1.169020000000E+02	7.802338E-06
1.200820000000E+02	7.360589E-06
1.232620000000E+02	7.719433E-06
1.264430000000E+02	9.479336E-06
1.296230000000E+02	9.464091E-06
1.328030000000E+02	8.717268E-06
1.359830000000E+02	6.827097E-06
1.391640000000E+02	6.168618E-06
1.423440000000E+02	6.314797E-06
1.455240000000E+02	1.013917E-05
1.487050000000E+02	1.286550E-05
1.518850000000E+02	1.361268E-05
1.550650000000E+02	1.307316E-05
1.582460000000E+02	8.992241E-06
1.614260000000E+02	6.248491E-06
1.646060000000E+02	5.911555E-06
1.677870000000E+02	7.107156E-06
1.709670000000E+02	8.870579E-06
1.741470000000E+02	7.995450E-06
1.773280000000E+02	7.343281E-06
1.805080000000E+02	7.609751E-06
1.836880000000E+02	8.068875E-06
1.868680000000E+02	8.365755E-06
1.900490000000E+02	8.366078E-06
1.932290000000E+02	7.421394E-06
1.964090000000E+02	7.669073E-06
1.995900000000E+02	8.217255E-06
2.027700000000E+02	9.418050E-06
2.059500000000E+02	9.289499E-06
2.091310000000E+02	7.681798E-06
2.123110000000E+02	7.443257E-06
2.154910000000E+02	7.092663E-06
2.186720000000E+02	6.244061E-06
2.218520000000E+02	5.548387E-06
2.250320000000E+02	5.848720E-06
2.282130000000E+02	6.826982E-06
2.313930000000E+02	7.584804E-06
2.345730000000E+02	7.972728E-06
2.377530000000E+02	7.505036E-06
2.409340000000E+02	6.942529E-06
2.441140000000E+02	6.465727E-06
2.472940000000E+02	5.870580E-06
2.504750000000E+02	6.944839E-06
2.536550000000E+02	7.579134E-06
2.568350000000E+02	8.352759E-06
2.600160000000E+02	8.246060E-06
2.631960000000E+02	8.209081E-06
2.641960000000E+02	5.308404E-06
2.725980000000E+02	6.059292E-06
2.810010000000E+02	6.603349E-06
2.894030000000E+02	5.937125E-06
2.978060000000E+02	5.574224E-06
3.062080000000E+02	5.734176E-06
3.146110000000E+02	6.395670E-06
3.230130000000E+02	6.126705E-06
3.314150000000E+02	5.746547E-06
3.398180000000E+02	5.419305E-06
3.482200000000E+02	5.263138E-06
3.566230000000E+02	5.696059E-06
3.650250000000E+02	5.687909E-06
3.734280000000E+02	5.711003E-06
3.818300000000E+02	5.878868E-06
3.902320000000E+02	5.728912E-06
3.986350000000E+02	5.413640E-06
4.070370000000E+02	5.412343E-06
4.154400000000E+02	5.689389E-06
4.238420000000E+02	5.634257E-06
4.322450000000E+02	5.961533E-06
4.406470000000E+02	5.479600E-06
4.490490000000E+02	4.689201E-06
4.574520000000E+02	4.089331E-06
4.658540000000E+02	3.909743E-06
4.742570000000E+02	3.964461E-06
4.826590000000E+02	3.943863E-06
4.910620000000E+02	4.111185E-06
4.994640000000E+02	4.172709E-06
5.078670000000E+02	3.725523E-06
5.162690000000E+02	3.687168E-06
