"Frequency"	"Magnitude"
1.010000000000E+02	9.891698E-07
1.041800000000E+02	2.023783E-06
1.073610000000E+02	2.879860E-06
1.105410000000E+02	2.966658E-06
1.137210000000E+02	2.841604E-06
1.169020000000E+02	1.276578E-06
1.200820000000E+02	6.777348E-07
1.232620000000E+02	6.387795E-07
1.264430000000E+02	5.550163E-07
1.296230000000E+02	5.991135E-07
1.328030000000E+02	6.971864E-07
1.359830000000E+02	5.983990E-07
1.391640000000E+02	5.305409E-07
1.423440000000E+02	6.379155E-07
1.455240000000E+02	3.050714E-06
1.487050000000E+02	4.623209E-06
1.518850000000E+02	4.612656E-06
1.550650000000E+02	4.184295E-06
1.582460000000E+02	1.608322E-06
1.614260000000E+02	6.148188E-07
1.646060000000E+02	5.482142E-07
1.677870000000E+02	5.325168E-07
1.709670000000E+02	5.104894E-07
1.741470000000E+02	5.168989E-07
1.773280000000E+02	4.995088E-07
1.805080000000E+02	4.675427E-07
1.836880000000E+02	5.865001E-07
1.868680000000E+02	6.618008E-07
1.900490000000E+02	7.002666E-07
1.932290000000E+02	6.539102E-07
1.964090000000E+02	6.456125E-07
1.995900000000E+02	6.678728E-07
2.027700000000E+02	6.512888E-07
2.059500000000E+02	7.574948E-07
2.091310000000E+02	7.639265E-07
2.123110000000E+02	7.804642E-07
2.154910000000E+02	7.024101E-07
2.186720000000E+02	5.720558E-07
2.218520000000E+02	4.838923E-07
2.250320000000E+02	4.815759E-07
2.282130000000E+02	4.523243E-07
2.313930000000E+02	3.795540E-07
2.345730000000E+02	4.140936E-07
2.377530000000E+02	5.033893E-07
2.409340000000E+02	4.806732E-07
2.441140000000E+02	4.918853E-07
2.472940000000E+02	8.056811E-07
2.504750000000E+02	1.365804E-06
2.536550000000E+02	1.519836E-06
2.568350000000E+02	1.448581E-06
2.600160000000E+02	7.588879E-07
2.631960000000E+02	5.115489E-07
2.641960000000E+02	6.689936E-07
2.725980000000E+02	5.175169E-07
2.810010000000E+02	4.163672E-07
2.894030000000E+02	4.016721E-07
2.978060000000E+02	4.357835E-07
3.062080000000E+02	4.430016E-07
3.146110000000E+02	4.408255E-07
3.230130000000E+02	4.945091E-07
3.314150000000E+02	6.273189E-07
3.398180000000E+02	6.609945E-07
3.482200000000E+02	6.350444E-07
3.566230000000E+02	5.267368E-07
3.650250000000E+02	4.635945E-07
3.734280000000E+02	4.102522E-07
3.818300000000E+02	4.088436E-07
3.902320000000E+02	3.877414E-07
3.986350000000E+02	3.344951E-07
4.070370000000E+02	3.146816E-07
4.154400000000E+02	3.034520E-07
4.238420000000E+02	2.633906E-07
4.322450000000E+02	2.821717E-07
4.406470000000E+02	3.939525E-07
4.490490000000E+02	4.217808E-07
4.574520000000E+02	4.178182E-07
4.658540000000E+02	3.506441E-07
4.742570000000E+02	3.145805E-07
4.826590000000E+02	2.741485E-07
4.910620000000E+02	2.082900E-07
4.994640000000E+02	1.909722E-07
5.078670000000E+02	3.089519E-07
5.162690000000E+02	3.425275E-07
5.246710000000E+02	3.388640E-07
5.330740000000E+02	3.629002E-07
5.414760000000E+02	4.828075E-07
5.498790000000E+02	6.109319E-07
5.582810000000E+02	6.142679E-07
5.666840000000E+02	5.894813E-07
5.750860000000E+02	3.107618E-07
5.834880000000E+02	2.090408E-07
5.918910000000E+02	2.069634E-07
6.002930000000E+02	2.168491E-07
6.086960000000E+02	1.976915E-07
6.170980000000E+02	2.202264E-07
6.255010000000E+02	2.478241E-07
6.339030000000E+02	2.715010E-07
6.423050000000E+02	4.162071E-07
6.507080000000E+02	4.582571E-07
6.591100000000E+02	4.450625E-07
6.675130000000E+02	4.335857E-07
6.759150000000E+02	3.575901E-07
6.843180000000E+02	2.210785E-07
6.927200000000E+02	2.173379E-07
6.937200000000E+02	2.693978E-07
7.158670000000E+02	1.929673E-07
